x,y,count
99,0,69
99,99,52
99,21,1
99,13,1
99,83,1
64,4,3
64,8,1
64,90,1
64,26,2
64,72,2
64,35,2
64,27,1
64,52,1
64,92,1
64,70,1
64,64,1
64,53,2
64,81,1
64,83,5
64,74,1
64,30,4
64,51,1
64,24,2
64,33,2
64,0,1
64,79,1
64,41,1
64,11,1
64,39,3
64,18,1
64,16,1
64,12,2
64,13,1
64,6,1
64,38,1
64,15,1
64,21,1
64,29,1
64,5,1
64,9,1
64,67,2
64,22,1
64,31,1
64,60,2
64,10,1
64,44,1
64,25,1
64,76,1
64,49,1
64,63,1
24,34,1
24,10,1
24,7,1
24,21,2
24,19,1
24,65,1
24,38,1
24,72,2
24,78,1
24,18,1
24,55,1
24,51,1
24,84,1
24,4,2
24,0,1
24,46,1
24,20,1
24,67,1
43,0,3
43,9,2
43,8,3
43,65,1
43,68,1
43,52,2
43,22,1
43,42,1
43,49,1
43,55,1
43,90,1
43,28,3
43,57,1
43,74,1
43,62,1
43,43,1
43,73,1
43,29,2
43,69,2
43,56,1
43,39,1
43,24,1
43,10,1
43,19,1
43,34,1
43,3,1
43,6,1
43,7,1
43,27,1
43,37,1
43,12,1
43,61,1
43,45,1
43,75,1
43,32,1
43,25,1
43,64,1
43,60,1
43,31,1
33,0,1
33,15,1
33,13,1
33,50,1
33,75,1
33,68,1
33,46,3
33,64,1
33,19,1
33,30,1
33,7,1
33,24,1
33,37,1
33,61,1
33,55,2
33,9,1
33,8,1
33,23,1
33,60,1
33,90,1
33,78,1
57,17,1
57,3,2
57,12,2
57,72,1
57,37,2
57,92,1
57,70,2
57,55,1
57,84,2
57,66,1
57,73,1
57,52,1
57,38,1
57,49,1
57,20,2
57,85,1
57,75,1
57,23,2
57,0,2
57,15,1
57,4,2
57,39,1
57,24,3
57,14,1
57,1,1
57,25,1
57,64,2
57,32,1
57,11,1
57,22,1
57,65,1
57,7,1
57,60,1
57,19,1
57,69,1
63,4,3
63,17,2
63,24,2
63,51,1
63,64,1
63,43,2
63,48,1
63,67,1
63,87,1
63,16,1
63,32,1
63,75,1
63,7,2
63,15,1
63,11,1
63,25,1
63,46,1
63,36,1
63,27,2
63,5,2
63,6,1
63,12,2
63,10,2
63,0,2
63,28,1
63,40,1
63,35,1
63,68,1
63,65,1
63,63,1
63,22,1
63,44,1
63,39,1
63,70,1
63,62,1
63,33,1
70,7,2
70,16,1
70,17,3
70,67,1
70,62,2
70,59,1
70,56,1
70,48,2
70,37,2
70,20,1
70,77,1
70,65,2
70,60,2
70,53,1
70,23,1
70,21,1
70,5,1
70,3,1
70,8,2
70,43,1
70,0,4
70,13,1
70,79,2
70,41,1
70,58,1
70,33,1
70,42,1
70,38,1
70,6,1
70,44,1
70,25,1
70,34,2
70,87,1
70,22,1
70,82,1
70,31,1
60,0,1
60,54,1
60,59,1
60,32,3
60,63,3
60,66,1
60,27,1
60,65,1
60,64,2
60,19,1
60,20,2
60,25,2
60,23,3
60,22,1
60,12,2
60,80,1
60,8,3
60,39,1
60,5,3
60,11,2
60,7,1
60,24,1
60,4,1
60,10,2
60,93,1
60,21,1
60,17,2
60,34,1
60,35,1
60,9,1
60,75,1
60,43,1
60,94,1
60,74,1
67,21,1
67,6,1
67,28,1
67,74,3
67,40,2
67,23,2
67,84,1
67,0,1
67,52,1
67,66,1
67,90,1
67,59,1
67,50,3
67,24,1
67,45,2
67,25,1
67,14,2
67,76,1
67,43,2
67,83,1
67,3,3
67,7,2
67,48,1
67,60,1
67,4,3
67,91,1
67,12,1
67,36,1
67,87,1
67,20,1
67,55,1
67,33,1
67,56,2
67,37,1
67,31,2
67,72,2
67,27,1
67,64,1
67,34,2
67,58,1
67,78,1
67,8,2
67,85,1
67,15,1
67,51,1
67,22,1
67,38,1
67,80,1
67,82,1
67,53,1
67,61,1
67,16,1
67,73,1
67,62,1
31,0,2
31,3,1
31,60,1
31,59,2
31,49,1
31,42,3
31,23,1
31,40,1
31,35,2
31,36,1
31,82,1
31,72,1
31,8,1
31,4,2
31,19,1
31,76,1
31,56,1
31,44,2
31,30,2
31,13,2
31,34,1
31,64,1
31,41,1
31,37,1
31,53,2
31,6,1
31,67,1
21,35,1
21,44,2
21,74,4
21,56,1
21,39,1
21,88,1
21,82,1
21,19,1
21,12,1
21,26,2
21,0,1
21,54,2
21,51,1
23,7,3
23,5,1
23,24,1
23,74,1
23,73,1
23,29,1
23,64,1
23,45,1
23,78,1
23,70,2
23,34,1
23,22,1
23,21,1
23,10,2
23,48,1
23,68,1
23,67,1
23,59,1
23,47,1
23,63,1
76,10,4
76,57,1
76,7,1
76,83,1
76,8,1
76,0,1
76,37,1
76,11,2
76,5,1
76,47,1
76,18,1
76,26,1
76,22,1
76,14,1
76,16,1
76,25,2
76,35,1
76,20,1
47,7,1
47,3,2
47,8,2
47,75,2
47,80,1
47,53,1
47,59,2
47,25,1
47,24,2
47,39,1
47,77,1
47,48,1
47,55,1
47,56,1
47,44,2
47,46,1
47,78,1
47,58,1
47,40,1
47,16,1
47,5,1
47,2,1
47,4,2
47,10,2
47,73,1
47,11,3
47,22,1
47,47,1
47,31,1
47,41,1
91,14,1
91,6,1
91,7,2
91,11,1
91,0,1
91,29,1
91,54,1
15,3,1
15,29,2
15,26,1
15,86,1
15,69,1
15,39,1
15,36,1
15,11,2
15,4,1
15,13,1
15,42,1
15,15,1
15,95,1
75,24,4
75,0,2
75,6,2
75,35,3
75,47,1
75,63,1
75,46,1
75,3,1
75,10,1
75,22,2
75,17,2
75,86,1
75,12,2
75,16,1
75,7,2
75,18,1
75,4,1
75,28,1
75,36,1
75,23,2
75,27,1
75,55,1
75,52,1
75,43,2
75,34,1
75,30,1
71,61,1
71,5,5
71,25,1
71,7,1
71,11,2
71,57,1
71,89,1
71,47,3
71,75,1
71,79,1
71,69,1
71,63,1
71,72,1
71,93,1
71,54,1
71,49,1
71,53,1
71,44,2
71,52,3
71,43,2
71,34,2
71,8,2
71,18,2
71,22,1
71,6,1
71,20,1
71,13,1
71,15,1
71,58,1
71,19,1
71,23,2
8,35,1
8,14,2
8,63,1
8,80,2
8,5,1
8,28,2
8,0,1
8,44,1
8,48,1
8,62,1
8,16,1
8,15,1
8,27,2
8,17,1
36,11,1
36,19,1
36,46,1
36,51,1
36,50,2
36,74,1
36,39,1
36,81,1
36,88,2
36,16,2
36,14,1
36,29,1
36,7,5
36,9,1
36,12,1
36,5,1
36,71,1
36,62,2
36,52,1
36,4,1
36,20,1
36,68,2
36,26,1
36,27,1
36,10,1
36,44,1
36,61,1
36,70,1
36,49,1
61,12,1
61,8,3
61,18,1
61,33,3
61,16,1
61,43,2
61,51,3
61,56,2
61,89,2
61,34,1
61,30,1
61,73,1
61,38,1
61,44,1
61,31,1
61,72,1
61,78,1
61,67,3
61,69,1
61,14,1
61,23,1
61,62,2
61,21,2
61,0,1
61,4,4
61,11,1
61,6,1
61,2,1
61,7,1
61,25,1
61,5,2
61,29,1
61,63,1
61,61,2
61,22,1
61,37,1
61,3,1
61,87,1
65,6,1
65,5,3
65,61,1
65,53,2
65,67,2
65,25,2
65,68,1
65,31,2
65,83,2
65,77,1
65,36,3
65,39,3
65,69,1
65,32,2
65,51,1
65,34,2
65,54,1
65,64,1
65,44,1
65,56,1
65,14,2
65,10,1
65,4,2
65,16,2
65,15,1
65,19,1
65,89,1
65,50,1
65,78,1
65,20,1
65,35,1
65,0,1
65,23,1
65,17,2
65,71,1
65,24,1
65,52,1
65,27,1
65,81,1
55,6,2
55,8,2
55,7,3
55,20,2
55,50,3
55,59,1
55,68,1
55,36,1
55,63,1
55,9,2
55,75,1
55,71,1
55,47,3
55,57,1
55,73,1
55,38,1
55,29,1
55,24,1
55,44,2
55,46,1
55,82,1
55,96,1
55,2,1
55,3,2
55,28,1
55,74,1
55,37,1
55,45,3
55,14,1
55,11,2
55,67,1
55,19,1
55,92,2
55,22,1
55,65,1
55,56,1
55,51,1
55,48,1
55,60,1
90,32,1
90,49,1
90,10,2
90,12,1
90,61,1
90,0,1
44,8,1
44,12,1
44,43,1
44,68,1
44,61,1
44,50,1
44,63,1
44,70,2
44,42,1
44,18,1
44,26,2
44,100,1
44,0,1
44,21,1
44,66,1
44,33,1
44,4,1
44,57,1
44,81,1
44,71,1
44,60,2
44,56,1
44,73,1
44,40,1
44,49,1
44,52,1
44,32,1
44,79,1
44,59,1
44,45,1
27,5,2
27,7,2
27,6,3
27,52,1
