x,y,count
36,35,1
36,56,1
36,10,1
36,54,1
36,75,1
36,91,1
36,29,1
36,49,1
36,64,1
36,46,1
36,53,1
36,52,1
36,21,1
36,71,1
36,3,1
34,40,1
34,20,1
34,34,2
34,74,1
34,53,2
34,56,2
34,93,1
34,55,1
34,76,2
34,13,1
34,95,1
34,78,1
34,9,1
34,91,2
34,61,1
60,27,1
60,44,1
60,29,1
60,32,3
60,23,1
60,94,1
60,85,1
60,61,1
60,76,1
60,79,1
60,87,1
60,74,1
60,28,1
60,34,1
57,24,1
57,36,2
57,20,1
57,13,1
57,72,2
57,82,1
57,40,1
57,11,1
57,45,1
57,90,1
57,87,1
57,89,1
57,14,1
57,71,1
69,18,2
69,44,1
69,47,1
69,56,1
69,35,1
69,34,1
69,85,2
69,70,1
69,71,3
69,50,2
69,59,1
69,89,2
69,58,2
69,55,1
69,76,1
69,33,1
69,79,1
69,41,1
69,94,1
69,90,1
69,17,1
69,63,1
76,14,2
76,5,2
76,59,1
76,22,1
76,23,1
76,28,2
76,29,1
76,54,1
76,52,1
76,44,1
76,88,2
76,6,1
76,45,1
76,39,1
76,32,1
76,70,1
76,25,1
76,4,1
76,11,1
76,75,1
76,65,1
64,9,2
64,95,1
64,8,1
64,91,1
64,73,1
64,7,1
64,26,1
64,16,1
64,17,2
64,34,1
64,28,1
64,44,1
64,47,2
64,58,1
64,54,1
64,59,2
64,11,1
64,45,1
64,81,1
64,43,2
64,77,2
64,66,1
64,14,1
64,12,1
64,72,2
64,40,1
64,60,1
64,50,1
50,6,1
50,50,21
50,49,5
50,71,1
48,28,1
48,56,1
48,95,1
48,16,1
48,54,2
48,100,1
48,97,1
48,82,1
48,15,1
48,9,1
48,44,1
47,30,1
47,75,1
47,73,1
47,32,1
47,62,1
47,28,1
47,34,1
47,51,1
47,65,1
47,68,1
47,48,1
72,10,2
72,90,1
72,92,1
72,34,1
72,49,1
72,48,1
72,75,1
72,44,1
72,69,2
72,27,1
72,45,1
72,55,1
72,73,2
72,43,1
72,87,1
72,14,1
72,40,1
72,88,1
72,47,1
72,26,1
72,64,1
90,80,2
90,1,1
90,6,2
90,39,1
90,88,1
90,53,3
90,78,1
90,30,1
90,49,1
90,77,1
90,67,1
90,42,1
90,41,1
90,43,1
90,58,1
42,25,1
42,48,1
42,74,2
42,8,1
42,78,1
42,68,1
42,80,1
42,77,1
68,72,2
68,66,1
68,65,1
68,8,1
68,75,1
68,39,2
68,32,1
68,78,1
68,67,1
68,33,1
68,77,1
68,17,1
68,96,1
68,42,1
68,70,2
68,22,1
68,91,1
68,92,1
99,0,11
99,64,1
99,99,5
99,72,1
99,32,1
99,67,1
75,60,1
75,24,1
75,30,2
75,18,2
75,91,1
75,22,1
75,7,1
75,88,3
75,50,2
75,72,1
75,64,1
75,54,1
75,96,1
75,27,1
75,40,2
75,11,1
75,32,2
75,80,1
75,28,1
75,81,1
75,75,1
75,82,1
75,65,1
75,58,1
75,69,1
92,29,2
92,28,1
92,69,2
92,9,1
92,8,1
92,78,1
92,32,1
92,83,1
92,43,2
92,35,1
