x,y,count
60,5,3
60,9,1
60,8,1
60,28,1
60,54,1
60,37,1
60,19,1
60,72,1
60,71,1
60,27,1
60,24,2
60,2,1
60,16,1
60,67,1
60,21,1
60,29,1
71,0,1
71,7,1
71,31,1
71,45,1
71,11,1
71,51,1
71,38,1
71,90,1
71,4,2
71,5,1
71,3,1
11,27,2
11,21,2
11,22,1
11,19,1
11,26,1
11,12,1
11,81,2
11,44,1
11,14,2
11,31,1
11,47,1
11,70,1
11,48,1
11,5,1
11,17,1
28,3,1
28,27,1
28,10,1
28,32,3
28,29,1
28,16,3
28,41,1
28,44,1
28,81,1
28,61,1
28,26,2
28,37,1
28,28,2
28,57,1
28,70,1
28,30,2
28,23,1
28,65,1
28,40,1
28,94,1
28,33,3
28,59,1
28,31,1
28,45,1
28,7,1
28,35,1
28,11,1
38,0,2
38,18,1
38,24,2
38,16,3
38,65,2
38,12,1
38,6,1
38,37,2
38,33,1
38,26,1
38,48,1
38,34,1
38,70,1
38,17,2
38,22,3
38,20,2
38,66,1
38,86,1
38,9,1
38,2,1
38,75,1
38,55,1
38,13,1
38,15,1
38,28,2
38,31,1
38,27,1
38,81,1
38,32,1
38,29,1
38,39,1
38,36,1
38,23,1
38,30,2
38,3,1
38,7,1
38,10,1
37,8,1
37,33,1
37,22,1
37,26,1
37,57,1
37,69,1
37,25,2
37,72,1
37,35,1
37,42,2
37,10,1
37,75,1
37,84,1
37,15,2
37,13,2
37,31,1
37,40,2
37,7,2
37,24,1
37,17,2
37,54,1
37,61,2
37,81,1
37,23,1
37,36,2
37,18,1
37,9,1
37,28,1
37,51,1
37,19,1
37,44,1
37,3,1
37,14,1
84,49,2
84,16,1
84,0,1
84,7,1
84,27,1
53,18,2
53,54,1
53,40,1
53,32,1
53,7,1
53,72,1
53,53,2
53,67,1
53,52,2
53,68,2
53,69,3
53,11,2
53,45,1
53,5,2
53,30,3
53,36,1
53,77,1
53,16,1
53,31,1
53,90,1
53,2,1
53,17,1
53,66,1
53,27,2
53,55,1
53,59,1
53,41,1
53,46,2
79,6,2
79,19,1
79,24,1
79,0,1
79,7,1
79,34,1
79,2,1
30,4,3
30,27,2
30,34,1
30,20,1
30,49,1
30,8,2
30,3,1
30,37,1
30,33,3
30,18,1
30,30,1
30,46,1
30,64,1
30,69,2
30,11,1
30,60,1
30,71,1
30,14,1
30,53,1
30,26,1
30,16,1
30,58,2
30,9,2
30,15,1
45,14,1
45,30,2
45,35,1
45,22,1
45,15,2
45,32,4
45,81,1
45,56,1
45,78,1
45,80,1
45,50,1
45,82,1
45,91,1
45,94,1
45,11,1
45,16,2
45,0,1
45,43,2
45,5,1
45,45,2
45,6,1
45,88,1
45,38,1
45,21,1
45,42,1
45,89,1
45,8,1
45,86,1
45,63,1
45,24,1
45,68,1
45,27,1
45,44,1
45,18,2
45,26,2
45,46,2
45,54,1
45,64,1
45,10,1
45,85,1
24,9,2
24,73,2
24,29,5
24,17,3
24,19,2
24,40,2
24,4,3
24,22,1
24,42,1
24,33,2
24,34,1
24,28,1
24,21,1
24,49,1
24,87,1
24,5,2
24,27,1
24,32,1
24,56,1
24,58,1
24,2,1
24,44,1
24,30,1
24,37,1
24,18,1
24,3,1
24,6,1
14,4,1
14,63,1
14,27,2
14,15,1
14,83,1
14,40,2
14,54,1
14,42,1
14,46,1
14,30,1
14,3,1
14,69,1
14,34,2
14,14,1
14,98,1
14,85,1
14,20,1
14,19,1
14,28,1
14,18,1
14,22,1
14,16,1
14,57,1
14,81,2
14,31,1
67,37,1
67,4,2
67,17,1
67,11,1
67,5,2
67,7,1
67,16,1
67,41,1
67,91,1
67,30,1
67,14,1
67,8,1
67,90,1
67,66,1
54,9,1
54,24,1
54,8,3
54,89,1
54,85,1
54,5,2
54,28,1
54,3,1
54,12,3
54,25,2
54,0,3
54,62,1
54,46,2
54,33,1
54,11,1
54,48,1
54,74,1
54,81,1
54,56,1
54,79,1
54,32,2
54,10,3
54,13,1
54,36,1
54,51,1
54,27,1
54,42,2
54,38,1
54,19,1
54,17,1
54,35,1
77,28,1
77,25,1
77,8,1
77,5,1
77,26,1
77,3,1
95,31,1
95,34,1
95,53,1
95,55,1
95,32,1
95,19,1
95,41,1
95,23,1
73,30,1
73,7,1
73,4,1
73,6,3
73,25,1
73,5,1
73,8,1
73,10,1
73,21,1
73,27,1
52,22,1
52,10,1
52,71,1
52,53,1
52,48,1
52,51,1
52,16,1
52,68,1
52,83,1
52,46,1
52,20,2
52,25,1
52,28,1
52,0,2
52,56,1
52,39,1
52,63,1
52,73,1
52,52,1
52,86,1
52,66,1
52,6,1
52,59,1
52,70,1
52,47,1
52,41,1
52,32,1
52,18,1
52,38,1
40,26,1
40,3,1
40,34,2
40,66,1
40,70,2
40,72,1
40,7,2
40,27,2
40,14,1
40,35,1
40,78,1
40,33,2
40,58,1
40,25,1
40,23,2
40,4,3
40,11,1
40,0,2
40,6,1
40,19,2
40,67,1
40,22,1
40,20,1
40,15,1
40,36,1
40,40,2
40,51,1
40,31,2
40,24,1
40,21,1
9,43,1
9,10,2
9,64,1
9,59,2
9,67,1
9,11,1
9,38,1
9,27,1
9,9,1
9,21,1
9,23,1
9,7,2
9,0,1
9,30,1
9,48,2
9,53,1
9,25,1
9,41,1
9,58,1
9,45,1
9,28,1
9,31,1
9,95,1
9,46,1
9,42,1
35,10,2
35,27,1
35,17,2
35,38,1
35,48,1
35,58,3
35,68,2
35,67,2
35,9,1
35,6,3
35,29,2
35,30,1
35,31,3
35,4,1
35,84,2
35,76,1
35,64,1
35,85,1
35,40,1
35,66,2
35,20,1
35,32,1
35,0,1
35,18,1
35,62,1
35,47,2
35,69,1
35,72,1
35,96,1
35,79,1
35,21,1
35,36,1
35,71,1
35,39,1
35,25,1
35,12,1
35,3,1
35,24,1
66,0,2
66,96,1
66,87,1
66,61,1
66,9,1
66,4,3
66,16,1
66,2,1
66,6,3
66,32,1
66,20,1
66,63,1
66,17,1
61,3,1
61,8,1
61,47,1
61,10,2
61,63,1
61,44,1
61,66,1
61,4,1
61,6,1
61,7,1
61,57,1
61,72,1
61,39,1
61,32,2
61,0,2
61,12,2
61,86,2
61,33,1
61,21,1
61,37,3
61,14,1
61,36,1
61,25,1
61,31,1
61,43,1
88,13,1
88,5,1
88,25,1
88,29,1
88,43,1
88,53,1
88,12,1
88,16,1
88,15,1
88,33,1
75,9,1
75,98,1
75,2,1
75,33,1
75,16,1
75,51,1
75,6,1
75,31,1
75,0,2
75,3,2
75,7,2
75,5,1
75,24,1
12,31,3
12,1,1
12,55,1
12,13,2
12,25,1
12,5,2
12,30,1
12,42,1
12,82,1
12,69,1
12,14,1
12,22,1
12,11,1
12,60,1
12,50,4
12,41,1
12,10,1
12,19,1
12,46,1
12,57,1
12,2,1
12,47,1
12,8,1
6,32,1
6,28,1
6,8,1
6,41,2
6,63,1
6,56,1
6,61,1
6,11,2
6,24,1
6,47,1
6,39,1
6,27,1
6,57,1
6,19,1
44,7,1
44,42,2
44,9,2
44,27,2
44,29,1
44,18,3
44,49,1
44,36,1
44,94,1
44,6,3
44,43,1
44,15,2
44,30,1
44,5,2
44,70,1
44,71,1
44,72,1
44,62,1
44,76,1
44,28,1
44,4,1
44,10,1
44,75,1
44,40,1
44,32,1
44,100,1
44,31,1
44,69,1
44,44,1
44,41,1
44,63,1
44,37,2
44,23,1
44,33,1
44,11,1
44,24,1
68,3,2
68,33,1
68,62,1
68,10,1
68,13,2
68,5,3
68,34,1
68,43,1
68,61,1
68,0,1
68,22,1
68,18,1
68,23,1
68,6,1
68,17,1
65,13,1
65,54,1
65,94,1
65,18,1
65,0,3
65,50,1
65,67,1
65,38,1
65,4,2
65,3,1
65,15,1
65,70,1
65,17,1
65,11,1
65,6,1
65,1,1
3,23,1
3,32,1
3,91,1
3,21,3
3,62,1
3,35,1
3,3,1
3,55,1
3,82,1
3,51,1
3,34,1
3,41,1
3,26,1
36,0,1
36,29,1
36,9,1
36,28,2
36,17,1
36,57,2
36,71,1
36,65,1
36,20,1
36,31,3
36,6,1
36,23,2
36,30,2
36,74,1
36,14,1
36,18,1
36,80,1
36,47,1
36,4,2
36,50,1
36,32,1
36,38,1
36,88,1
36,75,1
36,69,1
36,8,2
36,21,3
36,24,2
36,62,2
36,66,1
36,83,1
36,13,1
36,39,1
36,33,1
36,7,4
36,16,1
36,51,1
36,10,1
36,15,1
47,6,4
47,3,2
47,18,1
47,50,2
47,55,1
47,32,1
47,44,1
47,64,1
47,67,1
47,42,1
47,12,2
47,95,1
47,35,1
47,31,1
47,41,1
47,43,1
47,4,1
47,17,1
47,26,1
47,28,1
47,15,1
59,0,1
59,28,1
59,68,2
59,3,2
59,35,2
59,4,1
59,1,1
59,46,1
59,15,1
59,60,1
59,8,1
59,22,2
59,7,2
59,14,1
59,17,1
59,26,1
59,5,1
59,62,1
59,30,1
59,23,1
56,4,2
56,17,1
56,70,1
56,11,1
56,9,1
56,54,1
56,12,1
56,8,2
56,38,1
56,29,2
56,6,2
56,7,1
56,28,1
56,5,3
56,19,2
56,32,1
23,22,1
23,29,2
23,33,1
23,34,2
23,27,1
23,4,2
23,54,1
23,93,1
23,70,1
23,53,1
23,38,1
23,96,1
23,23,1
23,92,3
23,73,1
23,30,1
23,37,2
23,35,1
23,26,1
23,10,1
23,42,1
15,0,1
15,26,2
15,27,1
15,65,2
15,18,2
15,38,1
15,9,1
15,42,1
15,87,1
15,84,1
15,15,1
15,1,1
15,50,1
15,29,1
15,19,1
15,40,1
55,0,1
55,5,3
55,60,1
55,88,1
55,22,1
55,6,2
55,32,2
55,50,1
55,86,1
55,64,1
55,30,1
55,91,1
55,8,1
55,18,1
55,71,1
55,69,1
55,72,1
55,82,1
55,65,1
55,79,1
55,77,1
55,70,1
55,23,1
55,27,1
55,13,2
55,25,1
55,9,1
55,29,1
55,26,2
55,45,1
55,11,1
55,35,1
55,34,1
8,30,1
8,53,1
8,50,1
8,25,2
8,31,1
8,32,2
8,18,1
8,20,1
