x,y,count
65,30,1
65,5,2
65,11,1
65,20,2
65,4,7
65,15,2
65,0,6
65,58,1
65,27,2
65,6,7
65,16,1
65,18,2
65,7,2
65,21,1
65,12,1
65,31,1
65,8,1
65,2,1
65,3,1
65,25,1
65,22,2
65,24,1
65,14,1
65,76,1
56,9,1
56,4,1
56,13,2
56,14,2
56,18,1
56,16,1
56,6,4
56,7,2
56,3,2
56,24,2
56,5,3
56,11,2
56,17,1
56,34,1
56,21,1
56,1,1
56,0,4
56,2,2
56,20,2
56,75,1
56,8,1
25,19,2
25,0,4
25,25,1
25,4,2
25,10,2
25,23,1
25,7,2
25,40,1
25,5,1
25,9,2
25,11,1
25,14,2
25,21,1
25,27,2
25,1,1
25,6,2
70,11,3
70,14,1
70,6,3
70,9,1
70,2,1
70,4,4
70,18,1
70,10,1
70,3,1
70,29,1
70,27,1
70,8,2
70,26,1
70,7,1
70,20,1
70,5,1
70,15,1
70,23,1
70,12,1
70,33,1
46,10,1
46,23,1
46,17,1
46,9,1
46,24,1
46,4,3
46,5,2
46,2,1
46,19,1
46,8,1
46,3,3
46,48,1
46,15,2
46,12,1
46,13,1
46,0,1
46,21,1
46,6,1
46,16,1
43,23,1
43,53,1
43,28,1
43,0,5
43,7,4
43,6,2
43,32,1
43,17,2
43,12,3
43,2,2
43,11,3
43,21,2
43,8,4
43,4,3
43,13,1
43,5,3
43,3,1
43,10,1
43,29,1
43,16,1
40,23,1
40,39,1
40,5,1
40,0,5
40,4,6
40,7,5
40,28,1
40,12,1
40,2,1
40,6,4
40,19,1
40,8,4
40,26,1
40,1,2
40,37,1
40,31,2
40,3,2
72,18,2
72,12,2
72,42,1
72,0,5
72,26,2
72,41,1
72,8,2
72,25,2
72,23,3
72,17,1
72,10,2
72,3,4
72,35,1
72,13,1
72,29,1
72,9,1
72,24,1
72,6,4
72,19,1
72,27,1
72,5,2
72,60,1
72,11,1
47,1,2
47,3,4
47,5,1
47,11,3
47,45,1
47,48,1
47,18,3
47,6,2
47,17,1
47,30,1
47,4,1
47,0,1
26,28,1
26,4,4
26,7,3
26,11,3
26,8,1
26,3,3
26,0,2
26,6,3
26,22,1
26,31,1
26,18,1
26,5,2
26,23,1
60,26,1
60,15,2
60,22,2
60,6,3
60,16,1
60,36,1
60,9,1
60,3,2
60,0,3
