x,y,count
75,5,1
75,12,2
75,16,2
75,58,1
75,71,1
75,78,1
75,41,1
75,62,2
75,45,1
75,77,1
75,25,1
75,23,1
75,30,1
75,34,1
75,26,2
75,18,1
75,33,1
75,39,1
75,29,2
75,4,1
75,35,1
75,8,1
73,7,2
73,17,1
73,25,2
73,64,1
73,18,2
73,82,1
73,86,1
73,37,1
73,88,1
73,13,1
73,55,2
73,27,1
73,43,1
73,34,1
73,19,2
73,33,1
73,53,1
73,38,2
73,9,1
73,6,1
73,29,2
73,16,2
73,10,1
73,52,1
73,80,2
73,40,1
73,70,3
73,49,1
73,32,1
73,11,1
73,26,1
73,48,1
74,68,1
74,12,2
74,16,1
74,18,1
74,73,1
74,72,1
74,34,2
74,36,3
74,70,2
74,22,1
74,17,1
74,32,2
74,4,1
74,8,3
74,13,1
74,66,1
74,94,1
74,23,1
74,40,1
74,19,1
74,24,1
74,42,1
74,20,2
88,41,1
88,34,1
88,77,1
88,53,2
88,44,1
88,27,1
88,50,1
88,52,1
88,39,1
88,45,1
88,54,1
88,8,2
66,69,1
66,33,2
66,5,1
66,60,1
66,15,2
66,28,1
66,92,3
66,37,1
66,16,1
66,13,1
66,81,1
66,25,2
66,29,1
66,7,1
66,20,1
66,88,1
66,89,1
66,35,1
66,49,1
66,61,2
66,70,1
66,30,1
66,62,1
66,82,1
66,36,2
70,80,1
70,24,2
70,25,5
70,29,2
70,71,1
70,13,1
70,95,1
70,62,1
70,42,1
70,92,1
70,75,1
70,82,1
70,50,1
70,20,1
70,30,1
70,27,1
70,41,1
70,49,1
70,93,1
70,51,1
70,32,1
70,4,2
70,18,1
70,14,1
70,39,2
70,10,2
70,16,3
70,94,1
70,17,2
70,28,1
70,22,1
70,11,3
70,37,1
70,77,1
93,13,1
93,52,1
93,62,1
93,51,1
93,50,1
93,28,1
93,33,1
93,35,1
93,31,1
93,14,1
93,8,1
91,14,1
91,18,1
91,27,1
91,33,1
91,41,1
91,46,1
91,49,1
56,13,2
56,37,1
56,34,4
56,80,1
56,9,1
56,4,1
56,31,1
56,73,1
56,66,1
56,30,3
56,14,2
56,82,1
56,69,1
56,5,1
56,24,1
56,33,1
56,61,1
56,45,1
56,22,2
56,38,1
56,20,1
56,17,2
65,19,1
65,31,3
65,58,1
65,84,1
65,36,2
65,28,2
65,5,2
65,8,1
