x,y,count
11,0,1
11,41,1
11,38,1
11,5,2
11,50,1
11,40,1
11,25,1
11,28,1
11,42,1
11,32,1
11,18,1
32,18,1
32,12,6
32,6,2
32,20,3
32,10,1
32,0,4
32,4,3
32,23,1
32,15,1
32,7,2
32,33,1
32,17,1
32,13,1
32,3,4
32,8,2
32,11,2
32,5,1
32,19,1
32,38,2
32,22,2
32,35,3
32,42,1
73,0,4
73,21,1
73,4,1
73,19,1
73,23,1
73,17,1
73,6,1
73,8,2
73,13,1
73,30,1
73,10,1
73,3,1
73,45,1
67,7,3
67,10,1
67,8,4
67,18,2
67,9,3
67,0,2
67,11,1
67,14,1
67,4,2
67,26,1
67,21,1
67,20,2
67,6,1
67,13,1
67,15,2
70,7,3
70,13,1
70,27,1
70,57,1
70,14,2
70,9,2
70,5,1
70,0,5
70,24,3
70,8,1
70,16,3
70,23,1
70,10,1
70,4,1
70,18,1
70,2,1
70,21,1
35,19,2
35,7,6
35,12,2
35,16,2
35,22,2
35,21,2
35,8,4
35,6,3
35,0,3
35,5,1
35,3,3
35,13,1
35,15,4
35,9,1
35,29,1
35,18,1
46,26,1
46,12,3
46,15,3
46,5,1
46,9,4
46,13,1
46,27,1
46,6,1
46,18,2
46,1,1
46,21,1
46,2,2
46,7,1
46,23,1
46,46,2
46,41,1
66,12,1
66,13,1
66,11,3
66,7,4
66,5,1
66,21,1
66,17,2
66,10,2
66,0,4
66,4,1
66,6,2
66,14,1
66,23,1
66,28,1
66,18,1
79,0,5
79,5,3
79,7,1
79,9,2
79,6,1
79,15,1
79,19,1
79,10,1
79,2,1
79,4,1
79,18,1
79,31,1
74,23,1
74,20,1
74,6,2
74,0,5
74,21,1
74,16,2
74,13,1
74,14,1
74,9,2
74,5,1
74,2,1
43,0,4
43,5,2
43,11,4
43,13,1
43,15,1
43,9,2
43,20,2
43,30,1
43,17,1
43,14,1
43,18,1
43,8,3
43,50,1
43,28,2
43,3,1
43,12,1
43,6,1
37,16,2
37,6,3
37,7,2
37,11,3
37,17,1
37,14,2
37,5,3
37,3,2
37,12,1
37,4,1
37,21,3
37,30,2
37,0,2
37,28,1
37,25,1
37,15,1
37,9,1
37,8,1
37,40,1
37,18,1
31,28,1
31,15,4
31,19,1
31,18,2
31,6,4
31,5,4
31,23,1
31,8,2
31,42,1
31,13,1
31,12,1
31,0,2
31,20,1
31,3,1
59,8,3
59,6,2
59,14,3
59,5,2
59,0,5
59,25,1
59,13,1
59,11,1
59,16,1
59,10,4
59,4,1
59,29,1
59,2,1
59,20,2
59,36,1
59,18,1
59,19,1
68,6,2
68,17,3
68,9,2
68,16,4
68,12,2
68,23,2
68,0,4
68,21,1
68,30,1
68,13,1
68,2,1
68,5,4
68,4,1
68,7,1
68,14,1
86,8,3
86,0,2
86,3,1
86,24,1
86,13,1
86,4,1
48,17,2
48,16,2
48,7,2
48,27,3
48,0,2
48,5,1
48,9,1
48,33,1
48,14,1
48,31,1
75,26,1
75,6,2
75,14,1
75,38,1
75,5,1
75,19,1
75,18,1
75,12,2
75,0,6
75,16,1
75,22,1
75,10,4
75,13,2
75,11,1
75,15,1
