x,y,count
47,80,1
47,96,2
47,92,2
47,93,1
47,50,1
47,89,1
47,98,1
47,69,1
66,90,2
66,65,1
66,94,1
66,85,1
66,82,1
66,95,5
66,83,1
66,96,1
66,97,1
66,73,1
66,89,1
66,70,1
66,29,1
66,91,1
66,61,1
66,92,3
66,88,1
66,84,1
66,69,2
66,93,1
68,73,2
68,69,1
68,96,1
68,77,1
68,89,1
68,93,2
68,84,2
68,92,4
68,94,5
68,88,2
68,80,3
68,91,1
68,75,1
68,81,2
68,86,2
68,100,1
68,70,1
68,90,1
72,82,3
72,72,2
72,70,1
72,97,1
72,100,1
72,64,1
72,93,2
72,74,1
72,76,1
72,91,1
72,88,2
72,49,1
72,86,1
72,89,1
72,92,1
72,73,1
72,68,1
72,61,1
72,95,1
72,96,1
71,78,1
71,70,2
71,58,1
71,83,3
71,100,3
71,64,2
71,81,2
71,72,1
71,73,1
71,54,1
71,65,2
71,34,1
71,86,1
71,67,2
71,90,2
71,39,1
71,69,1
71,75,1
71,47,1
71,63,1
71,91,1
58,93,3
58,75,1
58,97,3
58,86,1
58,81,1
58,83,2
58,94,1
58,66,1
58,85,2
58,96,2
58,89,1
58,24,1
58,76,2
58,70,1
58,99,1
58,95,1
24,81,1
24,94,1
24,65,1
24,91,2
24,51,1
24,77,2
24,96,2
24,93,2
24,82,1
24,86,1
24,74,2
24,48,1
25,81,1
25,93,2
25,72,1
25,96,1
25,94,1
25,88,2
25,95,1
25,100,1
25,65,1
25,78,1
25,75,2
25,82,1
25,83,1
25,66,1
33,88,1
33,90,1
33,91,1
33,89,2
33,97,1
33,95,2
33,84,1
33,63,1
33,87,1
33,92,1
33,86,2
33,93,1
33,96,1
33,74,2
33,75,1
33,70,1
33,71,1
33,56,1
33,79,1
33,83,1
33,60,2
33,53,1
33,50,1
33,80,1
86,86,1
86,70,1
86,71,1
86,91,2
86,63,1
86,98,1
86,74,2
86,72,1
86,5,1
86,55,2
86,56,1
86,88,1
86,82,2
86,52,1
86,73,1
86,81,2
86,62,1
75,85,1
75,71,2
75,94,1
75,69,2
75,74,2
75,66,1
75,86,1
75,55,1
75,92,1
75,83,3
75,57,1
75,68,1
75,59,1
75,54,2
75,31,1
75,35,1
75,89,1
75,33,2
75,64,1
75,70,1
75,60,1
73,100,1
73,82,2
73,59,1
73,77,2
73,93,1
73,87,1
73,95,1
73,91,2
73,85,2
73,96,3
73,90,2
73,76,1
73,78,1
73,69,1
73,74,3
73,80,1
73,58,1
73,50,1
73,70,1
70,93,2
70,94,1
70,71,2
70,96,2
70,89,2
70,79,2
70,90,2
70,95,2
70,68,1
70,63,1
70,54,1
70,57,2
70,37,1
70,78,1
70,81,1
70,73,1
70,76,1
70,87,2
70,100,1
70,86,2
70,91,1
70,83,1
70,80,2
70,75,1
57,96,2
57,80,2
57,88,1
57,92,3
57,94,4
57,93,2
57,87,2
57,83,1
57,100,1
57,95,1
57,82,1
57,89,1
57,90,1
57,77,1
76,77,4
76,66,2
76,80,2
76,83,1
76,84,1
76,79,2
76,68,1
76,76,2
76,91,3
76,81,3
76,86,1
76,71,2
76,74,1
76,67,1
76,72,1
76,69,1
76,87,1
76,75,1
76,22,1
41,67,1
41,79,1
41,83,1
41,85,1
41,96,1
41,90,1
41,89,1
41,58,1
41,92,2
41,97,1
41,78,1
41,94,1
41,93,1
39,66,1
39,92,1
39,85,2
39,89,2
39,95,1
39,88,1
39,93,3
39,78,1
39,67,1
39,87,1
39,74,1
39,97,1
39,84,2
39,91,1
39,48,1
32,74,1
32,91,2
32,75,1
32,88,1
32,90,2
32,82,1
32,71,2
32,94,3
32,98,1
32,96,2
32,87,1
32,57,1
32,72,1
32,95,1
32,97,1
32,80,1
32,78,1
32,56,1
32,85,1
32,89,1
32,54,1
32,76,1
32,86,1
53,85,1
53,96,3
53,92,1
53,95,2
53,90,1
53,94,2
53,75,1
53,80,1
53,47,1
53,87,1
53,81,1
53,84,1
53,70,1
53,97,1
53,93,1
51,45,1
51,59,2
51,93,2
51,94,1
51,65,1
51,98,1
51,76,1
60,71,1
60,94,5
60,76,1
60,93,1
60,21,1
60,22,1
60,89,2
60,87,2
60,82,1
60,72,1
60,92,2
60,83,1
60,79,1
60,81,1
60,88,1
60,65,1
60,95,1
69,70,1
69,83,2
69,88,2
69,94,1
69,98,1
69,87,1
69,96,2
69,57,1
69,95,3
69,93,2
69,46,1
69,66,1
69,79,3
69,49,2
69,75,1
69,91,1
69,92,2
69,73,1
69,61,1
69,82,1
69,97,1
69,78,1
84,80,1
84,92,1
84,81,1
84,79,1
84,74,2
84,69,1
84,70,1
84,83,1
84,77,2
84,87,1
84,75,1
84,94,1
84,85,1
84,57,1
84,66,1
84,88,2
84,78,1
84,32,1
84,65,1
84,90,1
84,61,1
31,94,3
31,79,2
31,95,3
31,71,2
31,93,1
31,87,2
31,100,1
31,75,2
31,64,1
31,90,2
31,55,1
31,45,1
31,73,1
65,83,2
65,77,3
65,88,1
65,96,3
65,85,2
65,82,1
65,93,2
65,95,3
65,76,2
65,89,1
65,36,1
65,90,1
65,66,1
65,87,3
65,48,1
65,60,1
65,78,1
90,64,1
90,55,1
90,67,1
90,73,1
90,68,2
90,59,1
90,56,1
90,85,1
90,89,1
90,65,2
90,79,1
90,78,1
90,72,1
90,86,2
90,75,1
90,71,1
89,64,1
89,56,1
89,36,1
89,65,1
89,87,1
89,70,1
89,57,1
89,66,1
89,89,2
89,84,1
89,90,1
89,77,1
89,78,1
89,55,1
89,100,1
89,81,1
99,99,2
99,66,1
99,57,1
46,85,3
46,59,1
46,90,3
46,75,1
46,86,1
46,68,1
46,84,1
46,83,1
46,92,1
46,91,1
46,89,1
46,95,1
6,65,2
6,8,1
6,9,1
6,76,1
6,89,1
6,79,1
6,55,1
6,82,1
6,72,1
44,86,2
44,87,3
44,95,1
44,90,1
44,65,2
44,53,1
44,94,2
44,67,1
44,93,2
44,74,1
44,72,1
44,76,1
44,89,1
44,84,1
44,98,1
44,79,1
44,69,1
44,64,1
26,86,1
26,72,2
26,92,1
26,88,1
26,70,1
26,95,2
26,90,1
26,97,1
26,85,3
26,96,2
26,84,1
26,74,1
26,83,1
26,75,1
26,93,1
63,68,1
63,95,2
63,96,1
63,64,1
63,85,1
63,89,1
63,70,2
63,86,1
63,88,1
63,92,1
63,77,1
63,83,2
63,71,2
63,69,1
63,93,2
63,90,1
63,73,1
67,70,1
67,96,2
67,76,1
67,83,1
67,73,1
67,89,2
67,93,2
67,67,1
67,51,1
67,79,1
67,50,1
67,90,1
67,82,1
67,72,1
67,88,1
67,92,1
67,97,1
67,64,1
67,68,1
67,84,1
67,94,1
61,71,2
61,91,2
61,96,1
61,94,1
61,93,2
61,89,1
61,88,1
61,95,5
61,70,1
61,100,1
61,47,1
61,82,1
61,79,1
61,80,2
61,75,1
61,97,1
61,84,1
15,85,3
15,88,1
15,55,1
15,84,1
15,82,1
15,86,1
15,94,1
15,92,1
15,83,1
15,81,4
15,60,1
54,73,1
54,92,2
54,66,1
54,45,1
54,89,1
54,63,1
54,97,1
54,50,1
54,94,2
54,67,1
54,96,1
54,91,2
54,76,1
54,80,1
54,64,2
54,88,1
54,95,1
28,83,1
28,76,1
28,80,1
28,81,1
28,93,1
28,92,2
28,90,1
28,95,1
28,89,1
28,52,1
28,73,1
28,74,1
28,82,2
28,75,1
64,59,1
64,69,1
64,96,2
64,95,4
64,94,1
64,89,2
64,90,1
64,60,2
64,84,1
64,82,1
64,93,3
64,81,1
64,83,2
64,75,2
64,58,1
64,72,1
64,65,1
64,70,1
64,92,1
64,86,1
64,62,1
64,73,1
64,67,1
59,73,1
59,69,1
59,96,1
59,68,1
59,85,1
59,84,3
59,86,2
59,93,5
59,92,3
59,64,1
59,56,1
59,88,1
59,28,1
59,94,1
59,95,2
59,67,1
59,100,1
59,91,1
52,68,1
52,93,4
