x,y,count
41,21,1
41,34,3
41,60,1
41,12,2
41,40,1
41,26,1
41,49,1
41,18,2
41,17,3
41,8,1
41,22,1
41,25,2
41,27,2
41,13,1
41,24,1
41,9,1
41,7,1
41,68,1
41,70,1
41,37,1
41,10,1
41,16,1
20,28,1
20,34,1
20,9,1
20,8,1
20,22,2
20,4,1
20,20,1
20,21,1
20,54,1
20,35,1
20,50,1
20,14,2
20,6,1
20,11,1
20,25,1
20,36,1
20,13,1
20,16,1
20,30,1
20,23,1
20,27,1
20,24,1
20,33,1
20,31,1
20,37,1
27,33,1
27,25,2
27,4,1
27,52,1
27,0,1
27,58,1
27,43,1
27,32,1
27,22,2
27,5,1
27,36,1
27,19,1
27,30,1
27,26,2
27,10,1
27,11,1
27,7,2
27,6,1
27,37,1
27,18,2
27,15,1
27,16,1
27,14,1
27,35,1
27,44,1
27,68,1
27,23,1
27,3,1
27,31,1
26,21,3
26,29,2
26,34,2
26,33,2
26,18,3
26,20,1
26,27,2
26,35,2
26,38,2
26,12,1
26,6,1
26,17,1
26,10,2
26,19,1
26,26,1
26,41,1
26,36,1
26,24,1
26,55,1
26,28,1
26,39,1
26,32,1
26,25,1
26,30,1
26,50,1
26,43,1
42,61,1
42,38,2
42,43,1
42,17,1
42,25,1
42,34,1
42,13,2
42,6,1
42,23,1
42,40,1
42,26,2
42,16,1
42,10,1
42,5,1
42,19,2
42,29,1
42,3,1
42,14,2
42,15,1
42,7,1
24,18,1
24,14,2
24,24,1
24,42,1
24,5,1
24,21,4
24,17,2
24,7,3
24,38,1
24,31,3
24,19,1
24,30,1
24,10,2
24,6,1
24,43,1
24,27,3
24,11,1
24,12,1
24,28,2
24,37,1
24,26,1
24,33,2
24,22,1
24,25,1
25,14,2
25,9,1
25,31,1
25,55,2
25,0,1
25,35,1
25,38,1
25,26,1
25,61,1
25,25,2
25,29,1
25,41,1
25,51,1
25,32,1
25,10,1
25,23,2
25,37,1
25,27,1
25,22,1
25,18,4
25,48,2
25,8,2
25,12,1
25,17,1
25,66,1
19,9,1
19,72,1
19,3,1
19,39,1
19,25,1
19,17,2
19,47,1
19,32,1
19,11,1
19,45,1
19,2,2
19,35,1
19,29,1
19,14,1
19,34,1
19,31,1
14,16,1
14,11,1
14,53,1
14,10,1
14,54,1
14,28,1
14,26,1
14,30,1
14,45,1
14,9,1
14,27,1
14,37,1
14,13,2
14,90,1
14,47,1
14,22,1
14,35,2
14,34,2
14,33,1
9,47,1
9,20,1
9,26,1
9,18,1
9,16,1
9,19,2
9,29,1
9,40,1
9,56,1
9,32,1
9,52,1
9,53,1
9,49,1
9,50,1
9,44,1
9,21,1
9,43,1
9,22,1
15,31,1
15,32,1
15,53,3
15,56,1
15,30,1
15,15,3
15,42,1
15,37,1
15,41,1
15,22,1
15,28,1
15,27,1
15,6,1
18,73,1
18,47,1
18,18,1
18,5,1
18,68,2
18,10,1
18,20,1
18,46,1
18,43,1
18,6,1
18,51,1
18,17,1
18,19,1
18,27,1
18,14,1
18,34,1
89,55,1
89,57,1
89,54,1
89,56,1
22,20,2
22,10,1
22,12,1
22,63,1
22,25,1
22,46,1
22,30,4
22,18,1
22,37,1
22,32,2
22,36,2
22,55,1
22,7,2
22,61,1
22,29,1
22,11,1
22,33,1
22,48,1
22,15,1
29,18,1
29,33,3
29,46,1
29,64,1
29,63,1
29,40,1
29,53,1
29,49,1
29,9,1
29,21,3
29,56,1
29,25,2
29,48,1
29,14,1
29,26,1
29,15,2
29,5,1
29,36,1
29,44,1
29,10,1
29,30,1
29,13,1
29,38,1
29,4,1
29,24,1
5,4,1
5,27,2
5,45,2
5,30,1
5,22,1
5,40,2
5,46,1
5,11,1
5,29,1
44,28,2
44,25,2
44,30,1
44,39,1
44,19,1
44,46,3
44,4,1
44,32,2
44,55,1
44,58,2
44,47,2
44,23,1
44,12,1
44,52,1
44,7,1
44,49,1
44,13,1
44,14,1
44,11,1
44,26,1
48,29,1
48,14,1
48,52,1
48,34,1
48,8,2
48,13,1
48,7,1
48,42,1
48,11,1
48,33,1
54,6,1
54,17,2
54,11,1
54,33,2
54,21,2
54,22,2
54,18,1
54,25,2
54,34,1
54,23,1
54,7,1
54,20,1
54,27,1
54,12,1
54,10,1
56,7,2
56,30,3
56,28,2
56,36,1
56,24,1
56,31,2
56,35,1
56,22,2
56,29,1
56,25,1
56,11,1
56,69,1
56,20,1
56,14,1
36,8,2
36,25,2
36,3,1
36,4,1
36,23,3
36,38,1
36,72,1
36,69,1
36,33,4
36,35,1
36,27,1
36,26,1
36,58,1
36,37,2
36,6,1
36,20,1
36,18,1
36,48,1
36,46,1
36,14,1
36,9,1
36,17,1
36,24,2
36,10,1
36,51,1
36,34,1
35,18,2
35,26,1
35,30,1
35,45,1
35,48,1
35,73,1
35,29,1
35,27,2
35,19,1
35,12,2
35,16,2
35,10,1
35,8,1
35,39,2
35,7,1
35,44,1
35,21,1
35,33,1
35,38,1
35,24,1
46,8,1
46,23,2
46,38,1
46,57,1
46,41,1
46,50,1
46,35,1
46,26,1
46,25,2
46,16,1
46,19,2
46,18,1
46,28,1
46,46,1
46,71,1
46,20,1
46,60,1
53,12,1
53,9,2
53,10,2
53,18,1
53,14,4
53,19,2
53,41,2
53,11,2
53,32,2
53,22,1
53,5,1
53,33,1
53,23,1
53,4,1
53,50,1
13,27,2
13,32,1
13,30,1
13,35,1
13,6,1
13,59,1
13,57,1
13,50,1
13,24,2
13,13,1
13,10,2
13,5,1
13,45,1
13,60,1
13,28,1
13,34,1
13,38,1
13,25,1
13,65,1
6,13,1
6,52,1
6,46,2
6,11,1
6,65,1
6,14,2
6,57,1
6,47,1
6,48,1
6,3,1
6,2,1
6,34,1
6,56,1
6,18,1
6,41,1
21,16,2
21,55,1
21,38,1
21,14,1
21,25,1
21,28,1
21,23,1
21,24,1
21,35,1
21,12,2
21,21,1
21,62,1
21,8,1
21,59,2
21,2,1
21,69,1
12,41,2
12,49,2
12,57,1
12,64,1
12,47,1
12,35,1
12,18,2
12,44,1
12,46,2
12,15,1
12,10,2
12,13,2
12,29,1
12,56,2
12,43,2
12,42,1
12,40,1
12,25,1
12,32,1
12,31,1
12,16,2
12,34,1
12,9,1
12,60,1
57,33,1
57,30,1
57,32,1
57,17,3
57,6,1
57,7,1
57,29,1
57,14,1
57,16,1
59,37,1
59,32,1
59,27,1
59,35,1
59,10,1
59,11,1
59,29,3
59,12,2
59,20,2
59,18,1
59,26,1
59,14,1
59,22,1
33,34,1
33,39,2
33,24,1
33,8,2
33,18,2
33,33,1
33,35,1
33,21,1
33,13,2
33,19,1
33,38,1
33,4,1
33,60,1
33,32,1
33,26,1
33,31,1
37,37,1
37,51,2
37,59,2
37,32,1
37,27,1
37,33,2
37,28,1
37,14,1
37,30,2
37,26,1
37,11,2
37,6,2
37,9,2
37,15,2
37,31,1
37,41,1
37,48,1
37,17,1
37,3,2
37,58,1
37,50,1
37,7,1
37,40,1
37,5,1
37,19,1
34,6,1
34,20,3
34,24,3
34,49,1
34,37,1
34,62,1
34,36,4
34,26,3
34,28,1
34,25,3
34,21,1
34,13,2
34,8,2
34,7,3
34,23,1
34,53,1
34,9,1
34,54,1
34,32,1
34,27,1
34,18,1
51,20,1
51,35,2
51,19,1
51,14,1
51,12,1
51,62,1
51,46,1
51,21,1
51,15,1
51,39,1
51,31,1
51,0,1
47,21,2
47,26,1
47,29,3
47,60,1
47,37,1
47,13,2
47,15,1
47,11,1
47,52,1
47,30,2
47,10,1
47,27,1
47,7,2
39,0,1
39,21,1
39,26,1
39,22,2
39,15,2
39,18,1
39,19,2
39,32,2
39,60,1
39,23,1
39,20,1
39,8,1
39,27,2
39,3,1
39,39,1
39,40,2
39,16,2
39,31,1
39,28,1
39,9,1
39,12,1
39,54,1
39,11,1
65,5,1
65,26,1
65,14,1
65,13,1
65,29,1
65,35,1
65,59,1
7,49,2
7,46,1
7,4,1
7,27,1
7,48,1
7,16,2
7,76,1
7,6,1
7,23,1
7,45,1
7,44,1
7,42,1
7,21,1
7,55,1
69,19,1
69,13,1
69,27,1
69,8,1
38,21,2
38,32,2
38,71,1
38,50,1
38,76,1
38,57,1
38,9,2
38,18,2
38,22,2
38,8,1
38,100,1
38,26,1
38,38,1
38,4,1
38,33,2
38,14,1
38,27,1
38,67,1
38,6,2
38,45,1
38,85,1
38,25,1
68,41,1
68,10,1
68,13,1
68,16,1
68,21,1
68,3,1
45,21,1
45,33,1
45,2,2
45,32,2
45,64,1
45,46,1
45,49,1
45,17,3
45,35,1
45,36,1
45,45,2
45,22,2
45,20,1
45,5,2
45,1,1
45,9,2
45,4,1
45,44,1
45,48,1
45,19,1
45,42,1
45,55,2
45,13,1
45,50,1
45,25,2
45,26,1
45,18,2
17,17,3
17,30,1
17,4,1
17,13,2
17,2,1
17,26,1
17,19,1
17,25,1
16,16,1
16,8,1
16,68,1
16,13,2
16,67,1
16,14,1
16,38,1
16,22,1
16,9,1
31,11,1
31,66,1
31,41,1
31,56,1
31,33,1
31,51,1
31,22,1
31,25,1
31,23,1
31,15,2
31,31,2
31,28,2
31,12,1
31,35,2
31,13,1
31,48,1
31,0,1
31,45,1
31,37,1
31,27,1
31,57,1
10,21,1
10,53,1
10,16,1
10,5,1
10,32,1
10,42,1
10,2,2
10,31,1
10,43,1
10,14,1
10,33,1
10,15,2
10,29,1
10,77,1
10,8,1
10,50,1
10,26,1
10,10,1
10,38,1
10,49,1
10,9,1
10,18,1
10,12,1
10,52,1
8,45,1
8,64,1
8,59,1
8,60,1
8,13,1
8,20,1
8,49,2
8,31,1
8,58,1
8,14,1
8,50,1
8,15,1
8,18,2
8,40,2
8,97,1
8,9,1
8,17,1
8,53,1
30,21,4
30,80,1
30,24,2
30,22,1
30,16,3
30,37,1
30,40,2
30,25,1
30,7,1
30,3,1
30,44,1
30,33,1
30,0,1
30,34,2
30,23,1
30,36,1
30,31,1
30,4,1
30,14,2
30,27,1
30,32,2
30,11,1
30,62,1
30,68,2
30,64,1
30,35,1
52,58,1
52,28,1
52,31,1
52,21,1
52,18,1
52,41,1
52,24,1
52,55,1
52,7,1
52,3,1
52,43,1
52,29,2
52,34,1
97,47,1
97,45,1
97,53,1
62,7,1
62,6,1
62,28,1
62,31,1
62,21,1
62,14,1
61,2,1
61,24,2
61,32,1
61,35,1
28,15,1
28,38,1
28,51,1
28,23,1
28,44,2
28,48,1
28,17,2
28,21,2
28,33,3
28,22,3
28,36,2
28,32,4
28,40,1
28,94,1
28,9,1
28,24,1
28,30,1
