x,y,count
27,38,1
27,89,2
27,48,1
27,3,1
27,29,2
35,90,2
35,97,2
35,79,1
35,89,1
35,85,1
35,92,1
35,77,1
35,83,1
35,30,1
35,73,1
35,47,1
40,88,1
40,95,2
40,92,1
34,93,1
34,16,1
34,59,1
34,68,1
34,3,1
34,95,1
34,91,1
56,91,1
56,36,1
56,89,1
56,64,1
56,96,1
56,93,1
56,94,1
56,95,1
56,88,2
56,75,1
56,61,1
56,35,1
54,91,1
54,93,2
54,97,1
54,69,1
54,94,1
54,92,1
54,79,1
74,90,2
74,87,1
74,68,1
74,86,1
74,33,1
74,8,1
74,88,1
74,5,1
74,94,1
74,76,1
74,96,2
74,79,1
74,83,1
80,95,1
80,58,1
80,69,1
80,37,2
80,7,1
80,94,1
80,73,2
80,82,1
80,81,1
80,90,1
80,32,1
76,74,1
76,69,1
76,5,1
76,95,1
76,8,1
76,82,1
76,63,1
76,75,2
76,14,1
76,57,1
76,12,1
78,79,1
78,83,2
78,96,1
78,75,1
78,93,1
78,63,1
78,34,1
78,15,1
78,24,1
78,94,1
78,86,1
78,41,1
78,65,1
78,95,1
78,88,1
78,9,1
78,6,1
23,75,2
23,96,1
23,87,1
23,36,1
23,12,2
79,92,1
79,73,1
79,72,1
79,82,1
79,93,1
79,97,1
79,43,1
79,16,1
79,88,1
79,86,1
79,98,1
79,96,1
79,90,2
79,3,1
79,8,1
72,17,1
72,30,1
72,47,1
72,80,2
72,100,1
72,88,1
72,70,1
72,4,1
72,90,1
72,76,1
72,46,1
72,64,1
72,85,1
72,84,1
72,94,1
72,82,1
72,3,1
72,61,1
72,89,1
71,28,1
71,95,2
71,85,1
71,46,1
71,62,1
71,83,2
71,86,2
71,91,1
71,42,1
71,55,1
71,16,1
71,64,1
71,33,1
71,77,2
71,13,1
71,80,1
71,74,1
71,82,1
71,72,1
71,59,1
71,27,1
71,37,1
81,95,2
81,86,1
81,69,1
81,58,1
81,90,1
81,71,1
81,14,1
81,87,1
81,30,1
60,87,2
60,85,1
60,79,1
60,5,2
60,91,1
60,33,1
60,74,2
60,73,1
60,88,1
60,84,1
60,96,3
60,92,1
60,75,1
60,93,2
60,67,1
60,34,2
60,31,1
60,8,1
60,6,1
69,48,1
69,4,1
69,95,3
69,97,1
69,40,1
69,87,1
69,42,1
69,9,1
69,56,1
69,78,1
69,62,1
69,91,2
69,88,2
69,75,1
69,76,1
69,89,2
69,93,1
91,77,1
91,76,2
91,8,1
91,52,2
91,63,1
91,41,1
