x,y,count
62,12,1
62,3,1
62,5,3
62,9,2
62,31,1
62,33,1
62,4,3
62,8,1
62,26,1
62,21,1
62,11,1
62,0,1
62,7,2
62,15,1
62,17,2
62,30,1
62,32,1
62,14,1
13,28,2
13,55,1
13,53,1
13,29,1
13,50,1
13,34,1
13,25,1
13,8,1
74,0,2
74,21,1
74,37,1
74,4,1
74,9,2
74,20,1
74,13,1
74,2,1
74,19,1
65,15,1
65,50,1
65,4,1
65,17,1
65,20,1
65,8,3
65,5,1
65,63,1
65,43,1
65,38,1
65,11,1
65,1,1
65,6,1
65,0,1
65,9,1
12,9,1
12,30,1
12,25,2
12,53,1
12,0,1
12,10,2
12,42,1
12,19,1
12,2,1
12,41,1
71,22,1
71,3,1
71,60,1
71,9,1
71,43,1
71,31,1
71,6,1
71,45,1
71,12,2
71,32,1
71,0,1
71,46,1
96,74,1
96,7,1
96,40,1
96,5,1
31,4,2
31,11,2
31,76,1
31,0,1
31,87,1
31,25,1
31,28,1
73,12,1
73,11,1
73,5,4
73,6,4
73,3,1
73,55,1
73,21,1
73,0,2
73,1,1
73,27,1
73,34,1
24,0,1
24,9,3
24,11,1
24,7,1
24,16,1
24,27,1
24,24,1
24,30,1
24,18,1
40,0,1
40,24,1
40,4,2
40,7,1
40,19,1
40,5,2
61,7,1
61,27,1
61,4,1
61,66,2
61,5,2
61,8,1
61,14,1
61,15,1
61,23,1
29,10,2
29,12,1
29,0,2
29,4,1
29,38,1
29,16,2
29,11,2
29,8,1
29,5,5
29,18,2
29,15,1
29,22,1
45,3,3
45,5,1
45,83,1
45,21,2
45,4,3
45,39,1
45,15,1
45,10,1
45,19,1
45,35,1
45,11,1
45,14,1
84,29,1
84,0,6
84,5,2
84,7,1
84,10,1
84,8,1
81,9,2
81,4,1
81,0,1
81,50,1
81,100,1
81,24,1
9,13,2
9,7,1
9,11,1
9,12,1
9,74,1
9,5,1
9,47,1
9,24,2
6,28,1
6,19,1
6,40,1
6,41,1
6,18,1
6,9,1
6,26,2
6,31,1
6,8,1
6,39,1
17,11,1
17,30,1
17,9,1
17,0,2
17,5,1
16,7,1
16,0,1
16,16,1
16,41,1
70,5,2
70,14,1
70,7,1
70,45,1
70,3,1
70,25,1
70,4,2
70,0,3
70,8,1
70,13,1
70,18,1
70,48,1
72,8,3
72,7,1
72,31,1
72,4,1
72,21,1
72,26,1
72,5,1
72,49,2
72,47,1
72,14,1
72,13,1
72,0,1
34,5,2
34,20,1
34,17,1
34,13,2
34,0,1
34,11,2
34,25,1
34,92,1
34,18,1
34,21,1
34,58,1
34,10,1
34,7,1
38,42,1
38,0,1
38,12,2
38,5,1
38,6,1
38,19,1
38,92,1
38,100,1
38,54,1
38,24,1
38,30,1
38,4,1
38,11,1
38,20,2
38,16,1
38,28,1
38,13,1
38,14,2
38,10,1
60,2,1
60,7,1
60,23,1
60,6,1
60,4,1
60,3,1
60,8,1
60,0,2
60,38,1
60,9,2
60,32,1
60,19,1
60,13,1
60,25,1
60,21,1
58,2,1
58,0,1
58,12,2
58,13,1
58,17,1
58,6,3
58,22,1
58,39,1
58,5,2
58,30,1
58,4,2
58,8,1
58,14,1
58,18,1
58,19,1
58,20,1
67,5,2
67,43,1
67,37,1
67,29,1
67,0,2
67,10,1
67,7,1
67,36,1
67,49,1
77,7,2
77,0,4
77,14,1
77,64,1
77,75,1
77,9,1
77,25,1
77,8,2
33,6,2
33,0,2
33,7,1
33,40,2
33,18,1
33,13,1
33,31,2
33,33,1
36,7,2
36,12,1
36,3,1
36,22,1
36,8,1
36,19,1
36,4,1
36,5,1
36,6,1
36,25,1
36,23,1
36,18,1
36,11,1
36,10,1
19,0,1
19,4,1
19,10,1
19,2,1
19,18,1
19,11,1
19,40,1
20,0,3
20,14,1
20,31,1
20,39,1
20,25,1
20,9,1
30,16,1
30,7,3
30,5,1
30,4,3
30,29,1
30,8,1
30,17,2
30,13,1
30,10,1
30,95,1
30,28,2
30,18,1
30,6,2
30,15,1
30,22,1
98,71,1
46,46,2
46,5,3
46,93,1
46,1,1
46,28,1
46,0,2
46,6,1
46,15,1
46,8,1
27,8,2
27,29,1
27,4,1
27,18,1
27,7,1
27,32,1
27,28,1
27,49,1
27,5,1
27,10,1
27,57,1
27,21,2
10,16,1
10,17,1
10,15,2
10,7,1
10,30,1
10,11,1
10,51,1
10,32,1
10,10,1
18,15,1
18,14,1
18,27,1
18,49,1
18,17,1
42,32,1
42,6,2
42,7,2
42,5,1
42,30,1
42,25,1
42,13,1
42,27,2
8,4,1
8,48,1
8,19,1
8,23,2
8,36,1
8,52,1
8,34,1
8,39,1
8,42,1
8,8,2
8,54,1
8,7,1
8,50,1
8,13,1
8,46,1
8,29,1
8,12,1
8,0,1
8,24,1
8,20,1
8,9,1
8,11,2
11,7,1
11,35,1
11,36,1
11,44,1
11,46,1
11,9,1
11,6,1
11,12,1
11,14,1
28,15,1
28,13,2
28,23,1
28,100,1
28,21,1
28,8,2
28,10,1
28,12,1
28,20,1
28,26,1
28,5,1
28,0,1
37,22,1
37,72,1
37,73,1
37,12,1
37,33,1
37,10,1
37,0,1
37,6,2
37,100,1
37,2,1
37,7,2
37,25,1
37,21,1
37,16,1
88,9,1
88,8,1
88,0,1
55,5,1
55,9,1
55,8,1
55,0,4
55,24,1
55,13,1
55,20,2
55,10,1
55,41,1
55,6,2
55,15,1
22,15,1
22,11,1
22,9,1
22,6,1
22,22,1
22,21,1
22,13,1
22,0,2
22,23,1
43,16,1
43,15,1
43,18,1
43,3,1
43,8,3
43,40,1
43,7,1
43,5,1
43,11,2
43,4,1
43,23,1
43,86,1
43,0,2
43,28,1
43,13,1
43,12,1
43,22,1
7,40,1
7,24,1
7,26,2
7,8,2
7,17,2
7,7,1
7,0,1
7,22,1
7,13,3
35,9,1
35,31,1
35,14,1
35,5,1
35,8,1
35,25,2
35,23,1
35,17,1
35,3,1
66,25,1
66,15,1
66,13,1
66,28,1
66,7,2
66,2,1
66,5,1
66,14,1
66,0,1
53,11,2
53,42,1
53,25,1
53,21,1
53,13,1
53,12,1
53,5,1
53,15,1
53,7,1
57,3,1
57,10,1
57,12,1
57,30,1
57,9,1
57,15,1
57,7,2
57,14,2
57,23,1
57,11,2
57,8,1
57,4,1
57,0,1
64,0,4
64,12,2
64,21,1
64,24,1
64,28,1
64,8,1
64,10,1
64,6,1
64,27,1
64,9,1
68,15,1
68,3,1
68,12,1
68,5,1
68,34,2
68,79,1
68,0,1
68,28,1
68,13,1
68,2,1
14,45,1
14,62,1
14,27,1
14,47,1
14,39,1
14,24,1
14,22,1
14,0,1
41,0,1
41,18,2
41,7,1
41,29,1
41,3,1
41,11,1
41,14,2
41,20,1
56,18,2
56,5,2
56,10,1
56,0,2
56,3,1
56,16,1
56,61,1
56,27,1
56,17,2
56,57,2
56,14,1
56,12,3
56,23,2
56,8,2
56,11,1
59,32,1
59,33,1
59,4,1
59,12,1
59,13,1
59,38,3
59,5,1
59,15,2
59,34,1
59,22,1
59,43,1
59,0,1
59,7,2
59,28,1
59,16,1
21,15,1
21,43,2
21,32,1
21,0,2
21,93,2
21,17,1
21,24,1
21,14,1
21,5,1
89,7,1
89,84,1
89,8,1
89,27,1
89,9,1
89,14,1
89,18,1
2,31,1
2,43,1
3,30,1
3,41,1
3,11,1
3,12,1
3,22,1
3,2,1
3,24,1
26,33,1
26,6,1
26,22,1
26,32,1
26,26,2
26,10,1
51,4,1
51,0,2
79,10,1
79,11,2
79,91,1
79,16,1
79,8,1
79,3,1
79,5,1
79,9,1
54,48,1
54,2,1
54,0,2
54,4,2
54,25,1
54,13,1
54,8,1
80,45,1
80,11,1
80,60,1
80,0,3
80,9,1
80,5,1
80,14,1
80,13,1
80,8,1
69,95,2
69,6,1
69,13,1
69,30,1
69,93,1
69,44,1
69,89,1
69,91,1
69,0,2
69,12,1
69,18,1
69,8,1
69,40,1
69,10,1
69,21,1
47,100,1
47,27,1
47,9,1
47,16,1
44,84,1
44,16,2
44,4,2
44,7,1
44,48,1
44,3,1
44,8,1
44,10,1
44,28,1
44,17,1
44,11,1
25,74,1
25,4,1
25,12,1
25,75,1
25,26,1
25,23,1
25,34,1
87,81,1
87,50,1
87,0,2
87,34,1
87,5,1
63,82,1
63,23,1
63,24,1
63,26,1
63,9,3
63,11,2
63,38,1
63,20,2
63,21,2
63,14,1
32,45,2
32,8,1
32,14,1
32,10,1
32,4,1
32,9,1
32,0,2
32,42,1
32,22,1
32,49,1
32,34,1
32,24,1
32,18,1
32,23,1
32,11,1
32,17,1
75,17,1
75,20,1
75,92,1
75,2,1
75,4,1
75,5,2
75,31,1
75,7,1
75,55,1
75,10,2
75,15,1
0,39,1
0,41,1
15,10,1
15,33,1
15,35,1
15,26,1
15,29,1
15,6,1
15,15,1
23,0,2
23,23,1
23,17,1
23,13,1
23,37,1
23,27,1
23,28,2
23,15,1
23,14,1
39,12,1
39,6,1
39,5,2
39,8,1
39,13,1
39,31,1
39,0,1
39,10,1
39,26,1
39,24,1
91,7,1
83,4,1
83,0,3
83,16,1
78,5,1
78,25,1
78,36,1
78,0,1
78,24,1
76,19,1
76,0,2
76,38,1
76,11,2
76,8,1
76,10,2
76,12,1
4,41,1
4,70,1
4,89,1
4,15,1
4,26,1
4,48,1
85,47,1
85,0,3
85,7,1
85,37,1
85,3,2
85,25,1
85,1,1
95,7,3
95,0,1
97,11,1
1,58,1
1,93,1
1,21,1
90,46,1
90,0,2
90,17,1
92,40,1
92,27,2
94,0,1
86,19,1
86,10,2
86,0,4
86,6,1
86,79,1
52,41,1
52,3,1
52,0,1
52,19,1
52,23,1
50,32,1
5,12,1
5,0,1
5,42,1
5,27,1
5,8,2
5,5,1
48,49,1
93,29,1
93,10,1
49,21,1
82,0,1
