x,y,count
42,74,1
42,32,3
42,71,2
42,34,2
42,66,1
42,22,1
42,62,1
42,70,1
42,39,1
42,78,1
42,17,2
42,38,1
42,30,1
42,11,1
42,28,1
42,82,1
42,77,1
42,76,1
45,70,2
45,43,2
45,19,1
45,25,1
45,64,5
45,92,1
45,36,1
45,66,1
45,27,1
45,59,1
45,57,2
45,44,2
45,50,1
45,65,1
45,69,1
45,47,2
45,49,1
45,85,1
45,28,2
45,14,2
45,72,1
45,75,1
45,46,1
45,53,1
45,52,1
45,58,1
45,45,1
36,60,3
36,38,1
36,74,1
36,96,1
36,43,2
36,29,1
36,67,3
36,80,1
36,57,1
36,55,2
36,64,3
36,35,2
36,23,2
36,22,2
36,52,3
36,65,1
36,56,1
36,90,1
36,44,2
36,15,1
36,47,1
36,32,1
36,78,1
36,49,1
36,21,1
36,85,2
36,66,1
36,48,2
36,24,1
36,50,1
36,76,1
36,40,3
36,72,1
35,58,1
35,32,1
35,33,3
35,70,1
35,51,1
35,55,2
35,52,1
35,47,2
35,57,1
35,67,5
35,63,1
35,60,1
35,9,1
35,74,1
35,71,2
35,26,1
35,68,2
35,76,1
35,39,2
35,53,1
35,72,1
35,41,1
35,48,1
35,49,1
28,52,1
28,67,2
28,76,1
28,11,1
28,18,1
28,49,2
28,77,4
28,62,2
28,72,1
28,44,2
28,29,1
28,54,2
28,71,4
28,66,1
28,23,1
28,70,2
28,15,1
28,38,2
28,59,1
28,63,1
28,64,1
28,32,2
28,75,2
28,68,1
28,33,1
28,35,1
28,53,1
28,65,1
28,37,1
28,45,1
59,31,5
59,77,1
59,61,2
59,20,1
59,79,1
59,26,2
59,60,1
59,19,1
59,52,1
59,42,1
59,4,1
59,73,1
59,59,1
59,38,1
59,92,1
59,51,2
59,75,1
59,28,1
59,27,1
59,62,1
59,29,1
59,33,1
59,34,2
59,94,1
59,87,1
59,41,1
59,82,1
59,18,1
57,35,1
57,73,1
57,32,1
57,60,2
57,43,1
57,82,1
57,68,3
57,65,1
57,17,1
57,9,2
57,27,1
57,24,1
57,18,1
57,93,1
57,72,1
57,31,1
57,30,1
57,12,2
57,40,1
57,28,1
57,70,2
57,51,1
57,88,1
57,92,1
57,41,1
57,37,1
57,47,1
53,28,2
53,32,3
53,31,1
53,42,1
53,66,2
53,78,1
53,34,2
53,48,1
53,43,3
53,22,1
53,52,2
53,67,1
53,58,1
53,29,1
53,59,2
53,19,1
53,70,1
53,45,4
53,24,1
53,80,1
53,41,1
53,73,1
53,23,2
53,83,1
53,54,1
53,56,1
53,50,1
53,75,1
56,34,1
56,72,1
56,35,2
56,83,2
56,65,1
56,52,3
56,73,2
56,63,1
56,7,1
56,28,2
56,76,3
56,37,1
56,67,1
56,71,1
56,84,3
56,70,1
56,55,2
56,86,2
56,79,1
56,29,2
56,42,1
56,44,1
56,92,1
31,64,2
31,30,1
31,91,1
31,76,1
31,46,2
31,48,1
31,69,3
31,45,1
31,55,1
31,60,1
31,31,1
31,52,1
31,49,1
31,33,1
31,37,2
31,62,1
31,44,1
31,50,1
31,65,2
31,47,1
31,75,1
31,43,1
31,77,1
31,81,1
31,74,1
31,63,1
31,72,1
31,34,1
30,19,1
30,44,7
30,43,2
30,77,1
30,46,3
30,52,1
30,40,3
30,90,1
30,74,1
30,62,1
30,57,1
30,50,1
30,47,2
30,36,1
30,37,1
30,20,1
30,60,1
30,21,1
30,58,2
30,65,1
30,23,1
30,41,1
30,53,1
30,31,1
30,72,1
30,45,2
26,57,2
26,38,1
26,46,2
26,25,1
26,79,1
26,52,2
26,50,1
26,22,1
26,69,3
26,19,1
26,31,1
26,23,1
26,75,1
26,47,1
26,44,2
26,55,1
26,54,1
26,68,1
26,91,1
26,71,1
26,40,1
26,24,1
26,84,1
26,61,1
44,64,1
44,61,1
44,81,1
44,38,1
44,47,2
44,44,1
44,43,3
44,49,1
44,84,1
44,29,1
44,79,1
44,65,2
44,9,1
44,20,2
44,72,1
44,31,1
44,82,1
44,50,1
44,76,1
44,75,1
44,69,1
44,21,1
44,23,1
19,60,1
19,38,1
19,62,1
19,58,1
19,55,1
19,67,1
19,44,1
19,48,1
19,91,1
19,13,1
29,56,2
29,94,1
29,77,2
29,62,3
29,51,2
29,76,3
29,46,1
29,38,1
29,55,2
29,44,1
29,26,2
29,24,1
29,60,1
29,61,2
29,43,1
29,49,2
29,47,2
29,69,1
29,17,1
29,45,1
29,42,2
29,58,1
29,50,2
29,70,2
29,52,1
29,23,2
29,71,1
29,73,2
29,28,1
29,31,1
29,41,2
29,91,1
29,72,1
29,35,2
29,65,1
29,75,2
13,56,1
13,61,1
13,36,1
13,66,1
13,60,1
13,49,1
13,72,2
13,44,2
13,55,1
13,57,1
13,53,1
13,58,1
40,41,1
40,86,2
40,31,1
40,67,2
40,75,2
40,59,1
40,58,1
40,29,1
40,36,1
40,83,1
40,34,1
40,28,1
40,33,1
40,64,1
40,44,1
40,22,1
40,65,1
40,61,1
40,32,1
46,35,1
46,20,1
46,46,2
46,61,1
46,9,2
46,65,5
46,48,1
46,67,1
46,52,2
46,43,2
46,55,3
46,49,1
46,30,1
46,62,1
46,78,1
46,81,1
46,42,1
46,63,1
46,28,1
46,85,1
46,24,1
46,66,1
46,44,1
46,57,1
52,54,1
52,43,1
52,65,1
52,75,2
52,53,2
52,41,2
52,62,1
52,25,1
52,47,2
52,78,1
52,32,1
52,59,1
52,56,1
52,27,1
52,81,1
52,46,1
52,67,1
52,48,1
52,36,1
65,64,3
65,28,1
65,33,1
65,34,1
65,75,1
65,60,1
65,85,1
65,40,2
65,27,1
65,55,1
65,68,1
65,38,1
65,22,1
65,56,1
65,31,3
65,44,1
65,29,2
65,18,1
65,66,1
65,48,1
14,64,2
14,67,2
14,87,1
14,10,1
14,13,1
14,33,1
14,25,1
14,68,1
14,61,1
14,56,1
14,62,1
14,82,1
32,44,2
32,62,1
32,51,3
32,63,2
32,38,1
32,57,2
32,49,1
32,65,3
32,28,1
32,48,2
32,52,1
32,71,1
32,30,1
32,59,2
32,40,1
32,19,1
32,45,2
32,39,1
32,58,1
32,56,1
32,47,1
32,81,2
32,77,1
32,50,2
32,32,1
32,64,2
32,72,1
32,78,2
32,74,1
32,36,1
32,27,2
32,68,1
32,61,1
32,7,1
17,35,1
17,67,2
