x,y,count
58,98,1
58,83,1
58,91,2
58,89,2
58,70,2
58,100,5
58,92,2
58,75,1
58,79,1
58,71,1
58,96,1
58,95,1
58,62,1
58,81,1
43,100,3
43,93,1
43,85,2
43,78,1
43,88,1
43,83,2
43,97,2
43,94,1
43,64,1
43,70,1
43,73,1
43,79,2
43,77,1
43,57,1
43,65,1
43,66,1
38,97,2
38,90,1
38,82,1
38,100,4
38,86,1
38,95,1
38,85,1
38,88,2
38,69,1
38,67,1
38,92,2
38,94,1
38,89,1
38,66,1
38,91,3
38,81,1
82,100,3
82,77,1
82,90,1
82,86,1
54,100,3
54,89,2
54,59,1
54,81,1
54,71,1
54,90,2
54,58,1
54,93,1
54,94,4
54,80,1
54,75,1
54,44,1
54,86,2
54,96,1
54,95,3
54,91,1
54,55,1
54,19,2
54,88,1
54,84,1
51,96,1
51,95,1
51,57,1
51,93,1
51,78,1
46,100,4
46,77,2
46,80,3
46,82,1
46,89,1
46,94,1
46,83,1
46,88,1
46,58,2
46,93,1
46,84,1
46,57,1
46,66,1
46,96,1
17,91,1
17,62,1
17,88,1
17,29,1
17,86,1
17,93,2
6,73,1
6,91,2
6,85,1
6,64,1
6,87,1
6,86,1
6,90,1
3,74,1
3,58,2
3,76,1
3,86,1
3,70,1
3,87,1
3,96,1
3,43,1
3,83,1
3,57,1
3,6,1
3,71,1
1,93,1
1,76,1
1,70,1
1,86,1
1,91,1
1,82,1
0,94,1
56,92,4
56,72,1
56,89,1
56,77,1
56,76,1
56,81,1
56,80,1
56,90,1
56,86,1
56,95,1
56,85,1
56,70,1
56,78,2
56,87,2
56,96,1
56,68,2
56,55,1
56,97,1
56,100,2
55,94,3
55,90,4
55,76,2
55,83,1
55,100,7
55,91,1
55,78,2
55,87,1
55,95,1
55,89,3
55,86,2
55,74,1
55,77,1
55,46,1
55,41,1
55,69,1
55,73,1
14,100,1
14,82,2
14,92,1
14,81,1
14,87,1
14,64,1
14,69,1
14,63,1
53,95,2
53,55,1
53,91,2
53,81,2
53,94,4
53,59,2
53,73,1
53,86,2
53,75,1
53,89,2
53,82,1
53,57,1
53,46,1
53,92,2
53,93,3
53,69,1
53,62,1
