x,y,count
45,53,1
45,7,2
45,6,1
45,4,1
45,37,1
45,26,1
45,32,1
45,96,1
45,88,1
45,33,1
26,56,1
26,14,1
26,7,2
26,93,1
26,31,1
26,5,1
26,4,1
26,36,1
26,87,1
26,23,1
26,94,1
64,52,1
64,4,2
64,96,2
64,7,1
64,11,1
64,6,1
64,12,1
64,25,1
64,95,2
64,20,1
76,48,1
76,76,1
76,85,1
76,91,1
76,62,1
76,14,1
76,59,1
76,17,2
76,2,1
76,6,1
76,23,1
76,78,1
76,3,1
76,79,1
76,37,1
76,9,1
72,73,1
72,67,1
72,63,1
72,12,1
72,18,1
72,17,1
72,4,1
72,5,1
72,7,1
72,8,1
72,75,1
89,73,2
89,40,1
89,26,1
89,25,1
89,11,2
89,10,1
89,14,1
89,9,1
89,23,1
91,43,1
91,5,2
91,17,1
91,4,1
91,15,1
91,24,1
91,8,1
91,70,1
91,10,1
91,30,1
91,7,1
91,96,1
90,40,1
90,62,1
90,25,1
90,8,2
90,9,2
90,3,1
90,10,1
90,48,1
90,49,1
90,0,2
90,65,1
90,4,1
90,93,1
90,86,1
56,85,1
56,8,2
56,17,1
56,27,1
56,23,1
56,13,1
56,6,1
56,4,1
56,7,1
56,97,1
54,85,1
54,11,2
54,13,1
54,20,1
54,93,1
54,8,1
54,5,1
29,44,1
29,92,1
29,49,1
29,3,1
29,40,1
29,4,1
29,10,1
29,23,1
29,72,1
69,90,1
69,8,1
69,53,1
69,3,1
69,43,1
69,14,1
69,4,1
69,89,1
69,10,1
69,22,2
69,84,1
69,72,1
69,24,1
74,58,1
74,4,1
74,70,1
74,92,1
74,90,1
74,30,2
74,6,3
74,57,1
74,22,1
74,14,1
74,12,1
74,36,1
74,10,1
74,0,1
74,64,1
74,8,1
74,71,1
70,12,2
70,80,1
70,48,1
70,31,1
70,9,1
70,11,1
70,4,1
70,17,1
70,29,1
70,19,1
70,20,1
70,86,1
70,36,1
70,5,2
70,34,1
67,14,1
67,90,1
67,10,1
67,27,1
67,6,1
67,8,2
67,79,2
67,93,1
67,3,1
67,7,1
67,62,1
67,88,1
67,94,1
67,26,1
39,17,1
39,26,1
39,66,1
39,31,1
39,18,1
39,24,2
39,37,2
39,91,1
39,64,1
39,4,1
71,9,2
71,13,2
71,88,1
71,43,1
71,35,1
71,12,1
71,80,1
71,85,1
71,16,1
71,5,1
71,27,1
59,20,1
59,30,1
59,35,2
59,23,1
59,5,2
59,14,1
59,88,2
59,64,1
59,94,1
59,87,1
59,96,2
59,83,1
59,90,1
59,12,1
59,19,1
27,29,2
27,17,1
27,93,1
27,82,1
27,30,1
27,23,2
27,52,1
27,35,1
27,28,1
27,19,1
27,96,1
27,86,1
27,90,1
62,5,1
62,10,1
62,87,1
62,61,1
62,62,1
62,4,1
62,8,2
62,33,1
62,97,1
62,11,1
44,35,1
44,86,1
44,20,1
44,14,1
44,34,1
44,31,2
44,3,1
44,74,1
44,63,1
44,19,1
44,28,1
44,16,1
57,12,1
57,10,2
57,3,3
57,33,1
57,24,1
57,30,1
57,84,1
57,7,1
57,6,1
57,99,1
57,94,1
57,27,1
57,14,1
13,31,1
13,65,1
13,28,1
24,21,1
24,31,2
24,62,1
24,8,2
24,73,1
24,72,1
24,78,1
63,10,2
63,31,1
63,18,1
63,23,1
63,6,3
63,96,1
63,3,1
99,0,4
99,99,3
99,28,1
99,39,1
99,29,1
16,55,1
16,10,1
16,38,1
16,56,1
22,25,1
22,26,1
22,19,1
46,47,1
46,5,1
46,7,1
46,15,1
46,4,1
46,0,1
46,31,1
46,20,1
43,10,2
43,61,1
43,11,1
43,25,1
43,42,1
43,18,1
43,6,2
43,47,1
43,83,1
43,39,1
43,79,1
43,33,1
43,3,1
40,10,1
40,15,3
40,5,1
40,71,2
40,94,1
86,15,1
86,70,1
86,23,1
86,7,1
86,9,1
86,19,1
86,92,2
86,69,1
86,17,2
86,13,2
86,37,1
86,96,1
86,28,1
86,35,1
86,36,1
86,33,1
86,14,1
9,7,2
9,9,1
9,94,1
9,74,1
9,15,2
17,10,1
17,62,1
17,51,1
17,9,1
17,8,1
21,8,2
21,80,1
21,83,1
37,8,1
37,17,1
37,40,1
37,5,2
37,54,1
37,3,1
37,25,1
37,10,1
37,85,1
37,83,1
37,11,1
37,68,1
38,8,1
38,88,3
38,66,1
38,17,1
38,83,1
38,77,1
38,39,1
38,43,1
38,78,1
38,91,1
51,3,1
51,43,1
51,6,1
52,5,1
52,17,1
52,24,1
49,88,1
49,1,1
49,36,1
49,6,1
34,80,1
34,7,2
34,4,1
34,51,1
34,5,3
34,11,1
34,10,1
34,93,1
34,22,1
34,83,1
34,30,1
30,79,1
30,18,2
30,31,3
30,17,1
30,34,1
30,32,1
30,5,1
30,66,2
30,77,1
36,88,2
36,69,1
36,13,1
36,9,1
36,4,1
36,17,1
36,83,1
36,6,1
36,80,1
36,73,1
36,74,1
36,82,1
36,7,1
31,96,1
31,73,1
31,13,1
7,23,1
7,14,1
7,9,1
15,8,1
