x,y,count
49,49,3
49,50,2
49,27,1
49,16,1
49,17,1
88,39,1
88,50,2
88,45,2
88,37,2
88,38,1
88,69,1
88,65,1
88,34,1
88,57,1
88,70,1
88,61,1
29,36,1
29,54,1
29,40,2
29,30,1
29,16,1
29,96,1
40,96,2
40,86,1
40,73,1
40,87,1
40,82,1
40,25,2
40,70,1
40,89,1
40,45,1
40,75,1
94,51,2
94,6,1
94,61,1
94,35,1
94,46,1
94,50,1
94,59,1
36,9,1
36,61,1
36,6,1
36,8,2
36,24,1
36,93,1
36,95,1
36,94,1
36,86,1
36,21,1
54,43,2
54,69,1
54,28,1
54,77,1
54,31,2
54,37,1
54,41,1
54,30,1
32,6,1
32,33,2
32,94,1
32,43,1
32,22,1
41,40,1
41,67,1
41,90,1
41,65,1
41,78,1
41,94,1
41,26,2
41,66,1
80,50,1
80,43,1
80,87,1
80,31,1
80,40,1
80,47,1
38,47,1
38,50,1
38,77,1
38,89,1
38,82,1
38,10,1
38,86,1
38,66,1
38,65,1
38,30,1
38,78,1
82,46,1
82,8,2
82,72,1
82,96,1
82,4,1
82,49,1
82,56,1
90,46,2
90,67,1
90,58,1
90,44,1
90,63,1
90,0,1
90,53,2
90,55,1
90,32,2
90,33,1
90,47,1
90,49,1
73,53,1
73,87,1
73,56,1
73,4,1
73,60,1
73,65,1
73,92,1
73,36,1
73,80,1
73,63,1
73,68,1
72,67,1
72,24,2
72,53,1
72,60,1
72,89,1
72,27,2
72,14,1
72,13,1
72,80,1
72,51,1
72,26,1
39,82,1
39,73,1
39,94,1
39,78,1
39,74,1
39,58,1
39,19,1
39,75,1
39,85,1
39,23,1
39,16,1
39,27,2
83,51,1
83,84,1
83,65,1
83,12,1
83,38,1
89,44,2
89,63,1
89,42,1
89,46,1
89,45,1
89,5,1
89,86,1
89,6,1
89,47,1
89,41,1
89,65,1
89,68,1
53,53,3
53,7,1
53,65,1
53,57,1
53,52,1
53,94,1
53,44,1
53,11,1
53,12,1
53,29,1
53,39,1
53,48,1
51,53,1
51,4,1
51,90,1
51,63,1
51,20,1
51,65,1
84,38,1
84,88,1
84,57,1
84,41,1
84,48,1
84,49,1
84,76,1
84,40,1
84,35,1
84,89,1
56,76,1
56,61,1
56,45,1
56,29,1
56,63,1
56,68,1
56,8,1
56,7,1
56,95,1
56,11,1
56,69,1
56,56,1
65,81,1
65,58,1
65,87,1
65,56,1
65,17,1
65,25,2
65,75,1
65,95,1
65,88,1
65,51,1
65,35,1
65,8,1
65,39,1
65,90,1
65,86,1
65,96,1
63,88,1
63,16,1
63,44,1
63,46,1
63,71,1
63,27,1
63,77,1
63,94,1
63,84,1
63,75,1
63,36,1
63,15,1
63,61,1
63,52,1
71,41,1
71,4,1
71,73,1
71,76,2
71,49,1
71,71,1
71,86,1
71,68,1
71,5,1
71,65,1
71,22,1
71,62,1
11,37,1
11,65,1
70,26,1
70,19,1
70,61,1
70,10,1
70,47,1
70,71,1
70,72,1
70,8,1
70,25,1
70,58,1
62,24,1
62,64,2
62,17,2
62,73,1
62,33,1
62,18,2
62,95,1
62,39,1
62,42,1
62,43,1
62,60,1
62,53,1
62,79,1
96,27,1
96,77,1
96,68,1
96,49,1
96,58,1
28,9,1
28,62,1
28,97,1
28,86,1
28,70,1
28,95,1
28,94,1
28,19,1
92,46,3
92,56,2
92,44,2
92,51,3
92,18,1
92,47,3
92,49,1
92,52,2
92,53,1
92,43,1
92,48,2
58,37,1
58,70,1
58,7,1
58,31,1
58,16,2
58,30,1
85,60,1
85,31,1
85,37,1
85,62,1
85,63,1
85,22,1
85,72,1
85,88,2
85,100,1
85,68,1
85,54,1
85,73,1
60,21,1
60,28,2
60,67,1
60,52,1
60,45,1
60,23,1
60,87,1
60,55,1
60,92,1
78,45,1
78,5,1
78,12,1
78,7,1
78,69,2
78,41,1
78,70,1
78,88,1
35,8,3
35,74,1
35,86,1
35,27,1
35,3,1
35,96,1
35,84,1
35,85,1
74,33,1
74,25,1
74,62,1
74,91,1
74,86,2
74,26,1
74,49,1
86,3,1
86,47,1
86,54,1
86,40,2
86,85,1
86,67,1
86,9,1
86,49,1
77,31,2
77,36,1
77,39,1
77,43,1
77,89,1
77,56,1
77,23,1
77,92,1
77,81,1
77,41,1
77,72,1
46,33,1
46,28,1
46,24,1
46,3,1
46,82,1
46,79,1
75,15,1
75,44,1
75,20,1
75,87,1
75,13,1
75,38,2
75,80,1
75,53,1
67,45,1
67,74,1
67,82,1
67,0,1
67,68,1
67,52,1
67,89,2
67,17,1
67,13,1
67,41,1
67,81,1
3,59,1
3,58,1
4,59,1
4,25,1
50,49,3
50,79,2
50,50,4
50,46,1
34,88,1
34,95,1
34,92,1
34,87,1
34,50,1
34,14,1
34,13,1
34,56,1
34,74,1
34,48,1
93,45,1
93,61,1
93,36,1
93,77,1
93,48,1
93,31,1
93,52,1
93,41,1
93,51,1
93,56,1
93,67,1
93,49,1
61,66,1
61,90,1
61,65,1
61,62,1
61,32,1
61,39,1
61,13,1
61,29,1
61,95,1
61,92,1
30,23,1
30,48,2
30,87,1
30,18,1
30,6,1
30,17,1
27,33,1
27,96,1
27,8,1
27,90,1
69,6,1
69,94,1
69,48,1
69,50,1
69,78,1
69,56,1
69,74,1
69,38,1
69,16,1
69,67,1
47,71,1
47,65,1
47,36,1
47,26,1
47,49,1
47,48,1
47,60,1
59,76,1
59,81,1
59,77,2
59,86,1
59,7,1
59,23,1
59,18,1
59,16,1
59,30,1
59,62,1
59,29,1
59,82,1
59,59,1
64,80,1
64,22,1
64,93,1
64,50,1
64,67,1
