x,y,count
40,60,1
40,82,2
40,65,2
40,73,2
40,21,1
40,89,2
40,85,3
40,35,1
40,92,1
40,51,1
40,77,1
40,81,1
40,70,1
40,41,1
40,96,1
40,56,1
40,43,1
40,67,1
40,40,1
40,84,1
40,54,1
40,37,1
40,22,1
40,33,1
40,93,3
40,59,1
40,72,1
40,34,1
40,78,1
41,68,3
41,62,1
41,69,4
41,91,2
41,73,3
41,63,1
41,92,1
41,34,2
41,21,1
41,40,1
41,89,1
41,90,1
41,72,1
41,39,1
41,84,4
41,80,2
41,86,2
41,59,1
41,81,1
41,87,1
41,83,1
41,32,1
41,64,3
41,56,2
41,71,5
41,74,2
41,36,1
41,60,1
41,19,1
41,57,2
41,82,1
41,67,1
41,75,1
32,74,2
32,42,3
32,84,1
32,73,2
32,75,2
32,77,2
32,49,2
32,81,1
32,85,1
32,63,1
32,67,2
32,71,1
32,70,1
32,29,1
32,98,1
32,90,1
32,40,1
32,79,1
32,60,1
32,95,1
32,39,1
32,36,3
32,69,2
32,48,1
32,45,1
32,87,1
32,58,1
32,30,1
32,27,1
32,25,1
32,38,1
32,91,2
32,78,2
32,65,1
32,94,1
32,89,1
32,64,1
58,71,2
58,76,2
58,65,2
58,78,3
58,61,1
58,26,1
58,82,3
58,81,2
58,75,3
58,41,1
58,83,4
58,72,2
58,63,1
58,62,1
58,31,1
58,77,1
58,92,1
58,66,1
58,73,2
58,30,1
58,64,1
58,38,2
58,46,1
58,89,1
58,86,1
58,36,1
58,35,1
58,67,1
58,87,1
74,59,1
74,91,1
74,82,1
74,45,1
74,43,1
74,83,1
74,38,1
74,64,1
74,28,1
74,89,1
74,58,1
74,77,1
74,61,1
74,15,1
74,80,1
74,65,1
74,84,1
74,46,1
74,60,1
99,99,44
99,0,45
99,62,1
66,77,1
66,84,3
66,55,1
66,58,2
66,56,1
66,46,1
66,53,1
66,38,1
66,80,3
66,81,2
66,4,1
66,90,1
66,73,1
66,43,2
66,48,1
66,33,1
66,49,1
66,74,2
66,68,1
66,72,1
66,57,1
66,29,1
66,86,1
66,83,1
66,75,4
66,93,1
66,34,1
66,82,2
66,41,1
66,47,1
66,64,2
66,2,1
66,79,2
66,66,1
66,54,1
66,52,1
67,71,2
67,88,3
67,82,2
67,79,2
67,51,2
67,74,2
67,72,3
67,75,2
67,47,1
67,63,1
67,85,1
67,60,1
67,68,2
67,46,1
67,59,2
