x,y,count
36,90,1
36,72,1
36,53,1
36,73,1
36,71,1
36,29,1
36,19,2
36,49,2
36,40,1
36,26,1
36,68,1
36,69,1
36,83,1
36,31,1
36,24,1
36,35,1
36,92,1
36,84,1
36,66,1
36,27,1
36,9,1
38,70,1
38,80,2
38,71,4
38,39,2
38,30,2
38,94,1
38,53,2
38,93,2
38,58,1
38,42,1
38,31,1
38,72,1
38,62,1
38,49,1
38,66,1
38,19,2
38,26,1
38,90,1
38,60,1
38,32,1
38,46,1
38,79,1
13,48,1
13,26,1
13,44,2
13,74,1
29,23,1
29,78,2
29,44,1
29,22,1
29,61,1
29,85,1
29,74,1
29,19,1
29,58,1
29,75,1
29,39,1
29,14,1
29,91,1
29,90,1
29,86,1
29,92,1
42,93,1
42,50,1
42,68,2
42,51,1
42,95,1
42,96,1
42,60,1
42,66,1
42,84,1
42,72,1
42,94,1
42,91,1
42,61,1
42,87,1
42,65,2
42,69,1
42,57,1
42,12,1
42,2,1
42,79,1
58,96,1
58,28,1
58,13,1
58,74,2
58,70,1
58,76,1
58,36,1
58,80,1
58,7,1
58,32,1
58,55,1
58,79,1
58,69,1
58,14,1
58,24,1
58,93,1
58,92,2
58,6,1
58,82,1
58,37,1
63,95,1
63,76,1
63,61,2
63,9,1
63,87,1
63,65,1
63,27,1
63,91,2
63,78,2
63,85,1
63,14,1
63,38,2
63,25,1
63,28,1
63,90,1
63,32,1
63,3,1
63,50,1
63,70,1
63,59,1
63,73,2
79,66,1
79,4,1
79,67,1
79,82,1
79,26,1
79,8,1
69,75,1
69,78,1
69,70,1
69,91,1
69,84,1
69,26,1
69,59,1
69,76,1
66,75,1
66,70,2
66,67,1
66,41,1
66,24,1
66,5,1
66,83,1
66,43,1
66,30,1
66,17,1
66,87,1
66,81,2
66,11,1
66,40,1
66,65,1
66,54,2
66,44,1
66,93,1
66,55,1
66,88,1
65,83,1
65,69,1
65,59,1
65,22,1
65,79,1
65,25,1
65,82,1
65,87,1
65,76,1
65,57,2
65,6,2
65,71,1
65,17,1
65,55,1
65,32,1
65,86,1
65,70,1
65,30,1
65,77,1
89,51,1
89,70,1
89,11,1
30,84,1
30,4,1
30,3,1
30,53,1
30,55,1
30,80,1
30,70,1
30,28,1
30,86,1
30,46,1
30,73,1
30,83,1
30,75,1
99,99,13
99,0,3
99,31,1
48,14,1
48,28,1
48,32,1
48,15,1
48,64,1
48,79,1
48,67,1
48,93,1
48,74,1
48,53,1
41,12,1
41,50,1
41,62,1
41,51,1
41,81,2
41,25,1
41,64,2
41,70,1
41,69,1
41,72,1
41,91,1
41,95,1
41,7,1
41,16,1
41,15,1
41,4,1
68,75,1
68,61,1
68,70,1
68,42,1
68,81,1
68,32,1
68,73,1
68,93,1
68,35,1
68,48,1
68,4,1
68,58,1
68,85,1
68,77,1
68,88,1
68,67,1
68,80,1
68,65,1
68,68,1
68,66,1
68,63,1
68,94,1
34,87,1
34,63,1
34,31,2
34,78,2
34,58,2
34,64,1
34,60,1
34,3,1
34,32,1
34,94,1
34,68,2
34,4,1
34,71,1
34,59,1
34,65,1
34,91,1
40,72,1
40,75,1
40,34,2
40,41,1
40,60,1
40,24,1
40,64,1
40,95,1
40,80,1
40,30,1
40,84,1
40,17,2
40,58,1
40,77,1
50,70,1
50,32,1
50,58,1
50,28,1
50,91,1
50,49,1
50,85,1
70,16,1
70,48,1
70,70,2
70,44,1
70,81,1
70,34,1
70,75,1
70,79,1
70,63,1
70,14,1
70,47,1
70,18,1
70,64,1
78,73,1
78,72,1
78,5,1
78,68,1
78,93,1
78,90,1
78,81,1
78,67,2
78,27,1
37,73,2
37,26,1
37,51,1
37,74,1
37,77,1
37,81,1
37,56,1
37,70,1
37,18,1
37,50,1
37,89,1
37,92,1
37,25,1
37,17,1
37,34,1
37,13,1
37,76,1
73,63,1
73,76,1
73,84,1
73,85,1
73,6,1
73,95,1
73,53,2
73,28,1
73,38,1
73,5,1
73,62,1
73,52,1
73,8,1
94,85,1
93,81,1
93,83,3
45,58,1
45,72,2
45,19,1
45,35,2
45,97,1
45,24,1
45,27,1
45,84,1
45,74,2
45,80,1
45,53,1
45,52,1
45,55,1
45,92,1
45,70,1
51,91,1
51,62,1
51,37,1
51,53,1
51,69,2
51,10,1
51,84,1
51,60,1
62,96,1
62,94,1
62,86,3
62,13,3
62,85,1
62,32,1
62,17,1
62,9,1
62,18,1
62,15,1
62,3,1
62,95,1
62,33,1
62,93,1
62,57,1
62,91,1
62,58,1
62,19,1
62,43,1
62,35,1
62,64,1
62,79,1
62,72,1
62,83,1
75,89,1
75,18,1
75,51,1
75,54,1
75,94,1
75,46,1
75,88,1
75,30,1
75,47,1
75,78,1
71,86,1
71,75,1
71,7,1
71,87,1
71,91,1
71,76,1
71,6,1
71,48,1
71,83,2
71,70,1
71,73,1
71,77,1
71,97,1
31,83,1
31,33,2
31,28,1
31,66,1
31,39,2
31,37,1
31,29,1
31,65,1
31,75,1
31,58,1
31,71,2
31,31,1
31,62,1
31,59,1
31,67,1
31,57,1
31,76,2
31,69,1
31,92,1
31,43,1
31,80,1
31,21,1
31,61,2
31,45,1
32,35,1
32,56,1
32,80,1
32,77,1
32,75,1
32,32,1
32,30,1
32,42,1
32,66,1
32,45,1
32,79,2
32,43,1
32,46,1
32,49,1
32,68,1
32,84,1
32,92,1
15,76,2
15,69,1
15,62,1
15,42,1
15,47,1
15,64,1
15,39,1
22,67,1
22,36,1
22,40,1
22,83,2
22,62,1
22,27,1
22,64,1
22,84,1
22,72,1
39,84,1
39,70,1
39,32,1
39,44,1
39,26,1
39,96,1
39,73,1
39,34,1
39,59,2
39,67,2
39,16,1
39,13,1
39,9,1
39,65,1
39,90,1
39,92,1
49,65,1
49,48,2
49,58,1
28,71,3
28,51,1
28,24,1
28,30,1
28,35,1
28,31,1
28,72,2
28,79,1
28,46,1
28,74,1
28,26,1
28,11,1
28,62,1
28,75,1
21,69,1
21,68,1
21,39,1
21,32,1
21,95,1
21,55,1
80,73,1
80,10,1
80,63,1
80,95,1
80,40,1
82,66,1
82,33,1
44,67,1
44,92,1
44,30,1
44,70,2
44,78,1
44,18,1
44,44,2
44,3,1
44,35,1
44,55,1
44,64,1
44,62,1
44,46,2
44,51,2
44,85,1
44,96,1
44,74,1
44,32,1
44,66,1
44,71,1
44,76,1
64,62,2
64,37,1
64,30,1
64,31,2
64,94,1
64,71,1
64,12,1
64,66,2
64,76,1
64,90,1
64,93,1
64,4,1
64,67,1
64,72,1
64,92,1
64,64,1
77,19,1
77,6,1
77,91,1
77,61,1
77,3,1
77,8,1
77,10,1
77,64,1
77,37,1
72,81,1
72,13,1
72,47,1
72,53,1
72,28,1
72,90,1
72,70,1
72,72,1
72,51,1
72,6,1
72,74,2
72,85,1
72,83,1
72,84,1
72,38,1
72,71,1
72,64,1
72,58,1
72,59,1
59,46,1
59,66,1
59,28,1
59,23,1
59,29,1
59,37,1
59,6,1
59,32,1
59,35,1
59,80,1
59,55,1
59,52,1
59,50,1
59,92,1
59,43,1
59,82,1
59,17,1
59,61,1
59,24,1
59,69,1
59,31,1
59,78,1
59,84,1
67,64,2
67,42,2
67,18,1
67,57,1
67,71,3
67,5,1
67,75,1
67,98,1
67,34,1
67,40,1
67,47,1
67,38,1
67,72,1
67,97,1
67,52,1
67,82,1
67,58,2
67,96,1
24,18,1
24,65,1
24,27,1
24,32,2
24,95,1
24,52,1
24,44,1
24,75,1
27,15,1
27,37,1
27,87,1
27,32,1
27,28,1
27,58,1
27,54,2
27,76,1
27,12,1
