x,y,count
80,79,1
80,36,1
80,58,1
80,93,1
80,27,1
80,92,1
80,88,1
80,59,1
80,96,1
80,44,1
80,25,1
80,39,1
53,77,1
53,94,1
53,96,1
53,74,2
53,85,1
53,4,1
53,7,1
53,5,1
53,28,1
53,66,1
53,95,1
53,10,1
34,47,1
34,97,2
34,43,1
34,1,1
34,13,1
34,14,1
47,63,1
47,23,1
47,75,1
47,97,2
47,0,1
47,7,1
47,92,1
75,89,1
75,85,1
75,94,1
75,6,1
75,42,1
75,90,1
75,34,1
75,98,1
75,14,1
75,59,1
75,97,1
75,75,1
75,80,1
75,21,1
75,38,1
59,79,3
59,84,1
59,89,1
59,76,1
59,91,1
59,3,1
59,96,1
59,38,1
59,75,1
59,87,1
59,97,1
59,53,1
59,13,1
58,79,1
58,96,2
58,92,1
58,88,1
58,23,1
58,19,1
58,3,1
58,74,1
58,0,1
58,97,1
49,38,1
49,99,1
49,92,2
49,7,1
49,90,1
49,94,1
49,16,1
49,87,1
49,85,1
49,82,1
50,37,1
50,93,1
50,86,1
50,77,1
50,84,1
74,88,1
74,19,1
74,78,1
74,95,1
74,76,2
74,37,1
74,6,1
74,5,1
74,50,1
74,98,1
74,94,1
74,93,1
74,68,1
45,79,1
45,1,1
45,89,1
45,21,1
45,52,1
45,56,1
45,70,1
45,86,1
45,77,1
45,97,1
45,90,1
77,86,1
77,14,1
77,31,1
77,82,1
77,66,1
77,67,1
77,27,1
77,50,1
77,70,2
77,61,1
77,24,1
77,76,1
77,37,1
77,64,1
77,58,1
8,35,1
8,51,1
83,55,1
83,93,1
83,99,1
83,54,1
83,6,1
83,11,1
83,57,1
83,100,1
83,27,1
69,91,1
69,35,1
69,28,2
69,95,1
69,33,1
69,99,1
69,85,1
69,73,1
69,12,1
69,86,1
38,50,1
38,88,1
38,2,1
38,6,1
38,28,1
38,1,1
61,86,1
61,21,1
61,53,1
61,4,1
61,82,2
61,81,2
16,48,1
16,47,1
16,59,1
60,90,1
60,22,1
60,74,1
60,29,1
60,41,1
60,1,1
60,12,1
60,92,1
60,96,1
60,53,1
23,96,1
23,93,2
23,59,1
