x,y,count
59,66,2
59,25,1
59,18,2
59,34,1
59,19,1
59,11,1
59,54,1
59,12,1
59,14,1
59,71,1
59,68,1
59,70,1
59,69,1
59,64,1
59,39,1
59,20,3
59,46,2
59,33,1
59,77,2
59,62,1
59,97,1
59,27,1
59,29,1
59,82,2
59,22,1
59,80,1
59,31,1
59,40,1
59,79,1
59,74,1
59,73,1
59,90,1
59,59,1
53,40,1
53,87,1
53,32,1
53,54,3
53,78,2
53,80,3
53,79,1
53,85,1
53,39,1
53,65,1
53,45,2
53,72,2
53,74,1
53,55,2
53,56,2
53,43,1
53,10,1
53,37,1
53,73,1
53,5,1
53,76,1
53,75,1
53,2,2
53,69,2
53,50,1
53,61,1
53,86,1
53,63,1
53,68,1
53,7,1
53,14,1
53,67,1
53,49,1
53,58,1
54,37,1
54,59,2
54,74,1
54,65,1
54,9,1
54,67,1
54,76,1
54,42,1
54,40,1
54,61,3
54,54,2
54,33,1
54,71,2
54,27,1
54,56,1
54,11,1
54,75,3
54,41,1
54,72,1
54,57,1
54,35,1
54,96,1
54,26,1
54,92,1
54,66,1
54,49,1
54,22,1
54,8,1
54,10,1
54,19,2
54,87,1
52,49,3
52,20,1
52,72,3
52,32,1
52,34,1
52,45,1
52,74,2
52,94,1
52,70,1
52,76,3
52,61,2
52,71,1
52,12,1
52,81,2
52,95,1
52,36,1
52,23,1
52,43,1
52,66,1
52,63,2
52,3,1
52,19,1
52,7,1
52,18,1
52,28,1
52,6,1
52,78,2
52,54,1
52,80,1
52,25,1
52,84,1
52,65,1
52,83,1
52,26,1
52,67,1
52,73,1
52,62,2
52,57,1
47,89,1
47,39,2
47,85,3
47,43,1
47,22,1
47,59,2
47,70,1
47,92,1
47,11,1
47,26,1
47,42,1
47,60,2
47,32,3
47,99,2
47,69,2
47,52,1
47,61,3
47,5,1
47,49,1
47,78,1
47,20,2
47,82,1
47,68,1
47,86,1
47,87,1
47,83,1
47,63,1
47,54,1
47,16,1
47,74,1
47,9,1
47,56,1
47,58,1
47,8,1
47,77,1
23,72,1
23,52,1
23,2,1
23,75,2
23,96,2
23,30,1
23,77,1
23,58,1
23,33,3
23,80,2
23,67,2
23,50,1
23,29,1
23,98,1
23,39,2
23,66,1
23,40,1
23,92,1
23,48,1
23,84,1
23,69,1
23,94,1
23,60,1
23,10,1
5,29,1
5,71,1
5,82,1
5,81,1
5,63,1
5,56,1
5,17,1
5,12,1
30,86,2
30,63,3
30,80,2
30,23,1
30,13,1
30,22,2
30,51,1
30,67,1
30,66,1
30,53,1
30,70,2
30,5,1
30,26,2
30,75,1
30,77,1
30,90,1
30,62,1
30,82,1
30,18,3
30,36,1
30,74,1
30,30,1
30,57,1
30,85,1
30,96,1
30,97,1
36,31,2
36,55,1
36,96,1
36,95,1
36,24,1
36,78,1
36,87,1
36,82,2
36,35,1
36,66,1
36,38,1
36,90,1
36,83,1
36,64,1
36,76,1
36,91,1
36,74,2
36,45,1
36,77,2
36,61,1
36,21,1
36,20,1
36,54,1
36,58,1
36,62,1
36,2,1
36,59,1
36,75,1
36,70,1
36,33,1
36,85,1
36,79,1
38,68,2
38,69,2
38,78,2
38,36,1
38,24,1
38,15,1
38,82,1
38,45,1
38,35,3
38,28,1
38,79,1
38,64,1
38,84,2
38,75,2
38,42,1
38,40,1
38,31,1
38,83,2
38,65,2
38,13,2
38,11,1
38,9,1
38,76,1
38,59,1
38,33,1
38,74,2
38,96,1
38,51,1
38,57,1
38,97,1
38,25,1
38,46,1
38,52,1
38,66,1
38,80,1
38,23,1
26,37,1
26,69,1
26,9,1
26,21,2
26,81,2
26,41,1
26,84,1
26,20,1
26,85,1
26,39,1
26,38,1
26,100,1
26,82,1
26,89,1
26,57,1
26,80,1
26,43,1
26,64,1
26,68,1
26,73,1
26,27,1
26,25,2
26,24,2
26,40,1
26,1,1
26,76,1
26,18,1
44,72,4
44,84,3
44,76,1
44,54,2
44,18,2
44,36,1
44,21,1
44,68,2
44,34,1
44,91,3
44,41,1
44,48,1
44,88,1
44,62,3
44,44,1
44,61,1
44,78,1
44,28,2
44,31,1
44,23,1
44,39,1
44,67,1
44,37,1
44,69,1
44,51,2
44,80,2
44,71,1
44,59,1
44,79,1
44,65,1
44,98,1
44,46,1
44,64,1
44,22,1
44,56,1
32,84,1
32,82,2
32,61,1
32,31,3
32,19,1
32,75,1
32,48,1
32,66,2
32,63,3
32,70,1
32,74,2
32,14,1
32,60,1
32,71,1
32,54,1
32,59,2
32,97,1
32,41,1
32,65,2
32,77,2
32,46,1
32,93,1
32,24,2
32,90,1
32,73,1
32,78,2
32,32,1
32,62,1
32,25,1
32,64,1
43,66,2
43,34,2
43,37,1
43,35,2
43,80,2
43,59,2
43,58,1
43,43,1
43,63,2
43,36,2
43,68,1
43,64,2
43,51,1
43,62,1
43,87,2
43,72,1
43,71,3
43,20,1
43,17,3
43,21,1
43,79,1
43,67,1
43,60,1
43,8,1
43,56,1
43,57,1
43,29,1
43,76,1
43,14,1
43,19,1
43,74,2
43,0,1
43,28,1
43,90,1
