x,y,count
49,52,2
49,42,1
49,85,1
49,40,1
49,32,2
49,64,1
49,18,1
49,66,1
49,8,1
49,77,1
79,51,1
79,86,2
79,23,3
79,27,1
79,47,1
79,30,1
79,41,1
79,73,1
79,57,1
79,11,1
79,88,1
79,82,1
79,33,1
79,12,1
79,93,1
79,29,1
79,24,1
79,89,1
79,90,1
79,21,1
79,20,1
79,75,1
59,4,2
59,90,1
59,35,2
59,66,1
59,17,1
59,52,1
59,64,1
59,16,2
59,95,1
59,97,1
59,31,1
59,10,2
59,22,1
59,58,1
59,73,1
59,19,1
59,86,1
59,69,1
59,84,1
59,20,1
36,7,1
36,10,1
36,15,1
36,69,1
36,53,1
36,30,1
36,70,1
36,78,2
36,77,1
36,18,1
36,42,1
36,41,1
36,13,1
36,33,1
36,84,2
36,21,1
36,34,1
36,87,1
36,81,1
36,23,1
32,3,2
32,17,1
32,75,1
32,91,1
32,55,1
32,68,1
32,59,1
32,61,2
32,12,2
32,88,1
32,86,1
32,46,1
32,15,1
32,29,1
32,36,1
32,65,1
32,47,1
32,5,1
32,14,1
32,34,1
54,52,1
54,71,3
54,21,2
54,87,1
54,14,1
54,28,2
54,22,1
54,97,1
54,8,1
54,9,1
54,86,1
54,18,1
54,49,1
54,38,1
54,41,1
54,39,1
54,27,1
54,3,1
54,2,1
54,89,1
54,51,1
54,54,1
38,66,1
38,88,1
38,27,1
38,20,2
38,22,1
38,89,1
38,43,1
38,76,2
38,0,1
38,80,1
38,68,1
38,92,2
38,93,1
38,90,1
38,33,1
38,52,1
38,95,1
38,96,1
38,81,1
38,60,1
9,46,1
9,13,1
9,56,1
9,60,1
9,61,1
9,73,1
63,59,1
63,78,2
63,14,1
63,57,1
63,90,1
63,22,1
63,9,1
63,10,1
63,42,1
63,21,2
63,1,1
63,95,1
63,94,1
63,12,2
63,67,1
63,51,1
63,16,1
63,68,1
63,80,1
63,50,2
63,41,1
63,66,1
63,31,2
63,26,1
64,68,2
64,11,1
64,76,1
64,3,2
64,46,2
64,16,1
64,7,1
64,77,1
64,99,1
64,70,1
64,87,1
64,50,1
64,24,1
64,20,1
64,28,1
64,25,1
64,49,1
64,43,1
61,78,1
61,81,1
61,37,1
61,48,2
61,23,3
61,26,1
61,84,1
61,67,1
61,21,2
61,16,1
61,24,1
61,5,1
61,58,1
61,68,1
61,19,1
61,91,2
61,94,1
61,40,1
61,57,1
61,17,1
61,85,2
61,36,1
95,64,1
95,33,1
95,57,1
95,81,1
77,71,1
77,34,1
77,9,2
77,59,2
77,2,1
77,0,2
77,13,1
77,52,1
77,92,1
77,64,1
77,84,1
77,10,1
77,83,1
77,72,1
77,38,1
77,42,1
77,63,1
52,72,1
52,71,1
52,5,2
52,4,1
52,79,2
52,19,1
52,29,3
52,37,1
52,75,1
52,15,1
52,31,1
52,67,1
52,17,1
52,61,1
52,21,1
52,18,1
52,48,1
52,32,1
52,36,1
52,58,1
37,63,1
37,70,1
37,3,1
37,12,1
37,43,1
37,28,1
37,32,1
37,20,2
37,53,1
37,42,1
37,36,2
37,23,1
37,47,1
31,78,1
31,19,1
