x,y,count
13,98,1
13,96,1
13,72,1
13,95,1
12,96,1
12,80,1
12,87,1
12,26,2
17,95,1
17,94,2
17,76,1
17,77,1
17,64,1
17,49,1
17,24,1
17,69,1
24,74,1
24,49,1
24,51,1
24,29,1
24,79,1
24,83,1
24,58,1
24,95,1
24,57,1
24,62,1
37,96,2
37,49,1
37,79,1
37,82,1
37,59,1
37,35,2
37,74,1
37,67,1
37,24,1
37,83,1
37,89,2
37,94,1
37,75,1
37,97,1
37,27,1
37,40,1
61,97,3
61,95,2
61,99,1
61,27,1
61,57,1
61,20,1
61,13,1
61,66,1
61,80,3
61,91,1
61,83,2
61,58,1
61,64,2
61,77,1
61,88,1
61,15,1
61,32,1
61,3,1
61,79,1
61,75,1
61,82,1
61,98,1
67,97,1
67,87,2
67,33,1
67,40,1
67,25,1
67,91,2
67,23,1
67,14,1
67,12,1
67,95,1
67,69,1
67,65,1
67,88,1
67,31,1
67,74,1
67,61,1
67,19,1
67,22,1
67,9,1
67,60,1
67,21,1
95,85,1
95,58,1
95,73,1
95,84,1
95,61,1
95,14,1
95,69,1
79,77,2
79,98,1
79,86,1
79,16,3
79,35,1
79,79,1
79,69,1
79,83,1
79,94,2
79,88,1
79,91,1
79,100,1
79,81,1
79,90,2
79,14,1
79,29,1
34,47,1
34,46,1
34,9,1
34,78,1
34,88,1
34,89,1
34,61,1
34,100,1
34,95,1
34,76,1
66,99,1
66,82,1
66,89,1
66,95,1
66,94,1
66,33,1
66,56,1
66,26,1
66,80,1
66,58,1
66,28,2
66,81,1
66,71,1
66,20,1
66,90,1
74,100,2
74,74,2
74,80,1
74,19,1
74,17,1
74,97,2
74,85,1
74,20,1
74,18,1
74,25,1
74,35,1
74,9,1
74,22,1
74,10,1
74,69,1
74,38,1
74,24,1
74,76,1
74,60,1
74,43,1
74,89,1
74,2,1
46,79,1
46,86,1
46,91,1
46,37,1
46,92,1
46,74,1
46,54,1
46,39,1
46,9,1
46,50,1
46,80,1
46,96,1
46,90,1
46,95,2
46,35,1
99,0,16
99,99,21
99,72,1
64,21,1
64,6,1
64,75,2
64,18,1
64,43,1
64,3,1
64,96,1
64,76,2
64,24,1
64,93,1
64,80,1
64,58,1
64,72,1
64,45,1
64,99,1
64,94,2
64,77,1
64,83,1
64,98,1
64,82,1
64,28,1
64,74,1
64,10,1
64,86,1
71,7,1
71,6,1
71,45,1
71,81,1
71,23,1
71,1,1
71,31,1
71,13,1
71,40,1
71,85,1
71,96,2
71,98,1
71,43,1
71,94,1
71,95,1
71,66,1
71,39,1
71,34,1
71,70,1
71,38,1
71,21,1
71,92,1
76,9,1
76,1,1
76,80,2
76,96,2
76,75,1
76,2,1
76,27,1
76,31,1
76,46,1
76,0,1
76,83,1
76,15,1
76,89,1
76,81,1
76,30,1
76,88,2
76,14,1
76,76,1
76,95,1
76,7,1
76,79,1
76,97,1
76,77,1
76,20,1
70,6,1
70,100,1
70,21,1
70,64,1
70,70,3
70,99,2
70,85,1
70,93,2
70,84,1
70,58,1
70,15,1
70,86,1
70,60,1
70,59,1
70,37,1
70,96,1
70,98,1
70,78,1
70,67,1
70,94,1
51,94,1
51,73,1
51,78,2
51,95,1
51,87,1
51,19,1
51,38,1
51,47,1
51,79,1
51,88,1
51,83,1
51,26,1
51,70,1
51,69,1
51,97,1
51,82,1
51,16,1
51,65,1
51,3,2
51,58,1
38,81,1
38,2,1
38,27,1
38,35,1
38,17,1
38,29,1
38,78,1
38,83,1
38,12,1
30,70,1
30,71,1
30,100,1
30,14,1
30,91,1
30,44,1
18,84,1
18,58,1
33,86,2
33,19,1
33,70,1
33,32,1
33,92,2
33,15,1
33,83,1
33,17,1
33,48,1
33,95,2
54,88,1
54,15,1
54,47,1
54,69,2
54,11,1
54,65,1
54,97,2
54,92,2
54,64,1
54,68,2
54,60,1
54,74,1
54,72,1
54,19,1
54,0,1
16,92,1
16,20,1
16,95,1
16,90,1
16,50,1
16,82,1
16,75,1
72,54,1
72,71,1
72,42,1
72,0,1
72,95,2
72,70,1
72,43,1
72,10,2
72,14,1
72,13,1
72,75,1
72,97,2
72,76,1
72,94,1
72,50,1
72,33,1
72,12,1
72,5,1
72,84,1
72,96,1
93,97,1
93,76,1
93,41,1
93,31,1
93,75,1
93,69,1
93,55,1
93,90,1
40,97,1
40,20,1
40,9,1
40,51,1
40,84,1
40,81,1
40,57,1
40,59,1
40,65,1
40,55,1
40,68,1
40,87,1
40,94,1
40,30,1
40,39,1
85,77,1
85,47,1
85,59,1
85,61,1
85,94,1
85,6,2
85,35,1
85,10,1
85,96,1
85,41,1
85,8,1
85,88,1
63,68,1
63,98,2
63,86,1
63,16,1
63,89,2
63,69,1
63,15,1
63,9,2
63,49,1
63,78,1
63,91,2
63,43,1
63,93,2
63,96,1
63,72,1
63,34,1
63,94,1
50,54,2
50,16,1
50,49,2
50,50,4
50,4,1
50,43,1
50,57,1
50,72,1
50,94,1
50,88,2
50,78,2
50,32,1
50,93,1
50,74,1
50,59,1
50,67,1
32,75,1
32,85,1
32,20,1
32,91,1
32,24,1
32,34,1
32,42,1
80,97,1
80,48,2
80,9,1
80,7,1
80,33,1
80,16,1
80,21,1
80,24,1
80,95,1
80,18,3
80,17,1
80,40,1
80,34,1
80,59,1
80,84,1
80,80,1
80,83,1
27,95,2
27,79,1
27,70,1
27,32,1
27,97,1
27,93,1
27,27,1
27,53,1
27,58,1
27,43,1
86,58,1
86,62,1
86,57,1
86,30,1
86,84,1
86,86,2
86,4,1
86,40,1
86,22,1
86,88,1
86,64,2
86,76,1
86,73,1
86,75,1
69,97,1
69,70,1
69,92,1
69,73,1
69,98,1
69,18,2
69,14,3
69,94,1
69,96,1
69,81,2
69,99,1
69,56,1
69,80,1
69,76,1
69,12,1
69,93,1
69,84,1
69,23,1
69,78,1
69,74,1
69,45,1
69,4,1
69,8,1
69,39,1
69,71,1
65,99,2
65,1,1
65,67,1
65,92,1
65,15,2
65,16,1
65,5,2
65,65,1
65,11,1
65,68,1
65,3,1
65,40,2
65,90,1
65,97,1
65,79,1
65,91,2
65,88,1
65,73,1
65,9,1
81,52,1
81,19,2
81,91,2
81,95,1
81,32,2
81,1,2
81,80,1
81,26,1
81,34,2
81,63,1
81,84,1
81,28,1
81,83,1
81,48,1
81,57,1
81,12,1
81,72,1
81,78,1
81,61,1
81,89,1
81,98,1
19,68,1
19,47,1
19,57,1
19,69,1
19,89,1
20,68,1
20,88,1
20,95,1
20,94,1
20,40,1
20,89,1
49,27,1
49,20,1
49,89,3
49,88,1
49,60,1
49,50,2
49,49,3
49,85,2
49,95,1
49,93,1
49,18,2
49,97,1
49,100,1
49,72,1
49,98,1
49,87,1
49,62,2
49,42,1
49,61,1
92,60,2
92,29,1
92,90,2
92,72,2
92,95,1
92,53,1
92,52,1
92,7,1
22,47,1
22,70,1
22,98,1
22,88,1
22,96,1
22,34,1
22,87,1
22,39,1
22,74,1
36,8,1
36,28,2
36,53,1
36,6,1
36,35,1
36,76,1
36,16,1
36,96,2
36,100,1
36,27,1
36,15,1
36,93,1
36,43,1
36,5,1
36,91,1
68,30,1
68,78,1
68,89,2
68,0,1
68,41,1
68,100,1
68,74,1
68,71,2
68,44,1
68,95,2
68,84,1
68,86,2
68,93,1
68,81,2
68,57,1
68,87,1
68,62,1
68,47,1
68,85,1
68,80,1
68,18,1
68,5,1
59,42,1
