x,y,count
36,88,2
36,69,2
36,36,1
36,59,2
36,76,1
36,64,1
36,86,1
36,79,1
36,35,1
36,66,3
36,75,1
36,25,1
36,90,3
36,94,1
36,63,2
36,7,1
36,2,1
36,85,1
36,41,1
36,44,2
36,45,1
36,73,3
36,78,1
36,87,1
36,72,1
36,48,1
36,92,1
36,47,1
36,95,1
36,84,1
36,29,1
36,83,1
36,55,1
36,23,1
36,57,2
36,34,1
36,89,1
36,54,1
38,71,1
38,43,1
38,63,2
38,79,2
38,53,1
38,82,1
38,50,1
38,68,3
38,31,1
38,76,1
38,55,1
38,51,1
38,78,1
38,58,1
38,88,2
38,74,1
38,60,2
38,40,2
38,94,1
38,35,1
38,52,1
38,66,2
38,32,1
38,93,1
38,44,1
38,75,1
38,56,1
38,57,1
38,46,1
38,73,2
38,86,1
38,59,1
38,65,2
38,41,1
38,69,1
38,28,2
38,81,2
24,53,2
24,64,1
24,72,3
24,69,1
24,82,1
24,70,3
24,44,1
24,71,1
24,93,1
24,97,1
24,92,1
24,75,4
24,76,2
24,52,2
24,67,1
24,99,1
24,40,1
24,41,1
24,38,1
24,63,2
24,77,1
24,32,1
24,87,1
24,73,3
24,80,1
24,62,1
24,59,2
24,91,1
24,46,1
24,90,1
24,78,1
24,37,1
17,48,1
17,74,1
17,53,1
17,83,4
17,41,1
17,75,1
17,40,1
17,66,2
17,49,1
17,84,1
17,45,1
17,72,2
17,5,2
17,65,1
17,87,1
17,89,2
17,47,1
17,90,1
41,97,1
41,67,3
41,65,2
41,92,1
41,33,1
41,63,1
41,72,1
41,71,1
41,91,2
41,60,1
41,75,2
41,14,1
41,77,3
41,64,1
41,11,1
41,45,1
41,54,1
41,49,1
41,58,1
41,100,1
41,70,1
41,50,1
41,73,1
41,41,2
41,53,1
41,13,1
41,84,1
41,30,1
33,69,1
33,60,1
33,50,4
33,85,1
33,83,1
33,58,1
33,74,4
33,29,1
33,90,2
33,67,1
33,38,1
33,28,1
33,13,1
33,68,3
33,94,1
33,80,3
33,66,1
33,99,1
33,61,3
33,19,1
33,25,2
33,26,2
33,31,1
33,72,1
33,89,1
33,3,1
33,97,2
33,53,1
33,86,1
33,64,2
33,70,1
33,35,1
33,88,3
33,23,1
33,52,1
33,63,1
33,93,1
44,98,1
44,54,1
44,70,2
44,87,1
44,82,1
44,76,1
44,46,1
44,45,1
44,64,3
44,86,2
44,85,2
44,77,1
44,71,1
44,44,1
44,43,1
44,0,1
44,22,1
44,23,1
44,41,1
44,50,2
44,75,1
44,83,1
44,69,1
44,74,1
44,65,2
44,52,1
44,61,1
44,40,1
44,94,1
44,63,1
44,10,1
44,73,1
44,89,1
44,49,1
31,74,3
31,87,1
31,67,3
31,71,1
31,88,1
31,99,1
31,81,2
31,68,2
31,76,1
31,82,4
31,73,2
31,60,2
31,98,1
31,86,1
31,48,1
31,25,1
31,62,2
31,56,2
31,70,2
31,61,1
31,92,1
31,97,1
31,40,1
31,94,2
31,65,1
31,66,1
31,63,1
31,24,1
31,27,1
31,78,1
61,62,1
61,48,1
61,60,1
61,57,1
61,69,1
61,90,1
61,77,2
61,58,1
61,3,1
61,88,1
61,74,1
61,98,1
61,52,1
61,87,1
61,94,1
51,66,3
51,46,1
51,75,1
51,77,1
51,79,1
51,27,1
51,82,1
51,72,2
51,61,1
51,83,1
51,59,2
51,73,1
51,57,2
51,68,1
51,70,1
51,97,1
51,51,1
51,56,2
51,54,1
51,52,2
51,60,2
51,86,1
51,43,1
51,94,1
51,53,1
51,36,1
51,96,1
16,71,1
16,83,2
16,67,1
16,75,1
16,37,1
16,57,2
16,50,1
16,91,2
16,56,1
16,46,1
16,70,1
16,58,1
16,24,2
16,53,1
16,40,1
16,87,1
16,84,1
16,73,1
16,82,1
16,88,1
16,26,1
16,25,1
16,81,1
16,89,1
16,32,1
16,72,1
15,86,1
15,85,1
15,98,1
15,64,2
15,50,2
15,76,3
15,75,1
15,81,2
15,57,1
15,48,1
15,89,1
15,80,1
15,77,1
15,58,1
15,94,1
15,84,1
15,90,1
15,59,1
15,99,1
15,43,1
15,71,2
15,61,1
56,59,1
56,60,1
56,90,1
56,67,1
56,62,1
56,66,2
56,79,1
56,58,3
56,45,1
56,68,1
56,43,1
56,64,1
56,77,1
56,71,1
56,86,1
56,80,1
56,30,1
56,50,1
56,70,1
56,47,1
56,84,1
56,52,1
56,53,1
56,94,1
56,14,1
56,61,1
56,74,1
56,21,1
59,71,2
59,57,2
59,67,1
59,35,1
59,65,1
59,54,1
59,47,1
59,51,1
59,93,1
59,68,1
59,49,1
59,91,1
59,20,1
59,43,1
59,73,1
53,77,2
53,61,1
53,54,3
53,70,1
53,46,2
53,79,1
53,65,1
53,71,1
53,69,1
53,59,1
53,99,1
53,87,1
53,92,1
53,91,1
53,0,1
53,68,1
53,73,1
53,42,1
53,75,1
53,86,1
53,58,2
53,72,1
53,62,1
53,83,1
53,74,1
53,67,1
53,37,1
53,45,1
30,72,3
30,83,2
30,63,2
30,68,1
30,100,1
30,66,1
30,82,2
30,80,1
30,85,1
30,46,1
30,61,2
30,78,1
30,79,3
30,70,1
30,84,2
30,75,1
30,29,1
30,28,1
30,64,1
30,96,1
30,53,2
30,13,1
