x,y,count
31,21,1
31,49,1
31,46,1
31,32,1
31,82,1
31,18,2
31,40,1
31,26,2
31,0,1
31,52,2
31,50,1
31,22,2
31,66,1
31,28,1
31,24,1
31,8,1
31,48,1
31,13,1
31,67,1
31,34,1
52,27,1
52,66,1
52,52,1
52,21,1
52,22,2
52,25,1
52,70,1
52,67,1
52,53,1
52,69,1
52,40,1
52,90,1
52,45,1
52,99,1
52,44,1
52,32,1
52,14,1
52,28,1
52,6,1
52,29,1
24,33,1
24,12,1
24,30,3
24,31,2
24,48,1
24,18,1
24,37,2
24,29,3
24,43,2
24,34,1
24,45,1
24,47,1
24,49,1
24,81,1
24,61,1
24,27,1
24,16,1
24,10,1
24,64,1
24,65,1
24,25,1
32,40,2
32,66,2
32,38,1
32,50,1
32,49,1
32,30,1
32,19,2
32,41,3
32,22,1
32,65,2
32,39,1
32,61,2
32,43,1
32,31,2
32,34,1
32,15,1
32,36,2
32,48,1
32,74,1
32,28,1
32,25,1
32,20,1
32,8,1
32,51,2
32,59,1
32,18,1
32,52,1
39,11,1
39,26,2
39,48,1
39,39,1
39,43,2
39,29,3
39,12,1
39,19,1
39,59,2
39,18,1
39,60,1
39,30,1
39,41,1
39,47,3
39,28,2
39,73,1
39,74,1
39,51,1
39,40,2
39,32,1
39,36,4
39,82,1
39,34,1
39,54,1
39,10,1
39,17,1
16,19,2
16,39,4
16,28,1
16,3,1
16,37,1
16,36,2
16,6,1
16,32,1
16,60,2
16,51,2
16,31,1
16,40,1
16,88,1
16,52,1
16,53,1
16,25,1
16,10,1
16,22,1
16,33,1
16,11,1
16,50,1
16,47,1
16,70,1
8,58,2
8,43,1
8,34,2
8,45,1
8,31,1
8,51,1
8,52,1
8,47,1
8,42,1
8,53,1
8,50,1
8,39,1
8,36,3
8,40,1
8,14,1
4,38,5
4,28,1
4,56,1
4,45,1
4,6,1
4,44,2
4,43,1
4,80,1
4,29,1
4,41,1
4,37,1
4,34,1
4,33,1
34,22,1
34,23,1
34,71,1
34,41,2
34,27,1
34,58,1
34,57,1
34,10,3
34,76,1
34,47,1
34,63,2
34,66,1
34,62,1
34,11,2
34,49,1
34,69,1
34,70,1
34,42,1
34,29,1
34,51,1
34,61,1
10,25,1
10,23,1
10,1,1
10,17,1
10,42,1
10,22,1
10,53,2
10,36,1
10,47,1
10,50,1
10,20,1
10,37,1
10,4,1
10,82,1
10,51,1
22,18,1
22,30,1
22,54,1
22,17,2
22,26,1
22,40,1
22,29,1
22,52,3
22,51,1
22,45,1
22,39,1
22,32,1
22,28,1
22,11,1
22,13,1
22,14,1
22,77,1
22,58,1
22,38,2
22,62,2
22,37,1
21,5,1
21,39,3
21,47,1
21,26,1
21,82,1
21,10,2
21,68,1
21,35,1
21,63,1
21,46,1
21,27,1
21,24,1
21,49,2
21,56,1
21,58,2
21,40,1
21,20,1
13,67,1
13,23,1
13,32,2
13,63,1
13,35,1
13,4,1
13,13,1
13,33,1
13,97,1
13,27,1
13,34,1
13,45,2
13,58,1
13,95,1
13,20,1
13,59,1
13,10,1
13,42,1
9,67,1
9,45,2
9,48,1
9,29,2
9,17,1
9,15,1
9,51,3
9,58,1
9,96,1
9,49,2
9,64,2
9,39,1
9,40,1
9,35,1
9,36,1
9,31,1
9,55,1
9,13,2
9,24,1
9,23,1
9,57,1
5,37,5
5,41,3
5,47,2
5,39,6
5,40,6
5,21,1
5,49,1
5,20,1
5,45,1
5,38,3
5,42,2
5,36,3
5,44,1
5,46,1
5,29,1
5,56,1
5,8,1
5,85,1
5,32,1
5,35,1
5,10,1
5,58,1
2,13,1
2,14,1
3,13,1
3,58,1
3,60,1
3,3,1
3,46,1
3,33,1
3,6,1
3,91,1
3,31,1
19,19,3
19,30,2
19,11,1
19,25,1
19,32,2
19,42,2
19,71,1
19,27,1
19,24,1
19,26,1
19,23,1
19,21,1
19,17,1
19,35,1
19,36,1
19,29,1
19,38,1
19,53,1
50,26,1
50,61,1
50,88,1
50,66,2
50,46,1
50,6,1
50,47,2
50,54,1
50,21,1
50,40,1
50,71,1
50,25,1
50,23,1
50,36,1
50,35,1
50,76,1
49,24,1
49,40,1
49,54,2
49,21,3
49,8,1
49,52,1
49,53,1
49,1,1
49,61,1
49,68,1
49,43,1
49,29,1
49,25,1
26,66,1
26,22,1
26,38,1
26,79,1
26,35,1
26,61,2
26,31,1
26,24,2
26,68,1
26,36,1
26,16,1
26,23,1
26,7,1
26,52,1
26,72,1
26,32,1
26,20,1
26,83,1
26,55,1
26,3,1
26,15,1
26,19,1
26,33,1
47,20,2
47,31,3
47,33,1
47,40,2
47,62,1
47,42,2
47,52,1
47,6,1
47,14,1
47,32,1
47,65,1
47,61,1
47,19,2
47,17,1
47,35,1
47,59,1
47,68,1
47,82,1
47,48,1
47,25,1
47,22,2
47,24,1
14,47,1
14,55,1
14,37,2
14,23,1
14,64,1
14,60,1
14,58,2
14,56,1
14,82,1
14,26,1
14,33,1
14,80,1
14,30,1
14,25,1
14,46,1
14,87,1
14,42,1
14,13,1
14,14,1
18,10,1
18,34,1
18,61,1
18,82,1
18,46,1
18,13,1
18,51,2
18,27,1
18,23,2
18,21,1
18,17,1
18,32,1
18,20,1
18,18,1
18,74,1
17,40,2
17,31,1
17,29,1
17,50,1
17,46,1
17,9,1
17,39,1
17,43,1
17,63,2
17,28,1
17,66,1
17,38,1
17,18,1
41,34,2
41,29,1
41,27,1
41,8,2
41,31,1
41,7,1
41,45,2
41,50,1
41,71,1
41,11,1
41,56,1
41,46,1
41,26,1
41,53,1
41,64,2
41,66,1
41,76,1
41,23,1
41,24,1
41,37,1
41,9,1
41,16,1
41,21,1
43,23,2
43,46,1
43,45,1
43,47,1
43,17,1
43,41,1
43,20,1
43,56,1
43,25,1
43,21,2
43,15,1
43,40,1
43,50,1
43,22,1
43,44,1
36,32,2
36,25,2
36,50,1
36,11,1
36,33,1
36,57,1
36,99,1
36,20,1
36,52,1
36,43,1
36,7,1
36,56,1
36,60,1
36,61,1
36,31,1
36,30,1
36,29,1
36,44,1
36,49,1
36,34,1
36,39,1
44,30,3
44,5,2
44,17,1
44,47,1
44,42,1
44,35,1
44,8,1
44,12,2
44,72,1
44,43,2
44,53,1
44,21,1
44,62,1
44,65,1
44,32,1
44,36,1
44,68,1
44,22,3
44,34,1
44,16,1
6,57,4
6,42,2
6,46,1
6,22,1
6,39,1
6,41,1
6,0,1
6,50,1
6,78,1
6,36,1
6,37,1
6,25,1
68,13,1
68,22,1
68,64,1
68,82,1
68,16,1
68,11,1
12,15,1
12,86,1
12,59,1
12,60,1
12,53,1
12,37,1
12,57,1
12,4,1
12,23,1
12,38,1
12,46,1
35,19,1
35,61,1
35,8,1
35,53,1
35,50,2
35,46,2
35,54,2
35,31,1
35,39,2
35,17,1
35,89,1
35,26,2
35,27,2
35,22,2
35,13,1
35,36,1
35,12,1
35,63,1
35,57,1
35,24,1
35,29,1
35,59,1
46,4,1
46,28,2
46,27,1
46,48,1
46,22,2
46,8,1
46,36,2
46,72,1
46,18,2
46,86,1
46,79,1
46,34,1
46,52,2
46,42,1
46,71,2
46,77,1
46,51,1
46,59,1
46,19,1
46,75,1
46,37,1
46,57,1
55,8,1
55,53,1
55,23,1
55,69,1
55,42,1
55,44,1
55,76,1
55,39,2
55,43,1
55,31,1
55,16,1
55,32,1
55,49,1
55,24,1
15,29,1
15,75,1
15,43,1
15,62,1
15,37,1
15,51,1
15,35,1
15,25,1
15,80,2
15,67,1
15,18,1
15,20,1
15,44,1
15,17,1
83,24,1
83,28,1
83,45,1
83,54,1
29,68,1
29,70,1
29,37,1
29,34,3
29,63,1
29,38,2
29,42,2
29,73,1
29,71,1
29,40,1
29,19,1
29,83,1
29,28,1
29,32,1
29,74,1
29,86,1
29,58,1
28,68,1
28,75,1
28,25,2
28,18,1
28,59,1
28,76,1
28,49,1
28,70,2
28,71,2
28,60,2
28,48,1
28,12,1
28,78,1
28,16,1
28,30,1
28,40,1
28,34,1
28,23,1
28,28,1
28,29,1
28,50,1
28,32,1
78,32,1
78,73,1
7,54,2
7,48,1
7,68,1
7,49,1
7,52,1
7,43,1
7,45,2
7,75,1
7,58,1
7,50,1
7,40,1
7,44,1
7,28,1
20,39,1
20,53,1
20,52,2
20,47,1
20,22,1
20,36,1
20,9,1
20,26,1
20,79,1
20,20,1
20,27,2
20,57,1
20,63,1
20,58,1
20,1,1
20,34,1
20,21,1
20,12,1
20,50,1
20,38,1
20,30,1
42,33,1
42,59,2
42,64,1
42,20,1
42,38,1
42,65,2
42,73,1
42,48,1
42,3,1
42,51,1
42,4,1
42,42,1
42,27,1
42,75,1
42,35,1
42,14,1
42,36,1
42,21,1
42,41,1
42,24,1
80,37,1
80,10,1
80,85,1
80,20,1
57,45,1
57,35,1
57,79,1
57,6,1
57,41,1
57,38,1
57,27,1
57,29,1
57,26,1
57,32,1
57,47,2
23,26,1
23,47,1
23,53,1
23,25,1
23,14,2
23,56,2
23,10,1
23,65,1
23,64,1
23,68,1
23,86,1
23,17,2
23,30,1
23,5,2
23,41,1
23,36,1
23,49,1
23,27,1
23,63,1
23,32,1
23,70,1
33,62,1
33,45,2
33,61,1
33,48,2
33,68,1
33,58,1
33,65,1
33,54,1
33,60,1
33,36,1
33,85,1
33,51,1
33,22,1
33,47,1
33,74,1
33,73,1
33,95,1
33,25,1
33,29,1
33,16,1
33,44,1
33,20,1
33,70,1
33,66,1
33,27,1
33,35,1
33,6,1
33,10,1
56,12,2
56,85,1
56,19,1
56,57,1
56,6,1
56,43,1
56,10,1
56,81,1
56,52,1
48,4,1
48,40,1
48,37,2
48,21,2
48,79,1
48,46,1
48,72,1
48,64,1
48,41,1
48,8,1
48,28,1
48,61,1
48,73,1
48,68,1
48,63,1
48,33,2
48,15,1
48,51,1
48,18,1
48,17,2
48,19,1
69,29,1
69,18,2
69,9,1
69,33,1
69,87,1
38,23,2
38,30,1
38,73,2
38,53,1
38,11,1
38,59,4
38,54,1
38,37,1
38,41,1
38,40,2
38,35,1
38,29,1
38,18,1
38,24,2
38,16,1
38,34,1
38,10,1
86,41,1
86,17,1
86,53,1
25,39,1
25,42,3
25,33,1
25,24,2
25,68,1
25,51,1
25,98,1
25,66,1
25,20,1
25,30,1
25,44,1
25,23,1
25,22,2
25,13,1
25,81,1
25,18,2
25,29,1
25,56,1
25,36,1
65,9,1
65,32,1
65,16,1
65,17,1
65,74,1
65,3,1
65,100,1
65,53,1
65,18,1
30,26,1
30,17,1
30,72,1
30,42,2
30,82,1
30,55,1
30,38,1
30,40,1
30,30,1
30,70,1
30,28,1
30,80,1
30,7,1
30,51,2
30,64,2
30,9,2
30,24,1
30,65,1
30,52,1
30,12,1
58,17,1
58,25,1
58,23,1
58,88,1
58,45,1
58,66,1
58,50,1
58,26,1
58,28,1
58,60,1
58,67,1
37,54,1
37,66,2
37,53,1
37,40,1
37,72,1
37,35,1
37,27,2
37,17,1
37,25,1
37,47,1
37,80,2
37,28,1
37,29,1
37,15,2
37,32,1
37,22,1
37,33,1
37,18,1
37,63,1
37,85,1
37,86,1
71,19,1
71,89,1
71,10,1
71,3,1
71,48,1
71,59,1
71,8,1
27,60,1
27,74,1
27,69,2
27,79,1
27,85,1
27,52,1
27,66,1
27,70,1
27,26,1
27,25,1
27,17,1
27,18,1
27,34,1
27,33,1
27,35,1
27,13,1
27,24,1
27,29,1
