x,y,count
47,70,1
47,17,1
47,37,1
47,67,1
47,36,1
47,32,1
47,90,1
47,73,1
35,82,1
35,52,1
35,58,1
35,35,2
35,41,1
35,37,2
35,33,1
35,73,1
35,51,1
35,16,1
35,48,1
35,25,1
35,64,1
35,34,1
35,68,1
35,71,1
35,49,1
35,75,1
35,36,1
35,17,2
35,28,1
4,75,2
4,61,1
4,39,1
4,51,1
4,38,1
4,57,2
4,64,1
4,62,1
4,46,1
4,42,1
4,45,1
4,48,2
4,50,1
4,40,1
4,20,2
59,41,1
59,59,2
59,43,1
59,26,1
59,92,1
59,93,1
56,39,1
56,59,1
56,17,1
56,10,1
56,50,1
38,73,1
38,46,2
38,35,1
38,65,2
38,37,1
38,59,3
38,45,1
38,13,1
38,23,1
38,70,1
38,85,1
38,89,1
38,61,1
38,54,1
38,55,1
58,89,1
58,90,1
58,12,1
58,52,2
50,38,2
50,85,1
50,41,1
50,19,1
50,59,1
50,60,1
50,3,1
50,18,1
50,87,1
50,28,1
23,69,1
23,26,1
23,73,1
23,25,1
23,64,1
23,33,1
23,58,2
23,63,2
23,54,1
23,23,1
23,22,1
23,27,1
23,46,1
23,67,1
23,77,1
23,21,1
7,57,1
7,38,1
7,61,1
7,53,2
7,67,1
7,27,1
7,22,1
7,60,1
7,55,2
7,62,1
7,21,1
7,50,2
7,41,1
7,54,2
7,46,1
7,43,1
7,48,1
7,37,2
7,40,1
31,38,1
31,20,1
31,45,2
31,43,2
31,53,1
31,16,1
31,37,2
31,9,1
31,23,1
31,30,1
31,68,1
31,77,1
31,36,1
31,39,1
31,52,1
31,26,1
31,10,1
29,35,3
29,37,1
29,32,1
29,50,1
29,8,1
29,26,1
29,73,1
29,56,1
29,67,1
29,75,1
29,10,1
29,12,1
29,66,1
26,27,1
26,15,1
26,32,1
26,28,1
26,58,1
26,29,1
26,31,1
26,50,1
26,41,3
26,42,1
26,26,1
26,30,1
26,64,1
26,59,1
26,33,1
26,39,2
26,38,1
20,33,1
20,13,1
20,26,1
20,53,1
20,63,1
20,32,1
20,57,1
20,64,1
20,47,1
20,54,1
20,34,1
20,58,1
20,59,1
20,35,1
20,72,1
22,20,1
22,56,1
22,33,1
22,58,1
22,43,1
22,49,1
22,42,1
22,94,1
22,48,1
22,77,1
22,68,1
22,41,1
22,11,1
22,31,1
48,28,1
48,32,1
48,39,1
48,38,1
48,26,1
48,56,2
48,44,1
48,59,1
48,49,1
48,37,1
48,69,1
48,71,1
48,76,1
48,50,1
49,42,1
49,45,1
49,40,1
49,39,1
