x,y,count
53,91,1
53,71,1
53,80,1
53,83,1
53,89,2
53,100,1
53,86,2
53,6,1
53,20,2
53,19,1
53,7,2
53,4,2
53,97,1
53,64,1
53,98,1
53,82,1
53,92,1
53,52,1
53,25,1
53,32,1
53,2,1
53,30,2
53,22,1
53,12,1
42,82,2
42,61,1
42,91,1
42,90,4
42,9,2
42,100,2
42,86,1
42,22,1
42,93,1
42,92,1
42,94,2
42,4,2
42,21,1
42,12,1
42,95,1
42,81,1
42,18,2
42,1,1
42,85,1
42,87,1
42,40,1
42,29,1
42,14,2
42,25,1
42,26,1
42,2,1
42,0,1
28,66,1
28,78,1
28,97,1
28,9,1
28,49,2
28,82,1
28,76,3
28,23,1
28,100,1
28,3,1
28,13,1
28,21,3
28,90,1
28,69,1
28,96,1
28,93,2
28,43,1
28,15,1
28,11,2
28,10,1
28,27,1
28,54,1
28,18,1
28,5,1
28,87,1
57,83,1
57,79,2
57,96,2
57,93,2
57,6,1
57,10,3
57,11,2
57,100,1
57,36,1
57,91,1
57,90,1
57,5,1
57,14,1
57,0,1
57,94,1
57,92,1
57,17,1
15,80,2
15,49,1
15,29,1
15,26,1
15,11,2
15,23,1
15,42,2
15,77,1
15,78,1
15,3,1
15,86,1
15,65,1
15,100,1
15,67,1
15,97,1
15,99,1
15,25,2
15,34,1
15,8,1
15,16,1
15,15,1
15,4,1
15,24,1
15,5,1
15,73,1
21,89,1
21,16,1
21,20,3
21,25,1
21,42,1
21,0,1
21,36,1
21,71,2
21,11,1
21,97,1
21,6,2
21,5,1
21,7,1
21,47,1
21,95,1
21,8,1
21,83,1
21,27,1
21,22,1
21,3,1
21,4,1
21,45,1
21,13,1
43,86,1
43,92,2
43,15,1
43,81,1
43,71,1
43,100,2
43,80,1
43,93,5
43,90,1
43,0,2
43,5,3
43,10,2
43,6,2
43,98,1
43,7,2
43,11,1
43,9,2
43,87,1
43,72,1
43,95,1
43,26,1
43,13,2
43,23,1
43,25,1
43,18,1
39,93,1
39,69,1
39,68,1
39,66,2
39,4,1
39,63,1
39,82,1
39,27,1
39,100,4
39,90,1
39,59,1
39,1,1
39,95,1
39,83,1
39,86,2
39,30,1
39,5,1
39,20,1
39,45,1
39,21,1
39,0,1
39,11,1
39,96,1
2,95,1
2,19,1
2,70,2
2,58,2
2,2,1
2,100,1
2,8,1
2,35,1
2,24,1
2,17,1
2,15,1
2,59,1
2,46,1
3,92,1
3,6,1
3,29,1
3,40,1
3,97,1
3,23,1
3,75,1
3,69,1
3,5,2
3,81,1
3,93,1
3,95,1
3,14,1
3,32,1
3,72,1
3,28,1
36,93,1
36,0,1
36,91,1
36,40,2
36,86,1
36,84,1
36,23,1
36,1,2
36,3,1
36,95,1
36,88,1
36,89,1
36,72,1
36,13,1
36,30,1
36,18,1
36,38,2
36,34,1
36,28,1
36,26,1
36,17,1
36,25,1
36,16,1
36,9,1
36,20,1
48,91,1
48,35,1
48,78,2
48,21,1
48,85,1
48,88,1
48,98,1
48,94,4
48,1,1
48,28,1
48,23,1
48,49,1
48,97,1
48,10,1
48,81,2
48,8,1
48,76,1
48,6,1
48,15,3
48,3,1
48,93,1
48,96,1
48,95,2
48,90,1
48,72,2
48,99,1
48,100,1
48,36,1
48,20,1
48,0,2
48,16,2
48,82,1
49,86,3
49,94,1
49,84,2
49,85,1
49,77,1
49,95,1
49,83,1
49,100,2
49,15,1
49,80,1
49,96,1
49,27,1
49,90,1
49,4,2
49,76,1
49,70,1
49,87,1
49,89,2
49,93,1
49,88,1
49,0,3
49,63,1
49,18,3
49,12,2
49,22,1
49,11,1
49,23,2
49,37,1
49,2,1
49,9,1
47,76,1
47,83,1
47,45,1
47,73,3
47,100,2
47,12,1
47,1,3
47,41,1
47,10,1
47,47,1
47,80,1
47,96,1
47,17,1
47,33,1
47,79,3
47,94,1
47,95,1
47,0,1
47,7,1
47,24,1
47,35,1
47,25,1
47,18,1
47,37,1
46,80,1
46,15,2
46,88,2
46,86,1
46,89,1
46,97,2
46,12,1
46,5,1
46,0,1
46,76,1
46,25,1
46,4,1
46,94,1
46,91,1
46,11,1
46,9,1
46,44,1
46,10,1
46,18,1
46,92,1
46,66,1
46,100,1
46,87,1
46,2,1
41,62,1
41,93,1
41,21,1
41,26,1
41,97,2
41,5,2
41,13,1
41,89,1
41,91,1
41,96,1
41,84,1
41,47,1
41,48,1
41,14,1
41,7,1
41,12,1
41,2,1
41,31,1
41,28,1
41,16,1
41,32,1
64,82,1
64,17,1
64,0,3
64,100,1
64,34,2
64,86,2
64,11,1
64,90,1
64,94,1
64,91,1
64,87,2
64,14,1
64,6,1
64,7,4
64,4,1
64,9,1
64,98,1
64,10,1
64,16,1
64,1,1
64,97,1
64,20,1
64,89,1
64,92,1
64,37,1
64,38,1
64,12,1
64,13,1
64,39,1
64,5,1
58,64,1
58,84,1
58,95,1
58,21,1
58,88,1
58,90,2
58,76,1
58,89,1
58,24,1
58,96,2
58,1,1
58,25,1
58,5,1
58,80,1
58,94,2
58,37,1
58,31,1
58,8,1
58,12,1
58,9,1
58,15,1
58,3,1
58,16,1
58,0,1
58,11,1
52,69,1
52,5,1
52,46,1
52,49,1
52,91,1
52,19,1
52,6,4
52,18,2
52,39,1
52,0,2
52,81,1
52,94,1
52,47,1
52,10,1
52,3,1
52,2,1
52,16,2
52,17,1
52,26,1
52,28,1
52,35,1
52,4,1
52,11,1
52,89,1
75,81,1
75,78,1
75,87,1
75,0,1
75,98,1
75,12,1
75,23,1
75,14,1
75,8,1
75,90,2
75,6,1
75,82,1
75,92,2
75,84,1
75,100,1
75,21,1
75,62,1
75,5,1
75,4,1
75,99,1
59,85,1
59,5,1
59,1,3
59,84,1
59,89,2
59,13,1
59,0,1
59,20,2
59,36,1
59,12,1
59,2,2
59,43,1
59,11,1
59,94,1
59,81,1
59,90,1
59,31,2
59,29,1
59,33,1
59,35,1
59,22,1
59,24,1
59,87,1
