x,y,count
26,12,2
26,8,1
26,14,1
26,32,2
26,11,2
26,16,1
26,20,1
26,0,1
26,1,1
26,43,1
26,3,1
35,26,1
35,22,1
35,1,1
35,20,1
35,14,2
35,4,4
35,13,1
35,10,1
35,15,1
35,0,3
35,12,1
35,23,1
35,11,1
35,3,1
46,26,1
46,20,2
46,15,1
46,0,5
46,8,1
46,4,1
46,18,1
46,17,1
46,19,1
46,22,1
46,5,2
46,14,1
51,21,1
51,24,1
51,6,3
51,19,2
51,0,3
51,48,1
51,9,1
51,17,1
51,22,1
51,23,1
51,18,1
51,8,2
51,29,1
51,4,1
66,0,5
66,11,1
66,5,1
66,26,2
66,8,1
66,6,3
66,7,1
66,20,1
39,18,3
39,15,1
39,8,1
39,23,1
39,17,1
39,31,1
39,13,1
39,0,1
39,11,1
39,20,1
39,19,1
31,18,1
31,17,1
31,14,1
31,0,2
31,6,3
31,1,1
31,5,2
31,22,1
31,20,1
31,8,1
31,31,1
31,25,1
31,3,1
31,10,1
42,18,1
42,9,4
42,21,1
42,27,1
42,2,3
42,14,1
42,7,2
42,13,2
42,20,1
42,19,1
42,15,1
42,0,1
30,16,1
30,0,5
30,11,1
30,3,1
30,61,1
30,9,1
30,8,1
30,15,1
30,6,2
30,24,1
30,29,1
30,10,2
30,1,1
30,5,1
30,2,1
30,13,1
30,18,1
52,8,3
52,5,3
52,0,2
52,26,1
52,11,1
52,15,2
52,4,2
52,6,1
52,21,1
52,12,2
52,17,1
52,29,1
52,14,1
52,24,1
40,13,2
40,7,3
40,23,2
40,15,3
40,12,1
40,31,1
40,0,2
40,2,1
40,33,1
40,10,1
40,25,2
40,6,1
40,16,3
40,11,1
40,27,1
40,18,1
40,8,1
8,40,1
8,38,1
8,7,1
8,4,2
25,8,1
25,12,1
25,43,1
25,0,1
25,6,2
25,40,1
25,32,1
25,2,1
25,10,1
59,10,2
59,16,1
59,6,2
59,12,3
59,0,4
59,11,2
59,15,1
59,5,1
59,2,1
59,39,1
59,4,1
59,26,1
59,7,1
59,20,1
78,10,2
78,14,2
78,1,1
78,3,3
78,0,2
78,16,1
78,4,2
78,9,1
78,6,1
68,18,3
68,10,2
68,26,1
68,4,1
68,23,3
68,9,1
68,13,2
68,53,1
68,20,2
68,14,2
68,37,1
68,3,1
62,8,1
62,10,1
62,17,3
62,2,1
62,0,4
62,74,1
62,42,1
62,7,2
62,16,1
62,30,1
62,6,1
62,9,1
63,8,1
63,10,1
63,9,1
63,18,1
63,15,1
63,20,1
63,11,1
63,7,1
63,0,4
63,16,1
63,5,1
63,13,1
63,36,2
63,3,1
33,14,1
33,18,1
33,17,1
33,0,4
33,23,2
33,1,1
33,11,1
33,10,1
33,26,1
33,47,1
34,14,1
34,0,3
34,15,2
34,16,1
34,22,1
34,25,2
34,18,1
34,11,1
34,24,1
34,3,2
34,29,1
34,1,1
34,26,1
34,20,1
27,10,5
27,48,1
27,8,2
27,2,1
27,4,1
27,15,1
27,16,1
27,25,1
27,6,2
27,12,1
27,28,1
27,0,2
53,8,3
53,1,2
53,14,2
53,9,3
53,20,1
53,15,1
53,18,1
53,12,2
53,7,1
53,3,1
53,29,1
53,30,1
53,57,1
43,2,1
43,0,2
43,26,1
43,16,1
43,4,2
43,8,2
43,19,2
43,5,2
43,6,1
43,20,1
43,14,2
22,13,1
22,35,1
22,37,1
22,8,1
22,18,1
22,30,2
22,4,1
22,26,1
22,25,1
22,19,1
22,33,1
22,12,2
57,9,1
57,4,4
57,19,2
57,8,2
57,0,1
57,23,1
57,24,1
57,11,2
57,26,1
57,7,1
57,15,1
57,14,1
57,48,2
57,10,1
57,17,1
57,18,1
57,25,1
41,0,3
41,1,1
41,24,2
41,28,1
41,20,2
41,23,2
41,3,1
41,13,1
41,17,1
41,5,1
41,19,1
32,8,2
32,25,1
32,21,1
32,0,2
32,26,2
32,28,1
32,7,2
32,9,1
32,10,1
32,6,1
32,16,1
32,15,1
20,10,1
20,43,1
20,27,1
20,21,2
20,13,1
20,6,1
20,23,3
20,22,1
20,9,1
20,25,1
20,7,1
16,13,1
16,34,1
16,24,1
16,1,1
16,22,1
16,23,1
16,0,2
16,57,1
16,5,1
16,17,1
16,4,1
16,79,1
80,10,1
80,0,4
80,9,1
80,21,3
80,12,1
80,1,1
80,41,1
80,14,1
80,13,1
89,44,1
89,14,2
89,22,2
89,24,1
89,18,1
89,19,1
89,27,1
89,35,1
89,42,1
89,0,1
71,13,1
71,18,1
71,44,1
71,29,1
71,31,1
71,0,2
71,16,2
71,82,1
71,14,1
71,8,2
71,10,1
71,2,1
71,11,1
50,13,1
50,7,2
50,6,1
50,14,2
50,10,4
50,17,2
50,24,1
50,12,2
50,25,2
50,5,1
50,1,1
50,4,1
50,34,1
50,48,1
50,8,1
50,21,1
49,9,1
49,12,1
49,20,3
49,16,1
49,30,2
49,15,2
49,13,1
49,8,2
49,22,1
49,14,2
49,36,1
69,16,2
69,46,1
69,5,1
69,18,3
69,14,1
69,24,1
69,58,1
69,4,3
69,17,1
69,35,1
69,22,1
69,48,1
69,9,1
69,8,1
83,0,4
83,50,1
83,47,1
83,19,1
83,13,1
83,12,1
83,11,1
83,14,1
83,7,1
83,41,1
75,1,2
75,0,2
75,2,1
75,25,1
75,10,1
75,17,1
75,8,1
75,13,1
75,31,1
75,4,1
75,9,1
54,3,1
54,0,3
54,37,1
54,18,4
54,26,1
54,9,3
54,16,1
54,1,1
54,4,2
54,8,2
54,20,1
54,14,1
54,12,1
54,23,1
54,21,1
54,7,1
54,5,1
23,0,3
23,5,1
23,26,1
23,18,1
23,10,1
23,12,1
23,35,1
23,19,1
23,1,1
23,23,1
23,13,2
23,29,1
23,17,2
44,2,2
44,29,1
44,31,1
44,26,1
44,5,3
44,12,1
44,0,2
44,15,3
44,10,1
44,28,1
44,17,1
44,11,1
44,13,1
44,36,1
3,38,1
3,48,1
3,56,1
3,62,1
3,5,1
3,50,1
3,31,1
3,29,1
5,22,1
5,35,1
14,48,1
14,54,1
14,0,2
14,10,1
14,41,1
14,1,1
14,51,1
14,43,2
14,45,1
14,30,2
6,5,1
6,29,2
6,10,1
6,33,1
6,17,1
6,50,1
6,42,1
6,52,2
7,5,1
7,24,1
7,23,1
7,27,1
7,40,2
7,11,1
7,33,1
7,32,1
7,42,1
7,15,1
7,57,1
7,48,1
7,7,2
45,45,1
45,22,1
45,12,1
45,13,1
45,7,1
45,14,1
45,16,2
45,9,2
45,20,2
45,10,1
45,11,1
45,19,1
45,25,1
45,0,1
45,5,1
45,2,1
36,20,2
36,19,2
36,33,1
36,32,1
36,0,3
36,28,1
36,11,1
36,8,1
36,9,1
36,6,1
36,12,1
36,16,1
36,21,1
36,5,1
36,23,1
36,1,1
86,0,3
86,11,1
86,34,1
88,0,4
88,6,1
88,5,1
88,27,1
88,3,1
88,18,2
98,23,1
98,33,1
98,5,1
98,20,1
98,21,1
28,2,1
28,18,2
28,13,1
28,39,1
28,31,1
28,0,1
28,3,2
28,30,1
28,6,1
28,5,2
28,11,1
28,12,1
28,38,1
28,10,1
72,21,1
72,16,1
72,24,1
72,19,1
72,15,1
72,0,1
72,18,1
72,22,1
72,11,1
72,59,1
72,20,1
72,8,1
61,0,2
61,13,2
61,10,3
61,15,1
61,7,2
61,9,1
61,4,1
61,3,1
61,27,1
61,1,1
61,14,1
61,16,1
24,0,3
24,17,1
24,26,1
24,8,2
24,10,1
24,9,2
29,7,2
29,14,1
29,20,1
29,12,1
29,19,2
29,4,1
29,18,2
29,8,1
29,41,1
29,6,1
29,0,2
29,23,1
81,12,1
81,0,4
81,16,1
81,30,1
81,9,1
81,8,1
81,94,1
81,3,1
81,32,1
60,0,1
60,26,1
60,15,1
60,13,1
60,8,1
60,3,1
60,23,1
60,4,1
60,14,2
60,10,1
60,9,1
60,30,1
96,6,1
96,10,1
96,21,2
96,5,1
96,29,1
96,13,1
9,26,1
9,39,1
9,30,1
73,11,2
73,8,1
73,20,2
73,0,1
73,4,1
73,6,2
73,37,1
73,29,1
73,36,1
73,16,1
76,13,2
76,1,2
76,8,2
76,10,2
76,6,1
76,19,1
76,42,1
76,32,1
76,12,1
76,21,1
76,34,1
76,23,1
76,7,1
38,0,3
38,4,2
38,19,1
38,1,1
38,42,1
38,13,2
38,5,1
38,22,1
38,24,1
38,28,1
38,17,1
38,23,1
38,10,2
38,9,2
38,15,1
38,29,1
38,8,1
38,32,2
38,16,1
38,18,2
47,28,1
47,4,1
47,0,6
47,19,1
47,6,1
47,2,1
47,8,3
47,7,1
47,23,1
47,18,2
47,10,1
47,15,1
47,14,1
47,17,1
47,16,1
79,14,1
79,12,1
79,47,1
79,53,1
79,9,1
79,28,1
79,3,2
79,0,1
79,2,1
79,20,1
79,4,1
79,40,1
79,5,1
48,14,1
48,18,2
48,1,1
48,19,4
48,5,3
48,0,1
48,10,1
48,6,1
48,37,1
48,16,1
48,9,1
48,51,1
56,7,1
56,0,4
56,15,2
56,5,1
56,66,1
56,19,1
56,25,1
56,75,1
56,18,1
56,10,1
56,17,1
56,8,1
37,5,1
37,21,2
37,11,1
37,14,1
37,0,4
37,8,1
37,2,1
37,12,1
37,17,2
37,3,1
37,4,2
37,10,1
37,6,1
94,16,1
94,26,1
94,48,1
94,21,3
94,29,1
94,35,1
94,0,1
94,24,1
94,23,1
94,47,1
4,15,2
4,47,1
4,28,1
4,13,1
4,1,1
4,30,1
4,43,2
4,62,1
95,19,1
95,23,1
95,17,2
95,0,1
95,22,1
55,11,1
55,18,1
55,24,2
55,12,1
55,10,1
55,9,1
55,7,1
55,35,1
55,17,1
55,21,1
55,0,1
55,13,1
55,31,1
55,4,1
55,3,1
55,20,1
90,4,1
90,20,1
90,18,1
90,21,2
90,31,1
90,22,1
90,2,1
93,15,1
93,26,1
93,47,1
93,30,1
93,20,1
93,21,1
87,10,1
87,0,2
87,26,1
87,2,1
87,42,1
87,14,1
87,1,1
87,5,1
74,12,1
74,16,3
74,11,1
74,13,1
74,4,2
74,5,2
74,27,1
74,8,2
74,14,1
74,2,1
74,9,2
74,32,1
74,0,2
74,18,1
74,26,1
74,17,1
67,3,1
67,12,1
67,13,1
67,11,1
67,2,1
67,0,2
67,24,1
67,20,1
67,1,1
67,9,1
67,8,2
67,7,2
64,0,3
64,19,1
64,6,3
64,35,1
64,12,1
64,13,1
64,22,1
64,1,1
64,11,1
64,16,1
64,7,1
64,10,1
64,9,1
65,5,1
65,14,1
65,9,1
65,7,1
65,0,1
65,8,1
65,10,1
65,6,1
91,14,1
91,48,1
91,38,1
91,32,1
70,33,1
70,5,1
70,0,2
70,2,1
70,6,1
70,28,1
70,31,1
70,24,1
70,25,1
70,7,1
70,12,1
18,6,1
18,26,1
18,0,1
18,15,2
18,45,1
18,8,1
18,5,2
18,47,1
18,2,1
92,26,1
92,22,1
92,18,1
92,0,3
92,31,1
92,47,2
11,58,1
11,5,1
11,34,1
11,0,2
11,17,1
10,35,1
10,43,1
10,3,1
10,0,2
10,46,1
10,33,1
0,40,1
0,53,1
0,52,1
