x,y,count
18,40,1
18,85,2
18,68,2
18,75,1
18,88,1
18,93,1
18,95,1
18,18,1
18,63,3
18,76,2
18,81,1
18,64,1
18,69,1
18,80,1
18,70,1
18,65,2
18,4,1
18,72,1
18,83,1
18,59,1
18,57,1
18,78,1
18,43,1
18,67,1
22,50,1
22,65,3
22,75,3
22,52,1
22,71,3
22,48,1
22,79,2
22,95,1
22,46,1
22,70,4
22,99,1
22,32,1
22,34,1
22,74,1
22,35,1
22,66,2
22,84,3
22,57,2
22,16,1
22,68,2
22,51,1
22,69,1
22,94,1
22,47,1
22,61,1
22,77,1
22,89,1
22,86,1
22,72,1
41,73,4
41,42,1
41,67,5
41,70,4
41,62,1
41,59,2
41,60,3
41,58,1
41,93,1
41,46,1
41,22,1
41,69,1
41,78,1
41,57,1
41,84,1
41,87,2
41,81,1
41,82,1
41,48,1
41,18,1
41,7,1
41,79,2
41,53,1
41,74,1
48,85,1
48,20,1
48,86,1
48,78,2
48,77,1
48,73,2
48,60,2
48,83,1
48,56,2
48,69,1
48,82,1
48,67,1
48,49,1
48,34,1
48,51,1
48,74,1
48,57,1
48,72,1
48,80,1
48,71,1
48,98,1
48,63,1
48,68,1
48,89,1
48,52,1
48,75,3
48,59,1
48,76,2
28,46,1
28,88,1
28,56,3
28,50,4
28,49,1
28,69,1
28,38,1
28,74,2
28,70,1
28,68,1
28,57,2
28,52,1
28,86,1
28,66,1
28,100,1
28,72,2
28,71,1
28,63,1
28,64,2
28,53,1
28,67,1
28,42,1
28,84,2
28,34,1
28,37,1
28,51,1
28,35,1
28,79,1
28,80,2
28,65,1
12,79,1
12,82,1
12,67,1
12,91,1
12,69,1
12,83,1
12,95,1
12,65,3
12,98,1
12,56,2
12,24,1
12,51,1
12,57,1
12,42,1
12,88,1
12,97,1
12,28,2
12,76,1
12,58,1
12,48,2
12,53,1
12,73,1
12,86,2
12,68,1
12,72,1
12,93,1
24,64,1
24,73,2
24,63,1
24,79,2
24,34,1
24,92,1
24,82,2
24,56,1
24,76,1
24,68,3
24,59,1
24,69,1
24,89,3
24,54,1
24,53,1
24,52,1
24,66,1
24,71,2
24,58,2
24,32,1
24,96,1
24,16,1
24,78,1
24,77,1
24,27,1
24,86,1
24,62,1
24,85,1
24,28,1
24,70,1
24,74,1
6,91,1
6,57,1
6,67,1
6,52,5
6,68,1
6,79,1
6,97,1
6,78,3
6,54,2
6,41,2
6,51,4
6,70,1
6,61,2
6,56,1
6,48,4
6,77,1
6,88,1
6,92,1
6,50,1
6,65,1
6,76,1
6,42,1
20,60,2
20,76,2
20,93,2
20,51,2
20,29,2
20,74,3
20,92,2
20,75,1
20,65,3
20,57,3
20,72,3
20,41,1
20,64,1
20,77,1
20,63,3
20,68,1
20,87,1
20,53,1
20,67,1
20,4,1
20,86,1
20,59,1
20,38,1
20,44,1
20,7,1
20,62,2
20,98,1
20,66,1
20,16,1
45,72,1
45,69,1
45,76,1
45,71,3
45,67,2
45,50,1
45,59,2
45,74,2
45,53,1
45,51,1
45,54,2
45,52,3
45,75,2
45,62,1
45,32,1
45,43,1
45,64,1
45,27,1
45,31,1
45,73,1
45,17,1
45,63,2
45,58,1
45,40,1
45,26,1
45,65,1
45,41,1
45,56,1
45,81,1
33,58,4
33,68,1
33,83,1
33,38,1
33,65,2
33,48,1
33,57,3
33,60,3
33,63,1
33,56,2
33,66,1
33,69,5
33,81,1
33,74,1
33,61,2
33,86,1
33,53,2
33,45,1
33,43,1
33,59,1
33,44,1
33,62,1
33,72,1
33,52,1
33,91,1
33,70,1
33,87,1
33,41,1
33,40,1
33,47,1
33,50,1
33,0,1
33,55,1
33,73,2
33,49,2
33,79,2
33,80,1
33,71,1
36,84,3
36,85,1
36,64,3
36,73,3
36,72,2
36,68,1
36,71,3
36,70,3
36,66,1
36,79,1
36,94,1
36,60,1
36,76,1
36,69,1
36,83,2
36,56,2
36,75,1
36,54,5
36,57,1
36,61,3
36,50,1
36,88,1
36,59,1
36,55,1
36,78,1
36,62,1
36,81,1
36,65,2
36,53,2
36,46,1
36,87,3
36,49,1
36,86,1
36,80,1
36,52,1
36,48,1
60,90,1
60,100,1
60,47,1
60,91,1
60,83,1
60,31,1
60,26,1
60,53,1
60,67,1
60,93,1
60,68,2
60,65,1
60,71,2
60,73,1
60,61,1
49,75,3
49,56,3
49,69,1
49,37,2
49,95,1
49,86,1
49,83,1
49,80,1
49,63,1
49,66,1
49,85,1
49,88,1
49,87,1
49,35,1
49,82,1
49,57,1
49,65,2
49,59,3
49,73,1
49,16,1
49,62,1
49,92,2
49,50,2
49,42,1
49,22,1
49,67,1
49,71,2
49,76,1
49,53,1
49,52,2
51,83,1
51,80,2
51,66,1
51,72,4
51,81,4
51,64,3
51,78,1
51,71,1
51,73,2
51,86,1
51,47,1
51,41,1
51,85,1
51,88,1
51,57,1
51,50,1
51,87,1
51,45,1
51,49,1
51,28,1
51,52,1
51,75,2
51,54,1
51,74,1
51,82,1
51,63,1
51,69,1
47,83,3
47,79,1
47,88,1
47,54,2
47,97,1
47,59,1
47,76,4
47,86,1
47,60,2
47,0,1
47,69,2
47,87,2
47,77,1
47,73,1
47,90,1
47,74,1
47,51,1
47,48,2
47,52,1
47,49,1
47,41,1
47,61,1
47,64,1
47,93,1
47,56,1
47,58,1
47,50,1
21,64,4
21,58,1
21,72,2
21,54,2
21,77,1
21,47,2
21,76,2
21,78,1
21,87,1
21,61,1
21,68,1
21,56,2
21,52,1
21,88,1
21,65,1
21,22,2
21,74,2
21,82,2
21,66,1
21,38,2
21,91,2
21,60,1
21,57,2
21,86,1
21,63,1
21,6,1
21,73,1
21,51,1
21,79,1
7,70,1
7,56,1
7,72,1
7,42,2
7,71,2
7,57,1
7,68,1
7,60,1
7,48,2
7,46,1
7,36,2
7,80,2
7,50,1
7,78,1
7,41,1
7,52,1
7,49,1
7,82,2
7,58,1
7,100,1
7,69,1
7,62,1
7,63,1
7,51,1
7,81,1
7,53,2
32,68,1
32,51,2
32,71,1
32,50,1
32,99,1
32,60,1
32,52,2
32,20,1
32,82,1
32,70,2
32,34,1
32,66,1
32,69,1
32,44,1
32,43,1
32,36,1
32,58,1
32,80,1
32,65,2
32,47,1
32,54,1
32,48,1
32,39,1
32,75,2
32,40,1
32,81,1
32,87,1
32,49,1
32,56,2
32,45,1
32,72,1
32,83,2
32,77,1
32,62,1
37,70,3
37,42,1
37,41,1
37,62,1
37,65,3
37,77,2
37,43,2
37,85,1
37,83,1
37,88,1
37,57,3
37,95,1
37,54,3
37,73,2
37,78,2
37,86,2
37,80,1
37,61,2
37,60,2
37,47,1
37,25,1
37,26,1
37,56,1
37,82,2
37,87,1
37,68,1
37,72,1
37,69,1
37,59,1
37,67,3
37,71,1
37,52,2
37,55,1
37,66,1
37,44,1
46,69,2
46,52,2
46,78,1
46,63,3
46,43,1
46,56,3
46,82,1
46,79,2
46,70,1
46,34,1
46,68,1
46,65,2
46,58,1
46,76,1
46,9,1
46,46,1
46,88,2
46,86,1
46,80,1
46,73,2
46,96,1
46,64,1
46,50,1
46,41,1
46,62,1
46,77,1
46,61,2
46,8,1
46,66,2
46,72,2
46,71,1
46,74,1
46,57,1
46,67,1
31,54,3
31,48,3
31,37,1
31,26,1
31,68,1
31,43,1
31,65,2
31,56,6
31,35,1
31,85,2
31,72,2
31,66,1
31,70,3
31,60,2
31,51,1
31,40,1
31,53,2
31,79,1
31,69,3
31,61,1
31,44,1
31,32,1
31,49,2
31,81,1
31,29,1
31,84,1
31,82,2
31,75,1
23,8,1
23,61,1
23,84,1
23,70,2
23,74,4
23,71,2
23,72,1
23,77,2
23,46,1
23,87,1
23,54,1
23,58,4
23,51,1
23,56,2
23,79,3
23,66,1
23,86,1
23,98,1
23,42,1
23,55,1
23,52,1
23,60,2
23,88,2
23,65,1
23,34,1
23,64,1
23,67,1
23,80,1
23,17,1
23,63,1
29,17,1
29,58,1
29,62,2
29,70,2
29,75,1
29,77,1
29,48,2
29,76,1
29,78,1
29,50,3
29,52,1
29,85,1
29,54,1
29,53,2
29,51,2
29,60,1
29,64,1
29,69,1
29,67,2
29,47,2
29,65,2
29,41,1
29,35,1
29,91,1
29,42,2
29,66,1
29,49,1
29,71,1
29,56,1
29,90,1
29,86,1
29,81,1
29,82,1
85,49,2
85,69,1
85,71,1
85,33,1
85,50,1
85,57,2
25,67,4
25,40,1
25,29,1
25,59,3
25,76,2
25,80,1
25,72,2
25,61,1
25,56,3
25,31,1
25,60,1
25,66,1
25,87,1
25,89,1
25,93,1
25,41,1
25,35,1
25,52,1
25,37,1
25,79,1
25,48,1
25,74,1
25,83,1
25,69,1
50,57,2
50,86,1
50,64,2
50,81,1
50,42,1
50,76,1
50,35,2
50,27,1
50,48,1
50,13,1
50,63,1
50,54,1
50,60,1
50,58,3
50,65,1
50,82,1
50,61,1
50,55,1
50,49,1
50,94,1
50,37,1
50,44,2
50,46,1
50,47,1
50,99,1
50,69,1
17,53,1
17,63,2
17,31,1
17,58,2
17,61,3
17,71,3
17,46,2
17,73,1
17,93,1
17,40,1
17,65,1
17,54,3
17,79,2
17,57,1
17,52,1
17,30,3
17,56,1
17,39,2
17,78,2
17,87,1
17,74,1
17,42,1
17,66,3
17,97,1
17,92,1
17,76,1
17,34,1
39,57,1
39,56,3
39,77,3
39,60,2
39,71,2
39,86,1
39,64,4
39,72,2
39,67,3
39,74,2
39,29,1
39,48,2
39,61,5
39,43,1
39,70,1
39,54,2
39,83,2
39,93,1
39,55,1
39,73,1
39,69,2
39,37,1
39,42,2
39,65,1
39,85,1
39,53,1
42,48,2
42,60,2
42,84,1
42,56,1
42,51,1
42,47,1
42,77,1
42,75,1
42,98,1
42,68,3
42,70,1
42,45,1
42,65,2
42,59,1
42,63,2
42,71,3
42,94,1
42,64,1
42,86,2
42,89,1
42,32,1
42,58,2
42,88,1
42,37,1
42,81,2
42,91,1
42,72,1
42,92,1
42,57,1
42,95,1
42,96,1
42,74,1
42,62,1
42,73,1
26,50,2
26,62,2
26,65,1
26,90,3
26,68,1
26,81,2
26,53,1
26,54,3
26,39,1
26,85,3
26,40,1
26,69,1
26,66,1
26,35,1
26,31,1
26,64,1
26,43,1
26,49,1
26,37,1
26,46,2
26,48,3
