x,y,count
58,0,3
58,7,3
58,27,1
58,1,1
35,4,1
35,26,1
35,100,1
35,0,3
35,8,2
35,10,1
35,7,1
35,16,1
35,15,1
35,9,1
35,5,1
27,16,1
27,5,1
27,23,1
27,59,1
27,15,1
27,11,2
27,42,1
27,7,1
27,0,1
27,8,1
27,6,1
27,32,1
27,62,1
27,19,1
27,34,1
45,7,2
45,8,1
45,29,1
45,24,2
45,0,1
45,45,1
45,3,1
45,11,2
45,57,1
66,9,1
66,3,1
66,0,2
66,27,1
66,51,1
66,6,1
66,21,2
66,10,1
25,22,2
25,6,1
25,4,1
25,2,1
25,15,1
24,8,1
24,74,1
24,7,2
24,15,1
24,11,1
24,51,1
24,14,1
24,9,1
24,13,1
24,5,1
61,0,1
61,11,2
61,5,1
61,9,2
61,32,1
61,13,2
61,31,1
61,73,1
61,4,1
61,2,1
61,7,1
61,8,1
62,0,2
62,26,1
62,4,2
62,6,1
62,50,1
62,33,1
62,2,1
62,14,1
62,20,2
62,23,2
62,10,1
62,7,1
67,8,1
67,0,2
67,48,1
67,4,2
67,16,2
67,34,1
67,97,1
67,11,1
67,9,1
67,36,1
56,0,5
56,2,2
56,5,2
56,7,3
56,9,1
56,6,1
56,23,1
56,11,1
56,15,1
56,8,1
56,49,1
36,5,1
36,7,2
36,4,1
36,6,2
36,8,1
36,13,1
36,0,3
36,17,2
36,23,2
36,39,1
36,54,1
36,16,1
36,22,1
23,10,3
23,37,2
23,9,1
23,11,2
23,15,1
23,12,1
23,27,1
23,22,1
23,13,1
23,2,1
23,4,2
23,85,1
90,0,5
90,9,1
90,7,1
90,4,1
92,5,1
92,100,1
92,29,1
92,3,1
92,0,1
63,13,1
63,19,2
63,9,2
63,5,1
63,0,1
63,12,1
63,15,2
63,27,1
63,46,1
63,21,1
37,5,1
37,10,3
37,50,1
37,16,2
37,18,1
37,0,1
37,54,1
37,11,1
37,9,1
34,0,2
34,9,1
34,38,1
34,17,1
34,43,1
34,16,1
34,46,1
34,13,2
7,25,2
7,7,1
7,5,1
7,40,2
7,9,1
7,15,2
7,44,1
7,19,1
7,10,1
7,14,2
7,80,1
7,51,1
7,87,1
74,20,1
74,66,1
74,3,1
74,0,1
74,27,1
74,6,1
74,13,1
81,4,1
81,13,1
94,9,1
94,0,1
40,14,1
40,35,1
40,19,1
40,3,1
40,2,1
40,16,2
40,4,1
40,13,1
40,5,1
40,34,1
40,8,1
83,0,2
83,14,1
83,13,1
83,5,2
83,9,1
83,24,1
83,10,1
49,6,1
29,10,1
29,14,1
29,13,1
29,17,1
29,8,1
29,5,2
29,26,2
29,21,1
29,7,1
29,2,2
29,4,2
29,6,1
29,0,1
29,18,1
41,34,1
41,3,2
41,4,3
41,92,1
41,6,2
41,29,1
41,15,1
41,11,1
41,30,1
41,2,1
41,5,1
41,9,1
41,20,1
43,38,1
43,100,1
43,51,1
43,12,1
43,2,2
43,6,1
43,22,1
43,5,1
43,31,1
47,7,2
47,3,1
47,11,1
47,6,1
47,1,1
64,3,1
64,4,2
64,57,1
64,2,1
64,30,1
64,29,1
64,19,1
60,1,1
60,18,2
60,0,3
60,23,1
60,35,1
60,8,1
60,6,1
60,3,1
60,11,1
60,9,1
19,14,1
19,33,2
19,24,2
19,4,2
19,13,1
19,12,1
19,25,1
19,16,1
19,0,2
70,8,1
70,26,1
