x,y,count
43,64,3
43,35,1
43,15,1
43,89,1
43,19,1
43,3,1
43,40,1
43,86,1
43,91,1
43,46,1
43,5,1
43,85,1
43,93,1
41,64,1
41,69,1
41,91,1
41,94,1
41,74,1
41,75,1
41,15,1
41,72,1
41,56,1
41,36,1
41,86,1
44,65,1
44,68,1
44,44,1
44,97,1
44,9,1
44,17,1
44,10,1
44,23,1
44,51,2
44,45,1
44,71,1
44,60,1
44,49,1
44,85,1
44,84,1
45,72,1
45,56,1
45,20,1
45,16,1
45,70,1
45,41,1
45,92,1
45,69,1
45,44,1
45,27,1
45,47,2
45,12,2
45,24,1
45,45,1
45,86,1
45,66,1
45,10,1
45,48,1
48,78,1
48,80,1
48,10,1
48,55,2
48,75,1
48,60,1
65,52,1
65,73,1
65,41,1
65,8,1
65,18,1
65,63,1
65,62,2
65,70,1
65,38,2
65,91,1
65,76,1
65,69,1
65,39,1
65,28,1
65,60,2
65,93,1
65,88,1
65,21,1
65,14,1
65,55,1
65,20,2
65,19,1
65,85,1
65,7,1
65,13,1
84,57,1
84,61,1
84,27,1
84,23,1
84,87,1
84,88,1
84,82,1
84,48,1
84,85,2
84,2,1
84,15,1
84,54,1
84,93,1
35,52,1
35,89,1
35,42,1
35,71,1
35,77,1
35,41,1
35,75,1
35,84,1
35,30,1
35,94,2
35,33,1
35,35,1
36,55,2
36,82,1
36,11,1
36,90,1
36,95,1
36,70,1
36,3,1
36,42,1
36,76,1
36,72,1
36,77,1
36,92,1
4,41,1
4,40,2
4,57,1
28,91,1
28,26,2
28,22,2
28,69,1
28,89,1
28,4,1
23,35,1
23,33,1
23,68,1
23,39,1
23,28,1
23,79,1
23,50,1
23,48,1
59,89,1
59,93,1
59,14,1
59,17,1
59,25,1
59,84,2
59,61,1
59,19,1
59,96,1
59,27,1
59,26,1
63,88,1
63,70,2
63,93,2
63,60,1
63,18,2
63,9,1
63,23,2
63,77,1
63,33,1
63,76,1
63,16,1
63,75,1
63,7,1
26,63,1
26,18,2
26,75,1
26,20,2
26,17,1
26,4,1
33,72,1
33,87,1
33,31,1
33,19,1
33,74,1
33,5,1
70,41,1
70,64,1
70,85,1
70,89,1
70,90,2
70,25,1
70,51,3
70,95,1
70,22,2
70,74,1
70,92,1
70,49,1
70,4,1
70,75,1
70,24,1
70,68,1
70,11,1
50,15,1
50,49,1
50,87,1
50,13,1
50,78,1
50,50,1
57,60,1
57,95,1
57,72,1
57,28,1
57,83,1
57,67,1
57,24,2
57,14,1
57,96,1
57,38,1
57,11,1
57,46,1
57,82,1
57,73,1
66,60,1
66,82,1
66,25,3
66,24,2
66,21,1
66,11,1
66,87,1
66,62,2
66,45,1
66,83,1
29,28,1
29,69,1
29,84,2
29,11,1
29,60,2
29,64,2
29,19,1
29,17,1
29,26,1
29,20,1
72,30,1
72,27,1
72,76,1
72,64,1
72,31,1
72,86,1
72,16,1
72,96,1
72,83,1
72,21,1
72,95,1
72,29,1
72,69,1
72,11,1
72,14,1
72,48,1
72,37,1
46,57,1
46,84,2
46,27,1
46,75,1
46,86,1
46,7,1
46,82,1
46,34,1
46,53,2
46,88,1
46,74,1
6,3,1
6,29,1
6,48,2
6,35,1
6,4,1
6,16,2
7,0,1
7,52,1
7,27,1
64,42,1
64,73,1
64,76,2
64,77,1
64,20,1
64,12,1
64,64,1
64,66,2
64,15,1
64,93,1
64,100,1
64,80,1
64,84,1
64,95,2
64,94,1
64,61,1
64,18,1
64,41,1
64,65,1
