x,y,count
32,79,1
32,52,1
32,4,1
32,37,1
32,82,2
32,83,1
32,23,1
32,65,1
32,92,1
32,39,1
41,76,1
41,40,1
41,24,1
41,67,1
41,37,1
41,70,1
41,64,1
41,35,1
41,22,1
41,11,2
71,80,1
71,30,2
71,96,1
71,79,1
71,77,1
71,45,1
71,47,1
71,60,1
71,43,1
71,66,1
71,40,1
42,74,1
42,14,1
42,72,1
42,24,1
42,53,1
37,40,1
37,18,1
37,49,1
37,52,1
37,36,1
37,73,1
37,16,1
37,30,1
37,64,1
37,4,1
37,90,1
37,7,1
70,81,1
70,71,1
70,8,1
70,76,1
70,36,1
70,31,1
70,49,1
70,58,1
70,15,1
70,96,1
8,59,1
8,48,1
8,37,1
11,55,1
11,10,1
36,82,1
36,16,1
36,77,1
36,71,1
36,57,1
36,3,1
77,75,1
77,15,1
77,26,1
77,30,1
77,62,1
77,38,1
77,42,1
77,54,1
47,51,1
47,71,1
47,46,1
47,50,1
43,97,1
43,76,1
43,88,1
43,11,2
43,24,1
43,87,1
43,71,1
43,32,1
43,91,1
43,50,1
43,63,1
43,67,1
74,48,1
74,63,2
74,81,1
74,33,1
74,59,1
74,58,1
74,8,1
74,55,1
74,64,1
74,30,1
52,91,1
52,44,1
52,7,1
52,51,1
52,62,1
25,91,1
25,10,1
25,33,1
25,3,1
57,74,2
57,78,1
57,65,1
57,34,1
57,67,1
50,49,9
50,50,10
59,78,1
59,81,1
59,83,1
59,14,1
59,16,1
59,42,1
59,20,1
59,66,1
59,37,1
55,77,1
55,63,1
55,38,1
55,28,2
55,96,1
76,89,2
76,39,1
76,16,1
76,37,1
76,59,1
76,60,2
76,43,1
76,68,1
76,18,1
76,56,1
82,46,2
82,38,1
82,94,1
82,73,1
82,47,1
82,39,1
29,77,1
29,24,1
29,31,1
29,71,1
27,76,2
27,85,1
27,50,1
27,67,1
27,61,1
27,37,1
27,84,1
67,57,1
67,41,2
67,85,2
67,30,1
67,86,1
67,94,1
67,42,1
67,9,1
67,43,1
67,70,1
67,71,1
67,38,1
69,46,1
69,52,1
69,57,1
69,56,1
69,48,1
69,65,1
69,61,1
69,92,1
69,74,1
69,66,1
69,25,1
69,62,1
69,70,1
95,51,1
95,59,1
95,49,1
93,51,2
93,45,1
93,46,1
93,27,1
93,7,1
93,15,2
79,42,1
79,75,1
79,53,1
79,36,1
79,57,1
53,48,2
53,21,1
53,67,1
53,24,1
53,15,1
53,44,2
53,70,1
53,57,1
53,93,1
53,55,1
72,61,1
72,40,1
72,49,1
72,34,1
72,39,1
72,26,1
72,68,1
72,46,1
72,6,1
72,42,1
72,18,1
73,20,1
73,42,1
73,22,1
73,37,2
73,52,1
73,38,1
73,61,1
73,34,1
73,72,1
73,70,1
73,93,1
73,56,1
73,41,2
31,60,1
31,85,1
31,80,2
31,9,1
31,35,1
31,66,1
31,47,1
31,63,1
31,65,1
31,44,1
31,7,1
31,2,1
31,86,1
31,89,1
68,41,1
68,69,1
68,15,1
68,36,1
68,40,2
68,53,1
68,43,1
68,51,1
68,66,2
68,44,1
68,64,1
56,35,1
56,83,1
56,28,1
56,48,1
56,36,1
56,47,1
96,54,1
96,7,2
96,34,1
96,41,1
96,15,2
96,9,1
96,46,1
97,57,1
97,42,1
85,9,2
85,62,1
85,84,1
85,13,1
85,25,1
85,55,1
85,58,1
85,30,1
85,45,1
34,82,2
34,56,1
34,27,1
34,15,1
34,17,1
34,31,1
34,76,1
22,7,1
22,85,1
23,5,1
23,28,1
23,54,1
23,65,1
23,67,1
23,64,1
19,7,1
21,6,1
21,20,1
21,89,1
21,51,1
21,62,2
63,61,2
63,37,1
63,36,1
63,20,1
63,23,1
63,70,1
28,55,1
28,59,1
28,71,1
60,73,1
60,28,1
60,92,1
60,53,1
26,17,1
26,43,1
26,41,1
2,54,1
2,57,1
2,31,1
24,82,1
75,40,1
75,38,1
75,59,2
75,55,1
75,92,1
66,35,1
66,41,1
66,31,1
66,44,2
66,28,1
66,22,1
65,30,1
65,22,2
65,45,1
65,52,1
65,39,1
65,33,1
65,54,2
65,37,1
65,55,1
65,85,1
91,39,1
91,66,1
91,64,1
91,41,1
91,52,2
91,51,1
91,49,1
91,55,1
40,78,1
40,60,1
40,22,1
40,69,2
40,63,1
49,49,5
49,50,7
49,51,1
49,53,1
49,40,1
30,30,1
46,19,1
46,26,1
46,56,1
46,23,1
46,15,1
46,91,1
46,44,1
46,41,1
46,54,2
46,60,1
90,60,1
90,43,1
90,10,1
90,32,2
90,28,1
90,37,1
90,38,1
90,49,1
90,44,1
90,42,1
90,20,1
90,54,1
90,50,1
54,26,1
54,44,1
54,25,2
54,49,2
54,16,1
54,15,1
54,39,1
54,40,1
35,39,1
35,66,1
35,35,1
35,57,1
35,40,1
35,9,1
61,18,1
61,66,1
61,21,1
61,50,1
61,17,1
61,38,1
89,18,1
89,84,1
89,91,1
89,57,1
89,42,1
89,26,1
89,12,1
89,90,1
89,51,1
89,55,1
81,52,1
81,35,1
81,33,1
81,70,1
81,20,1
81,6,1
81,12,1
81,54,1
84,53,1
84,44,1
84,18,1
64,51,1
64,79,1
64,14,1
64,25,1
64,37,1
64,67,1
64,83,1
78,32,1
78,33,1
78,67,1
78,71,1
78,27,2
78,74,1
78,5,1
78,26,1
78,38,1
78,54,1
39,73,1
39,15,1
39,82,1
39,78,1
39,23,1
39,72,1
39,9,1
39,58,1
39,4,1
39,26,1
39,14,1
51,75,1
51,57,1
51,40,1
51,15,1
51,48,1
48,77,1
48,54,1
48,44,1
48,50,1
48,58,1
48,43,1
48,25,1
94,68,1
94,58,1
5,43,1
4,43,1
83,89,1
83,15,1
83,62,1
62,94,1
62,6,1
62,80,1
62,28,1
62,32,1
62,38,1
88,72,1
88,37,1
88,70,1
88,58,1
88,17,1
88,93,1
88,50,1
58,39,1
58,21,1
58,8,1
58,51,1
44,48,1
44,61,1
44,70,1
44,92,1
44,94,1
45,78,1
45,33,1
45,22,2
45,48,1
45,13,1
45,54,2
45,15,1
87,87,1
87,28,1
87,49,2
87,8,1
87,44,1
87,35,1
87,32,1
12,33,1
12,59,1
33,47,1
33,67,1
33,17,1
33,86,1
33,55,1
33,73,1
33,30,1
80,69,1
80,38,1
80,65,1
80,66,1
80,30,1
92,52,1
92,51,1
92,45,1
92,47,1
92,7,1
6,57,1
6,59,1
