x,y,count
61,27,1
61,30,1
61,93,1
61,94,3
61,73,2
61,65,2
61,11,1
61,29,1
61,89,3
61,24,1
61,26,3
61,54,1
61,56,1
61,23,1
61,5,1
61,7,2
61,18,2
61,19,2
61,63,2
61,37,2
61,82,1
61,75,1
61,67,3
61,70,2
61,66,1
61,52,1
61,43,1
61,69,1
61,83,1
61,16,1
61,48,1
61,41,1
61,25,1
61,45,1
61,85,2
61,58,1
61,91,1
61,78,1
61,90,1
47,50,1
47,73,1
47,28,1
47,30,1
47,70,1
47,43,2
47,24,2
47,54,1
47,97,1
47,36,1
47,65,1
47,8,1
47,78,1
47,47,2
47,7,1
47,62,1
47,14,1
47,31,1
47,71,1
47,83,2
47,66,1
47,29,1
47,21,1
56,47,1
56,40,1
56,82,2
56,14,1
56,65,1
56,67,2
56,30,2
56,61,2
56,29,2
56,44,2
56,81,1
56,10,2
56,53,1
56,8,1
56,90,2
56,71,1
56,77,1
56,36,1
56,41,1
56,38,1
56,35,1
56,66,1
56,70,1
56,100,1
56,92,1
56,79,1
56,33,1
56,50,1
56,68,1
56,27,1
56,56,1
5,29,1
5,26,1
5,44,1
5,34,1
5,11,1
5,86,1
5,7,1
37,54,1
37,96,2
37,95,1
37,24,1
37,32,2
37,67,4
37,85,2
37,73,3
37,10,1
37,75,1
37,89,1
37,17,1
37,37,1
37,9,1
37,21,2
37,43,1
37,22,1
37,12,1
37,55,1
37,0,1
37,25,1
37,71,2
37,38,1
37,61,1
37,72,1
37,65,1
37,5,1
37,40,1
37,86,1
37,80,1
37,35,2
37,77,1
37,94,2
37,83,1
37,41,1
37,87,1
37,64,1
34,21,1
34,30,1
34,72,1
34,67,1
34,95,2
34,39,2
34,29,1
34,63,1
34,87,2
34,69,3
34,53,2
34,40,2
34,22,1
34,42,1
34,17,2
34,23,1
34,32,1
34,13,3
34,96,2
34,68,1
34,27,1
34,7,2
34,31,2
34,70,1
34,64,1
34,74,1
34,61,1
34,89,2
34,33,1
