x,y,count
76,93,4
76,91,3
76,14,2
76,71,3
76,68,1
76,85,3
76,72,1
76,76,1
76,86,1
76,90,1
76,62,2
76,0,1
76,21,1
76,45,1
76,60,1
76,53,1
76,59,1
76,28,1
76,20,1
76,77,1
76,66,2
76,37,2
76,88,2
76,39,1
76,69,1
76,56,1
76,52,1
79,95,1
79,74,1
79,48,1
79,81,2
79,51,1
79,92,2
79,80,1
79,96,1
79,60,1
79,91,3
79,90,1
79,67,1
79,49,1
79,29,1
79,71,2
79,38,1
79,84,1
79,62,1
79,72,1
79,86,1
79,88,1
79,79,1
43,56,1
43,92,3
43,77,2
43,51,1
43,94,3
43,81,1
43,47,1
43,80,1
43,84,1
43,95,2
43,65,1
24,51,1
24,50,2
29,50,1
29,46,1
29,83,2
29,93,1
29,10,1
29,79,1
29,52,1
29,76,1
29,92,1
29,89,1
78,94,1
78,65,1
78,58,1
78,79,1
78,86,3
78,88,1
78,77,1
78,100,3
78,83,1
78,4,1
78,36,1
78,90,2
78,21,1
78,63,1
78,80,2
78,81,1
78,84,1
78,74,2
78,59,1
78,67,1
78,35,1
78,68,1
78,62,1
78,92,1
78,71,2
78,45,1
78,85,1
78,40,1
78,91,1
78,10,1
74,77,2
74,92,2
74,95,4
74,73,1
74,66,2
74,78,1
74,82,3
74,93,3
74,48,1
74,75,4
74,67,1
74,74,2
74,47,2
74,42,2
74,68,1
74,35,1
74,43,1
74,62,1
74,89,1
74,55,1
74,31,1
74,79,3
74,64,3
74,6,1
74,85,1
74,91,3
74,24,1
74,9,1
74,59,1
74,90,1
74,17,1
74,81,1
74,45,1
74,38,1
74,87,1
74,61,1
89,74,1
89,79,2
89,72,1
89,57,1
89,70,1
89,63,1
89,87,4
89,13,1
89,92,1
89,64,1
89,73,1
89,26,1
89,67,1
89,77,1
89,95,1
89,3,1
89,76,1
89,88,1
89,75,2
89,91,1
89,85,3
89,90,1
89,56,3
89,84,1
89,61,2
89,96,1
89,86,1
86,79,1
86,47,2
86,46,1
86,73,1
86,68,2
86,70,1
86,67,2
86,62,1
86,96,1
86,52,1
86,91,1
86,74,2
86,89,2
86,54,1
86,34,1
86,24,1
86,16,1
86,55,1
86,51,1
86,44,1
86,39,1
86,81,1
86,20,1
86,87,1
94,77,1
94,76,1
94,49,1
94,41,1
94,82,2
94,44,2
94,73,3
94,58,1
94,57,1
94,53,1
94,47,2
94,70,2
94,66,1
94,55,2
94,90,1
94,71,1
94,84,1
94,50,1
94,75,1
87,74,1
87,72,4
87,86,1
87,82,2
87,75,1
87,83,1
87,71,1
87,73,2
87,76,1
87,66,1
87,50,1
87,81,1
87,93,1
87,36,1
87,16,1
87,90,2
87,87,1
87,65,1
87,51,1
87,78,1
87,77,1
100,77,1
100,75,1
100,91,1
100,71,1
100,30,1
63,14,2
63,76,2
63,82,1
63,95,2
63,88,2
63,50,3
63,80,1
63,83,1
63,70,1
63,59,2
63,85,2
63,89,1
63,81,2
63,74,1
63,51,1
63,41,1
63,55,1
63,69,1
63,84,1
63,67,1
63,64,1
63,46,1
63,10,1
63,9,1
63,35,1
63,43,1
63,66,1
63,75,1
58,77,2
58,55,1
58,22,1
58,90,4
58,71,2
58,69,3
58,6,1
58,74,1
58,83,1
58,80,1
58,94,2
58,88,1
58,12,1
58,92,1
58,87,1
58,75,1
58,64,1
58,68,1
58,85,1
58,65,1
58,60,1
68,93,6
68,96,5
68,87,2
68,95,2
68,49,1
68,63,2
68,16,2
68,32,3
68,82,1
68,89,2
68,48,1
68,55,1
68,50,1
68,73,1
68,77,2
68,64,1
68,78,1
68,66,1
68,75,2
68,9,1
68,11,1
68,80,2
68,97,1
68,92,2
68,38,1
68,76,1
68,71,1
68,79,1
68,59,1
68,72,1
68,70,1
97,79,1
97,75,2
97,39,1
97,76,1
97,33,1
97,57,1
97,10,1
97,68,1
97,69,1
97,26,1
97,64,1
97,65,1
97,73,1
97,88,1
97,71,1
97,42,1
97,78,1
97,91,1
57,94,3
57,92,2
57,83,2
57,96,1
57,77,1
57,85,1
57,74,1
57,82,2
57,93,2
57,91,3
57,4,1
57,27,1
57,95,3
57,68,1
57,69,1
57,79,1
57,90,1
57,59,1
81,49,1
81,50,2
81,86,2
81,48,1
81,76,1
81,43,1
81,80,1
81,75,1
81,93,1
81,53,1
81,46,1
81,55,1
81,71,1
81,47,1
81,64,1
81,94,1
81,92,2
81,51,1
72,90,1
72,85,2
72,10,2
72,73,3
72,63,3
72,72,1
72,78,1
72,92,3
72,89,2
72,74,2
72,97,1
72,77,1
72,64,1
72,65,2
72,94,1
72,84,2
72,82,1
72,45,2
72,86,1
72,30,1
72,67,2
72,76,1
72,59,2
72,96,1
72,93,1
72,46,1
72,11,2
72,71,1
72,81,1
72,87,1
72,35,1
72,55,1
88,50,1
88,71,2
88,72,3
88,62,1
88,76,2
88,74,2
88,93,1
88,89,2
88,82,1
88,85,2
88,88,4
88,84,1
88,75,4
88,86,2
88,81,1
88,51,1
88,47,1
88,95,2
88,49,1
88,46,1
88,80,1
88,30,1
64,44,1
64,79,2
64,89,2
64,76,2
64,90,2
64,3,1
64,93,2
64,83,2
64,17,1
64,69,1
64,95,2
64,53,1
64,66,1
64,8,1
64,68,1
64,43,1
64,73,1
64,70,1
64,77,2
64,72,1
64,92,1
64,86,1
64,65,1
64,55,1
64,51,1
77,84,1
77,93,1
77,53,1
77,88,2
77,63,2
77,95,3
77,74,1
77,57,1
77,69,1
77,75,1
77,94,2
77,83,2
77,72,1
77,91,1
77,73,2
77,44,1
77,13,1
77,16,1
77,34,1
77,90,1
77,80,1
77,78,1
77,100,2
77,67,1
77,85,1
77,70,1
77,86,1
95,74,1
95,55,2
95,83,2
95,75,2
95,45,1
95,46,1
95,91,2
95,14,1
95,40,1
95,70,2
95,35,1
95,73,1
95,48,1
95,67,2
95,32,1
95,81,1
95,76,2
95,69,1
95,56,2
95,2,1
95,7,1
95,42,1
95,39,1
95,90,1
95,66,1
95,92,1
95,23,1
95,57,1
95,52,1
92,60,1
92,75,1
92,74,2
92,100,1
92,82,1
92,22,2
92,72,2
92,28,1
92,69,2
92,61,1
92,86,1
92,59,2
92,47,2
92,68,2
92,80,2
92,96,3
92,3,1
92,53,1
92,85,2
92,66,1
92,45,1
92,13,1
92,70,1
70,92,3
70,95,3
70,58,2
70,82,1
70,89,2
70,91,2
70,86,1
70,10,1
70,93,1
70,69,3
70,24,1
70,48,1
70,63,1
70,76,3
70,67,1
70,84,1
70,80,4
70,83,1
70,87,1
70,65,1
70,70,2
70,40,1
70,73,1
70,64,1
70,16,1
70,52,1
70,75,1
70,17,1
70,94,2
70,56,1
70,78,1
70,85,1
70,66,1
70,49,1
70,36,1
70,96,1
70,47,1
70,77,1
70,45,1
71,79,1
71,27,1
71,36,1
71,82,3
71,57,2
71,91,1
71,92,2
71,18,1
71,78,1
71,17,1
71,90,2
71,42,1
71,54,1
71,62,1
71,74,2
71,25,1
71,30,1
71,73,1
71,24,1
71,75,1
71,16,1
71,69,2
71,93,1
71,95,1
71,33,1
71,51,1
71,67,1
71,61,1
71,76,1
71,85,1
71,87,1
71,89,1
71,20,1
71,45,1
69,78,2
69,65,1
69,56,1
69,92,3
69,11,1
69,32,1
69,83,1
69,85,1
69,84,3
69,76,1
69,57,2
69,68,1
69,34,2
69,71,1
69,19,1
69,74,2
69,27,1
69,58,1
69,72,2
69,94,1
69,36,1
69,89,1
69,73,1
69,51,1
62,73,2
62,54,1
62,65,3
62,48,1
62,91,3
62,26,1
62,79,1
62,81,1
62,7,1
62,93,3
62,88,1
62,17,1
62,94,1
62,89,1
62,51,1
62,84,1
62,18,1
62,83,2
62,96,1
62,22,1
62,92,1
62,71,1
67,35,1
67,87,4
67,82,3
67,97,1
67,52,2
67,86,1
67,57,1
67,68,1
67,81,1
67,32,1
67,62,1
67,91,1
67,60,1
67,96,2
67,76,3
67,61,1
67,89,1
67,94,3
67,40,1
67,14,1
67,95,1
67,12,1
67,72,1
67,67,2
67,92,1
67,58,1
67,71,1
53,57,2
53,95,3
53,90,3
53,89,2
53,55,3
53,94,1
53,48,1
53,92,1
53,44,1
53,74,1
53,96,3
53,52,1
53,88,1
53,93,2
53,76,1
53,66,1
53,53,1
53,91,2
53,59,1
75,80,3
75,42,1
75,63,1
75,86,3
75,79,2
75,62,1
75,9,1
75,75,2
75,19,1
75,68,1
75,84,1
75,57,2
75,74,2
75,27,1
75,90,2
75,64,2
75,88,1
75,91,1
75,55,1
75,82,1
75,71,1
75,89,1
75,85,1
75,81,1
75,94,2
75,78,2
75,53,1
75,76,1
82,85,1
82,53,1
82,83,1
82,21,1
82,58,1
82,72,1
82,94,1
82,100,2
82,89,1
82,86,1
82,87,1
82,82,1
82,18,1
82,56,1
90,70,2
90,83,3
90,64,1
90,68,2
90,58,2
90,65,1
90,44,1
90,82,2
90,67,1
90,72,1
90,74,2
90,48,2
90,85,4
90,60,2
90,54,2
90,89,1
90,37,1
90,36,1
90,69,1
90,87,1
90,50,1
90,100,1
90,76,1
85,47,2
85,44,2
85,41,2
85,89,2
85,51,2
85,75,2
85,63,1
85,15,1
85,65,3
85,85,2
85,91,3
85,73,1
85,55,1
85,74,2
85,88,1
85,59,1
85,67,1
85,81,1
85,68,1
85,69,1
85,95,1
85,94,1
85,90,3
85,77,1
85,100,1
85,80,1
85,84,2
85,40,2
85,45,1
85,26,1
85,71,1
85,87,1
85,43,1
85,83,1
56,91,3
56,57,1
56,79,1
56,66,1
56,77,1
56,85,2
56,92,5
56,72,1
56,87,1
56,54,1
56,36,1
56,96,1
56,93,2
56,64,1
56,95,2
56,69,1
56,94,1
56,90,1
56,46,1
56,100,1
47,74,2
47,87,1
47,9,1
47,91,1
47,46,1
47,78,1
47,41,1
47,13,1
47,25,1
47,57,1
47,94,1
47,93,1
47,83,1
47,56,1
47,80,1
16,47,2
16,93,1
16,96,1
59,86,1
59,45,1
59,61,1
59,31,1
59,22,1
59,68,2
59,42,1
59,69,1
59,92,1
59,87,3
59,41,1
59,84,1
59,67,2
59,75,1
59,15,1
59,96,2
59,66,1
59,33,2
59,34,1
59,74,2
59,73,1
59,82,1
59,88,1
59,83,2
59,70,1
59,52,1
66,76,2
66,93,3
66,88,3
66,87,3
66,38,2
66,66,2
66,60,1
66,100,1
66,32,1
66,90,1
66,80,1
