x,y,count
42,66,2
42,58,1
42,12,1
42,7,1
42,27,2
42,20,1
42,41,1
42,23,2
42,68,1
42,25,3
42,26,2
42,90,1
42,83,2
42,75,1
42,32,2
42,42,1
42,16,1
42,37,2
42,50,1
42,31,1
42,21,2
42,57,1
42,3,2
42,29,1
42,35,1
42,14,1
42,67,1
42,6,1
42,93,1
42,5,1
42,79,1
36,65,1
36,93,1
36,18,2
36,48,1
36,11,1
36,3,1
36,14,1
36,74,2
36,52,1
36,34,1
36,51,2
36,33,1
36,27,1
36,26,1
36,79,1
36,61,2
36,80,2
36,77,1
36,50,2
36,22,2
36,56,2
36,57,1
36,15,1
36,45,1
36,63,3
36,29,1
36,32,2
36,31,1
36,23,2
36,10,1
36,8,1
36,24,1
36,7,1
36,12,1
62,36,3
62,68,2
62,82,1
62,10,2
62,19,1
62,30,1
62,50,1
62,21,1
62,6,1
62,37,1
62,38,3
62,23,1
62,39,3
62,15,1
62,22,1
62,60,2
62,71,1
62,93,1
62,74,1
62,44,1
62,40,2
62,20,1
62,69,1
62,65,1
62,84,1
62,12,1
62,17,1
62,33,1
62,31,2
62,16,1
62,24,1
62,26,2
62,28,2
62,59,1
62,61,1
62,47,2
64,41,2
64,17,1
64,65,1
64,27,3
64,78,2
64,93,1
64,87,1
64,85,1
64,71,1
64,81,1
64,92,1
64,16,1
64,47,1
64,31,2
64,15,2
64,22,2
64,29,2
64,61,1
64,56,1
64,76,1
64,40,1
64,32,2
64,84,3
64,8,1
64,63,1
64,72,3
64,50,1
64,64,1
64,57,1
64,60,1
64,33,2
64,18,1
64,26,2
64,30,1
64,34,2
64,46,2
64,48,2
64,12,1
64,35,1
64,28,2
64,39,1
64,98,1
64,89,1
74,68,1
74,82,1
74,73,1
74,19,1
74,24,2
74,5,3
74,83,1
74,31,1
74,32,2
74,97,2
74,93,1
74,94,1
74,54,1
74,65,1
74,41,1
74,15,1
74,16,1
74,0,1
29,59,1
29,7,1
29,25,3
29,52,1
29,38,1
29,14,1
29,36,2
29,32,1
29,19,1
29,89,2
29,72,1
29,66,1
29,60,1
29,78,1
29,97,1
29,34,1
29,26,1
29,30,1
29,24,1
29,40,1
29,37,1
29,50,1
29,43,1
29,54,1
29,39,1
29,63,2
29,64,1
29,13,1
29,55,1
29,12,1
29,27,1
29,22,1
29,21,1
29,70,1
29,74,1
44,65,2
44,94,1
44,53,1
44,17,2
44,14,1
44,26,5
44,67,1
44,47,2
44,45,2
44,11,1
44,82,1
44,93,1
44,83,1
44,66,1
44,68,2
44,20,1
44,36,1
44,34,2
44,55,4
44,52,1
44,46,2
44,25,2
44,77,1
44,43,1
44,24,1
44,10,1
44,7,1
44,92,1
44,63,1
44,73,1
44,32,3
44,16,2
44,51,1
44,54,2
44,30,1
44,70,1
44,57,1
44,5,1
44,35,1
44,29,1
47,71,1
47,75,2
47,48,2
47,51,2
47,25,2
47,19,2
47,17,1
47,44,1
47,32,1
47,34,1
47,21,1
47,0,1
47,74,1
47,23,1
47,69,1
47,36,1
47,22,1
47,43,1
47,57,1
47,31,1
47,40,1
54,89,2
54,76,1
54,14,1
54,11,2
54,73,1
54,34,2
54,57,2
54,32,2
54,15,1
54,47,1
54,27,5
54,30,3
54,56,2
54,68,2
54,69,1
54,72,1
54,92,1
54,88,1
54,51,2
54,40,1
54,66,1
54,45,1
54,55,1
54,77,1
54,70,1
54,74,1
54,35,1
54,31,1
54,24,2
54,85,1
54,36,1
54,81,1
54,53,2
54,29,1
54,8,1
54,21,1
54,61,1
54,62,1
54,49,1
54,87,1
54,23,1
54,13,2
54,28,1
54,48,1
54,84,1
54,20,1
57,94,1
57,6,2
57,29,1
57,39,1
57,41,1
57,28,4
57,81,1
57,70,1
57,46,1
57,54,1
57,53,1
57,17,2
57,8,1
57,35,4
57,73,1
57,48,1
57,82,1
57,52,1
57,20,2
57,87,1
57,80,1
57,74,1
57,14,1
57,25,1
57,16,1
57,19,1
57,21,2
57,13,1
57,90,1
57,72,1
57,36,1
57,26,1
57,100,1
57,64,1
3,75,1
3,66,2
3,42,1
3,45,1
3,13,1
3,59,1
3,88,1
3,72,1
5,87,1
5,51,1
5,20,1
5,22,1
5,42,3
5,43,1
5,41,1
5,31,1
5,50,1
5,39,2
5,40,2
5,14,2
5,28,1
5,71,1
5,15,1
5,88,1
5,25,1
5,78,1
5,95,1
35,62,1
35,60,2
35,20,3
35,79,1
35,16,2
35,25,1
35,26,2
35,87,2
35,49,1
35,10,1
35,37,2
35,68,2
35,84,1
35,61,1
35,45,1
35,76,1
35,47,1
35,48,1
35,40,1
35,46,1
35,33,2
35,42,1
35,73,1
35,53,1
35,31,1
35,27,1
35,18,1
35,67,2
35,63,3
35,6,1
35,5,1
35,92,1
35,28,1
35,15,2
35,56,2
35,32,1
35,30,1
35,23,1
35,13,1
38,40,1
38,8,1
38,0,2
38,9,4
38,35,2
38,24,1
38,32,2
38,38,2
38,27,1
38,34,1
38,75,1
38,92,1
38,95,1
38,50,1
38,29,2
38,28,2
38,22,2
38,63,2
38,46,1
38,42,1
38,76,1
38,48,1
38,14,1
38,13,2
38,57,1
38,72,1
38,74,2
38,53,1
38,67,1
38,7,1
38,43,2
38,26,1
45,67,2
45,58,2
45,30,1
45,53,2
45,44,2
45,51,1
45,33,2
45,4,2
45,31,3
45,46,4
45,57,3
45,37,1
45,32,1
45,24,2
45,16,2
45,85,1
45,66,1
45,89,1
45,69,1
45,74,1
45,79,1
45,28,2
45,20,1
45,35,1
45,52,1
45,68,2
45,40,1
45,22,2
45,71,2
45,60,2
45,64,1
45,14,1
45,6,1
45,54,1
45,48,2
45,25,1
45,39,2
45,47,1
45,13,1
45,29,1
45,19,1
45,26,1
45,23,1
45,34,1
45,41,1
45,72,2
45,56,1
63,77,1
63,57,1
63,8,3
63,18,1
63,60,2
63,17,1
63,37,1
63,36,1
63,28,2
63,43,1
63,71,1
63,72,1
63,61,1
63,90,1
63,68,1
63,66,1
63,7,1
63,69,2
63,35,2
63,53,1
63,70,1
63,9,1
63,42,1
63,24,2
63,20,1
63,32,1
63,27,1
63,25,3
63,33,1
63,10,1
63,40,2
63,64,1
63,79,1
63,81,1
63,21,2
63,54,1
63,29,1
63,15,1
63,67,1
63,39,1
63,73,1
77,85,1
77,5,1
77,78,1
77,11,1
77,12,1
77,69,1
77,25,1
77,95,1
77,23,1
77,64,1
77,65,2
77,77,1
70,83,2
70,27,1
70,45,1
70,37,1
70,84,1
70,72,2
70,68,1
70,66,1
70,53,1
70,80,1
70,87,1
70,25,1
70,77,1
70,39,1
70,43,1
70,44,1
70,32,1
70,19,1
70,91,1
70,69,1
70,79,1
70,40,1
70,33,1
70,23,1
70,42,1
71,67,1
71,48,1
71,7,1
71,42,1
71,35,1
71,12,1
71,36,1
71,84,1
71,64,1
71,70,1
71,63,2
71,79,2
71,76,1
71,56,1
71,94,1
71,27,1
71,54,1
71,69,2
71,21,1
71,53,1
71,22,2
71,60,1
71,50,1
71,51,2
71,45,1
71,41,2
71,34,1
71,38,2
71,15,1
71,65,1
71,83,1
71,25,1
43,62,1
43,8,1
43,7,2
43,71,2
43,16,2
43,68,1
43,36,2
43,11,1
43,29,1
43,23,2
43,22,2
43,5,1
43,80,1
43,64,1
43,96,1
43,33,1
43,31,1
43,28,2
43,19,1
43,61,2
43,46,2
43,66,1
43,72,1
43,50,1
43,75,3
43,35,1
43,32,1
43,18,1
43,85,1
43,49,1
43,38,1
43,25,1
43,9,1
43,6,1
43,42,1
31,46,3
31,83,2
31,7,2
31,42,1
31,4,2
31,24,2
31,11,1
31,66,1
31,34,1
31,29,2
31,22,1
31,62,1
31,69,3
31,80,1
31,70,1
31,13,1
31,55,1
31,33,1
31,78,1
31,43,1
31,28,1
31,27,2
31,71,2
31,88,1
31,48,1
31,51,1
31,39,1
31,5,1
31,36,1
31,23,2
31,56,1
31,21,2
31,38,1
31,26,1
40,86,1
40,5,2
