x,y,count
55,53,1
55,32,2
55,72,1
55,96,1
55,100,1
55,82,2
55,45,1
55,86,1
55,90,1
55,74,1
55,51,1
55,87,1
55,50,1
55,57,1
55,69,1
55,85,2
55,73,1
55,91,1
55,70,1
55,62,1
55,98,1
47,79,1
47,66,1
47,12,1
47,41,1
47,59,1
47,72,1
47,61,1
47,100,1
47,51,1
47,23,1
47,69,1
47,38,1
47,53,1
47,46,2
47,70,1
47,94,1
47,4,1
47,24,1
47,88,1
26,89,2
26,94,1
26,75,3
26,82,1
26,54,1
26,100,4
26,74,5
26,87,2
26,90,1
26,34,1
26,84,3
26,36,1
26,70,1
26,76,1
26,2,1
26,85,2
26,93,2
26,69,1
26,68,2
26,72,2
26,88,1
26,60,1
26,65,1
26,78,3
26,63,1
31,80,1
31,71,1
31,87,2
31,100,2
31,86,1
31,73,3
31,74,1
31,76,1
31,41,2
31,85,1
31,58,1
31,66,2
31,75,1
31,67,1
31,18,1
31,70,2
31,64,1
31,83,2
31,81,1
31,20,2
31,92,1
31,93,1
31,43,1
31,88,1
31,4,1
31,47,1
31,40,2
31,55,1
31,8,1
31,79,1
31,97,1
31,63,1
40,100,2
40,57,1
40,98,1
40,92,1
40,78,1
40,28,2
40,77,1
40,70,1
40,52,1
40,93,1
40,72,1
40,65,1
40,68,2
40,25,1
40,67,1
40,90,1
40,20,1
40,54,1
40,53,1
40,79,1
40,85,1
72,92,2
72,90,2
72,100,1
72,88,1
72,84,1
72,96,2
84,69,1
84,100,9
84,81,1
84,92,1
84,0,1
51,83,1
51,100,1
51,67,2
51,43,1
51,94,1
51,91,1
22,84,3
22,100,3
22,53,1
22,74,1
22,20,2
22,71,3
22,88,2
22,80,1
22,69,1
22,49,2
22,81,1
22,85,2
22,42,3
22,78,3
22,62,1
22,83,2
22,58,1
22,63,3
22,39,1
22,93,1
22,43,1
22,66,1
22,89,1
22,68,1
27,81,1
27,53,2
27,91,1
27,85,2
27,92,1
27,71,1
27,80,3
27,77,3
27,94,2
27,44,1
27,43,1
27,90,1
27,64,1
27,26,1
27,35,2
27,74,1
27,63,1
27,84,1
27,72,2
27,56,1
27,89,1
27,33,1
27,42,1
27,46,1
27,6,1
27,49,1
27,95,1
27,59,1
27,47,2
27,82,1
27,36,1
27,52,1
57,81,1
57,71,3
57,75,1
57,94,1
57,78,1
57,68,1
57,93,1
57,84,1
57,90,1
57,38,1
57,89,2
57,76,1
57,36,1
57,82,1
57,88,1
57,91,1
57,63,1
60,80,1
60,100,3
60,70,1
60,74,1
60,50,1
60,73,1
60,87,1
60,95,2
60,90,2
60,43,1
60,94,1
60,91,1
60,81,2
60,96,1
54,83,1
54,89,1
54,93,1
54,100,1
54,86,2
54,71,1
54,90,2
54,75,1
54,64,1
54,31,1
54,82,2
54,87,1
54,58,1
54,65,1
54,52,2
54,92,1
41,89,2
41,90,1
41,39,1
41,87,1
41,27,2
41,49,1
41,72,1
41,83,1
41,93,1
41,69,2
41,55,1
41,70,1
41,100,2
41,67,1
41,88,2
41,81,1
41,59,1
41,20,1
41,86,1
41,21,1
41,32,1
41,24,1
41,62,1
41,66,1
41,84,1
41,98,1
38,87,1
38,39,1
38,34,1
38,100,4
38,71,1
38,69,1
38,13,1
38,56,3
38,53,1
38,38,2
38,60,2
38,58,1
38,66,1
38,68,3
38,30,1
38,91,1
38,75,1
38,52,2
38,94,1
38,67,1
38,84,2
38,73,2
38,54,1
38,89,1
38,32,1
38,83,1
35,57,1
35,41,1
35,100,2
35,61,3
35,44,1
35,75,2
35,53,1
35,59,1
35,74,1
35,55,2
35,86,1
35,67,2
35,81,1
35,90,1
35,77,1
35,78,2
35,15,1
35,38,1
35,83,1
35,76,1
35,80,1
35,91,2
35,47,1
35,95,1
35,93,1
20,72,2
20,87,1
20,73,2
20,77,1
20,66,2
20,78,1
20,70,1
20,44,1
20,68,2
20,33,1
20,52,1
20,28,1
20,63,1
20,62,1
20,64,1
20,41,1
20,100,1
20,74,1
29,70,1
29,59,1
29,67,1
29,80,1
29,96,1
29,91,1
29,95,1
29,62,1
29,75,3
29,83,2
29,53,1
29,56,1
29,35,1
29,74,1
29,100,1
29,48,2
29,90,1
29,84,1
29,81,2
29,36,1
29,72,1
29,52,1
29,65,3
29,12,1
29,66,1
29,58,1
23,75,1
23,82,1
23,95,2
23,87,1
23,78,2
23,54,1
23,86,1
23,88,1
23,100,2
23,96,1
23,46,1
23,74,1
23,22,1
23,67,1
23,72,1
23,92,1
23,59,2
23,25,1
23,91,1
23,57,1
23,38,1
23,34,1
23,69,1
23,93,1
17,67,1
17,82,2
17,64,1
17,56,1
17,88,1
17,92,1
17,32,1
17,54,1
17,68,1
17,15,1
17,50,1
17,80,1
17,45,1
17,87,2
17,53,1
17,49,1
45,73,1
45,67,1
45,94,1
45,81,1
45,76,1
45,28,2
45,69,1
45,25,1
45,63,1
45,19,1
45,72,1
45,91,1
45,51,1
45,77,1
45,56,1
45,54,1
45,68,1
45,70,1
45,32,1
45,43,1
45,50,1
45,57,1
45,65,1
45,86,1
42,68,1
42,90,1
42,94,1
42,87,1
42,66,1
42,72,1
42,75,1
42,100,1
42,93,1
42,84,1
42,61,1
42,45,1
42,24,1
42,65,1
42,89,3
42,70,1
42,69,1
42,73,2
42,36,2
42,58,1
42,80,2
42,71,1
42,62,1
44,79,1
44,55,1
44,93,1
44,82,1
44,97,1
44,89,3
44,30,1
44,57,1
44,48,1
44,26,1
44,71,1
44,66,2
44,23,1
44,34,1
44,61,1
44,29,1
44,52,3
44,42,1
44,51,1
44,62,1
44,35,1
44,44,1
44,65,2
44,75,1
44,68,1
44,41,1
44,50,1
44,54,1
44,64,1
44,85,1
44,74,1
44,77,1
24,100,5
24,92,4
24,83,1
24,55,2
24,76,1
24,41,1
24,65,1
24,80,1
24,74,2
24,79,3
24,89,2
24,47,1
24,71,1
24,40,1
24,72,3
24,61,1
24,88,1
24,78,1
24,48,1
24,93,2
24,53,1
24,66,1
24,77,1
24,73,2
24,75,1
24,69,3
24,90,1
24,67,1
30,71,2
30,75,2
30,100,3
30,80,2
30,96,1
30,86,5
30,48,2
30,38,1
30,56,1
30,74,1
30,69,2
30,36,1
30,81,1
30,90,1
30,83,2
30,65,1
30,70,1
30,72,1
30,44,1
30,43,1
30,16,2
30,47,1
30,87,2
30,79,1
30,95,2
30,92,1
30,66,1
30,35,1
28,82,1
28,78,1
28,95,1
28,93,1
28,64,1
28,88,2
28,69,2
28,70,1
28,91,1
28,63,2
28,73,4
28,36,1
28,76,3
28,26,1
28,38,2
28,81,1
28,74,1
28,92,1
28,71,1
28,57,1
28,34,1
28,65,2
28,48,1
28,49,1
28,61,1
28,58,1
28,43,1
28,94,1
28,35,1
28,42,1
28,47,1
28,72,1
28,54,1
62,68,1
62,94,3
62,96,2
62,63,1
62,100,1
62,91,1
62,73,1
73,100,2
73,92,1
73,82,1
81,95,1
81,0,3
81,94,1
25,93,2
25,68,3
25,94,2
25,81,1
25,89,1
25,53,3
25,63,1
25,100,3
25,88,1
25,74,1
25,69,5
25,35,3
25,61,1
25,65,1
25,75,1
25,90,1
25,49,1
25,46,1
25,70,3
25,36,1
25,41,1
25,45,2
25,92,1
25,52,1
25,95,1
25,78,2
25,82,3
37,100,2
37,93,1
37,94,3
37,84,1
37,92,1
37,95,1
37,27,1
37,54,1
37,87,1
37,66,1
37,82,2
37,70,2
37,62,3
37,50,1
37,64,1
37,46,4
37,71,2
37,61,3
37,68,2
37,88,1
37,31,1
37,40,1
37,72,1
37,69,1
37,15,2
37,96,1
37,37,1
37,38,1
37,49,1
37,47,1
37,73,2
37,51,1
37,14,1
37,83,1
37,57,1
52,89,1
52,93,2
52,100,4
52,86,1
52,58,1
52,45,1
52,57,1
52,87,1
52,27,1
52,51,1
52,37,1
63,80,1
63,100,3
63,85,1
63,77,1
63,97,1
63,93,1
63,7,2
74,84,1
74,85,1
74,90,1
74,83,1
74,100,1
70,100,3
70,23,1
70,95,1
70,6,1
66,76,1
66,94,1
66,96,1
66,100,1
66,78,1
66,72,1
59,76,1
59,90,2
59,89,2
59,64,1
59,100,2
59,67,1
46,92,3
46,75,1
46,93,1
46,84,1
46,100,2
46,57,1
46,66,1
46,38,2
46,88,1
46,46,1
46,53,1
46,33,1
46,22,1
46,56,1
46,91,1
46,68,1
46,50,1
46,95,1
46,31,1
46,78,1
46,69,1
46,77,1
46,70,1
46,55,1
46,86,1
10,6,1
10,5,1
10,63,2
10,48,2
10,62,2
10,26,1
10,86,1
10,54,1
10,57,1
10,60,2
10,52,1
10,100,1
10,59,1
10,51,1
10,55,1
10,81,1
10,72,1
10,68,1
10,38,1
10,10,1
10,88,1
10,32,1
10,71,1
10,53,1
79,0,2
79,100,5
79,74,1
79,97,1
89,12,1
89,100,3
89,71,1
89,57,1
89,44,1
89,72,1
89,0,1
89,53,1
89,58,1
89,94,1
50,67,1
50,63,1
50,48,1
50,78,1
50,44,1
50,87,1
50,90,2
50,47,1
50,76,1
50,62,1
33,82,1
33,90,3
33,100,4
33,78,1
33,89,1
33,91,1
33,86,2
33,92,1
33,58,1
33,95,1
33,93,1
33,75,1
33,36,2
33,69,2
33,72,1
33,73,1
33,79,1
33,81,1
33,76,2
33,43,1
33,14,1
33,71,1
33,15,1
33,11,1
33,34,1
33,38,1
33,40,1
33,46,2
33,65,1
33,59,1
32,95,1
32,67,2
32,64,1
32,88,1
32,91,3
32,100,3
32,58,1
32,75,1
32,61,1
32,70,2
32,74,1
32,79,2
32,39,2
32,55,2
32,28,1
32,60,2
32,72,1
32,62,3
32,47,1
32,59,1
32,40,3
32,29,1
32,44,1
32,92,1
32,94,1
32,57,1
32,56,1
32,96,1
32,86,1
32,19,1
32,68,1
32,69,2
32,50,1
32,87,1
32,66,1
58,73,1
58,75,1
58,94,1
58,18,1
58,82,2
58,93,1
58,76,2
58,85,1
58,42,1
58,86,1
58,31,1
58,9,1
58,80,1
43,72,2
43,89,2
43,56,1
43,100,2
43,45,1
43,84,2
43,86,1
43,83,1
43,73,2
43,93,1
43,68,1
43,52,1
43,70,2
43,65,1
43,34,1
43,24,1
43,36,2
43,77,2
43,91,1
43,55,1
43,87,1
43,50,1
43,90,1
43,95,1
43,74,1
71,95,1
71,100,1
71,63,1
71,52,1
91,58,1
91,57,1
91,65,1
91,63,1
91,67,1
91,69,1
91,36,1
36,90,2
36,92,2
36,78,2
36,76,2
36,71,1
36,48,1
36,47,2
36,59,1
36,72,1
36,28,1
36,31,2
36,75,1
36,93,1
36,49,1
36,43,1
36,65,1
36,68,1
36,11,1
36,91,1
36,50,1
36,66,3
36,52,1
36,63,1
36,44,2
36,69,1
36,100,1
36,38,1
36,30,1
36,94,1
11,66,1
11,82,2
11,62,2
11,92,1
11,47,1
11,83,1
11,87,1
11,91,2
11,41,1
11,40,2
11,50,1
11,84,1
11,42,1
11,37,1
11,72,2
11,75,1
11,54,1
11,89,1
11,35,2
11,63,1
11,85,1
11,56,2
11,71,1
11,53,1
11,64,1
11,43,1
11,88,1
3,31,1
3,47,1
3,72,1
3,71,3
3,68,1
3,55,1
3,66,1
3,41,2
3,70,1
3,42,1
3,61,1
3,93,1
3,83,1
3,40,1
88,39,1
88,100,3
88,0,1
88,59,1
88,62,1
39,92,4
39,85,2
39,53,1
39,93,1
39,57,1
39,100,1
39,62,2
39,83,1
39,90,1
39,88,1
39,14,1
39,69,2
39,73,2
39,82,1
39,81,2
39,47,1
39,77,2
39,71,1
21,87,2
21,69,2
21,54,2
21,67,3
21,78,1
21,80,1
21,52,2
21,61,2
21,48,1
21,94,1
21,71,1
21,28,2
21,92,2
21,29,1
21,73,2
21,76,1
21,70,3
21,89,1
21,84,1
21,68,1
21,77,1
65,84,1
65,96,2
65,100,2
65,86,1
65,82,1
65,91,1
65,87,1
4,79,1
4,83,1
4,51,3
4,73,1
4,57,1
4,64,1
4,27,1
4,50,1
4,49,2
4,33,1
4,78,1
4,66,1
4,75,2
4,65,1
4,82,2
4,55,1
4,100,1
4,58,1
4,89,1
4,67,1
7,84,1
7,85,1
7,56,2
7,50,1
7,87,1
7,45,2
7,51,1
7,92,1
7,47,2
7,60,1
7,59,3
7,64,2
7,100,1
7,34,1
7,49,1
7,36,1
7,53,1
7,72,1
7,58,3
7,46,2
7,17,1
7,15,1
7,70,1
7,68,1
7,52,1
7,54,1
7,55,1
82,54,2
82,89,2
82,100,6
82,0,1
19,84,1
19,92,2
19,100,1
19,66,1
19,61,1
19,76,1
19,90,1
19,65,1
19,52,1
19,57,1
19,40,1
19,62,1
19,55,1
19,20,1
19,91,1
19,94,1
19,72,3
19,29,1
19,33,1
19,83,1
19,46,1
19,89,1
19,47,2
19,49,1
13,75,1
13,63,2
13,77,2
13,68,1
13,55,2
13,42,1
13,84,1
13,89,2
13,85,1
13,45,1
13,50,2
13,67,1
13,40,1
13,76,2
13,54,1
13,65,1
13,46,1
13,87,1
13,71,2
13,64,1
13,52,1
13,62,1
14,83,2
14,89,2
14,70,1
14,51,1
14,79,1
14,46,1
14,13,1
14,14,1
14,65,1
14,59,1
14,62,1
14,100,1
14,61,1
14,35,1
14,63,1
14,44,1
14,47,1
14,53,1
14,25,1
14,34,1
14,91,1
14,87,2
14,69,1
56,66,2
56,69,1
56,18,1
56,88,1
56,52,1
56,100,1
56,74,1
56,29,1
56,83,1
56,82,1
18,80,1
18,48,1
18,82,1
18,90,1
18,73,1
18,54,1
18,26,1
18,16,1
18,52,1
18,86,1
18,64,1
18,53,2
18,29,1
18,13,1
18,51,2
18,78,1
53,94,1
53,71,1
53,68,1
53,43,1
53,86,2
53,57,2
53,32,1
53,74,1
53,34,1
53,75,2
53,84,1
53,53,1
53,48,1
53,90,1
53,62,1
76,0,1
76,100,4
76,95,1
76,5,1
80,100,4
80,27,1
80,73,1
80,89,1
80,30,2
86,85,1
86,69,1
86,53,1
86,0,4
86,100,2
86,84,1
86,54,1
86,64,1
86,71,1
6,57,2
6,54,6
6,95,1
6,92,1
6,56,1
6,64,3
6,47,4
6,65,1
6,71,2
6,48,1
6,50,1
6,49,1
6,30,1
6,58,2
6,63,1
6,93,2
6,66,2
6,86,1
6,68,1
16,46,2
16,93,1
16,49,2
16,91,1
16,50,1
16,80,1
16,52,1
16,40,1
16,67,1
16,65,1
16,62,1
16,88,2
16,57,2
67,100,4
67,85,1
67,95,1
67,89,1
67,92,1
67,81,1
67,36,1
67,78,1
67,63,1
67,70,1
69,100,2
69,90,1
12,78,1
12,94,1
12,100,2
12,44,1
12,60,3
12,54,4
12,76,1
12,51,1
12,74,2
12,72,2
12,91,1
12,88,1
12,47,1
12,11,1
12,55,3
12,52,3
12,46,1
12,62,1
12,61,1
12,68,1
12,57,1
9,83,1
9,82,2
9,84,4
9,59,1
9,55,1
9,77,1
9,76,1
9,50,1
9,57,3
9,47,2
9,31,1
9,69,3
9,58,4
9,65,1
9,63,2
9,73,2
9,70,1
9,27,1
9,75,1
9,56,2
9,37,1
9,16,1
9,18,1
9,43,2
9,49,1
9,45,1
5,86,2
5,87,1
5,47,1
5,89,1
5,55,1
5,77,1
5,61,2
5,67,2
5,50,1
5,62,1
5,100,1
5,60,2
5,59,1
5,64,1
5,34,1
5,5,1
5,30,1
5,78,1
5,68,1
15,85,2
15,51,2
15,74,1
15,36,1
15,87,1
15,23,1
15,54,1
15,60,2
15,44,2
15,75,1
15,66,1
15,76,1
15,62,1
15,50,1
15,59,1
15,79,1
15,83,1
15,69,1
34,74,2
34,52,3
34,75,1
34,49,1
34,57,1
34,86,1
34,70,1
34,34,1
34,59,2
34,72,3
34,67,1
34,64,1
34,73,2
34,81,1
34,82,2
34,69,2
34,87,1
34,77,2
34,65,1
34,45,1
34,33,1
34,78,1
34,28,1
34,84,3
34,47,1
34,54,1
34,53,1
34,90,1
34,36,3
34,71,1
34,41,1
90,94,1
90,53,1
90,56,1
90,63,1
90,29,1
90,96,1
96,94,1
96,46,1
96,71,1
96,35,1
96,23,1
8,83,1
8,48,2
8,49,1
8,45,2
8,90,1
8,51,1
8,50,1
8,57,4
8,43,3
8,42,1
8,37,1
8,38,1
8,41,1
8,91,1
8,66,3
8,63,1
8,79,1
8,73,1
8,54,1
8,53,1
8,69,1
8,65,1
8,59,2
8,61,1
8,44,1
64,100,2
64,63,1
64,96,1
64,60,1
85,100,3
85,84,1
85,66,1
87,39,1
87,0,2
87,100,3
87,55,1
87,44,1
87,4,1
87,64,2
0,87,1
0,55,1
0,61,1
0,65,1
78,19,1
78,63,1
78,100,1
98,69,1
98,87,1
83,100,4
68,100,3
68,93,2
68,25,1
68,81,1
92,38,1
92,100,2
92,50,1
92,47,1
92,43,1
92,54,1
2,38,1
2,88,1
2,65,1
2,49,1
2,47,1
2,81,1
2,53,1
2,89,1
2,100,1
2,46,1
2,67,1
2,43,2
2,22,1
2,82,1
2,4,1
2,66,1
2,56,1
2,72,1
97,55,1
97,100,1
97,46,1
97,48,1
97,73,1
61,95,1
61,94,2
61,93,1
61,100,1
61,85,2
61,80,1
61,92,2
61,46,1
61,11,1
61,89,1
61,8,1
61,73,1
48,100,2
48,62,1
48,67,1
48,56,1
48,45,2
48,32,1
48,90,1
48,78,1
48,91,1
77,89,1
77,68,1
77,100,2
77,93,1
77,8,1
77,96,1
77,75,1
93,87,1
93,51,1
93,0,1
93,41,1
1,50,1
1,93,1
1,71,1
1,72,1
1,47,1
1,95,1
1,30,1
1,52,1
49,36,1
49,90,1
94,37,1
94,32,1
94,46,1
94,77,2
94,42,1
94,45,1
95,87,1
95,72,1
95,100,1
95,50,1
95,46,1
95,41,1
95,52,1
75,55,1
75,100,1
