x,y,count
24,8,1
24,82,1
24,83,1
24,24,1
24,81,2
24,68,2
24,15,1
24,44,1
24,55,1
24,95,1
24,96,2
24,75,1
24,34,1
24,93,1
24,90,1
24,92,1
24,36,1
24,26,1
24,45,2
36,97,2
36,86,2
36,75,2
36,93,1
36,89,1
36,85,2
36,7,1
36,81,1
36,96,1
36,88,1
36,91,2
36,30,1
36,42,1
36,90,1
36,87,1
36,74,1
36,73,1
36,92,1
36,61,1
36,50,2
36,94,1
36,76,2
36,68,1
36,82,1
36,71,1
36,66,1
36,52,1
36,57,1
28,71,1
28,81,2
28,28,1
28,60,1
28,97,3
28,47,1
28,93,2
28,80,1
28,14,1
28,87,1
28,95,2
28,96,2
28,33,1
28,91,1
28,85,1
28,50,1
28,31,1
28,39,1
28,49,2
28,1,1
28,74,1
28,9,1
32,74,1
32,89,3
32,11,1
32,62,2
32,59,2
32,91,2
32,17,1
32,27,1
32,82,1
32,84,1
32,81,1
32,100,1
32,26,1
32,5,1
32,64,1
32,61,1
32,73,1
32,93,3
32,95,1
32,94,1
32,71,1
98,93,1
98,12,1
98,47,1
98,14,1
98,2,1
98,85,2
98,67,1
98,70,1
16,3,1
16,96,2
16,85,1
16,93,3
16,98,2
16,63,1
16,82,1
16,94,1
16,89,1
16,91,1
64,87,2
64,30,2
64,35,1
64,76,3
64,23,1
64,95,3
64,83,1
64,86,2
64,4,1
64,57,1
64,44,1
64,74,2
64,68,2
64,85,2
64,5,1
64,91,1
64,93,2
64,81,1
64,69,1
64,90,1
64,72,1
64,92,2
64,18,1
64,38,1
64,34,1
64,96,1
64,77,1
64,89,2
64,32,1
64,94,1
61,85,3
61,81,1
61,83,4
61,96,4
61,65,2
61,95,1
61,92,2
61,54,1
61,91,1
61,16,1
61,12,2
61,94,1
61,79,1
61,80,1
61,93,4
61,29,2
61,64,1
61,7,1
61,27,1
61,63,1
61,84,1
61,69,2
61,89,2
61,87,2
61,3,1
61,26,1
61,98,1
61,82,1
61,90,1
61,100,1
61,88,1
37,93,1
37,86,2
37,71,1
37,63,1
37,14,1
37,65,1
37,97,1
37,75,1
37,92,2
37,85,1
37,74,4
37,72,3
37,53,2
37,91,2
37,95,2
37,69,2
37,94,2
37,20,1
37,8,1
37,60,1
37,90,3
37,68,1
37,79,1
37,17,1
37,96,2
37,89,1
33,93,1
33,88,1
33,60,2
33,86,1
33,63,1
33,82,2
33,87,1
33,94,1
33,46,1
33,4,1
33,8,1
33,81,1
33,92,1
33,77,1
33,59,1
33,68,1
33,90,2
33,7,1
33,18,1
33,73,2
33,27,1
33,91,1
33,2,1
33,96,1
33,16,1
25,54,1
25,29,3
25,93,1
25,30,1
25,78,1
25,26,2
25,89,2
25,24,1
25,22,1
25,80,1
25,69,2
25,55,1
25,73,4
25,51,1
25,95,1
25,91,1
25,87,1
25,82,1
25,48,1
55,77,3
55,21,1
55,78,2
55,64,4
55,71,2
55,85,1
55,87,1
55,75,2
55,11,1
55,92,3
55,86,2
55,100,1
55,96,3
55,91,1
55,95,3
55,67,1
55,12,1
55,44,1
55,76,2
55,34,1
55,93,4
55,10,1
55,38,1
55,69,1
55,70,1
55,60,1
55,46,1
55,89,1
55,58,1
55,94,1
55,81,1
55,57,1
55,90,1
55,56,1
55,9,1
55,37,1
44,81,1
44,70,1
44,67,1
44,83,2
44,90,3
44,75,1
44,50,3
44,68,1
44,89,1
44,91,4
44,66,1
44,97,2
44,56,1
44,5,1
44,94,2
44,92,2
44,31,1
44,34,1
44,18,1
44,7,2
44,29,1
44,42,1
44,2,1
44,32,1
44,36,1
44,82,2
44,87,1
44,78,1
44,40,1
44,86,1
44,33,1
31,4,3
31,32,1
