x,y,count
53,37,4
53,32,1
53,42,1
53,46,2
53,53,2
53,57,1
53,58,1
53,47,1
53,69,1
53,54,3
53,52,1
53,44,1
53,40,1
53,19,1
53,9,1
53,14,1
53,31,2
53,68,1
53,82,1
53,92,2
53,76,1
53,56,1
53,6,1
53,27,1
53,70,1
53,73,1
53,43,1
53,98,1
53,49,3
53,85,1
53,75,1
53,81,1
53,0,1
53,66,1
53,71,1
44,35,1
44,67,1
44,66,1
44,92,1
44,65,3
44,43,2
44,60,1
44,80,1
44,33,1
44,3,1
44,70,1
44,20,1
44,44,1
44,75,1
44,24,3
44,71,1
44,10,3
44,11,1
44,55,3
44,32,1
44,90,1
44,19,1
44,13,1
44,9,1
44,7,1
44,47,2
44,53,2
44,95,1
44,91,1
44,38,1
44,5,1
44,94,1
44,30,2
44,8,1
44,17,1
44,79,1
44,46,1
44,16,1
44,14,1
44,23,1
14,24,2
14,83,1
14,69,2
14,38,1
14,61,1
14,68,1
14,82,1
14,10,1
14,93,1
14,14,1
99,99,4
99,0,2
80,96,1
80,54,1
80,70,1
80,60,2
80,0,1
60,38,1
60,27,1
60,35,1
60,67,1
60,57,2
60,6,1
60,36,2
60,69,1
60,84,1
60,66,1
60,80,2
60,5,1
60,61,2
60,25,1
60,23,2
60,91,1
60,9,3
60,20,1
60,76,2
60,77,1
60,3,2
60,85,2
60,73,1
60,86,1
60,90,1
60,83,1
60,41,1
60,48,1
60,14,1
60,34,1
60,65,1
60,53,1
60,19,1
60,16,1
65,37,2
65,93,1
65,69,1
65,51,1
65,32,2
65,30,2
65,39,1
65,14,2
65,28,1
65,25,2
65,60,1
65,33,1
65,65,1
65,95,1
65,5,1
65,87,1
65,15,2
65,46,3
65,45,1
65,43,1
65,19,1
65,10,1
65,9,1
65,17,1
65,77,1
65,94,1
65,47,1
65,59,1
65,29,1
65,12,1
65,66,2
65,7,1
65,42,1
55,53,2
55,77,1
55,80,2
55,68,3
55,46,1
55,84,1
55,42,2
55,54,1
55,47,2
55,25,3
55,35,1
55,13,1
55,30,1
55,43,2
55,15,1
55,65,1
55,11,2
55,66,1
55,17,2
55,67,1
55,44,1
55,71,1
55,16,1
55,94,1
55,85,1
55,52,1
55,41,2
55,28,1
55,33,1
55,48,1
55,64,1
55,37,1
52,56,1
52,87,1
52,83,2
52,98,1
52,42,1
52,57,1
52,96,1
52,65,1
52,61,1
52,43,1
52,19,1
52,26,1
52,44,1
52,32,1
52,40,1
52,69,1
52,84,1
52,21,1
52,23,1
52,70,1
52,80,1
52,12,1
52,14,2
52,46,1
52,94,1
34,44,1
34,74,2
34,49,1
34,68,2
34,28,3
34,39,2
34,40,1
34,86,2
34,76,1
34,18,3
34,60,1
34,57,2
34,22,1
34,8,1
34,51,1
34,70,1
34,14,1
34,77,1
34,58,1
34,71,1
34,45,1
34,21,1
34,47,1
34,30,3
34,38,1
34,91,1
34,34,1
34,42,2
34,36,2
34,25,1
21,9,1
21,39,1
21,49,2
21,3,1
21,80,1
21,6,1
21,22,1
21,42,1
21,75,1
21,63,1
21,67,1
21,16,1
21,23,1
21,18,1
39,85,3
39,26,2
39,58,1
39,56,1
39,73,2
39,45,1
39,27,2
39,21,1
39,13,1
39,63,1
39,40,1
39,31,2
39,38,1
39,37,1
39,35,2
39,79,2
39,68,1
39,30,2
39,25,3
39,8,1
39,46,2
