x,y,count
17,91,2
17,88,1
17,83,1
17,92,1
17,53,1
17,77,1
17,93,1
17,89,1
28,100,4
28,93,1
28,84,1
28,80,1
28,96,1
28,92,3
28,77,1
28,89,1
28,74,1
28,72,1
28,73,1
28,90,3
28,66,1
28,82,1
28,87,1
28,97,1
28,94,1
28,86,1
28,67,1
28,85,2
22,96,3
22,97,2
22,87,2
22,92,2
22,100,2
22,81,1
22,82,1
22,89,1
22,63,1
22,75,1
22,71,2
22,84,1
22,90,1
22,76,3
22,93,1
22,85,1
22,94,1
22,79,1
22,45,1
22,95,2
22,83,1
30,91,5
30,96,3
30,80,1
30,84,1
30,72,1
30,76,2
30,94,4
30,85,1
30,83,2
30,70,2
30,89,4
30,88,1
30,81,2
30,95,1
30,57,1
30,78,1
30,71,1
30,92,2
30,93,3
30,43,1
30,68,1
30,98,1
25,86,2
25,97,2
25,73,1
25,100,3
25,87,1
25,94,5
25,69,1
25,96,3
25,67,2
25,95,1
25,84,1
25,90,1
25,93,2
46,94,3
46,95,1
46,74,1
46,72,1
46,56,1
46,76,2
46,100,2
46,92,4
46,73,1
46,40,1
46,63,1
46,79,1
46,82,1
46,90,1
46,66,1
46,75,1
46,97,1
46,93,2
46,51,1
46,71,1
46,58,1
53,93,2
53,86,1
53,90,2
53,69,1
53,82,1
53,56,1
53,84,1
53,96,3
53,75,3
53,100,5
53,97,3
53,81,1
53,72,1
53,74,2
53,76,3
53,55,3
53,95,2
53,79,1
53,77,1
53,91,1
53,94,1
58,97,2
58,91,2
58,84,2
58,89,2
58,96,7
58,95,4
58,86,1
58,61,1
58,87,2
58,100,9
58,73,3
58,93,5
58,98,2
58,75,2
58,83,2
58,94,2
58,92,1
58,70,1
58,88,1
58,11,1
81,90,1
81,85,2
81,87,2
81,86,1
81,100,5
81,95,1
81,45,1
81,71,1
81,97,1
81,84,1
74,80,1
74,96,2
74,100,2
74,95,3
74,89,3
74,92,2
74,94,2
74,90,1
74,82,4
74,76,1
74,97,2
74,85,1
74,64,1
74,73,1
74,55,1
74,83,1
74,93,1
74,91,2
23,81,2
23,69,1
23,92,1
23,86,1
23,84,1
23,100,3
23,96,2
23,75,2
23,85,1
23,91,2
23,83,1
23,88,1
23,82,1
23,65,1
23,97,1
23,94,1
23,77,2
23,87,1
23,11,1
23,3,1
62,92,4
62,90,2
62,66,1
62,82,3
62,88,2
62,87,1
62,98,1
62,84,2
62,100,6
62,64,1
62,70,2
62,94,1
62,83,2
62,73,1
62,96,2
62,65,1
62,95,2
62,26,1
62,75,1
62,60,1
62,93,2
62,89,1
62,79,1
62,81,1
62,86,1
59,95,6
59,84,2
59,90,3
59,62,1
59,97,3
59,70,1
59,87,2
59,91,3
59,100,5
59,61,1
59,73,1
59,96,3
59,93,3
59,83,1
59,7,1
59,77,1
59,79,1
59,71,1
59,85,1
59,98,1
59,10,1
60,94,4
60,100,5
60,83,1
60,44,1
60,67,1
60,96,1
60,87,1
60,92,2
60,91,1
60,89,3
60,93,1
60,85,1
60,71,1
60,78,1
60,77,1
60,26,1
60,75,1
60,90,1
60,34,1
60,13,1
82,89,1
82,100,8
82,91,1
82,96,2
82,94,3
82,95,1
82,93,3
82,3,1
82,88,1
82,24,1
82,87,1
83,90,1
83,91,1
83,95,1
83,96,1
83,100,5
83,86,1
83,92,1
84,76,2
84,93,1
84,100,5
84,91,1
84,94,2
84,86,1
84,95,1
99,99,67
99,0,42
99,35,1
99,38,1
99,80,1
55,95,2
55,93,4
55,85,2
55,67,1
55,82,2
55,81,2
55,100,3
55,91,1
55,83,1
55,53,1
55,97,2
55,86,1
55,79,1
55,77,1
55,89,2
55,88,1
55,96,1
55,70,1
55,78,1
55,92,2
55,68,1
55,98,1
65,91,1
65,78,1
65,85,1
65,95,3
65,90,2
65,77,2
65,92,4
65,79,1
65,28,1
65,22,1
65,83,2
65,93,2
65,86,3
65,100,9
65,69,2
65,70,1
65,75,1
65,84,2
65,68,1
65,71,1
65,26,1
65,96,1
65,89,1
65,67,1
65,55,1
35,85,2
35,94,3
35,50,1
35,92,3
35,82,1
35,98,1
35,2,1
35,93,2
35,89,3
35,68,1
35,100,2
35,77,1
35,97,2
35,75,2
35,90,1
35,87,1
35,84,1
37,84,3
37,100,7
37,63,2
37,83,1
37,78,1
37,82,1
37,62,2
37,54,2
37,18,1
37,73,1
37,90,3
37,80,1
37,92,2
37,67,1
37,96,2
37,75,1
37,87,1
37,95,2
37,74,1
37,77,1
37,94,1
37,91,1
37,72,1
37,93,1
37,79,1
36,94,2
36,97,1
36,62,1
36,96,1
36,95,3
36,85,3
36,92,2
36,91,2
36,84,1
36,68,1
36,76,1
36,88,2
36,87,2
36,86,1
36,90,1
36,81,1
36,100,4
36,83,1
36,64,1
36,82,1
75,95,1
75,81,1
75,86,3
75,94,3
75,77,1
75,100,2
75,96,3
75,79,1
75,80,1
75,92,2
75,84,2
75,65,1
75,85,1
75,93,1
75,66,1
75,70,1
76,82,4
76,96,1
76,78,1
76,66,1
76,93,3
76,100,3
76,92,2
76,94,3
76,91,2
76,97,1
76,88,1
76,75,1
76,95,2
76,71,2
76,68,1
77,100,6
77,9,1
77,64,1
77,78,1
77,71,1
77,88,2
77,95,2
77,94,1
77,86,1
77,89,1
77,2,1
77,80,1
77,81,1
77,82,1
77,91,2
77,93,2
77,97,1
77,85,2
77,42,1
77,0,1
73,96,4
73,94,1
73,97,1
73,95,1
73,92,2
73,74,1
73,79,1
73,98,1
73,54,1
73,93,2
73,58,1
73,76,2
73,100,1
73,83,1
73,81,1
73,85,1
73,91,2
73,28,1
80,100,5
80,94,1
80,90,1
80,96,3
80,93,1
80,84,1
80,95,1
71,71,1
71,80,1
71,73,1
71,96,4
71,95,2
71,89,2
71,78,1
71,72,1
71,100,4
71,62,1
71,93,1
71,81,1
71,97,1
71,83,1
71,60,1
71,77,1
71,91,1
71,92,1
95,100,2
95,81,1
95,92,2
95,75,1
95,86,1
95,93,1
95,85,1
96,41,1
96,94,1
96,100,1
96,18,1
96,38,1
96,88,1
96,75,1
67,88,2
67,66,2
67,95,3
67,81,2
67,93,1
67,58,1
67,96,3
67,100,4
67,40,1
67,91,1
67,85,1
67,77,1
67,76,3
67,90,1
67,86,1
67,80,1
67,46,1
67,59,2
67,84,1
67,82,2
67,94,2
67,89,1
54,86,3
54,66,1
54,95,2
54,91,1
54,58,1
54,73,1
54,100,3
54,98,1
54,96,4
54,83,1
54,79,1
54,90,1
54,92,1
54,64,1
54,94,1
54,68,1
54,88,1
54,69,1
44,88,3
