x,y,count
8,19,1
8,24,1
8,27,1
8,35,1
8,31,1
8,49,1
8,25,1
8,43,3
8,11,2
8,63,1
8,56,1
8,54,1
8,61,1
8,55,1
8,39,1
8,45,1
8,50,1
8,53,1
9,19,1
9,17,1
9,50,1
9,30,1
9,22,1
9,39,3
9,13,4
9,40,2
9,80,1
9,36,1
9,15,1
9,47,1
9,12,1
9,34,1
9,45,1
9,57,1
9,59,1
9,51,1
30,25,1
30,33,2
30,43,1
30,31,2
30,5,1
30,48,1
30,38,1
30,27,1
30,28,2
30,18,2
30,23,1
30,58,2
30,32,1
30,59,1
30,3,1
30,15,1
30,62,1
30,0,1
30,4,2
30,41,3
30,74,1
30,42,1
30,13,1
30,22,4
30,20,2
30,40,1
30,34,2
30,14,1
19,35,1
19,9,1
19,23,1
19,18,1
19,14,1
19,27,1
19,28,1
19,33,2
19,32,1
19,52,1
19,13,2
19,26,2
19,22,1
19,10,1
19,58,1
29,34,4
29,45,1
29,36,1
29,22,1
29,15,1
29,35,1
29,57,1
29,37,1
29,39,2
29,49,1
29,38,1
29,69,1
29,72,1
29,6,2
29,29,1
29,21,1
29,18,1
29,17,3
29,42,1
29,24,1
29,16,1
29,46,1
29,13,1
29,40,1
29,14,1
29,9,1
28,34,2
28,28,2
28,13,2
28,36,2
28,32,2
28,18,1
28,0,3
28,42,2
28,5,1
28,25,1
28,33,2
28,29,2
28,43,1
28,41,1
28,27,1
28,3,1
28,50,1
28,23,1
28,57,1
28,19,1
28,21,1
28,16,1
28,35,2
28,61,1
28,40,1
22,28,2
22,20,2
22,19,2
22,27,1
22,24,1
22,55,3
22,51,1
22,35,2
22,46,1
22,12,2
22,29,1
22,25,1
22,30,1
22,66,1
22,21,2
22,49,1
22,45,1
22,18,1
22,39,1
22,22,2
22,26,2
22,23,1
22,5,1
24,35,1
24,24,2
24,20,2
24,19,2
24,12,1
24,5,1
24,39,2
24,13,1
24,73,1
24,54,1
24,21,2
24,23,2
24,34,1
24,7,3
24,58,1
24,11,1
24,52,1
24,30,1
24,37,1
24,17,1
24,45,1
59,19,1
59,28,2
59,8,1
59,64,1
59,20,3
59,24,1
59,12,1
59,10,1
59,33,2
59,39,1
59,21,1
59,23,1
59,0,1
59,17,1
59,11,1
59,27,1
59,15,1
59,5,1
59,14,1
59,9,1
96,51,1
96,27,1
96,15,1
96,50,1
96,58,1
23,63,2
23,23,1
23,6,1
23,21,1
23,26,2
23,25,1
23,9,2
23,31,2
23,32,1
23,30,1
23,19,1
23,10,2
23,71,1
23,18,3
23,52,1
23,36,1
23,39,1
23,4,1
23,37,1
23,7,2
23,64,1
23,43,1
23,42,1
60,14,2
60,16,2
60,5,2
60,24,1
60,7,1
60,11,2
60,13,4
60,28,1
60,6,1
60,17,1
60,8,1
60,42,1
60,4,1
60,18,1
60,15,1
17,30,1
17,3,1
17,32,1
17,55,1
17,34,1
17,21,1
17,7,1
17,49,1
17,27,1
14,48,1
14,26,1
14,33,1
14,22,2
14,23,1
14,30,1
14,13,1
14,16,1
14,3,1
14,15,1
14,54,1
14,27,1
14,31,1
14,32,1
14,4,1
31,42,1
31,27,2
31,21,1
31,7,1
31,28,3
31,44,3
31,56,1
31,9,1
31,4,2
31,46,2
31,40,1
31,65,1
31,32,1
31,15,2
31,26,1
31,36,1
31,41,2
31,24,2
31,51,1
31,25,1
33,40,2
33,49,2
33,22,1
33,20,3
33,30,1
33,18,1
33,28,1
33,8,2
33,24,1
33,9,1
33,34,1
33,41,1
33,25,1
33,62,1
33,14,1
33,26,1
33,23,1
33,48,1
33,29,1
33,27,1
33,36,1
33,31,1
79,11,1
79,2,1
79,0,1
79,6,1
79,12,1
79,17,1
93,9,1
93,5,1
93,67,1
93,7,1
93,51,1
93,47,2
93,42,2
93,91,1
93,46,1
93,21,1
93,43,1
98,69,1
98,50,1
98,15,1
98,6,1
98,24,1
98,17,1
35,43,1
35,20,3
35,21,1
35,8,3
35,0,1
35,7,2
35,14,2
35,40,2
35,65,1
35,61,1
35,62,1
35,26,1
35,11,1
35,46,1
35,24,2
35,22,1
35,55,1
35,4,1
35,54,1
35,17,1
35,3,1
35,41,2
35,42,1
35,58,1
35,47,1
35,57,1
35,6,1
35,19,1
35,23,1
35,37,1
35,29,1
35,33,1
35,66,2
25,25,3
25,13,2
25,28,2
25,22,2
25,0,1
25,20,2
25,33,1
25,34,2
25,43,3
25,44,1
25,30,1
25,26,2
25,41,1
25,40,1
25,11,2
25,14,1
25,6,1
25,10,1
25,19,2
25,24,1
25,23,1
25,12,1
25,58,1
77,27,1
77,11,1
77,7,1
77,14,2
77,34,1
77,21,1
77,25,1
77,19,1
34,38,1
34,34,1
34,43,1
34,25,4
34,45,1
34,17,3
34,58,1
34,39,2
34,28,1
34,60,2
34,24,1
34,46,2
34,15,1
34,62,1
34,20,1
34,12,1
34,27,1
34,51,1
34,29,1
34,7,1
34,31,1
34,19,1
34,18,1
34,50,1
34,11,1
34,32,1
34,48,1
34,23,1
47,33,2
47,5,1
47,6,2
47,41,2
47,26,1
47,14,1
47,53,1
47,0,2
47,52,1
47,31,1
47,29,1
47,27,1
47,7,2
47,11,1
47,46,1
47,23,1
47,21,1
47,22,2
47,19,2
47,25,1
47,39,1
52,52,1
52,20,1
52,13,1
52,4,1
52,18,1
52,25,1
52,16,1
52,7,1
52,26,1
52,11,1
52,23,1
64,31,1
64,25,1
64,13,2
64,8,1
64,6,1
64,17,2
64,15,1
64,0,2
64,42,1
64,3,1
46,24,1
46,25,1
46,44,1
46,9,2
46,42,1
46,10,1
46,2,1
46,23,1
46,30,1
46,39,1
46,34,1
46,14,1
46,29,1
46,41,1
46,35,1
46,5,1
46,26,1
37,32,1
37,16,1
37,18,1
37,15,1
37,35,1
37,23,3
37,25,4
37,3,1
37,38,1
37,28,1
37,26,2
37,37,1
37,19,1
37,17,1
37,8,2
37,0,2
37,22,1
37,5,2
37,45,1
37,30,1
37,11,1
37,36,1
37,58,1
