x,y,count
28,52,1
28,18,1
28,75,2
28,74,2
28,37,1
28,31,1
28,72,3
28,65,1
28,73,3
28,88,1
28,8,1
28,67,2
27,70,1
27,90,4
27,38,1
27,95,1
27,71,1
27,34,1
27,40,1
34,53,1
34,70,1
34,62,2
34,66,1
34,51,3
34,21,1
34,74,1
34,54,1
34,80,1
34,93,1
34,77,2
34,58,1
34,31,1
34,19,1
34,81,1
34,43,1
34,3,1
34,55,1
34,84,1
34,39,1
68,85,2
68,13,2
68,65,1
68,19,2
68,23,1
68,82,1
68,55,2
68,31,1
68,22,1
68,37,1
68,96,1
68,36,1
68,75,1
68,83,1
68,29,1
68,57,1
68,72,1
68,81,1
68,2,1
30,86,1
30,27,1
30,61,1
30,60,1
30,57,1
30,70,1
30,62,1
30,92,1
30,75,1
30,40,1
30,41,1
30,76,1
30,8,1
30,80,1
30,26,1
30,79,1
30,67,2
30,58,1
30,87,1
30,65,1
93,73,1
93,95,1
93,41,1
93,70,1
93,64,1
93,28,1
93,19,1
93,84,1
93,3,1
93,40,1
93,75,1
92,71,1
92,16,1
92,73,1
92,89,1
92,68,1
92,59,1
96,68,1
96,73,1
96,23,1
96,55,1
47,82,1
47,86,1
47,72,1
47,92,1
47,57,1
47,46,1
47,55,1
47,69,1
47,24,1
47,15,1
47,29,1
47,54,1
47,90,1
47,78,1
47,66,1
47,94,1
47,19,1
47,65,1
45,47,1
45,42,1
45,11,1
45,65,1
45,34,1
45,80,1
45,50,1
45,89,1
45,40,2
45,75,1
45,53,1
45,12,1
45,10,1
45,71,1
45,22,1
45,54,1
45,45,1
45,25,1
45,63,1
45,21,1
48,80,1
48,72,2
48,49,1
48,83,1
48,94,1
48,9,1
48,42,1
48,60,1
48,58,1
48,36,1
48,65,1
48,78,1
48,32,1
48,68,1
48,41,2
48,46,1
48,74,1
48,21,1
56,65,1
56,69,1
56,67,1
56,64,1
56,86,1
56,79,3
56,85,1
56,93,2
56,70,3
56,77,1
56,81,1
56,31,2
56,30,1
56,33,1
56,19,2
56,16,1
56,72,3
56,56,1
56,87,1
56,24,1
56,68,1
56,66,2
56,83,1
56,92,1
56,7,1
56,80,1
56,96,1
56,78,1
56,88,1
56,84,1
58,72,2
58,37,1
58,50,1
58,88,1
58,19,1
58,8,1
58,7,1
58,30,1
58,80,3
58,75,3
58,69,4
58,84,1
58,71,1
58,83,1
58,44,1
58,25,2
58,70,1
58,62,1
58,90,1
58,27,1
58,77,1
58,66,1
71,76,1
71,83,1
71,53,1
71,45,1
71,87,1
71,85,1
71,36,1
71,5,1
71,24,2
71,23,1
71,84,1
71,60,1
71,77,1
71,63,1
71,71,1
71,40,2
71,29,1
71,70,1
71,72,1
71,79,1
71,78,1
46,44,1
46,72,1
46,64,1
46,61,2
46,75,1
46,68,1
46,94,1
46,36,1
46,45,1
46,56,1
46,91,1
46,59,1
46,57,1
46,58,1
46,33,2
46,43,1
46,17,1
46,27,1
46,38,1
46,41,1
46,85,1
46,67,1
62,85,1
62,18,4
62,34,1
62,73,2
62,95,1
62,57,1
62,49,1
62,27,1
62,31,1
62,35,2
62,87,1
62,74,1
62,71,1
62,66,1
62,28,1
62,83,1
62,43,1
62,26,1
62,40,1
62,4,1
62,7,1
62,68,1
62,76,2
62,15,1
62,64,1
62,88,1
62,51,1
62,69,1
62,13,1
62,39,1
59,67,2
59,47,1
59,85,1
59,83,1
59,36,1
59,58,1
59,32,1
59,38,1
59,74,1
59,71,1
59,86,1
59,69,1
59,65,1
59,43,1
59,88,1
59,73,1
59,20,1
59,22,1
59,66,1
59,78,1
59,63,1
59,6,1
33,84,1
33,34,3
33,79,1
33,87,2
33,93,2
33,73,1
33,64,1
33,85,1
33,89,1
33,25,1
33,16,1
33,50,1
33,31,1
33,32,1
19,95,1
19,43,1
19,28,1
19,6,1
19,89,1
19,45,1
19,52,1
19,50,1
19,46,1
41,65,2
41,34,1
41,31,1
41,15,1
41,66,1
41,29,1
41,23,1
41,86,1
41,96,1
41,93,1
41,25,1
41,50,1
41,20,1
41,88,2
41,83,2
66,50,1
66,11,1
66,94,1
66,7,1
66,45,1
66,86,1
66,9,1
66,0,1
66,27,1
66,65,1
66,32,2
66,82,2
66,60,1
66,34,2
66,46,2
66,56,1
66,67,1
66,77,1
66,64,1
66,57,1
66,58,1
66,69,1
66,84,1
66,89,1
66,70,1
66,29,1
66,38,1
66,37,1
57,28,1
57,34,1
57,24,1
57,66,1
57,56,1
57,62,1
57,74,2
57,88,2
57,53,2
57,40,1
57,65,2
57,39,1
57,72,1
57,78,1
57,20,1
57,22,1
57,13,1
57,27,1
57,69,1
57,30,1
57,83,1
61,73,1
61,68,3
61,78,2
61,83,1
61,35,1
61,82,1
61,87,1
61,93,1
61,31,1
61,61,1
61,40,2
61,66,1
61,34,1
61,38,1
61,80,2
61,17,1
61,86,1
61,84,1
61,56,1
61,18,2
61,69,1
61,11,1
61,7,1
61,71,1
61,27,1
61,89,1
72,53,2
72,80,2
72,68,1
72,6,1
72,94,2
72,81,1
72,66,2
72,34,1
72,39,2
72,70,1
72,97,1
72,42,1
72,48,1
72,43,1
72,75,1
72,24,1
72,47,1
72,58,1
72,46,1
72,25,1
72,57,1
73,71,1
73,76,1
73,18,2
73,93,1
73,74,1
73,44,1
73,31,1
73,61,1
73,85,2
73,38,1
73,82,1
73,83,2
73,30,1
73,27,1
73,56,1
73,89,1
26,24,1
26,95,2
26,75,1
