x,y,count
33,52,1
33,49,1
33,50,4
33,56,1
33,65,3
33,48,1
33,55,2
33,39,2
33,89,1
33,73,1
33,72,2
33,79,1
33,51,1
33,19,1
33,38,1
33,69,2
33,70,1
33,60,1
33,41,1
33,96,2
33,23,1
33,58,1
33,64,1
33,59,2
33,31,1
33,94,1
33,67,1
33,84,1
33,83,1
33,87,1
33,68,1
33,26,1
33,34,1
33,45,1
43,30,1
43,43,1
43,42,1
43,33,4
43,45,2
43,50,1
43,47,1
43,52,2
43,51,5
43,31,2
43,27,1
43,6,1
43,55,4
43,34,1
43,39,1
43,91,1
43,46,1
43,49,1
43,37,1
43,65,2
43,67,1
43,61,1
43,11,1
43,48,2
43,53,1
43,62,1
43,15,1
43,14,1
43,23,1
43,35,1
43,21,1
43,85,3
43,70,1
43,76,1
43,89,2
43,72,1
43,2,1
43,40,1
51,41,2
51,40,2
51,48,1
51,52,2
51,27,1
51,61,1
51,44,1
51,70,1
51,77,1
51,50,2
51,30,1
44,49,1
44,51,5
44,66,2
44,28,2
44,86,1
44,46,3
44,10,1
44,53,3
44,52,2
44,50,1
44,8,1
44,43,2
44,56,3
44,45,1
44,54,1
44,32,1
44,12,1
44,3,1
44,24,1
44,36,1
44,60,2
44,67,2
44,70,1
44,81,1
44,89,1
44,75,1
44,33,1
44,14,1
44,55,1
44,22,1
44,64,1
44,44,1
22,49,1
22,50,2
22,89,1
22,96,1
22,52,1
22,59,1
22,31,2
22,22,1
22,54,1
22,79,1
22,74,1
22,73,1
22,38,1
22,68,3
22,20,1
22,45,2
22,34,1
22,88,1
22,93,1
22,43,1
22,48,1
22,63,1
22,29,1
36,58,2
36,61,1
36,38,3
36,40,1
36,52,2
36,63,2
36,57,1
36,69,1
36,60,4
36,62,1
36,32,1
36,33,1
36,47,1
36,68,1
36,22,1
36,96,1
36,73,1
36,65,2
36,24,1
36,35,1
36,28,2
36,45,2
36,41,1
36,72,2
36,74,1
36,46,1
36,11,1
36,37,1
36,85,2
36,71,1
36,49,1
36,53,1
36,23,2
36,4,1
36,51,1
36,59,1
36,90,1
26,45,4
26,37,1
26,59,1
26,10,1
26,58,2
26,52,2
26,70,1
26,67,1
26,0,2
26,23,3
26,29,1
26,76,1
26,80,1
26,73,1
26,55,2
26,9,1
26,27,2
26,34,1
26,12,2
26,61,1
26,69,1
26,48,3
26,13,1
26,47,3
26,41,2
26,42,1
26,46,2
26,57,1
26,35,2
26,62,1
26,51,2
26,60,1
26,22,1
26,43,1
26,92,1
26,86,1
26,97,1
26,88,1
26,90,1
26,83,1
26,75,1
26,53,2
26,49,1
37,37,1
37,36,1
37,63,3
37,41,4
37,56,1
37,58,2
37,51,1
37,57,2
37,59,3
37,50,1
37,44,2
37,26,1
37,60,1
37,62,1
37,48,2
37,28,2
37,65,1
37,35,2
37,15,1
37,29,3
37,64,1
37,53,1
37,82,2
37,31,1
37,7,1
37,38,1
37,94,1
37,69,1
37,67,1
37,43,1
37,85,1
37,95,2
37,52,1
37,34,1
16,71,1
16,86,1
16,44,2
16,74,1
16,87,1
16,47,1
16,37,1
19,61,1
19,89,1
19,62,1
19,34,1
19,67,1
19,45,2
19,74,1
19,40,1
19,83,2
19,55,1
19,52,2
19,26,1
19,20,1
19,54,1
19,50,2
19,53,1
19,29,1
19,49,1
19,58,1
19,59,1
29,37,2
29,35,3
29,50,5
29,70,1
29,64,2
29,66,1
29,61,2
29,40,1
29,52,1
29,45,2
29,95,1
29,84,3
29,87,1
29,86,1
29,65,2
29,12,2
29,42,2
29,47,3
29,53,1
29,34,1
29,36,2
29,94,1
29,68,1
29,51,2
29,56,2
29,43,1
29,44,1
29,60,1
29,38,1
29,57,1
29,39,2
29,82,2
29,27,1
29,28,2
29,69,2
29,75,2
29,80,1
29,76,1
29,15,1
29,55,1
29,79,1
29,73,2
29,46,1
29,62,1
53,59,1
53,30,2
53,75,1
53,14,1
53,67,2
53,56,2
53,54,1
53,50,2
53,36,1
53,33,1
53,24,2
53,34,1
53,10,1
53,43,1
53,46,1
53,60,1
53,49,1
53,45,2
53,18,1
53,64,1
53,57,1
53,44,1
53,29,1
53,31,1
53,69,1
53,78,1
53,73,1
53,35,1
53,53,1
53,77,1
53,11,1
53,26,2
53,55,1
53,76,1
31,65,4
31,59,2
31,52,3
31,62,2
31,50,1
31,70,3
31,61,2
31,54,4
31,49,2
31,46,2
31,19,1
31,91,2
31,74,1
31,60,2
31,80,2
31,94,3
31,69,2
31,30,3
31,48,2
31,18,1
31,17,2
31,10,1
31,64,1
31,21,1
31,34,1
31,33,1
31,31,2
31,43,2
31,39,1
31,55,1
31,44,2
31,76,1
31,58,2
31,77,1
31,66,2
31,45,2
31,9,1
31,87,1
31,78,1
31,84,1
31,82,1
31,47,1
31,27,1
31,53,1
24,48,2
24,22,1
24,51,1
24,77,1
24,39,1
24,68,3
24,43,1
24,50,1
24,42,2
24,44,1
24,34,1
24,32,2
24,24,1
24,82,1
24,97,1
24,78,1
24,89,2
24,18,1
24,30,1
24,41,1
24,62,1
24,81,1
24,74,2
24,57,1
24,20,2
24,26,1
24,85,1
24,35,1
24,46,2
24,59,1
24,92,1
24,38,1
24,84,1
24,49,1
24,0,1
24,28,2
24,83,2
34,38,2
34,42,2
34,47,1
34,51,1
34,54,2
34,45,1
34,37,2
34,46,1
34,48,2
34,74,3
34,44,1
34,60,3
34,67,2
34,57,1
34,63,1
34,65,2
34,30,2
34,52,3
34,34,1
34,40,1
34,23,1
34,43,3
34,41,1
34,58,1
34,12,1
34,10,1
34,11,1
34,29,1
34,50,2
34,36,1
34,89,1
34,69,1
34,84,1
34,78,1
34,33,1
34,32,1
34,35,1
34,22,1
34,3,1
34,53,2
38,62,1
38,57,1
38,54,2
38,60,2
38,25,1
38,35,2
38,34,1
38,81,2
38,63,1
38,53,2
38,44,1
38,70,1
38,26,1
38,42,2
38,94,1
38,33,1
38,77,1
38,61,2
38,48,1
38,18,2
38,28,1
38,66,1
38,68,1
38,39,1
38,69,1
38,80,1
38,86,1
38,84,1
38,45,1
38,19,1
38,5,1
38,56,1
38,31,1
38,89,1
30,63,2
30,50,2
30,41,5
30,54,2
30,44,3
30,67,2
30,58,2
30,53,2
30,46,2
30,37,1
30,14,2
30,18,2
30,27,1
30,70,1
30,31,1
30,56,1
30,33,1
30,65,1
30,21,1
30,48,1
30,47,1
30,59,1
30,52,2
30,71,1
30,55,1
30,45,2
30,72,2
30,85,3
30,78,1
30,69,1
30,20,1
30,34,1
30,64,1
30,90,2
30,88,1
30,49,1
30,79,1
30,40,1
30,42,1
30,25,1
30,36,1
30,30,1
49,47,1
49,64,1
49,55,1
23,22,1
23,53,4
23,75,1
23,18,1
23,84,2
23,40,1
23,32,4
23,16,1
23,73,1
23,36,1
23,85,1
23,58,1
23,68,1
23,57,2
23,62,1
23,69,1
23,37,1
23,25,2
23,35,1
23,63,1
23,74,1
23,67,1
23,72,1
23,47,1
23,56,1
23,52,1
48,43,2
48,60,1
48,52,1
48,50,1
48,47,1
48,14,1
48,36,1
48,71,1
48,8,1
48,10,1
48,40,1
48,42,1
47,41,1
47,48,1
47,94,1
47,59,2
47,57,3
47,49,1
47,40,1
47,44,2
47,68,1
47,81,1
47,82,1
47,4,1
47,43,1
47,50,1
47,47,1
47,71,2
47,45,1
47,58,1
47,28,1
47,52,1
47,22,1
47,33,1
47,24,1
47,39,1
47,62,1
35,38,2
35,40,1
35,49,2
35,56,6
35,61,1
35,46,1
35,53,2
35,62,1
35,25,2
35,68,1
35,80,2
35,79,2
35,70,1
35,73,1
35,55,3
35,52,3
35,21,1
35,47,2
35,75,2
35,50,3
35,39,1
35,45,2
35,59,2
35,65,2
35,64,1
35,63,1
35,72,2
35,42,1
35,31,1
35,34,2
35,82,1
35,54,2
35,15,1
35,43,1
35,67,1
52,42,2
52,61,1
52,67,1
52,60,1
52,77,1
52,80,1
52,93,1
52,23,1
52,51,3
52,25,1
52,43,1
52,57,2
52,35,1
52,54,1
52,45,1
52,41,2
52,27,1
52,48,1
52,70,1
52,12,1
52,34,2
52,44,1
52,68,1
52,74,1
52,73,1
52,46,1
52,28,1
41,46,1
41,80,1
41,37,2
41,58,1
41,41,2
41,35,2
41,7,1
41,63,1
41,90,1
41,72,1
41,71,1
41,68,1
41,69,1
41,92,3
41,60,1
41,75,1
41,36,1
41,67,1
41,15,1
41,79,4
41,33,1
41,24,2
41,28,1
41,22,1
41,31,1
41,4,1
41,88,1
41,91,1
41,44,1
41,30,1
41,66,1
8,8,2
8,80,1
8,27,2
8,30,1
8,46,3
8,37,1
8,13,1
8,64,1
8,72,3
8,47,2
8,21,1
8,58,2
8,51,1
8,17,2
8,57,1
8,49,1
8,34,1
8,32,2
8,87,1
8,45,1
8,44,1
8,53,1
8,42,1
8,38,1
27,45,3
27,88,1
27,81,1
27,49,3
27,18,1
27,66,3
27,38,2
27,64,2
27,80,2
27,87,1
27,57,1
27,29,2
27,51,1
27,19,1
27,31,2
27,14,1
27,65,4
27,33,1
27,53,2
27,48,4
27,43,2
27,47,2
27,96,1
27,55,1
27,46,1
27,17,1
27,41,2
27,91,1
27,89,1
27,94,1
27,58,1
27,39,1
27,52,1
27,35,1
27,56,1
27,16,1
27,10,1
27,63,1
27,34,2
27,24,1
27,54,1
28,50,2
28,54,1
28,10,2
28,53,5
28,61,3
28,47,1
28,58,2
28,17,1
28,31,2
28,64,1
28,79,2
28,41,4
28,88,2
28,73,1
28,48,2
28,46,4
28,40,3
28,69,3
28,86,1
28,65,1
28,60,3
28,12,1
28,19,2
28,33,1
28,39,1
28,78,1
28,42,2
28,66,1
28,28,2
28,90,1
28,72,1
28,52,1
28,15,1
28,32,1
28,38,1
28,55,1
46,41,2
46,56,3
46,55,1
46,52,2
46,44,1
46,40,2
46,35,2
46,57,1
46,87,1
46,76,1
46,48,1
46,51,1
46,45,1
46,20,1
46,50,1
46,62,1
46,54,2
46,49,1
46,58,1
46,42,1
46,31,2
46,26,1
46,89,1
46,53,1
46,71,1
46,85,1
46,27,1
46,70,1
46,13,1
46,92,1
5,85,1
5,39,1
5,29,1
5,23,1
5,24,1
5,38,1
5,55,1
5,52,1
5,74,1
5,87,1
5,34,1
5,49,1
5,50,1
5,12,1
14,36,1
14,58,1
14,42,1
14,33,2
14,69,3
14,15,1
14,44,1
14,28,2
14,60,2
14,57,1
14,30,1
14,92,1
14,76,1
14,80,1
14,48,1
14,53,2
14,40,1
14,52,1
14,95,2
14,85,1
14,47,1
45,33,2
45,59,1
45,50,1
45,77,1
45,26,2
45,36,1
45,28,2
45,30,1
45,34,1
45,16,1
45,60,2
45,54,4
45,68,2
45,42,1
45,83,1
45,51,1
45,46,4
45,35,1
45,29,1
45,65,2
45,19,2
45,23,1
45,21,1
45,45,1
45,92,2
45,43,1
45,70,1
45,91,1
45,55,1
45,69,1
45,61,1
45,9,1
45,22,1
45,44,1
45,38,1
45,76,1
12,49,3
12,45,2
12,62,2
12,78,1
12,82,2
12,42,1
12,23,1
12,3,1
12,55,2
12,85,2
12,47,2
12,50,1
12,46,1
12,15,1
12,41,1
12,71,1
12,48,1
12,43,1
12,26,3
12,96,1
12,54,1
12,38,1
12,61,1
12,74,3
12,31,1
12,34,1
12,30,2
12,87,1
12,84,1
12,52,1
12,32,1
12,75,1
12,53,1
12,27,1
18,39,1
18,72,1
18,81,1
18,65,1
18,25,1
18,34,1
18,64,1
18,40,1
18,19,1
18,63,1
18,87,1
18,45,1
18,29,1
18,36,1
18,49,1
18,90,2
18,18,1
18,71,1
18,30,1
18,46,1
32,39,1
32,66,1
32,65,2
32,54,2
32,61,4
32,50,2
32,34,3
32,63,1
32,87,1
32,79,1
32,43,1
32,16,1
32,58,1
32,41,1
32,10,1
32,51,1
32,70,1
32,46,3
32,57,1
32,33,1
32,36,2
32,53,1
32,35,1
32,76,1
32,62,1
32,78,1
32,84,1
32,85,1
32,95,1
32,64,1
32,88,1
32,89,1
32,45,1
32,52,1
32,48,2
32,37,1
32,19,1
32,49,1
32,40,1
6,45,1
6,58,1
6,76,1
6,51,1
6,97,1
6,75,1
6,57,1
6,55,1
6,21,1
6,81,1
6,3,1
6,16,1
6,88,1
6,62,1
6,68,1
6,48,1
6,43,1
4,42,2
4,38,1
4,19,1
4,41,1
4,84,1
4,60,3
4,59,2
4,53,2
4,23,1
4,69,1
4,68,1
4,39,2
4,46,1
4,57,2
4,61,2
4,44,1
4,49,2
4,47,1
0,37,1
0,34,1
0,30,1
13,58,1
13,20,1
13,61,1
13,18,2
13,67,1
13,69,1
13,54,1
13,52,1
13,21,1
13,27,1
13,49,2
13,40,1
13,63,1
13,35,1
13,44,1
13,32,2
13,73,2
13,53,1
13,86,1
13,82,1
13,80,1
13,59,1
7,57,1
7,70,1
7,58,1
7,53,1
7,24,1
7,39,1
7,32,1
7,28,1
7,84,1
7,65,3
7,49,2
7,71,1
7,6,1
7,52,1
7,47,1
7,63,1
7,86,1
7,82,1
7,31,1
7,69,1
7,74,1
40,54,1
40,36,1
40,38,2
40,70,2
40,74,1
40,65,1
40,55,1
40,47,1
40,51,2
40,59,3
40,45,1
40,24,1
40,82,1
40,80,1
40,34,1
40,44,1
40,69,1
40,37,1
40,35,1
40,33,1
40,63,1
40,67,1
40,62,1
40,78,1
40,81,2
40,76,1
40,79,1
40,19,1
40,57,1
40,21,1
40,4,1
20,94,1
20,54,1
20,18,1
20,80,1
20,73,1
20,92,1
20,43,1
20,37,2
20,29,2
20,52,1
20,88,1
20,53,1
20,30,1
20,67,2
20,58,1
20,39,1
20,66,1
20,40,1
20,50,1
20,75,1
20,71,1
20,61,1
20,45,1
20,69,1
42,55,1
42,63,1
42,51,1
42,29,1
42,57,1
42,21,1
42,70,2
42,75,2
42,53,1
42,67,1
42,15,1
42,14,3
42,34,2
42,45,1
42,8,1
42,82,2
42,28,1
42,59,1
42,69,1
42,27,1
42,36,1
42,65,1
42,78,1
42,91,1
42,81,1
42,66,1
42,50,1
42,58,1
42,62,1
42,76,1
42,43,1
42,20,1
42,68,1
42,64,1
25,82,1
25,61,3
25,56,2
25,30,1
25,0,1
25,74,4
25,46,1
25,50,1
25,90,1
25,60,1
25,67,1
25,40,1
25,38,2
25,36,1
25,14,1
25,12,1
25,66,1
25,43,1
25,54,1
25,42,1
25,68,1
25,69,1
25,71,1
25,37,1
25,18,1
25,58,2
25,49,1
25,9,1
25,47,1
25,70,1
25,84,1
25,88,1
25,48,3
25,23,1
25,57,1
11,74,1
11,86,1
11,40,1
11,33,2
11,24,4
11,23,1
11,27,2
11,22,2
11,18,1
11,72,3
11,52,2
11,8,1
11,21,1
11,35,1
11,49,1
11,11,1
11,25,1
11,26,1
11,67,2
11,42,1
11,5,1
11,93,1
11,83,1
11,69,3
11,75,1
11,56,1
9,73,1
9,92,2
9,2,1
9,37,2
9,50,1
9,42,2
9,31,2
9,34,2
