x,y,count
44,34,2
44,22,3
44,50,3
44,45,2
44,66,1
44,64,1
44,56,1
44,36,2
44,23,2
44,60,1
44,31,2
44,54,2
44,16,1
44,21,1
44,43,1
44,68,1
44,30,1
44,46,3
44,33,1
44,65,1
44,24,1
44,20,1
46,42,1
46,40,1
46,56,2
46,52,1
46,34,1
46,82,1
46,16,1
46,74,1
46,63,2
46,62,1
46,59,1
46,41,1
46,43,2
46,27,1
46,55,1
46,32,2
46,49,1
46,46,2
46,24,1
46,64,1
46,60,1
46,31,1
46,89,1
46,4,1
46,85,1
46,38,1
56,31,2
56,12,1
56,80,2
56,66,1
56,78,1
56,39,1
56,72,1
56,64,3
56,13,1
56,36,2
56,63,1
56,30,1
56,56,2
56,35,2
56,32,1
56,65,1
56,5,1
56,8,1
56,51,1
56,3,2
56,11,1
56,54,1
58,31,1
58,60,1
58,75,1
58,65,1
58,72,1
58,63,1
58,9,1
58,38,2
58,68,1
58,56,1
58,13,1
58,14,2
58,30,2
58,67,1
58,39,2
58,70,1
58,24,1
58,21,1
58,10,1
58,62,1
58,51,1
58,48,1
58,42,1
58,64,1
58,4,2
58,12,2
58,36,1
58,58,1
40,28,1
40,35,2
40,33,1
40,42,1
40,50,1
40,37,2
40,31,1
40,49,1
40,16,1
40,43,2
40,34,1
40,90,1
40,67,1
40,14,2
40,64,1
40,45,2
40,57,1
40,4,1
40,95,1
40,38,1
40,27,1
40,47,1
40,23,1
40,2,1
40,40,1
27,27,3
27,78,1
27,32,1
27,50,1
27,56,2
27,8,1
27,64,1
27,73,1
27,31,1
27,63,1
27,33,1
27,57,1
27,80,1
27,68,1
27,48,1
19,48,1
19,37,1
19,72,1
19,47,1
20,47,1
20,50,1
20,12,1
20,33,1
20,8,1
20,44,1
20,64,2
20,31,1
20,89,1
20,27,1
20,24,1
20,68,2
37,45,2
37,28,1
37,66,1
37,69,1
37,91,1
37,54,2
37,81,1
37,51,1
37,49,1
37,33,3
37,37,2
37,41,1
37,68,1
37,36,1
37,78,1
37,57,1
37,79,1
30,47,1
30,66,1
30,13,1
30,37,1
30,58,1
30,34,1
30,64,1
30,41,2
30,23,1
30,65,1
30,56,1
30,63,2
30,15,2
30,57,1
30,51,1
30,75,2
30,26,2
30,72,1
30,22,2
30,79,1
30,49,1
30,60,1
30,48,1
30,5,1
30,45,1
30,77,1
30,31,1
30,21,1
73,26,1
73,31,1
73,47,1
73,61,1
73,82,1
