x,y,count
96,64,1
96,94,1
96,84,1
96,68,1
96,80,2
96,25,1
96,77,1
96,93,3
96,71,1
96,61,1
96,85,1
96,75,1
40,71,2
40,91,1
40,66,2
40,70,1
40,32,2
40,56,1
40,22,1
40,24,1
40,92,2
40,68,1
40,12,1
40,67,2
40,44,1
40,69,1
40,87,1
40,40,1
40,5,1
40,59,1
40,11,1
40,21,1
40,27,1
40,38,1
40,28,1
40,46,1
40,58,1
40,34,1
40,60,1
40,95,1
40,61,1
40,62,1
40,80,1
40,49,1
89,82,2
89,97,1
89,90,1
89,13,1
89,56,1
89,84,1
89,72,1
89,94,1
89,86,1
89,67,1
34,28,1
34,78,3
34,76,2
34,92,2
34,68,5
34,74,3
34,69,1
34,83,2
34,71,1
34,18,1
34,15,1
34,93,1
34,70,1
34,37,1
34,79,1
34,45,1
34,62,1
34,72,1
34,81,1
54,56,1
54,47,1
54,44,1
54,53,2
54,71,1
54,26,1
54,25,1
54,74,2
54,14,1
54,46,2
54,50,1
54,49,1
54,30,1
54,6,1
54,57,1
54,66,1
54,27,1
54,72,1
54,48,1
54,69,1
54,92,1
54,73,1
54,65,1
47,81,2
47,55,1
47,92,1
47,85,1
47,25,1
47,65,1
47,69,1
47,49,1
47,54,1
47,56,1
47,77,1
47,91,1
47,80,1
47,14,1
47,76,1
47,87,1
78,56,1
78,29,2
78,55,1
78,50,1
78,26,1
78,62,1
78,92,3
78,32,1
78,33,2
78,15,1
78,80,1
78,94,1
78,61,1
78,64,2
78,87,4
78,83,1
78,90,1
78,9,1
78,84,1
55,64,1
55,63,2
55,86,1
55,75,1
55,96,1
55,73,1
55,67,2
55,76,2
55,89,1
55,32,1
55,92,1
55,47,2
55,71,1
55,72,1
55,18,1
55,65,1
55,69,2
55,91,1
55,33,1
55,34,1
55,24,1
55,26,1
56,63,1
56,57,1
56,84,1
56,61,2
56,75,1
56,85,1
56,45,2
56,92,3
56,55,1
56,59,1
56,40,1
56,43,1
56,44,1
56,81,2
56,89,1
56,9,1
56,49,1
56,33,1
56,94,1
56,65,1
56,79,1
56,51,1
56,23,1
56,22,1
56,16,1
56,83,1
56,73,1
56,21,1
56,69,1
56,66,1
66,52,1
66,71,2
66,86,2
66,76,2
66,34,1
66,35,1
66,93,1
66,31,1
66,27,1
66,4,2
66,46,1
66,95,1
66,40,1
66,84,2
66,74,1
66,53,2
66,24,1
66,87,1
66,62,1
66,80,1
66,57,2
66,14,1
66,98,1
67,73,1
67,27,1
67,35,1
67,79,1
67,77,1
67,46,1
67,88,2
67,44,1
67,81,1
67,22,1
67,69,3
67,85,2
67,5,1
67,43,1
67,24,1
67,90,1
67,49,1
67,64,1
67,84,1
67,86,1
67,54,1
67,29,2
67,96,1
67,71,1
67,25,1
67,97,1
53,70,2
53,46,1
53,45,1
53,66,1
53,43,1
53,75,1
53,30,1
53,72,1
53,17,1
53,59,1
53,34,1
53,69,2
53,56,1
53,97,2
53,89,1
53,83,1
53,87,1
53,60,1
53,44,1
53,67,1
53,57,1
53,54,1
53,93,1
53,88,1
53,58,1
73,57,1
73,78,2
73,77,2
73,70,1
73,46,1
73,61,2
73,81,1
73,31,1
73,91,1
73,86,3
73,88,1
73,67,1
73,4,1
73,21,1
73,49,1
73,84,1
62,77,2
62,75,2
62,60,2
62,68,1
62,62,2
62,41,1
62,44,1
62,84,1
62,82,2
62,80,1
62,9,1
62,18,1
62,65,1
62,23,1
62,93,1
62,32,1
62,83,1
62,38,1
62,21,1
62,8,1
62,46,1
62,64,1
62,85,1
62,90,1
62,45,1
24,72,2
24,73,1
24,42,2
24,84,1
24,51,1
24,89,1
24,29,1
24,70,2
24,91,1
24,94,1
24,40,1
24,60,1
24,31,1
24,83,1
24,64,1
24,66,1
68,61,1
68,79,1
68,87,2
68,90,2
68,81,1
68,41,1
68,31,1
68,70,1
68,74,1
68,34,2
68,72,2
68,14,1
68,66,1
68,94,1
68,73,2
68,88,2
68,86,2
68,32,1
68,83,1
36,80,1
36,39,1
36,75,2
36,41,1
36,65,5
36,69,1
36,83,2
36,84,1
36,85,2
36,50,1
36,6,2
36,92,1
36,78,1
36,71,2
36,60,2
36,49,1
36,46,1
36,52,1
36,67,2
36,10,1
36,76,1
36,32,1
46,51,3
46,81,1
46,59,1
46,63,1
46,43,1
46,85,2
46,89,1
46,46,2
46,69,1
46,55,1
46,45,1
46,44,1
46,27,1
46,53,1
46,77,1
46,25,1
46,50,1
46,7,1
46,58,1
46,64,1
46,57,1
46,68,1
65,68,1
65,12,1
65,82,2
65,61,1
65,89,2
65,79,1
65,58,1
65,66,2
65,48,1
65,96,1
65,19,1
65,23,1
65,39,1
65,88,1
65,72,1
65,75,1
43,35,1
43,72,1
43,71,2
43,70,1
43,67,2
43,95,2
43,42,1
43,92,1
43,90,2
43,93,1
43,68,1
43,73,4
43,65,1
43,33,1
43,30,1
43,56,2
43,86,1
43,26,1
43,80,2
43,78,2
43,77,2
43,58,1
43,23,1
43,54,2
43,69,1
43,6,1
43,21,2
43,79,1
43,76,2
17,83,1
17,10,1
17,50,1
17,14,1
17,85,3
26,89,1
26,96,1
26,52,1
26,48,1
26,35,1
26,76,1
26,72,1
26,93,1
26,95,1
26,47,1
26,81,1
26,87,3
26,45,1
26,66,1
26,62,1
26,51,1
26,75,1
26,92,1
26,60,1
26,69,1
26,83,1
45,84,1
45,54,2
45,72,1
45,64,1
45,94,1
45,90,1
45,44,1
45,87,2
45,69,2
45,91,2
45,63,1
45,66,1
45,56,4
45,70,1
45,60,1
45,68,1
45,73,1
45,45,2
45,21,1
45,59,1
45,96,1
45,49,1
45,39,1
45,18,1
45,27,1
45,50,1
45,33,1
51,86,1
51,40,1
51,59,1
51,41,1
51,66,1
51,63,1
51,46,1
51,96,1
51,82,1
51,48,1
51,74,1
51,87,1
37,92,1
37,86,1
37,59,1
37,32,1
37,70,1
37,93,1
37,88,2
37,87,1
37,65,1
37,96,1
37,79,1
37,16,1
37,63,1
37,42,1
37,25,1
37,72,1
37,73,1
37,49,1
37,85,1
37,8,1
37,54,1
37,76,1
37,30,2
37,15,1
37,41,1
37,55,1
31,48,1
31,31,1
31,88,3
31,55,1
31,75,2
31,94,1
31,96,1
31,61,1
31,84,1
31,74,1
31,29,1
31,83,1
31,43,1
31,22,1
31,14,1
31,50,2
31,73,2
31,33,1
31,89,1
31,81,1
31,63,2
31,80,1
31,71,1
31,68,1
31,70,1
31,76,1
90,66,1
90,91,1
90,48,1
90,70,1
90,62,1
90,90,1
90,81,1
90,46,1
90,30,1
90,71,1
90,73,1
90,95,1
90,82,1
60,84,2
60,77,1
60,35,2
60,91,1
60,70,1
60,78,1
60,80,4
60,93,2
60,33,1
60,90,1
60,28,1
60,73,1
60,41,1
60,27,1
60,5,1
60,79,1
60,67,1
60,17,1
60,87,1
60,76,1
60,72,1
60,89,1
60,97,1
60,88,1
60,64,1
60,9,1
60,62,2
59,79,1
59,67,1
59,90,3
59,78,1
59,80,2
59,27,1
59,93,1
59,92,1
59,82,1
59,68,1
59,95,1
59,24,2
59,12,1
59,97,1
59,89,1
59,64,1
59,50,1
59,41,1
59,17,1
59,75,2
59,81,1
59,77,1
59,73,1
77,64,2
77,93,2
77,69,2
77,70,1
77,81,1
77,80,1
77,30,1
77,73,1
77,55,1
77,74,1
77,24,1
77,57,1
77,91,1
77,92,1
77,14,1
35,64,1
35,76,3
35,68,3
35,79,1
35,56,2
35,63,1
35,67,3
35,78,1
35,36,2
35,81,1
35,32,1
35,69,2
35,70,1
35,77,3
35,82,3
35,37,2
35,35,2
35,14,1
35,60,1
35,66,2
35,49,1
35,46,1
35,85,1
35,95,1
35,73,1
35,54,1
35,62,2
44,53,2
44,45,1
44,62,1
44,91,1
44,56,1
44,12,1
44,66,2
44,63,1
44,78,1
44,65,1
44,39,2
44,73,1
44,21,1
44,28,1
44,75,1
44,67,1
44,33,1
44,52,1
44,25,1
44,50,1
44,51,1
44,54,1
44,68,1
44,69,2
44,71,1
32,43,1
32,89,1
32,61,1
32,94,1
32,87,1
32,71,2
32,60,2
32,80,1
32,70,2
32,66,1
32,49,1
32,44,2
32,96,1
32,20,1
32,67,2
32,56,1
32,64,1
32,91,1
32,51,2
32,62,1
38,56,2
38,57,2
38,22,1
38,86,1
