x,y,count
73,15,1
73,34,1
73,92,1
73,4,1
73,7,1
73,86,1
73,32,1
73,20,1
73,54,1
73,11,1
73,76,1
73,0,1
73,40,1
73,82,2
73,24,2
73,68,1
73,21,1
73,28,1
73,63,1
73,91,1
60,76,2
60,62,1
60,13,2
60,82,1
60,63,1
60,32,1
60,73,1
60,41,1
60,74,1
60,21,1
60,90,1
60,2,1
60,4,1
60,20,1
60,22,1
60,28,1
60,79,1
60,48,1
60,51,1
60,60,1
60,37,1
60,85,1
43,69,1
43,67,1
43,49,1
43,17,1
43,10,1
43,91,1
43,26,3
43,45,4
43,11,1
43,87,1
43,13,1
43,3,1
43,5,1
43,55,2
43,54,1
43,60,1
43,43,1
43,21,1
43,88,1
43,50,2
43,37,1
43,66,1
43,80,1
16,48,1
16,3,1
16,5,1
25,51,1
25,4,1
25,63,1
25,2,1
25,18,1
25,27,2
25,45,1
25,8,1
24,56,1
24,7,1
24,13,1
24,6,1
24,31,2
24,5,1
24,8,1
24,32,1
24,41,1
24,18,2
24,73,1
44,38,1
44,68,1
44,17,1
44,15,1
44,47,1
44,49,1
44,34,1
44,33,1
44,44,1
44,4,1
44,16,1
44,11,1
44,74,1
44,52,1
44,43,1
44,45,2
44,29,1
44,87,1
44,85,1
63,21,2
63,75,1
63,16,2
63,36,1
63,61,2
63,62,1
63,68,1
63,11,1
63,38,2
63,4,1
63,79,1
63,31,2
63,35,1
63,49,1
63,0,2
63,71,1
63,86,2
63,60,1
63,50,1
63,93,1
63,14,1
63,37,1
63,6,1
63,22,1
62,21,2
62,22,2
62,35,1
62,32,1
62,6,2
62,74,2
62,27,1
62,14,1
62,99,1
62,84,1
62,83,1
62,47,1
62,100,1
62,20,1
62,19,1
62,38,1
62,64,1
62,60,1
32,70,2
32,5,2
32,14,1
32,84,1
32,26,1
32,28,2
32,3,1
32,54,1
32,39,1
32,60,1
32,10,1
32,6,1
32,7,1
32,13,1
32,24,1
32,62,1
32,41,1
32,71,1
36,32,1
36,20,1
36,62,1
36,76,1
36,7,2
36,9,1
36,69,1
36,38,1
36,43,1
36,28,1
36,22,1
36,45,1
36,13,1
36,77,1
38,40,1
38,30,1
38,3,1
38,91,1
38,43,1
38,17,1
38,7,2
38,18,2
38,59,1
38,0,1
38,83,1
38,82,1
38,33,1
38,21,2
38,10,1
38,22,1
38,78,1
38,92,1
38,42,1
38,80,1
37,35,1
37,28,1
37,8,1
37,46,2
37,18,1
37,27,1
37,25,1
37,5,1
37,82,2
37,63,1
37,14,1
37,30,2
37,66,1
37,0,1
37,32,1
37,75,1
37,68,1
76,43,1
76,0,1
76,24,1
76,78,1
76,79,1
76,48,1
76,17,1
76,4,1
76,87,1
76,33,1
39,18,2
39,85,2
39,24,2
39,69,1
39,46,1
39,92,1
39,32,1
39,91,1
39,33,2
39,59,1
39,61,1
39,41,1
39,3,1
39,48,1
39,10,1
39,31,1
39,68,1
39,38,1
39,62,1
39,63,1
35,29,1
35,6,1
35,67,1
35,45,1
35,18,2
35,14,1
35,95,1
35,16,1
35,13,1
35,4,1
35,32,1
35,35,3
35,37,1
35,46,1
35,20,1
35,25,1
35,30,1
35,64,1
35,49,1
35,73,1
35,56,1
31,8,1
31,39,1
31,56,1
31,6,1
31,24,1
31,64,1
31,93,1
31,89,1
31,70,1
31,29,1
31,47,1
31,67,1
31,62,1
31,30,1
31,90,1
31,28,1
31,7,1
31,17,1
31,14,1
31,79,1
12,48,1
12,57,1
12,27,1
12,12,1
12,40,1
12,89,1
12,82,1
12,6,1
12,53,1
12,49,1
12,60,1
12,62,1
29,16,1
29,13,1
29,56,1
29,74,1
29,86,2
29,46,1
29,32,1
29,36,1
29,67,1
29,30,1
29,54,1
29,4,1
29,12,1
29,7,1
29,6,1
18,4,1
18,90,1
18,9,1
18,19,1
28,6,1
28,47,1
28,64,1
28,42,1
28,41,2
28,8,1
28,17,1
28,56,1
28,58,2
28,65,1
28,33,1
28,62,1
28,12,1
28,0,1
28,10,1
28,35,2
13,11,1
13,35,1
13,29,1
13,15,1
13,13,1
13,7,1
13,91,2
9,8,1
9,48,1
9,93,1
9,45,1
9,17,1
5,5,1
5,10,1
5,21,1
5,63,1
81,15,1
81,10,1
81,21,1
81,4,1
81,7,1
81,14,1
81,69,1
90,6,1
90,65,1
90,24,1
90,55,1
90,50,1
90,73,1
90,33,1
91,0,1
91,86,1
91,25,1
91,17,1
91,93,2
91,33,1
91,35,1
91,88,1
91,10,1
91,56,1
91,72,1
91,15,1
91,84,1
74,11,2
74,80,1
74,40,1
74,19,1
74,73,1
74,72,2
74,62,1
74,16,1
74,28,1
74,37,1
77,12,1
77,86,2
77,59,1
77,78,1
77,91,1
77,46,1
77,63,1
77,70,1
77,31,1
77,66,1
77,49,1
61,15,2
61,83,2
61,44,2
61,68,1
61,9,1
61,56,2
61,25,2
61,67,1
61,18,1
61,89,1
61,19,2
61,32,1
61,95,1
61,30,1
61,77,1
61,21,2
61,17,1
61,66,1
61,75,1
30,20,1
30,26,1
30,38,1
30,4,2
30,7,1
30,22,1
30,49,1
30,30,2
30,65,1
56,6,1
56,33,1
56,16,1
56,40,2
56,38,1
56,7,1
56,3,2
56,72,1
56,58,1
56,66,1
56,17,1
56,65,1
56,30,2
56,29,1
56,69,1
56,35,1
56,87,1
56,63,1
72,8,1
72,15,2
72,83,1
72,42,1
72,7,1
72,69,1
72,53,1
72,10,1
72,18,1
72,64,1
72,73,1
72,81,1
72,43,1
72,32,1
72,59,1
72,71,1
86,25,1
86,73,1
86,44,1
86,83,1
86,6,1
86,59,1
86,61,1
22,5,1
22,44,1
22,61,1
22,2,1
22,25,1
22,86,1
22,24,1
22,21,1
19,81,1
19,90,1
19,91,1
19,32,1
19,60,1
46,72,1
46,19,1
46,38,1
46,73,1
46,67,1
46,54,1
46,5,1
46,11,1
46,13,1
46,4,2
46,32,1
46,44,1
46,27,1
46,42,1
46,71,1
46,25,1
46,56,1
46,57,1
46,43,1
46,94,1
52,71,1
52,79,2
52,46,3
52,32,1
52,40,1
52,58,1
52,6,1
52,21,1
52,69,1
52,80,2
52,56,1
52,37,1
52,0,1
55,54,2
55,15,2
55,81,1
55,28,1
55,36,1
55,42,2
55,3,1
55,48,1
55,37,1
55,13,1
55,95,1
55,64,1
55,65,1
55,25,1
55,27,1
55,86,1
55,20,1
55,59,1
55,29,1
55,57,1
42,13,1
42,37,1
42,83,1
42,21,2
42,29,1
42,32,1
42,28,1
42,4,1
42,23,1
42,0,1
42,3,1
42,61,1
42,64,1
42,46,1
42,60,1
42,45,1
42,62,2
42,15,1
42,51,1
82,9,1
82,12,1
82,20,1
82,91,1
45,18,1
45,51,1
45,54,1
45,72,1
45,33,1
45,17,2
45,12,1
45,94,1
45,11,1
45,77,1
45,69,1
45,23,1
45,42,1
45,0,1
45,15,1
45,44,1
45,8,1
45,64,1
45,65,1
53,23,1
53,37,1
53,75,2
53,71,1
53,30,1
53,21,1
53,18,1
53,45,1
53,94,1
53,85,1
53,53,1
53,28,1
53,9,1
53,58,1
53,57,1
53,4,2
58,14,2
58,88,1
58,90,1
58,55,1
58,68,1
58,16,1
58,66,1
58,25,2
58,78,1
58,42,1
58,28,1
58,34,1
88,5,1
88,21,1
88,64,1
88,67,1
88,65,1
88,13,1
88,40,1
88,55,1
88,89,1
88,88,1
88,16,1
88,17,1
88,75,1
88,30,1
88,66,1
34,6,2
34,16,2
34,32,1
34,60,1
34,46,1
34,31,1
34,8,1
34,25,1
34,78,1
34,37,1
34,26,1
34,14,1
34,4,1
34,43,1
70,53,1
70,5,1
70,83,1
70,17,1
70,0,1
70,15,1
70,22,1
70,10,1
70,2,1
70,32,1
70,29,1
70,77,1
70,7,1
70,93,1
70,33,1
70,52,1
70,57,1
99,0,7
99,99,2
98,10,1
98,5,1
41,18,2
41,56,1
41,70,1
41,78,1
41,79,1
41,6,1
41,17,1
41,35,1
