x,y,count
38,21,2
38,20,2
38,10,1
38,24,2
38,4,3
38,9,3
38,36,1
38,19,4
38,8,1
38,23,1
38,2,1
38,5,2
38,27,1
38,11,1
38,0,3
38,26,3
38,6,2
38,3,4
38,25,1
38,35,1
38,14,1
38,7,1
39,21,1
39,15,2
39,46,1
39,23,1
39,5,2
39,27,3
39,11,1
39,13,4
39,3,2
39,17,1
39,0,3
39,7,2
39,1,1
39,6,3
39,22,1
39,24,1
39,8,1
39,9,1
39,53,1
39,20,3
39,10,1
39,33,1
39,4,2
65,5,3
65,31,1
65,25,3
65,23,1
65,24,1
65,21,1
65,9,2
65,16,1
65,46,1
65,7,3
65,20,1
65,0,2
65,28,2
65,30,1
65,15,1
65,4,1
65,27,1
65,3,1
65,6,1
14,0,5
14,31,1
14,9,1
14,6,1
14,5,2
14,40,1
14,86,1
14,4,1
14,16,1
14,22,1
14,20,1
14,61,1
14,29,1
14,21,1
14,11,1
14,3,1
14,14,2
14,34,1
14,36,1
91,5,1
91,12,1
91,17,1
91,11,1
91,52,1
91,0,2
91,8,1
91,24,1
91,13,1
91,4,1
11,33,2
11,40,1
11,59,1
11,30,1
11,31,1
11,6,1
11,8,2
11,19,1
11,3,1
11,11,1
11,10,1
11,5,1
11,7,3
11,82,1
11,13,1
11,0,3
11,53,1
11,38,1
11,52,1
11,27,5
11,39,1
11,42,1
11,23,1
11,34,1
11,32,1
11,9,1
21,17,3
21,0,6
21,12,1
21,25,1
21,9,3
21,19,1
21,7,1
21,10,2
21,16,1
21,14,2
21,4,1
21,3,2
21,22,1
21,11,2
21,5,1
21,28,1
21,18,2
21,30,1
21,35,1
21,23,2
54,6,3
54,0,5
54,46,1
54,9,2
54,18,3
54,7,2
54,2,1
54,23,3
54,44,1
54,13,2
54,31,3
54,32,1
54,20,1
54,16,1
54,17,2
54,4,1
12,3,1
12,14,1
12,0,2
12,30,1
12,65,1
12,42,1
12,1,1
12,38,1
12,9,1
12,16,2
12,70,1
12,39,1
12,36,2
12,34,2
12,31,1
12,6,1
12,28,1
12,4,2
12,37,1
12,49,1
12,25,1
12,17,1
68,33,1
68,7,1
68,24,1
68,21,1
68,0,3
68,11,2
68,17,2
68,31,1
68,23,2
68,19,1
68,12,1
68,30,1
68,18,1
68,8,1
68,6,1
41,30,1
41,6,4
41,17,1
41,18,1
41,19,1
41,7,2
41,0,4
41,2,2
41,9,1
41,14,1
41,22,1
41,11,1
41,16,1
41,4,1
41,5,3
41,8,1
41,1,1
28,0,5
28,41,2
28,32,1
28,43,1
28,18,2
28,7,2
28,15,1
28,28,1
28,3,3
28,22,1
28,8,2
28,6,2
28,19,1
28,10,2
28,26,1
28,12,1
28,20,1
28,23,1
28,30,1
28,9,2
28,11,1
53,30,1
53,44,1
53,9,3
53,3,2
53,32,1
53,28,1
53,11,3
53,15,2
53,0,2
53,18,1
53,5,1
53,34,2
53,17,1
53,8,2
53,53,1
53,40,1
53,6,1
33,10,4
33,23,2
33,39,2
33,9,3
33,8,2
33,22,1
33,7,2
33,30,1
33,5,3
33,12,3
33,24,1
33,6,3
33,16,1
33,3,1
33,4,2
33,33,1
33,13,1
33,11,1
33,26,2
33,32,1
32,11,2
32,25,3
32,16,1
32,26,2
32,22,1
32,2,1
32,28,2
32,14,1
32,0,6
32,56,1
32,7,2
32,21,2
32,13,1
32,8,2
32,9,1
32,12,3
32,30,2
32,10,1
32,5,3
32,4,1
80,9,1
80,10,1
80,8,1
80,23,1
80,0,2
80,5,1
80,16,1
80,11,1
80,25,1
80,7,1
80,6,2
80,12,1
80,3,1
80,1,1
80,4,1
52,0,6
52,3,1
52,10,1
52,43,1
52,34,1
52,41,1
52,16,1
52,6,1
52,14,1
52,33,1
52,5,1
52,44,1
29,0,7
29,22,2
29,12,1
29,6,5
29,86,1
29,90,1
29,4,3
29,11,1
29,3,3
29,7,1
29,24,1
29,36,2
29,31,1
29,20,3
29,15,1
29,25,1
29,14,1
63,29,1
63,26,1
63,94,1
63,9,3
63,6,2
63,0,2
63,5,3
63,30,3
63,10,1
63,3,2
63,11,2
63,4,1
63,17,1
63,23,1
63,43,1
63,28,1
63,16,1
63,27,1
63,32,1
35,7,7
35,0,5
35,8,1
35,47,1
35,4,1
35,14,1
35,13,1
35,24,2
35,18,2
35,2,2
35,6,2
35,3,1
35,34,1
35,15,2
35,32,1
35,68,1
35,21,2
35,17,1
35,46,1
35,9,1
35,35,2
60,12,1
60,29,1
60,7,1
60,18,2
60,0,2
60,15,1
60,17,1
60,8,2
60,13,1
60,22,1
60,27,1
60,34,1
60,3,1
60,4,1
37,26,1
37,3,3
37,0,3
37,14,4
37,30,2
37,34,1
37,6,9
37,19,1
37,7,3
37,32,1
37,5,8
37,8,2
37,11,1
37,23,1
37,18,1
37,20,1
37,16,1
37,37,1
37,1,1
24,8,3
24,24,1
24,21,1
24,28,1
24,13,2
24,2,1
24,27,1
24,4,3
24,6,2
24,38,1
24,3,2
24,14,1
24,9,2
24,33,2
24,5,3
24,7,2
24,0,5
24,20,1
24,18,1
24,30,3
24,10,1
24,23,1
34,19,2
34,17,4
34,0,2
34,20,1
34,24,2
34,6,3
34,8,1
34,13,1
34,21,1
34,29,1
34,7,3
34,74,1
34,25,2
34,2,2
34,9,2
34,18,1
34,16,2
34,12,1
34,36,1
34,59,1
34,1,1
27,23,1
27,19,1
27,7,3
27,32,1
27,11,4
27,4,2
27,6,2
27,21,3
27,8,2
27,0,3
27,10,2
27,14,2
27,30,1
27,63,1
27,18,1
27,27,1
27,33,2
27,20,2
27,29,1
27,12,2
27,38,1
27,25,1
44,3,1
44,21,1
44,34,2
44,13,1
44,7,3
44,18,1
44,16,3
44,0,6
44,12,1
44,15,1
44,17,1
44,24,2
44,20,1
44,8,2
44,61,1
44,44,1
44,14,2
44,4,1
44,35,1
44,45,1
44,5,1
44,6,1
44,77,1
6,45,1
6,5,3
6,34,1
6,10,2
6,41,1
6,32,2
6,13,1
6,46,1
6,33,1
6,37,1
6,31,1
6,26,1
6,52,1
6,44,1
6,19,1
4,25,1
4,23,1
4,29,1
4,10,2
4,8,2
4,14,2
4,12,1
4,34,2
4,33,1
4,43,1
4,26,1
4,32,1
4,4,2
4,42,1
4,27,1
3,28,1
3,39,1
3,75,1
3,30,1
3,6,1
3,29,1
3,50,1
3,5,1
3,10,1
3,15,2
3,9,1
3,8,1
3,13,2
3,12,2
3,27,1
3,16,1
3,31,1
3,25,1
36,8,3
36,6,4
36,16,1
36,0,4
36,11,3
36,32,1
36,9,2
36,20,1
36,5,3
36,13,1
36,7,4
36,71,1
36,26,1
36,1,1
36,15,1
36,12,1
36,17,1
36,27,1
36,10,1
36,30,1
36,22,1
89,13,1
89,7,1
89,4,1
89,5,1
89,24,1
89,0,2
89,17,1
92,0,2
92,3,2
92,16,1
92,14,1
92,7,2
92,35,1
92,17,1
92,9,1
92,10,1
90,4,2
90,0,2
90,43,1
90,14,1
90,8,2
90,9,1
90,10,2
90,24,1
90,18,1
90,22,1
90,7,1
78,10,1
78,9,1
78,20,1
