x,y,count
29,66,1
29,81,5
29,71,10
29,68,4
29,58,1
29,59,2
29,63,5
29,70,3
29,92,1
29,72,3
29,76,1
29,74,1
29,62,1
29,79,3
29,56,1
29,67,3
29,80,1
29,95,1
29,77,1
29,93,2
29,69,2
29,86,1
29,73,3
29,90,1
29,61,1
29,88,2
29,55,2
29,60,1
29,78,1
29,75,1
29,65,1
11,74,3
11,93,1
11,48,2
11,53,3
11,70,1
11,43,1
11,57,1
11,85,1
11,72,1
11,83,1
11,75,1
11,86,1
11,90,2
11,60,2
11,66,1
11,87,1
11,64,1
11,69,2
11,54,1
11,96,1
11,58,1
11,44,1
11,56,1
11,88,1
11,61,1
26,91,3
26,74,2
26,59,2
26,63,1
26,64,2
26,75,3
26,92,2
26,62,1
26,69,3
26,66,1
26,84,1
26,70,1
26,77,1
26,81,3
26,49,1
26,54,1
26,78,1
26,94,1
26,82,1
26,43,1
26,57,1
26,86,2
26,71,1
26,73,1
26,83,1
26,80,1
26,58,1
27,67,3
27,75,4
27,72,2
27,55,2
27,69,3
27,64,1
27,77,2
27,71,2
27,83,2
27,68,2
27,93,3
27,56,3
27,90,1
27,63,1
27,65,2
27,100,1
27,82,2
27,57,1
27,76,1
27,66,1
27,74,1
27,87,1
27,89,1
27,88,3
27,84,1
27,46,1
27,70,1
27,80,1
27,44,1
27,79,1
34,61,3
34,83,1
34,76,3
34,86,3
34,72,2
34,77,2
34,66,4
34,68,4
34,69,5
34,36,1
34,71,3
34,59,1
34,82,1
34,70,2
34,90,1
34,51,1
34,55,3
34,67,3
34,64,2
34,74,3
34,65,1
34,93,1
34,89,1
34,79,1
34,73,2
34,63,1
34,33,2
34,45,1
34,43,1
34,39,1
34,57,1
34,75,1
34,80,1
40,81,1
40,82,3
40,86,2
40,64,3
40,90,2
40,72,2
40,79,1
40,77,1
40,73,3
40,65,3
40,95,2
40,70,3
40,68,4
40,85,4
40,75,2
40,69,1
40,87,1
40,89,2
40,60,1
40,74,1
40,76,1
40,78,1
40,37,1
40,92,1
45,80,1
45,88,2
45,20,1
45,81,2
45,73,1
45,74,2
45,71,3
45,58,1
45,45,3
45,52,1
45,51,2
45,70,3
45,47,1
45,65,2
45,69,1
45,86,1
45,72,3
45,79,1
45,67,1
45,75,1
45,64,1
45,57,1
45,84,1
45,95,1
45,56,1
21,74,1
21,64,2
21,95,2
21,70,1
21,60,1
21,73,1
21,68,2
21,87,2
21,53,4
21,80,1
21,62,1
21,44,1
21,89,1
21,93,1
21,88,1
21,56,1
21,86,2
21,58,1
21,36,1
21,78,2
21,75,2
21,79,1
21,55,1
21,92,1
21,57,1
21,85,1
21,83,1
21,59,1
14,91,1
14,54,1
14,76,1
14,88,2
14,48,3
14,42,1
14,72,2
14,61,1
14,63,1
14,69,4
14,38,1
14,81,2
14,84,1
14,62,2
14,96,1
14,68,1
14,85,1
14,56,1
14,65,1
14,74,1
14,70,3
14,71,1
14,47,1
14,60,1
14,49,1
14,93,2
14,82,1
14,86,1
23,68,1
23,50,1
23,56,1
23,94,2
23,72,1
23,71,2
23,70,1
23,90,1
23,63,1
23,60,1
23,78,2
23,96,1
23,44,2
23,99,1
23,66,1
23,49,1
23,42,1
23,46,1
23,69,1
23,65,1
23,59,1
23,62,2
23,82,1
23,77,2
23,85,1
23,52,1
23,74,1
36,90,2
36,66,3
36,68,1
36,86,1
36,88,1
36,92,1
36,30,2
36,38,1
36,72,4
36,73,1
36,65,5
36,64,1
36,78,3
36,71,1
36,89,1
36,70,4
36,58,3
36,61,1
36,79,3
36,50,2
36,93,1
36,63,1
36,75,1
36,82,1
36,40,1
36,94,1
36,83,2
36,69,1
36,95,1
36,77,1
36,62,1
35,90,1
35,60,3
35,66,3
35,80,4
35,78,1
35,72,3
35,97,1
35,91,1
35,100,1
35,82,2
35,87,1
35,62,3
35,63,3
35,71,3
35,84,2
35,77,4
35,79,1
35,76,2
35,89,2
35,64,3
35,73,1
35,31,1
35,36,1
35,69,3
35,65,1
35,94,1
35,58,1
35,81,1
35,67,1
35,57,1
35,75,1
39,78,2
39,40,1
39,63,2
39,69,3
39,66,4
39,55,1
39,65,3
39,62,2
39,86,3
39,75,2
39,67,4
39,82,2
39,85,2
39,56,2
39,61,1
39,90,1
39,72,1
39,43,1
39,81,1
39,95,1
39,94,2
39,96,1
39,91,1
39,71,1
39,89,1
39,73,2
39,79,1
39,84,1
39,68,1
52,77,2
52,57,1
52,52,1
52,53,1
52,81,1
52,60,1
52,70,1
52,62,1
52,74,1
52,79,1
52,94,2
52,82,1
52,56,1
52,65,1
52,69,1
52,44,1
52,68,1
52,59,1
32,90,1
32,63,2
32,71,4
32,86,1
32,65,4
32,74,3
32,62,2
32,78,2
32,60,2
32,66,4
32,67,3
32,44,1
32,68,2
32,88,2
32,75,2
32,91,3
32,39,1
32,70,3
32,54,1
32,58,2
32,82,3
32,59,1
32,79,1
32,85,3
32,31,1
32,37,1
32,72,1
32,27,1
32,69,1
32,57,1
32,92,2
32,61,2
32,64,1
32,81,1
32,95,1
32,34,1
53,88,1
53,58,1
53,67,1
53,68,2
53,85,1
53,60,1
53,83,2
53,91,1
53,75,1
53,77,1
53,65,1
53,74,1
53,66,1
53,52,1
53,57,2
53,84,2
53,72,1
53,50,1
53,92,1
53,64,1
42,92,1
42,30,1
42,77,1
42,51,1
42,52,1
42,89,2
42,74,1
42,64,2
42,71,3
42,56,1
42,94,2
42,68,1
42,57,1
42,66,3
42,65,2
42,88,2
42,72,2
42,54,1
42,76,1
42,96,1
42,79,1
42,37,1
42,62,1
42,70,2
42,69,1
42,81,1
42,67,1
42,86,1
42,84,1
42,73,1
42,75,1
54,91,1
54,75,2
54,54,2
54,59,1
54,76,1
54,94,1
54,70,3
54,80,3
54,87,2
54,82,2
54,86,1
54,79,1
54,62,1
54,81,1
54,16,1
54,45,1
54,68,2
54,65,1
54,67,1
46,87,1
46,76,1
46,79,1
46,66,1
46,68,1
46,80,1
46,73,3
46,95,2
46,75,2
46,72,3
46,57,1
46,74,3
46,58,1
46,60,1
46,54,1
46,84,1
46,48,1
46,92,1
46,93,1
46,78,1
46,67,1
3,82,2
3,48,2
3,43,1
3,33,1
3,51,1
3,73,1
3,37,1
3,52,1
3,69,1
3,66,1
3,54,2
3,65,2
3,87,1
3,89,2
3,30,1
3,27,1
24,57,3
24,93,2
24,69,2
24,71,2
24,74,2
24,84,2
24,70,2
24,80,1
24,92,2
24,56,4
24,79,1
24,54,2
24,66,1
24,87,1
24,61,2
24,76,1
24,89,1
24,64,3
24,55,1
24,58,1
24,75,1
24,59,1
24,73,1
24,83,1
24,81,1
24,33,1
