x,y,count
26,37,1
26,19,1
26,2,1
26,18,2
26,4,2
26,8,1
26,26,1
26,13,1
26,5,2
26,56,1
26,73,1
26,87,1
26,9,1
26,24,1
26,23,1
26,59,1
26,7,4
26,28,2
26,60,1
26,88,1
26,6,1
44,0,3
44,33,1
44,81,1
44,68,1
44,14,1
44,9,2
44,49,1
44,31,1
44,10,1
44,100,1
44,26,1
44,5,1
44,17,1
44,4,1
44,23,1
44,75,1
44,85,1
14,9,2
14,45,1
14,40,1
14,15,2
14,26,2
14,0,1
14,24,2
14,47,2
14,12,1
14,16,1
14,19,1
14,93,1
14,67,1
14,3,1
14,10,2
65,0,5
65,6,1
65,23,1
65,86,1
65,24,1
65,100,1
65,92,1
65,50,1
65,76,1
65,93,2
65,14,1
65,19,1
65,12,1
69,10,1
69,100,1
69,43,1
69,15,1
69,5,4
69,11,1
69,18,1
69,89,1
69,9,1
69,56,1
69,0,2
69,76,1
69,25,1
66,13,1
66,1,1
66,25,2
66,96,1
66,87,1
66,15,1
66,3,1
66,10,1
66,76,1
66,74,1
66,45,1
66,39,1
66,38,1
80,5,1
80,10,2
80,100,2
80,3,1
80,62,1
80,6,1
80,67,1
80,24,1
80,9,1
42,29,1
42,11,2
42,26,1
42,15,1
42,17,1
42,27,1
42,7,1
42,78,1
42,6,2
42,3,3
42,57,1
42,13,1
42,21,1
42,95,1
42,12,2
42,8,1
42,90,1
42,32,2
42,10,1
42,40,1
57,31,1
57,68,1
57,4,1
57,7,1
57,12,1
57,9,1
57,25,1
57,34,1
57,20,1
57,22,1
57,10,2
57,0,2
57,27,1
57,37,1
12,0,1
12,10,1
12,27,2
12,51,1
12,15,1
12,12,1
12,46,2
12,43,1
12,2,1
12,50,1
12,52,1
12,100,1
12,13,1
12,56,1
12,3,1
30,0,3
30,58,1
30,2,1
30,7,3
30,4,3
30,86,1
30,81,1
30,76,1
30,89,1
30,39,1
30,8,1
30,21,1
30,67,1
30,27,1
30,3,1
30,34,1
30,43,1
30,35,1
30,26,2
50,13,1
50,10,1
50,24,1
50,70,1
50,49,1
75,13,1
75,97,1
75,9,2
75,0,3
75,7,1
75,5,1
75,6,1
75,1,1
75,100,1
79,7,1
79,5,1
79,29,1
79,95,1
79,84,1
79,9,1
79,100,1
79,3,2
79,36,1
79,0,1
56,32,1
56,17,1
56,45,1
56,52,1
56,46,1
56,15,1
56,0,3
56,29,3
56,36,1
56,35,1
56,65,1
56,14,1
56,30,1
46,55,1
46,41,2
46,37,1
46,82,1
46,4,1
46,90,2
46,44,1
46,85,1
46,10,1
46,65,1
46,19,1
46,0,1
46,5,2
36,40,2
36,41,1
36,4,3
36,93,1
36,2,1
36,5,1
36,11,3
36,33,1
36,96,1
36,19,1
36,18,1
36,22,1
36,0,2
36,29,1
36,9,1
36,64,1
36,8,1
36,3,1
36,26,1
36,30,1
45,41,1
45,4,2
45,44,1
45,0,4
45,14,1
45,2,2
45,65,1
45,89,1
45,28,1
45,78,1
45,16,1
45,100,1
45,7,1
45,23,1
48,32,1
48,84,1
48,13,1
48,43,1
48,15,1
48,24,1
48,100,1
48,0,2
48,3,1
48,64,1
48,22,1
48,18,1
48,23,1
48,53,2
20,22,1
20,72,1
20,23,1
20,9,2
20,14,2
20,87,1
20,2,1
20,30,1
20,10,1
20,0,2
20,37,1
20,77,1
20,97,1
20,47,2
20,16,1
31,41,1
31,38,1
31,2,2
31,13,1
31,6,2
31,27,1
31,8,2
31,16,1
31,97,2
31,7,1
31,9,1
31,46,1
35,15,2
35,38,1
35,100,1
35,90,1
35,13,1
35,54,1
35,11,1
35,8,2
35,27,1
35,24,1
35,10,2
35,2,1
35,21,1
35,70,1
35,72,2
35,22,1
35,0,2
28,44,1
28,33,1
28,3,1
28,4,4
28,0,6
28,29,1
28,92,1
28,93,1
28,21,1
28,14,1
28,6,2
28,5,1
28,19,1
28,15,1
28,88,1
28,96,1
28,10,1
28,7,1
28,42,1
17,35,1
17,4,1
17,12,1
17,31,2
17,17,2
17,49,1
17,13,1
17,44,1
38,25,1
38,9,2
38,4,1
38,100,2
38,7,2
38,24,1
38,18,2
38,0,2
38,3,2
38,61,1
38,89,2
38,86,1
38,10,1
38,2,1
38,39,1
38,79,1
38,16,1
38,11,1
38,95,1
38,77,1
38,65,1
38,6,1
59,9,2
59,0,5
59,3,1
59,8,1
59,16,1
59,23,2
59,28,1
59,62,1
59,41,1
59,83,1
59,24,1
59,22,1
59,6,1
59,20,1
59,25,1
59,15,1
59,14,1
59,12,1
58,12,1
58,26,1
58,68,1
58,5,2
58,75,1
58,2,2
58,16,1
58,35,1
58,95,1
58,6,3
58,91,1
58,7,1
58,4,1
58,3,1
29,7,3
29,8,1
29,25,2
29,2,2
29,1,1
29,5,2
29,4,4
29,9,2
29,0,1
29,81,1
29,76,1
29,24,1
29,35,1
29,40,1
29,20,1
29,22,3
29,41,1
29,12,2
29,6,1
29,65,1
29,88,1
29,3,2
29,26,1
29,55,1
29,19,1
29,15,1
62,23,1
62,76,1
62,13,1
62,8,2
62,10,2
62,9,4
62,5,1
62,17,1
62,44,1
62,49,1
62,65,1
62,14,1
62,27,1
62,42,1
62,41,1
51,23,1
51,8,2
51,100,1
51,14,1
51,36,1
51,37,1
51,43,1
51,17,1
51,0,1
51,21,1
51,5,1
43,13,1
43,56,1
