x,y,count
2,58,3
2,73,1
2,70,1
2,88,2
2,76,1
2,59,1
2,51,1
2,62,1
2,83,1
2,71,1
2,69,1
2,68,1
2,72,1
41,77,1
41,93,2
41,87,1
41,88,2
41,94,4
41,90,2
41,91,1
41,85,2
41,100,2
41,81,2
41,75,1
41,80,1
41,95,2
41,84,1
41,97,1
41,96,1
41,74,2
41,70,1
10,60,1
10,69,2
10,87,3
10,83,1
10,66,1
10,75,2
10,88,3
10,86,1
10,73,1
10,90,2
10,99,1
10,100,1
10,45,1
10,54,2
10,80,1
10,57,1
5,76,1
5,66,1
5,83,1
5,67,1
5,58,1
5,64,1
5,90,1
5,57,1
5,87,1
5,59,1
5,77,1
5,56,1
5,70,1
5,69,2
5,100,1
5,72,1
21,85,2
21,100,2
21,67,1
21,87,1
21,88,1
21,77,1
21,60,1
21,91,1
21,81,1
21,68,1
21,90,1
21,48,1
21,84,1
21,94,2
21,70,1
21,95,1
21,92,1
11,71,3
11,58,1
11,52,1
11,64,1
11,89,4
11,94,1
11,60,3
11,97,1
11,96,1
11,81,1
11,69,1
11,62,1
11,93,1
11,70,1
11,76,1
11,72,1
11,92,1
11,73,1
1,92,1
1,27,1
1,88,1
1,100,1
1,70,1
1,56,1
87,100,5
87,82,1
87,91,1
87,45,1
87,74,1
87,97,1
3,61,2
3,53,2
3,87,1
3,77,1
3,84,2
3,82,1
3,58,1
3,34,1
3,73,1
3,59,1
3,62,1
3,90,1
3,69,1
3,68,1
3,80,1
3,60,1
3,79,1
3,64,1
3,55,1
3,56,1
3,71,1
3,92,1
3,54,1
32,88,2
32,66,1
32,80,1
32,74,1
32,82,4
32,92,2
32,65,1
32,94,1
32,37,2
32,95,4
32,90,1
32,77,1
32,91,1
32,69,1
32,59,1
32,58,1
32,93,1
32,85,1
32,83,1
32,96,1
36,90,2
36,84,1
36,88,3
36,86,1
36,85,1
36,93,2
36,89,2
36,95,3
36,75,1
36,96,3
36,87,1
36,100,1
36,41,1
36,82,1
36,80,1
36,92,1
36,65,1
52,71,1
52,92,5
