x,y,count
33,27,1
33,25,1
33,4,1
33,81,2
33,94,1
33,5,1
33,21,1
33,9,1
33,1,1
33,89,1
33,97,1
46,15,1
46,90,1
46,63,2
46,82,1
46,84,1
46,93,1
46,95,1
46,22,1
46,9,1
46,89,1
45,13,1
45,56,1
45,97,1
45,94,1
45,100,1
45,5,1
45,9,1
45,92,1
45,76,2
71,24,1
71,92,2
71,68,1
71,98,1
71,82,1
71,88,3
71,90,2
71,74,2
71,10,1
71,87,1
71,18,1
71,91,1
71,57,1
67,35,1
67,86,1
67,70,1
67,68,1
67,90,1
67,14,1
67,96,1
67,27,1
67,83,1
69,36,1
69,7,1
69,86,1
69,85,2
69,92,1
69,80,1
69,96,1
69,6,1
69,0,1
69,94,1
69,2,1
69,25,1
69,95,1
80,16,1
80,82,2
80,66,1
80,89,1
80,51,1
80,13,1
80,91,1
10,77,1
10,46,1
10,16,1
10,40,1
10,94,2
10,12,1
10,85,1
12,95,1
12,9,1
12,5,1
12,28,1
12,73,1
63,96,1
63,92,1
63,85,1
63,90,1
63,66,1
63,87,1
63,18,1
63,4,1
63,91,2
42,72,1
42,11,1
42,76,2
42,97,2
42,18,1
42,7,1
42,5,1
42,74,2
42,96,2
41,72,1
41,91,1
41,82,1
41,6,1
41,4,1
41,16,2
41,8,1
41,24,1
41,92,1
54,92,2
54,90,1
54,68,1
54,88,1
54,10,1
54,13,1
54,30,1
58,95,1
58,79,1
58,96,1
58,82,2
58,97,1
58,87,1
58,0,1
58,10,1
58,5,1
58,21,1
58,58,1
53,91,1
53,8,1
53,96,2
53,94,1
53,13,1
53,6,1
53,57,1
72,76,2
72,47,1
72,72,1
72,90,2
72,66,1
72,82,1
72,79,1
72,95,1
72,28,1
72,3,1
72,20,1
72,91,1
72,92,1
68,83,1
68,84,1
68,95,1
68,8,1
68,89,1
68,92,1
68,70,2
68,97,1
68,96,1
68,5,1
68,14,1
68,2,1
68,3,1
68,53,1
52,69,1
52,2,1
52,96,1
52,93,3
52,4,2
52,15,1
52,21,1
60,88,1
60,84,1
60,86,1
60,91,1
60,19,1
60,29,1
60,5,2
60,83,1
60,90,1
70,94,1
70,95,1
70,87,1
70,2,2
70,0,1
70,14,1
70,100,1
70,58,1
70,51,1
70,78,1
70,15,1
70,10,1
88,91,1
88,89,1
88,55,1
88,39,1
88,42,1
88,75,1
88,96,1
88,69,1
91,82,1
91,4,2
91,46,1
91,89,1
91,15,1
91,62,1
91,65,1
91,73,1
81,85,1
81,100,1
81,81,1
81,89,1
81,93,1
81,5,1
81,3,1
81,9,1
66,87,2
66,83,1
66,76,1
66,10,1
66,94,1
66,29,1
66,92,1
66,95,1
31,94,2
31,10,2
31,6,1
31,3,1
31,7,1
31,5,1
31,92,1
9,4,1
9,34,1
9,44,1
9,53,1
9,8,1
65,97,1
65,95,1
65,29,1
65,86,1
65,71,1
65,70,1
65,88,2
65,81,1
65,87,1
65,93,1
65,78,1
65,74,1
65,75,1
65,8,1
65,4,1
65,47,1
65,17,1
65,98,1
65,69,1
98,77,1
98,75,1
98,73,1
98,71,1
98,66,1
98,32,1
96,100,1
96,50,1
59,64,1
59,87,1
59,80,1
59,90,1
59,21,1
59,8,1
59,10,1
59,7,1
59,9,1
59,17,1
59,58,1
94,30,1
94,98,1
94,7,1
94,8,1
94,10,1
94,90,1
94,15,1
94,3,1
94,29,1
94,75,1
94,80,1
75,87,1
75,59,1
75,85,2
75,86,1
75,2,1
75,38,1
75,12,1
75,11,1
79,14,1
79,88,1
79,100,1
79,89,1
79,2,1
79,13,1
77,15,1
77,82,1
77,93,1
77,95,1
77,84,1
77,92,1
77,0,1
77,74,1
35,6,2
35,73,1
35,88,2
35,0,1
35,77,1
35,10,1
35,94,2
86,16,1
86,6,1
86,67,1
86,75,2
86,90,1
86,91,1
86,100,1
86,2,1
86,56,1
86,66,1
86,74,1
86,23,1
78,8,1
78,6,1
78,17,1
78,80,2
78,95,1
78,79,1
78,90,2
78,96,1
78,83,1
78,67,1
78,89,2
78,61,1
62,14,2
62,96,2
62,90,1
62,72,1
62,85,1
62,6,2
62,2,1
62,3,1
