x,y,count
49,50,6
49,12,1
49,9,1
49,49,6
49,98,1
49,27,1
55,86,3
55,41,1
55,71,1
55,85,1
55,84,3
55,96,1
55,69,3
55,73,1
55,100,1
55,14,1
55,66,2
55,11,1
55,39,1
55,88,1
55,34,1
55,48,3
55,25,1
55,46,2
55,16,1
55,95,1
55,47,2
55,76,2
55,92,1
55,49,1
55,93,1
55,51,1
55,79,1
55,91,1
71,4,1
71,34,2
71,67,2
71,61,4
71,83,1
71,38,1
71,68,1
71,74,1
71,49,1
71,43,1
71,50,1
71,93,1
71,88,1
71,55,2
71,15,1
71,8,1
71,54,1
71,24,1
71,90,2
71,21,1
71,23,1
71,87,1
71,100,1
71,66,1
71,30,1
71,94,1
71,97,1
71,17,1
71,37,1
71,57,1
71,45,1
77,9,1
77,93,1
77,19,1
77,16,1
77,26,1
77,58,1
77,6,1
77,7,1
77,43,1
77,67,1
77,87,1
77,25,1
77,80,1
77,75,1
77,85,1
77,63,1
77,71,1
16,53,2
16,95,1
16,36,1
16,86,1
16,68,1
66,91,2
66,23,2
66,72,2
66,44,1
66,93,2
66,84,2
66,60,1
66,61,2
66,65,1
66,79,1
66,67,1
66,76,1
66,70,1
66,38,2
66,94,1
66,51,1
66,20,1
66,18,1
66,95,2
66,73,1
66,62,1
66,68,1
66,41,1
66,37,1
66,80,1
66,77,1
66,69,1
66,25,1
28,73,1
28,86,2
28,97,2
28,23,1
28,28,1
28,75,1
28,95,2
28,91,1
28,64,1
28,96,1
28,37,1
28,43,1
36,19,1
36,16,1
36,92,1
36,83,1
36,82,1
36,79,1
36,66,1
36,29,1
36,40,2
36,72,2
36,14,1
36,65,1
36,88,1
36,93,1
38,92,2
38,15,1
38,29,1
38,22,1
38,93,1
38,98,1
38,84,2
38,97,1
38,9,1
38,23,1
38,78,1
38,45,1
38,87,1
38,70,2
38,38,1
38,72,2
62,46,1
62,39,2
62,96,1
62,86,2
62,53,1
62,34,1
62,20,1
62,77,2
62,93,3
62,3,1
62,80,1
62,83,2
62,58,1
62,81,1
62,97,1
62,70,1
62,28,2
62,55,1
62,100,1
62,84,1
62,5,1
62,59,2
62,40,1
32,5,1
32,65,1
32,81,1
32,72,2
32,75,1
32,94,1
32,64,2
32,20,2
32,82,1
32,93,1
65,66,1
65,69,1
65,17,2
65,72,1
65,81,1
65,80,1
65,37,1
65,91,1
65,92,2
65,79,2
65,50,1
65,54,2
65,71,1
65,97,1
65,93,1
65,63,1
65,90,2
65,62,1
65,41,2
65,19,1
65,100,1
65,76,1
65,74,1
65,75,1
65,84,1
65,68,2
65,64,1
65,73,1
65,87,1
65,94,2
65,60,1
65,57,1
65,3,1
65,88,1
65,34,2
65,70,1
65,0,1
65,65,1
65,36,1
65,24,1
65,56,1
44,92,1
44,91,1
44,97,1
44,96,2
44,75,2
44,77,1
44,24,1
44,71,3
44,60,1
44,69,2
44,70,1
44,93,1
44,49,1
44,59,1
44,73,1
44,16,1
44,79,1
44,43,1
44,57,2
44,89,1
44,67,1
43,88,1
43,76,1
43,79,1
43,96,2
43,66,1
43,71,1
43,68,2
43,97,1
43,87,1
43,92,2
43,89,1
43,100,1
43,16,1
43,30,1
43,10,1
43,95,1
43,84,1
43,39,1
43,48,1
43,67,1
70,45,2
70,52,1
70,59,1
70,90,4
70,84,3
70,66,1
70,83,1
70,48,1
70,77,1
70,73,1
70,82,2
70,75,1
70,65,2
70,100,1
70,63,2
70,71,1
70,25,1
70,93,1
70,72,1
70,70,1
70,91,1
70,50,1
70,55,1
70,85,1
70,44,1
23,23,1
23,89,1
23,62,1
23,57,1
23,60,2
23,64,1
23,96,1
23,78,1
30,9,1
30,91,2
30,10,1
30,97,1
30,20,1
30,74,1
30,62,1
30,83,1
30,78,1
30,68,1
30,82,1
30,95,1
30,28,2
30,93,1
30,57,1
47,43,1
47,69,2
47,8,1
47,42,2
47,91,2
47,96,1
47,44,1
47,70,1
47,23,2
47,68,1
47,76,2
47,83,1
47,37,1
47,53,1
47,88,1
42,34,1
42,57,1
42,79,1
42,87,2
42,91,2
42,85,2
42,66,1
42,43,1
42,39,1
42,5,1
42,95,2
42,93,1
42,37,1
42,68,1
42,70,1
42,94,2
42,89,1
42,12,1
42,21,1
81,50,2
81,45,2
81,4,1
81,69,1
81,57,1
81,9,1
81,97,1
81,46,2
81,39,1
81,21,1
81,54,1
81,49,1
81,89,1
81,14,1
81,1,1
81,95,1
57,89,1
57,95,3
57,69,1
57,94,2
57,80,1
57,70,1
57,92,2
57,35,1
57,33,1
57,72,1
57,59,1
57,83,1
57,34,2
57,90,1
57,67,2
57,11,1
57,96,2
57,97,1
57,45,1
57,93,1
39,82,2
39,78,1
39,77,1
39,88,1
39,87,1
39,46,1
39,92,2
39,79,1
39,12,1
39,23,1
39,16,1
39,66,1
39,31,1
39,69,1
39,72,1
39,84,1
39,61,2
24,86,1
24,17,3
24,66,1
24,94,3
24,91,2
24,93,1
24,54,1
96,61,2
96,55,1
96,51,2
96,59,1
96,56,1
96,25,1
96,79,1
96,3,1
96,68,1
96,41,1
96,92,1
96,43,1
96,44,1
96,75,1
96,47,1
96,18,1
89,46,1
89,34,1
89,39,1
89,62,1
89,36,1
89,38,2
89,45,1
89,56,2
89,69,1
89,54,1
89,9,1
89,92,1
89,48,2
89,89,1
89,42,1
89,51,1
46,53,1
46,84,1
46,37,1
46,91,1
46,55,1
46,82,2
46,69,1
46,85,2
46,57,1
46,98,1
46,56,1
46,51,1
46,44,3
46,61,1
46,74,1
46,72,1
46,96,1
46,40,1
46,75,1
46,73,1
46,68,1
46,62,1
46,15,1
46,80,1
45,50,1
45,94,1
45,71,1
45,52,1
45,95,2
45,88,2
45,35,1
45,32,1
45,77,1
45,98,1
45,83,2
45,67,2
45,73,1
68,34,1
68,67,1
68,89,2
68,94,1
68,52,2
68,50,1
68,54,1
68,93,2
68,31,1
68,48,2
68,87,3
68,62,2
68,75,2
68,79,1
68,26,1
68,41,2
68,35,1
68,81,1
68,77,1
68,56,1
68,57,2
68,43,1
68,86,1
68,85,1
68,15,1
68,25,1
68,95,1
68,49,2
68,73,1
68,72,1
68,68,1
68,63,1
68,92,1
68,91,1
68,4,1
85,25,1
85,94,2
85,34,2
85,49,1
85,93,2
85,39,2
85,56,1
85,61,1
85,75,1
85,37,1
85,62,1
85,96,1
85,42,1
85,46,1
85,45,2
85,41,1
85,55,1
85,26,1
85,90,1
85,6,1
85,64,1
58,34,2
58,56,1
58,97,1
58,70,2
58,94,2
58,93,1
58,77,1
58,24,1
58,71,1
58,23,1
58,47,1
58,98,1
58,44,1
58,29,1
58,78,1
58,89,1
58,0,1
58,26,1
58,65,3
58,39,1
58,87,1
58,12,1
58,95,1
58,61,1
58,31,1
88,84,2
88,50,7
88,76,1
88,15,1
88,63,2
88,67,1
88,28,1
88,33,1
88,81,1
88,24,1
88,35,1
88,52,1
88,53,2
88,54,3
88,40,1
88,38,1
88,92,1
88,13,1
88,57,2
88,62,1
88,70,1
88,47,1
88,48,2
88,88,1
88,43,2
88,25,2
88,49,1
88,46,1
88,58,1
88,4,1
88,71,1
88,44,1
88,83,1
88,19,1
88,26,1
25,41,1
25,24,2
25,46,1
25,79,1
25,89,1
25,87,1
25,57,1
25,97,1
25,92,1
25,23,2
35,85,1
35,69,2
35,95,3
35,34,1
35,78,1
35,94,2
22,70,1
22,87,1
