x,y,count
25,37,1
25,30,1
25,12,1
25,0,2
25,25,2
25,18,1
25,3,1
25,9,1
25,13,1
25,21,1
25,11,3
25,4,1
25,2,1
25,8,1
25,15,1
25,7,1
25,14,1
12,32,3
12,35,1
12,44,1
12,43,1
12,16,1
12,49,1
12,10,1
12,15,1
12,1,1
12,29,1
12,33,1
12,36,1
67,6,1
67,2,1
67,15,1
67,7,1
67,8,2
67,33,1
67,0,3
51,0,1
51,11,1
51,7,1
51,4,1
51,3,1
51,25,1
41,15,2
41,26,1
41,7,3
41,0,3
41,6,3
41,9,1
41,17,1
41,27,1
41,29,1
41,33,2
41,22,1
41,30,1
41,8,1
41,18,1
41,12,1
41,31,1
41,4,1
41,21,1
31,6,3
31,11,2
31,0,2
31,12,1
31,16,1
31,8,1
31,19,1
31,5,1
31,2,1
31,14,1
31,10,1
28,52,1
28,4,2
28,20,3
28,0,1
28,24,1
28,6,1
28,11,2
28,5,2
28,25,1
28,18,1
28,16,1
6,17,1
6,10,1
6,15,1
6,12,1
6,6,1
6,0,2
21,7,3
21,9,2
21,47,1
21,42,1
21,0,2
21,27,1
21,11,1
21,12,1
21,16,1
21,29,1
21,34,1
54,11,2
54,19,1
54,0,1
54,16,2
54,17,1
54,23,2
54,21,1
54,7,2
54,29,1
54,9,1
54,4,1
54,28,1
47,0,3
47,34,1
47,5,1
47,6,1
47,11,1
43,8,1
43,22,1
43,35,1
43,12,1
43,9,1
43,5,2
43,10,1
43,4,1
43,27,2
43,2,1
43,0,1
43,23,1
43,7,1
43,6,1
68,0,2
68,29,1
68,4,2
68,37,1
68,3,2
68,14,1
68,8,2
68,7,2
68,19,1
68,43,1
68,2,1
72,0,2
72,16,1
72,8,1
72,29,1
72,6,1
72,40,1
72,7,1
72,24,1
72,14,1
72,2,1
96,8,1
96,18,1
96,27,1
96,0,1
95,5,1
95,0,1
95,31,1
95,12,1
40,0,2
40,15,1
40,29,1
40,17,2
40,5,1
40,25,1
40,2,1
40,3,1
53,0,1
53,8,2
53,17,1
53,6,1
53,22,1
53,5,1
53,33,1
53,11,1
53,36,1
85,7,1
85,0,3
85,9,1
85,12,1
78,6,1
78,0,2
78,24,1
78,14,1
78,22,2
78,3,1
78,20,1
78,7,1
14,3,1
14,30,1
14,0,1
14,25,1
14,23,2
14,17,1
14,29,1
10,5,1
10,33,1
10,36,1
10,54,1
10,30,1
10,41,1
10,44,1
10,7,1
35,0,1
35,13,1
35,2,1
35,1,1
35,6,3
35,11,1
35,8,1
35,7,1
35,26,1
35,20,1
35,4,3
35,5,1
60,3,3
60,20,3
60,11,1
60,5,2
60,22,1
60,39,1
60,25,1
60,0,1
60,8,1
60,7,1
60,2,1
55,0,3
55,2,2
55,13,2
55,21,1
55,9,1
55,6,3
55,5,2
55,33,1
55,24,1
55,28,1
55,26,1
22,9,1
22,18,2
22,8,2
22,3,1
22,0,2
22,37,1
22,13,1
22,41,1
22,5,1
22,43,2
22,25,1
22,10,1
22,29,2
23,6,2
23,15,1
23,9,1
23,2,1
23,17,2
23,21,3
23,30,1
23,5,1
23,14,1
23,36,1
23,13,1
23,8,1
7,7,2
7,40,1
7,25,2
8,25,1
8,33,1
8,36,1
8,43,1
8,39,1
8,34,1
8,31,1
8,10,1
8,29,1
8,32,1
8,24,1
8,27,1
8,28,1
11,40,1
11,7,1
11,18,1
11,11,1
11,31,1
11,25,1
11,32,1
15,42,1
15,10,1
15,30,1
15,38,2
15,3,1
15,9,1
15,7,1
15,14,1
26,56,1
26,27,2
26,0,4
26,45,1
26,19,2
26,16,2
26,5,1
26,13,3
26,15,1
26,12,2
26,20,1
39,15,1
39,5,3
39,11,1
39,13,1
39,7,1
39,6,1
39,0,1
39,32,1
33,0,1
33,13,1
33,6,1
33,11,1
33,8,2
33,7,3
33,9,1
33,20,2
33,12,1
33,17,1
33,16,1
33,3,1
33,28,1
33,19,1
33,5,1
52,0,3
52,22,1
52,17,1
52,6,1
52,23,1
52,11,1
52,10,1
52,5,1
52,4,1
29,29,1
29,20,1
29,41,3
29,8,2
29,45,1
29,0,2
29,10,2
29,9,1
29,14,1
29,25,1
29,12,1
29,2,1
29,23,1
29,17,1
36,8,1
36,27,1
36,17,1
36,42,1
36,21,1
36,6,1
36,12,2
36,9,2
36,10,2
36,7,1
36,4,1
36,22,1
36,20,1
36,24,1
89,7,1
89,0,1
89,5,1
89,6,2
89,4,1
89,3,1
89,12,1
58,7,2
58,4,1
58,39,1
58,10,2
58,16,2
58,18,2
58,5,2
58,9,1
58,0,3
58,22,1
58,29,1
58,11,1
58,27,1
58,20,1
45,27,1
45,12,1
45,14,1
45,18,1
45,7,2
45,5,1
63,21,1
63,16,1
63,0,1
63,27,1
63,2,1
63,9,1
63,4,1
63,5,2
63,7,1
63,18,1
63,15,1
24,3,3
24,16,1
24,51,1
24,20,1
24,33,1
24,10,1
24,17,1
24,8,1
24,26,1
24,11,1
24,21,1
24,30,1
24,5,1
24,19,1
24,29,1
24,18,1
24,0,1
3,9,2
3,10,1
3,4,1
3,40,1
44,2,1
44,10,1
44,8,1
44,12,2
44,6,1
44,4,2
44,11,2
44,0,1
44,9,1
44,19,1
44,28,2
46,6,1
46,11,1
46,40,1
46,14,1
46,7,1
46,21,1
46,0,3
46,24,1
46,27,1
46,10,2
46,5,1
46,3,1
46,4,1
69,0,4
69,13,2
69,5,1
69,3,1
69,4,3
69,10,2
69,8,2
69,7,1
69,11,1
69,28,1
69,19,1
66,3,3
66,40,1
66,10,2
66,4,1
66,17,1
66,8,1
66,0,2
66,26,1
66,2,1
66,50,1
66,15,2
66,13,1
66,28,1
87,3,1
87,35,1
87,0,3
87,10,1
37,13,1
37,14,2
37,2,1
