x,y,count
53,14,1
53,7,2
53,0,2
53,21,1
53,4,1
53,13,1
53,10,2
53,15,1
18,7,1
18,33,1
18,3,1
18,0,1
18,51,1
18,48,1
18,2,1
29,0,1
29,4,4
29,11,1
29,2,2
29,6,2
29,7,1
29,23,1
85,0,3
85,3,1
85,59,1
85,8,1
85,15,1
85,2,1
85,20,1
85,37,1
85,10,1
30,16,1
30,0,2
30,24,1
30,3,2
30,13,1
30,7,3
30,4,1
30,14,1
30,9,1
30,21,2
30,5,2
30,31,1
23,9,1
23,7,1
23,24,1
23,4,1
23,31,1
23,11,1
23,25,1
23,0,1
23,12,1
23,41,1
22,20,1
22,10,1
22,16,1
22,3,2
22,46,1
22,0,2
22,30,1
22,38,1
22,5,2
22,34,1
22,11,1
22,6,1
22,29,1
22,15,1
34,4,2
34,19,1
34,28,1
34,3,1
34,5,3
34,0,1
34,6,1
34,39,2
34,11,1
34,25,1
34,12,2
34,9,1
34,7,1
35,14,2
35,8,1
35,7,2
35,3,1
35,23,1
35,10,2
35,17,1
35,4,2
35,36,1
36,10,1
36,18,1
36,5,2
36,9,2
36,26,1
36,12,1
36,32,1
36,33,1
36,15,1
36,7,1
36,31,1
36,30,1
96,15,1
96,14,1
96,54,1
96,12,2
52,16,2
52,10,1
52,7,1
52,4,2
52,30,1
52,35,1
52,18,1
61,8,3
61,9,2
61,14,1
61,15,1
61,6,1
61,2,1
61,12,1
61,33,1
61,32,2
61,0,2
61,25,1
61,11,1
61,4,1
61,18,1
61,29,1
61,39,1
43,8,3
43,9,1
43,7,1
43,18,2
43,3,2
43,4,1
43,12,1
38,16,1
38,39,1
38,10,1
38,0,3
38,2,1
38,22,1
38,14,1
38,15,1
38,12,1
38,6,1
38,8,2
38,17,1
38,25,1
38,19,1
45,6,2
45,11,1
45,7,2
45,18,2
45,4,2
45,3,1
45,43,1
45,2,1
45,19,1
45,30,1
45,33,1
45,0,1
63,16,2
63,20,1
63,11,2
63,13,2
63,15,2
63,40,1
63,49,1
63,63,1
63,25,2
63,31,1
63,6,2
63,23,1
63,3,2
63,21,3
63,5,1
63,4,1
63,8,1
63,0,3
63,39,1
63,7,1
63,22,1
59,15,1
59,5,2
59,0,1
59,2,2
59,31,1
59,11,3
59,7,1
59,26,1
59,68,1
59,10,2
40,11,1
40,13,1
40,19,1
40,10,1
40,0,1
40,16,1
40,7,1
40,2,1
40,20,2
40,6,1
72,3,4
72,8,2
72,9,1
72,47,1
72,24,1
72,12,1
72,35,1
72,26,1
72,2,2
72,0,3
72,28,1
72,50,1
72,25,1
72,27,1
32,6,1
32,13,1
32,0,3
32,15,2
32,3,1
32,11,1
32,10,2
32,20,4
32,9,1
