nokta_no,x,y,count,sezon_dakikasi
1,61,91,1,1370
2,61,74,1,1370
3,61,41,1,1370
4,61,79,1,1370
5,61,92,1,1370
6,61,95,1,1370
7,39,32,1,1370
8,39,47,1,1370
9,39,35,1,1370
10,39,65,1,1370
11,39,69,1,1370
12,39,36,1,1370
13,39,22,1,1370
14,39,17,1,1370
15,39,25,1,1370
16,39,55,1,1370
17,39,72,1,1370
18,39,71,1,1370
19,39,30,1,1370
20,39,74,1,1370
21,39,39,1,1370
22,39,46,1,1370
23,39,95,1,1370
24,39,86,2,1370
25,39,66,1,1370
26,39,84,1,1370
27,2,58,1,1370
28,2,7,1,1370
29,2,5,1,1370
30,2,51,1,1370
31,2,47,1,1370
32,2,55,1,1370
33,2,29,1,1370
34,2,57,1,1370
35,2,53,1,1370
36,43,49,1,1370
37,43,66,1,1370
38,43,36,2,1370
39,43,32,1,1370
40,43,22,2,1370
41,43,56,1,1370
42,43,69,1,1370
43,43,68,1,1370
44,43,64,2,1370
45,43,37,3,1370
46,43,18,1,1370
47,43,75,1,1370
48,43,53,1,1370
49,43,39,1,1370
50,43,62,1,1370
51,43,47,1,1370
52,43,52,1,1370
53,43,72,1,1370
54,43,31,1,1370
55,43,73,1,1370
56,43,44,1,1370
57,43,85,1,1370
58,43,65,1,1370
59,28,35,1,1370
60,28,66,1,1370
61,28,31,1,1370
62,28,61,2,1370
63,28,62,1,1370
64,28,34,1,1370
65,28,38,1,1370
66,28,41,1,1370
67,28,70,1,1370
68,28,26,1,1370
69,28,68,1,1370
70,28,17,2,1370
71,28,69,1,1370
72,28,46,1,1370
73,28,73,1,1370
74,28,84,1,1370
75,22,60,1,1370
76,22,67,1,1370
77,22,12,1,1370
78,22,72,2,1370
79,22,74,1,1370
80,22,69,1,1370
81,22,41,1,1370
82,22,75,3,1370
83,22,59,2,1370
84,22,81,2,1370
85,22,22,1,1370
86,22,28,1,1370
87,22,85,1,1370
88,22,88,1,1370
89,22,91,1,1370
90,22,48,1,1370
91,22,45,1,1370
92,22,90,1,1370
93,22,64,1,1370
94,22,77,1,1370
95,22,51,1,1370
96,22,50,1,1370
97,22,40,1,1370
98,22,96,1,1370
99,22,87,1,1370
100,46,29,1,1370
101,46,76,1,1370
102,46,24,1,1370
103,46,57,3,1370
104,46,44,1,1370
105,46,31,2,1370
106,46,56,1,1370
107,46,54,1,1370
108,46,51,1,1370
109,46,49,1,1370
110,46,65,1,1370
111,46,67,1,1370
112,46,39,1,1370
113,46,58,1,1370
114,46,72,1,1370
115,46,70,1,1370
116,54,47,1,1370
117,54,48,2,1370
118,54,49,2,1370
119,54,42,1,1370
120,54,15,1,1370
121,54,69,1,1370
122,54,50,1,1370
123,54,27,1,1370
124,54,54,1,1370
125,54,86,1,1370
126,54,51,1,1370
127,50,49,1,1370
128,50,63,1,1370
129,50,56,1,1370
130,50,95,1,1370
131,50,76,1,1370
132,38,61,1,1370
133,38,52,1,1370
134,38,17,1,1370
135,38,48,1,1370
136,38,70,2,1370
137,38,51,1,1370
138,38,73,1,1370
139,38,35,2,1370
140,38,66,2,1370
141,38,62,1,1370
142,38,27,1,1370
143,38,47,1,1370
144,38,31,2,1370
145,38,16,2,1370
146,38,91,1,1370
147,38,34,1,1370
148,38,44,1,1370
149,38,30,1,1370
150,38,3,2,1370
151,38,13,1,1370
152,38,76,1,1370
153,38,75,1,1370
154,38,26,1,1370
155,38,15,1,1370
156,38,80,1,1370
157,38,39,2,1370
158,38,1,1,1370
159,38,88,1,1370
160,38,64,1,1370
161,38,86,1,1370
162,37,61,1,1370
163,37,63,1,1370
164,37,35,1,1370
165,37,71,3,1370
166,37,45,1,1370
167,37,34,1,1370
168,37,72,1,1370
169,37,77,2,1370
170,37,48,1,1370
171,37,68,1,1370
172,37,73,1,1370
173,37,50,1,1370
174,37,53,1,1370
175,37,60,1,1370
176,37,69,1,1370
177,37,66,1,1370
178,37,80,1,1370
179,24,46,2,1370
180,24,87,2,1370
181,24,67,2,1370
182,24,40,1,1370
183,24,30,1,1370
184,24,23,1,1370
185,24,29,1,1370
186,24,28,1,1370
187,24,59,1,1370
188,24,71,1,1370
189,24,73,1,1370
190,24,82,3,1370
191,24,35,1,1370
192,24,66,1,1370
193,24,15,1,1370
194,24,53,1,1370
195,24,34,1,1370
196,24,42,1,1370
197,24,69,1,1370
198,24,45,1,1370
199,24,38,1,1370
200,24,77,1,1370
201,24,55,1,1370
202,24,60,1,1370
203,27,28,2,1370
204,27,49,1,1370
205,27,70,2,1370
206,27,52,1,1370
207,27,22,1,1370
208,27,58,1,1370
209,27,77,1,1370
210,27,40,1,1370
211,27,57,1,1370
212,27,13,1,1370
213,27,16,1,1370
214,27,56,1,1370
215,27,46,1,1370
216,27,43,1,1370
217,27,63,1,1370
218,27,67,1,1370
