nokta_no,x,y,count,sezon_dakikasi
1,70,44,1,1364
2,70,22,1,1364
3,70,39,1,1364
4,70,50,1,1364
5,70,9,1,1364
6,70,8,1,1364
7,70,1,3,1364
8,70,63,1,1364
9,70,3,2,1364
10,70,60,1,1364
11,70,69,2,1364
12,15,57,1,1364
13,15,66,2,1364
14,46,59,1,1364
15,46,90,1,1364
16,46,86,1,1364
17,46,29,1,1364
18,46,92,1,1364
19,46,87,1,1364
20,46,44,1,1364
21,46,84,1,1364
22,46,32,1,1364
23,75,84,1,1364
24,75,75,1,1364
25,75,98,1,1364
26,75,24,1,1364
27,75,12,2,1364
28,75,8,1,1364
29,75,52,1,1364
30,75,2,2,1364
31,75,7,1,1364
32,75,33,1,1364
33,75,78,1,1364
34,75,4,1,1364
35,96,44,1,1364
36,96,65,1,1364
37,96,78,1,1364
38,96,26,1,1364
39,74,34,2,1364
40,74,92,1,1364
41,74,33,1,1364
42,74,94,1,1364
43,74,86,1,1364
44,74,72,1,1364
45,74,90,1,1364
46,74,61,1,1364
47,74,53,1,1364
48,74,5,2,1364
49,74,1,1,1364
50,74,42,1,1364
51,74,14,1,1364
52,74,4,1,1364
53,4,45,1,1364
54,4,52,1,1364
55,89,47,1,1364
56,89,45,1,1364
57,89,90,1,1364
58,89,54,1,1364
59,89,55,2,1364
60,89,39,1,1364
61,89,69,1,1364
62,89,11,2,1364
63,89,14,1,1364
64,89,86,1,1364
65,89,17,1,1364
66,89,77,1,1364
67,89,58,1,1364
68,89,83,1,1364
69,89,46,1,1364
70,89,6,1,1364
71,89,23,1,1364
72,89,66,1,1364
73,89,88,1,1364
74,89,12,1,1364
75,89,24,1,1364
76,89,82,1,1364
77,68,31,1,1364
78,68,77,1,1364
79,68,4,1,1364
80,68,58,1,1364
81,68,41,2,1364
82,68,51,1,1364
83,68,30,1,1364
84,68,9,1,1364
85,68,15,1,1364
86,92,50,2,1364
87,92,19,1,1364
88,92,93,1,1364
89,92,67,1,1364
90,92,69,1,1364
91,92,9,1,1364
92,92,52,1,1364
93,92,11,1,1364
94,92,21,1,1364
95,92,75,2,1364
96,92,0,1,1364
97,92,45,1,1364
98,92,86,2,1364
99,92,7,1,1364
100,91,49,1,1364
101,91,60,1,1364
