nokta_no,x,y,count,sezon_dakikasi
1,40,67,1,1606
2,40,81,1,1606
3,40,82,1,1606
4,40,18,1,1606
5,40,13,1,1606
6,40,73,1,1606
7,40,49,1,1606
8,40,38,1,1606
9,40,43,1,1606
10,40,28,1,1606
11,40,45,1,1606
12,40,31,1,1606
13,40,33,2,1606
14,40,4,1,1606
15,40,65,2,1606
16,40,32,1,1606
17,15,35,1,1606
18,15,39,1,1606
19,15,48,1,1606
20,15,58,1,1606
21,15,29,1,1606
22,15,44,1,1606
23,15,24,1,1606
24,15,66,1,1606
25,15,34,1,1606
26,67,44,1,1606
27,67,34,1,1606
28,67,67,1,1606
29,67,95,2,1606
30,67,60,2,1606
31,67,46,1,1606
32,67,81,1,1606
33,67,77,1,1606
34,67,75,1,1606
35,67,47,1,1606
36,67,21,1,1606
37,67,82,1,1606
38,67,51,1,1606
39,67,3,1,1606
40,67,41,1,1606
41,67,85,1,1606
42,57,78,2,1606
43,57,55,1,1606
44,57,86,1,1606
45,57,15,1,1606
46,57,17,2,1606
47,57,88,1,1606
48,57,42,1,1606
49,57,30,1,1606
50,57,66,2,1606
51,57,53,1,1606
52,57,22,2,1606
53,57,64,1,1606
54,57,24,1,1606
55,57,7,1,1606
56,57,32,1,1606
57,57,71,1,1606
58,57,12,1,1606
59,57,60,1,1606
60,57,8,1,1606
61,57,28,1,1606
62,33,77,1,1606
63,33,30,2,1606
64,33,69,1,1606
65,33,16,1,1606
66,33,57,1,1606
67,33,72,1,1606
68,33,42,1,1606
69,33,62,1,1606
70,33,59,1,1606
71,33,60,2,1606
72,33,35,1,1606
73,33,43,1,1606
74,33,45,1,1606
75,33,56,1,1606
76,33,15,1,1606
77,33,21,1,1606
78,33,46,2,1606
79,33,67,1,1606
80,33,44,1,1606
81,71,29,1,1606
82,71,72,1,1606
83,71,71,2,1606
84,71,77,1,1606
85,71,70,1,1606
86,71,69,1,1606
87,71,62,1,1606
88,71,98,1,1606
89,71,38,1,1606
90,71,67,1,1606
91,71,36,1,1606
92,71,59,1,1606
93,71,68,1,1606
94,71,61,1,1606
95,71,90,1,1606
96,71,76,1,1606
97,63,16,1,1606
98,63,38,1,1606
99,63,49,1,1606
100,63,46,1,1606
101,63,24,1,1606
102,63,52,1,1606
103,63,95,1,1606
104,63,62,1,1606
105,63,32,1,1606
106,63,72,1,1606
107,63,63,1,1606
108,63,48,1,1606
109,63,81,1,1606
110,63,61,1,1606
111,63,83,1,1606
112,63,29,2,1606
113,63,30,1,1606
114,63,35,1,1606
115,63,69,1,1606
116,63,70,1,1606
117,36,30,1,1606
118,36,91,1,1606
119,36,57,1,1606
120,36,68,1,1606
121,36,52,1,1606
122,36,15,2,1606
123,36,29,1,1606
124,36,46,2,1606
125,36,40,1,1606
126,36,69,1,1606
127,36,74,1,1606
128,36,59,2,1606
129,36,51,1,1606
130,36,41,1,1606
131,36,14,1,1606
132,36,36,1,1606
