nokta_no,x,y,count,sezon_dakikasi
1,7,72,1,1947
2,7,47,2,1947
3,7,13,2,1947
4,7,52,2,1947
5,7,51,2,1947
6,7,46,2,1947
7,7,68,1,1947
8,7,53,2,1947
9,7,41,1,1947
10,7,31,1,1947
11,7,40,1,1947
12,7,14,1,1947
13,7,26,1,1947
14,7,95,1,1947
15,7,49,1,1947
16,7,48,1,1947
17,7,8,1,1947
18,7,15,1,1947
19,7,38,1,1947
20,7,24,1,1947
21,7,55,1,1947
22,7,58,1,1947
23,7,74,1,1947
24,31,92,1,1947
25,31,50,2,1947
26,31,29,4,1947
27,31,47,2,1947
28,31,6,1,1947
29,31,10,1,1947
30,31,52,1,1947
31,31,24,1,1947
32,31,53,1,1947
33,31,43,1,1947
34,31,48,2,1947
35,31,12,1,1947
36,31,13,1,1947
37,31,38,2,1947
38,31,33,2,1947
39,31,7,1,1947
40,31,18,1,1947
41,31,46,3,1947
42,31,70,1,1947
43,31,68,1,1947
44,31,5,1,1947
45,31,14,1,1947
46,31,63,2,1947
47,31,30,1,1947
48,31,89,1,1947
49,31,64,1,1947
50,31,82,1,1947
51,31,66,1,1947
52,31,61,1,1947
53,31,84,1,1947
54,31,44,1,1947
55,31,51,2,1947
56,31,75,1,1947
57,31,54,1,1947
58,31,27,1,1947
59,31,3,1,1947
60,31,57,1,1947
61,31,72,1,1947
62,65,72,1,1947
63,65,89,1,1947
64,65,92,1,1947
65,65,78,1,1947
66,65,32,1,1947
67,65,22,1,1947
68,65,61,1,1947
69,65,6,1,1947
70,65,4,1,1947
71,65,10,1,1947
72,65,30,2,1947
73,65,93,2,1947
74,65,7,2,1947
75,65,11,1,1947
76,65,45,2,1947
77,65,58,1,1947
78,65,38,1,1947
79,65,12,1,1947
80,65,16,1,1947
81,65,34,2,1947
82,65,26,1,1947
83,65,29,1,1947
84,65,27,1,1947
85,65,19,1,1947
86,65,50,1,1947
87,65,14,1,1947
88,65,69,1,1947
89,65,40,1,1947
90,65,66,1,1947
91,65,44,1,1947
92,54,91,1,1947
93,54,26,2,1947
94,54,17,2,1947
95,54,23,2,1947
96,54,33,3,1947
97,54,21,1,1947
98,54,22,1,1947
99,54,43,3,1947
100,54,49,2,1947
101,54,20,1,1947
102,54,30,1,1947
103,54,15,2,1947
104,54,67,1,1947
105,54,14,1,1947
106,54,8,1,1947
107,54,24,1,1947
108,54,47,1,1947
109,54,31,1,1947
110,54,41,1,1947
111,54,32,3,1947
112,54,16,1,1947
113,54,10,1,1947
114,54,54,1,1947
115,54,37,1,1947
116,54,76,1,1947
117,54,69,1,1947
118,54,95,1,1947
119,54,73,2,1947
120,54,55,1,1947
121,54,70,1,1947
122,54,40,1,1947
123,54,66,1,1947
124,54,52,1,1947
125,54,3,1,1947
126,54,53,1,1947
127,19,79,1,1947
128,19,62,2,1947
129,19,52,1,1947
130,19,14,2,1947
131,19,46,1,1947
132,19,23,1,1947
133,19,11,1,1947
134,19,1,1,1947
135,19,40,1,1947
136,19,4,1,1947
137,19,29,1,1947
138,19,38,2,1947
139,19,28,2,1947
140,19,37,1,1947
141,19,17,2,1947
142,19,68,1,1947
143,19,42,1,1947
144,19,50,1,1947
145,19,56,1,1947
146,19,66,1,1947
147,10,82,1,1947
148,10,62,1,1947
149,10,53,1,1947
150,10,61,2,1947
151,10,28,1,1947
152,10,44,1,1947
153,10,26,1,1947
154,10,27,1,1947
155,10,23,1,1947
156,10,52,1,1947
157,10,34,1,1947
158,10,48,1,1947
159,10,46,1,1947
160,10,54,1,1947
161,10,5,2,1947
162,10,60,1,1947
163,10,30,1,1947
164,10,6,1,1947
165,10,22,2,1947
166,10,64,1,1947
167,10,41,1,1947
168,5,93,1,1947
169,5,60,1,1947
170,5,61,2,1947
171,5,25,1,1947
172,5,24,1,1947
173,5,31,2,1947
174,5,27,1,1947
175,5,35,1,1947
176,5,44,1,1947
177,5,48,1,1947
178,5,45,1,1947
179,5,33,1,1947
180,5,8,1,1947
181,5,53,1,1947
182,11,75,1,1947
183,11,97,1,1947
184,11,53,2,1947
185,11,91,1,1947
186,11,52,2,1947
187,11,28,1,1947
188,11,43,1,1947
189,11,2,1,1947
190,11,44,1,1947
191,11,38,2,1947
192,11,40,1,1947
193,11,68,1,1947
194,11,17,1,1947
195,11,30,1,1947
196,11,61,1,1947
197,11,16,2,1947
198,11,29,1,1947
199,11,88,1,1947
200,11,49,1,1947
201,11,54,1,1947
202,11,34,1,1947
