nokta_no,x,y,count,sezon_dakikasi
1,66,80,1,1916
2,66,94,1,1916
3,66,97,1,1916
4,66,100,1,1916
5,66,92,1,1916
6,66,90,1,1916
7,66,91,1,1916
8,18,52,1,1916
9,18,25,1,1916
10,18,95,1,1916
11,18,89,1,1916
12,18,85,2,1916
13,18,97,1,1916
14,18,70,1,1916
15,18,82,2,1916
16,18,68,1,1916
17,18,84,1,1916
18,22,50,1,1916
19,22,67,1,1916
20,22,87,2,1916
21,22,95,3,1916
22,22,64,1,1916
23,22,76,1,1916
24,22,100,1,1916
25,22,85,1,1916
26,22,72,1,1916
27,22,91,3,1916
28,22,89,1,1916
29,22,81,1,1916
30,5,73,1,1916
31,5,96,2,1916
32,5,87,1,1916
33,5,59,2,1916
34,5,79,1,1916
35,5,80,1,1916
36,29,100,7,1916
37,29,85,2,1916
38,29,68,1,1916
39,29,89,2,1916
40,29,81,1,1916
41,29,95,2,1916
42,29,87,1,1916
43,29,91,2,1916
44,29,93,2,1916
45,29,90,1,1916
46,29,99,2,1916
47,29,72,2,1916
48,29,88,1,1916
49,29,74,1,1916
50,29,64,1,1916
51,29,92,1,1916
52,29,86,1,1916
53,29,63,1,1916
54,29,76,1,1916
55,29,80,1,1916
56,23,72,2,1916
57,23,86,1,1916
58,23,88,1,1916
59,23,58,1,1916
60,23,85,2,1916
61,23,96,2,1916
62,23,81,1,1916
63,23,83,1,1916
64,23,82,2,1916
65,23,84,2,1916
66,23,64,1,1916
67,23,71,1,1916
68,23,95,1,1916
69,23,100,1,1916
70,23,79,1,1916
71,23,94,2,1916
72,23,92,1,1916
73,14,100,3,1916
74,14,93,2,1916
75,14,72,1,1916
76,14,75,1,1916
77,14,71,2,1916
78,14,68,1,1916
79,14,97,1,1916
80,14,70,1,1916
81,14,76,1,1916
82,14,59,2,1916
83,14,77,1,1916
84,14,81,1,1916
85,14,95,2,1916
86,14,87,1,1916
87,14,83,1,1916
88,14,41,1,1916
89,33,91,1,1916
90,33,96,1,1916
91,33,76,1,1916
92,33,94,2,1916
93,33,90,2,1916
94,33,93,1,1916
95,33,92,1,1916
96,33,87,1,1916
97,33,95,2,1916
98,33,100,2,1916
99,33,83,1,1916
100,33,86,1,1916
101,33,88,1,1916
102,25,100,2,1916
103,25,89,3,1916
104,25,94,2,1916
105,25,75,1,1916
106,25,85,3,1916
107,25,95,7,1916
108,25,72,1,1916
109,25,87,1,1916
110,25,88,1,1916
111,25,84,2,1916
112,25,90,1,1916
113,45,77,1,1916
114,45,82,1,1916
115,45,93,2,1916
116,45,85,1,1916
117,45,24,1,1916
118,45,66,2,1916
119,45,96,1,1916
120,45,86,2,1916
121,45,94,1,1916
122,45,91,4,1916
123,45,98,1,1916
124,45,80,1,1916
125,45,95,1,1916
126,45,72,1,1916
127,45,92,1,1916
128,45,100,1,1916
129,44,78,2,1916
130,44,93,1,1916
131,44,85,2,1916
132,44,83,1,1916
133,44,87,2,1916
134,44,92,3,1916
135,44,96,2,1916
136,44,90,2,1916
137,44,89,1,1916
138,44,100,1,1916
139,44,75,1,1916
140,44,72,1,1916
141,69,100,1,1916
142,69,84,1,1916
143,69,89,1,1916
144,69,34,1,1916
145,69,61,1,1916
146,69,92,1,1916
147,69,94,1,1916
148,69,59,2,1916
149,69,93,1,1916
150,69,87,2,1916
151,69,88,1,1916
152,69,76,1,1916
153,69,17,1,1916
154,7,17,1,1916
155,7,89,1,1916
156,7,87,1,1916
157,7,8,1,1916
158,7,59,2,1916
159,7,67,1,1916
160,7,20,1,1916
161,7,73,1,1916
162,7,55,1,1916
163,7,71,1,1916
164,37,86,2,1916
165,37,95,1,1916
166,37,92,1,1916
167,37,80,3,1916
168,37,66,1,1916
169,37,100,1,1916
170,37,94,1,1916
171,37,91,1,1916
172,37,84,1,1916
173,37,87,1,1916
174,37,89,1,1916
175,35,93,5,1916
176,35,72,1,1916
177,35,96,2,1916
178,35,97,5,1916
179,35,90,2,1916
180,35,88,1,1916
181,35,95,1,1916
182,35,59,1,1916
183,35,78,1,1916
184,35,92,1,1916
185,35,91,1,1916
186,35,34,2,1916
187,35,94,1,1916
188,35,85,1,1916
189,35,84,1,1916
190,35,71,1,1916
191,35,54,1,1916
192,41,89,1,1916
193,41,96,1,1916
194,41,73,2,1916
195,41,100,4,1916
196,41,74,1,1916
197,41,83,2,1916
198,41,92,3,1916
199,41,97,1,1916
200,41,80,1,1916
201,41,86,1,1916
202,41,76,1,1916
203,41,70,1,1916
204,41,77,1,1916
205,24,97,1,1916
206,24,90,1,1916
207,24,89,2,1916
208,24,85,1,1916
209,24,72,1,1916
210,24,62,1,1916
211,24,94,2,1916
212,24,96,2,1916
213,24,86,2,1916
214,24,88,1,1916
215,24,73,1,1916
216,24,84,2,1916
217,24,74,2,1916
218,24,95,3,1916
219,24,100,3,1916
220,24,15,1,1916
221,24,77,1,1916
222,24,57,1,1916
223,24,69,1,1916
224,47,92,2,1916
225,47,71,1,1916
226,47,100,1,1916
227,47,86,1,1916
228,47,87,1,1916
229,47,97,1,1916
230,47,88,1,1916
231,47,96,2,1916
232,47,62,1,1916
233,47,93,1,1916
234,47,94,1,1916
235,27,84,1,1916
236,27,92,1,1916
237,27,86,1,1916
238,27,72,2,1916
239,27,100,1,1916
240,27,87,1,1916
241,27,90,1,1916
242,27,96,4,1916
243,27,75,1,1916
244,27,82,1,1916
245,27,69,2,1916
246,27,94,2,1916
247,27,95,2,1916
248,27,77,1,1916
249,27,93,2,1916
250,27,89,3,1916
251,27,85,2,1916
252,27,97,1,1916
253,27,78,1,1916
254,27,91,1,1916
255,34,85,1,1916
256,34,94,2,1916
257,34,100,3,1916
258,34,92,2,1916
259,34,88,2,1916
260,34,96,2,1916
261,34,95,2,1916
262,34,98,1,1916
263,34,89,1,1916
264,34,55,1,1916
265,19,88,1,1916
266,19,97,2,1916
267,19,96,1,1916
268,19,100,2,1916
269,19,75,1,1916
270,19,98,1,1916
271,19,91,1,1916
272,19,76,1,1916
273,19,95,1,1916
274,19,92,2,1916
275,10,64,1,1916
276,10,100,2,1916
277,10,73,1,1916
278,10,92,1,1916
279,10,77,2,1916
280,10,94,1,1916
281,10,85,2,1916
282,10,69,1,1916
283,10,87,2,1916
284,10,95,1,1916
285,10,59,1,1916
286,10,57,1,1916
287,10,54,2,1916
288,10,63,1,1916
289,10,91,1,1916
290,10,15,1,1916
291,10,80,1,1916
292,10,74,2,1916
293,10,72,1,1916
294,42,88,1,1916
295,42,74,1,1916
296,42,89,2,1916
297,42,87,2,1916
298,42,96,2,1916
299,42,70,1,1916
300,42,94,2,1916
301,42,93,1,1916
302,42,100,1,1916
303,42,84,1,1916
304,42,86,2,1916
305,42,90,1,1916
306,42,92,1,1916
307,36,78,1,1916
308,36,91,3,1916
309,36,96,2,1916
310,36,72,1,1916
311,36,93,1,1916
312,36,95,1,1916
313,36,97,1,1916
314,36,71,2,1916
315,36,81,1,1916
316,36,100,1,1916
317,36,49,1,1916
318,36,89,1,1916
319,46,85,1,1916
320,46,95,2,1916
321,46,97,1,1916
322,46,91,1,1916
323,46,87,1,1916
324,46,90,1,1916
325,46,67,1,1916
326,46,64,1,1916
327,46,96,1,1916
328,46,86,1,1916
329,46,100,1,1916
330,46,74,1,1916
331,46,68,1,1916
332,46,79,1,1916
333,46,58,1,1916
334,57,95,1,1916
335,57,87,1,1916
336,57,84,3,1916
337,57,94,1,1916
338,57,92,4,1916
339,57,71,2,1916
340,57,81,1,1916
341,57,90,1,1916
342,57,86,1,1916
343,57,91,1,1916
344,57,31,1,1916
345,73,97,1,1916
346,73,86,1,1916
347,73,96,2,1916
348,73,95,1,1916
349,73,93,1,1916
350,73,100,1,1916
351,67,97,2,1916
352,67,93,2,1916
353,67,76,1,1916
354,67,78,1,1916
355,67,92,2,1916
356,67,91,1,1916
357,67,94,1,1916
358,67,75,1,1916
359,70,96,1,1916
360,70,80,1,1916
361,70,62,1,1916
362,70,95,2,1916
363,70,55,1,1916
364,70,92,1,1916
365,70,97,3,1916
366,70,100,2,1916
367,70,67,1,1916
