nokta_no,x,y,count,sezon_dakikasi
1,44,3,1,2081
2,44,42,1,2081
3,44,16,1,2081
4,44,31,1,2081
5,44,38,3,2081
6,44,37,1,2081
7,44,12,1,2081
8,44,4,1,2081
9,44,29,3,2081
10,44,8,1,2081
11,44,35,1,2081
12,44,14,2,2081
13,44,11,1,2081
14,44,51,1,2081
15,44,78,1,2081
16,44,74,2,2081
17,44,83,1,2081
18,44,55,1,2081
19,44,9,2,2081
20,44,25,1,2081
21,44,24,2,2081
22,44,52,1,2081
23,44,56,1,2081
24,44,19,1,2081
25,44,27,1,2081
26,44,73,1,2081
27,44,33,1,2081
28,44,58,1,2081
29,75,37,1,2081
30,75,9,1,2081
31,75,52,2,2081
32,75,10,1,2081
33,75,25,1,2081
34,75,91,1,2081
35,75,11,1,2081
36,75,5,1,2081
37,75,7,1,2081
38,75,34,1,2081
39,30,21,1,2081
40,30,6,1,2081
41,30,48,1,2081
42,30,54,2,2081
43,30,62,1,2081
44,30,31,1,2081
45,30,25,1,2081
46,30,32,1,2081
47,30,34,1,2081
48,30,4,1,2081
49,30,29,1,2081
50,30,19,1,2081
51,30,7,1,2081
52,30,40,2,2081
53,30,60,1,2081
54,30,75,1,2081
55,30,92,1,2081
56,30,28,2,2081
57,30,37,1,2081
58,30,82,1,2081
59,30,89,1,2081
60,30,50,1,2081
61,30,53,1,2081
62,30,61,1,2081
63,30,56,1,2081
64,30,2,1,2081
65,27,23,2,2081
66,27,7,2,2081
67,27,31,1,2081
68,27,66,1,2081
69,27,63,1,2081
70,27,37,1,2081
71,27,50,1,2081
72,27,26,1,2081
73,27,34,1,2081
74,27,30,1,2081
75,27,33,2,2081
76,27,36,1,2081
77,27,88,1,2081
78,27,57,1,2081
79,27,75,1,2081
80,27,78,1,2081
81,27,20,1,2081
82,27,47,1,2081
83,27,21,1,2081
84,27,15,1,2081
85,27,8,1,2081
86,28,7,2,2081
87,28,65,1,2081
88,28,17,2,2081
89,28,16,2,2081
90,28,30,1,2081
91,28,27,2,2081
92,28,45,1,2081
93,28,87,1,2081
94,28,76,2,2081
95,28,79,1,2081
96,28,75,1,2081
97,28,8,1,2081
98,28,10,1,2081
99,28,83,1,2081
100,28,25,1,2081
101,28,29,1,2081
102,71,53,1,2081
103,71,73,3,2081
104,71,75,1,2081
105,71,31,1,2081
106,71,15,1,2081
107,71,14,3,2081
108,71,91,2,2081
109,71,87,1,2081
110,71,81,1,2081
111,71,18,1,2081
112,71,34,1,2081
113,71,39,1,2081
114,55,11,1,2081
115,55,18,2,2081
116,55,62,1,2081
117,55,21,1,2081
118,55,81,1,2081
119,55,35,1,2081
120,55,48,1,2081
121,55,66,1,2081
122,55,51,1,2081
123,55,45,1,2081
124,55,32,1,2081
125,55,10,1,2081
126,55,30,1,2081
127,55,54,1,2081
128,55,49,3,2081
129,55,56,1,2081
130,55,55,1,2081
131,55,82,1,2081
132,55,75,1,2081
133,55,83,1,2081
134,55,70,1,2081
135,55,74,1,2081
136,55,5,2,2081
137,55,27,1,2081
138,55,67,1,2081
139,55,8,3,2081
140,55,50,1,2081
141,55,14,1,2081
142,55,25,2,2081
143,55,28,2,2081
144,55,64,1,2081
145,55,65,1,2081
146,55,73,1,2081
147,55,22,1,2081
148,55,41,1,2081
149,29,40,2,2081
150,29,17,1,2081
151,29,38,2,2081
152,29,55,1,2081
153,29,59,2,2081
154,29,86,2,2081
155,29,7,1,2081
156,29,30,2,2081
157,29,57,1,2081
158,29,10,1,2081
159,29,29,1,2081
160,29,91,2,2081
161,29,84,1,2081
162,29,93,1,2081
163,29,42,1,2081
164,29,71,1,2081
165,29,45,1,2081
166,29,89,1,2081
167,29,11,1,2081
168,29,52,1,2081
169,29,28,1,2081
170,29,90,1,2081
171,29,0,1,2081
172,29,3,1,2081
173,29,6,1,2081
174,29,72,2,2081
175,29,25,1,2081
176,29,35,1,2081
177,29,48,1,2081
178,29,62,1,2081
179,29,61,1,2081
180,29,60,1,2081
181,34,36,2,2081
182,34,13,1,2081
183,34,32,1,2081
184,34,71,1,2081
185,34,25,3,2081
186,34,81,1,2081
187,34,82,1,2081
188,34,46,1,2081
189,34,67,1,2081
190,34,7,4,2081
191,34,56,2,2081
192,34,29,1,2081
193,34,30,1,2081
194,34,68,1,2081
195,34,74,1,2081
196,34,90,1,2081
197,34,61,1,2081
198,34,23,1,2081
199,34,76,2,2081
200,34,88,1,2081
201,34,11,1,2081
202,34,4,1,2081
203,34,10,1,2081
204,34,39,1,2081
205,34,28,1,2081
206,34,20,1,2081
207,34,33,1,2081
208,66,22,1,2081
209,66,27,2,2081
210,66,17,1,2081
211,66,21,1,2081
212,66,89,1,2081
213,66,59,1,2081
214,66,81,1,2081
215,66,87,1,2081
216,66,49,1,2081
217,66,68,1,2081
218,66,48,2,2081
219,66,2,2,2081
220,66,10,1,2081
221,66,55,1,2081
222,66,73,1,2081
223,66,32,1,2081
224,66,34,1,2081
225,66,4,1,2081
226,66,3,1,2081
227,66,26,1,2081
228,66,58,1,2081
229,66,29,1,2081
230,66,15,1,2081
231,73,10,2,2081
232,73,30,1,2081
233,73,74,1,2081
234,73,39,1,2081
235,73,35,1,2081
236,73,91,1,2081
237,73,89,1,2081
238,73,15,1,2081
239,73,13,1,2081
240,73,2,1,2081
241,73,33,1,2081
242,73,50,1,2081
243,68,11,2,2081
244,68,76,1,2081
245,68,35,1,2081
246,68,78,1,2081
247,68,63,1,2081
248,68,67,1,2081
249,68,70,2,2081
250,68,42,1,2081
251,68,9,1,2081
252,68,48,1,2081
253,68,68,1,2081
254,68,80,1,2081
255,68,6,1,2081
256,68,16,1,2081
257,68,2,1,2081
258,68,52,1,2081
259,68,59,1,2081
260,68,24,1,2081
261,68,19,2,2081
262,68,14,2,2081
263,68,29,1,2081
264,68,40,1,2081
265,68,17,1,2081
266,68,83,1,2081
267,65,58,1,2081
268,65,41,1,2081
269,65,2,1,2081
270,65,5,1,2081
271,65,40,1,2081
272,65,6,3,2081
273,65,66,3,2081
274,65,82,2,2081
275,65,53,1,2081
276,65,57,1,2081
277,65,72,1,2081
278,65,78,1,2081
279,65,3,1,2081
280,65,14,1,2081
281,65,48,1,2081
282,65,75,3,2081
283,65,92,1,2081
284,65,84,1,2081
285,65,65,1,2081
286,65,43,1,2081
287,65,34,1,2081
288,65,19,1,2081
289,65,24,1,2081
290,65,12,1,2081
291,65,1,1,2081
292,65,4,1,2081
293,65,87,1,2081
