nokta_no,x,y,count,sezon_dakikasi
1,57,1,1,1193
2,57,52,1,1193
3,57,21,1,1193
4,57,53,1,1193
5,57,34,1,1193
6,57,9,1,1193
7,57,30,1,1193
8,57,42,1,1193
9,57,7,1,1193
10,57,29,1,1193
11,57,17,1,1193
12,57,45,2,1193
13,57,27,1,1193
14,57,8,1,1193
15,59,5,2,1193
16,59,64,1,1193
17,59,33,1,1193
18,59,22,3,1193
19,59,20,1,1193
20,59,91,1,1193
21,59,10,1,1193
22,59,73,1,1193
23,59,58,1,1193
24,59,80,1,1193
25,59,8,1,1193
26,59,12,1,1193
27,63,7,2,1193
28,63,66,1,1193
29,63,40,1,1193
30,63,59,1,1193
31,63,76,1,1193
32,63,36,1,1193
33,63,57,1,1193
34,63,68,1,1193
35,63,90,1,1193
36,63,94,1,1193
37,63,38,1,1193
38,63,5,1,1193
39,69,2,3,1193
40,69,77,1,1193
41,69,95,1,1193
42,69,37,1,1193
43,69,96,1,1193
44,69,20,2,1193
45,69,70,1,1193
46,69,12,1,1193
47,69,35,1,1193
48,69,49,1,1193
49,69,65,1,1193
50,69,45,1,1193
51,69,38,1,1193
52,37,18,1,1193
53,37,41,1,1193
54,37,77,1,1193
55,37,24,1,1193
56,37,19,1,1193
57,37,65,1,1193
58,55,8,1,1193
59,55,15,1,1193
60,55,23,1,1193
61,55,58,1,1193
62,55,27,1,1193
63,55,78,2,1193
64,55,29,1,1193
65,55,56,1,1193
66,55,5,1,1193
67,55,26,1,1193
68,56,16,1,1193
69,56,5,2,1193
70,56,64,1,1193
71,56,47,1,1193
72,56,36,1,1193
73,56,13,1,1193
74,56,37,1,1193
75,56,12,1,1193
76,56,32,1,1193
77,56,67,1,1193
78,56,69,1,1193
79,56,7,1,1193
80,56,83,1,1193
81,56,31,1,1193
82,56,8,1,1193
83,43,76,1,1193
84,43,94,1,1193
85,43,50,1,1193
86,43,69,1,1193
87,43,26,1,1193
88,43,97,1,1193
89,43,36,2,1193
90,0,9,1,1193
91,36,41,1,1193
92,36,57,1,1193
93,36,72,1,1193
94,36,31,1,1193
95,36,83,1,1193
96,36,74,1,1193
97,36,63,1,1193
98,36,64,1,1193
99,19,30,1,1193
100,19,40,1,1193
101,19,32,1,1193
102,19,89,1,1193
103,19,29,1,1193
104,58,6,1,1193
105,58,49,1,1193
106,58,37,1,1193
107,58,5,2,1193
108,58,22,1,1193
109,58,68,1,1193
110,58,26,1,1193
111,53,4,1,1193
112,53,86,1,1193
113,53,14,1,1193
114,53,31,1,1193
115,53,33,1,1193
116,53,91,1,1193
117,53,54,1,1193
118,53,52,1,1193
119,53,46,1,1193
120,53,9,1,1193
121,53,27,1,1193
122,53,58,1,1193
123,53,51,1,1193
124,21,26,1,1193
125,21,36,1,1193
126,8,15,1,1193
127,8,7,1,1193
128,8,53,1,1193
129,10,15,1,1193
130,10,31,1,1193
131,10,11,1,1193
132,41,3,2,1193
133,41,2,1,1193
134,41,65,1,1193
135,41,87,1,1193
136,41,14,2,1193
137,41,10,1,1193
138,41,12,1,1193
139,41,36,1,1193
140,41,21,1,1193
141,41,78,1,1193
142,60,3,1,1193
143,60,89,2,1193
144,60,88,1,1193
145,60,37,1,1193
146,60,49,1,1193
147,60,57,1,1193
148,60,17,1,1193
149,60,55,1,1193
150,60,71,1,1193
151,60,8,1,1193
152,60,42,1,1193
153,60,43,1,1193
154,60,74,1,1193
155,84,60,2,1193
156,84,51,1,1193
157,84,66,1,1193
158,84,47,2,1193
159,84,20,1,1193
160,84,30,1,1193
161,84,92,1,1193
162,84,50,1,1193
163,84,64,1,1193
164,84,55,1,1193
165,32,4,1,1193
166,32,24,1,1193
167,32,14,1,1193
168,27,7,1,1193
169,27,2,1,1193
170,27,94,1,1193
171,27,73,1,1193
172,27,14,1,1193
173,61,19,1,1193
174,61,5,1,1193
175,61,38,1,1193
176,61,85,1,1193
177,61,6,1,1193
178,61,22,1,1193
179,61,8,1,1193
180,15,8,1,1193
181,28,1,1,1193
182,28,27,2,1193
183,28,93,1,1193
184,28,29,1,1193
185,28,62,1,1193
186,29,13,1,1193
187,29,28,1,1193
188,29,38,2,1193
189,29,54,1,1193
190,29,37,1,1193
191,29,44,2,1193
192,9,10,1,1193
193,9,27,1,1193
194,13,1,1,1193
195,13,7,1,1193
196,14,2,1,1193
197,14,61,1,1193
198,24,6,1,1193
199,24,27,1,1193
200,24,60,1,1193
201,24,7,2,1193
202,72,1,1,1193
203,72,87,1,1193
204,72,59,1,1193
205,72,72,1,1193
206,72,64,1,1193
207,72,80,1,1193
208,72,68,1,1193
209,72,4,1,1193
210,72,34,1,1193
211,72,40,1,1193
212,72,26,2,1193
213,72,49,1,1193
214,72,83,1,1193
215,72,17,1,1193
216,72,8,1,1193
217,72,67,1,1193
218,72,70,1,1193
219,72,36,1,1193
220,72,41,1,1193
221,72,37,1,1193
222,72,15,1,1193
223,67,43,2,1193
224,67,41,1,1193
225,67,55,1,1193
226,67,14,1,1193
227,67,30,1,1193
228,67,66,1,1193
229,67,33,1,1193
230,67,35,1,1193
231,67,23,2,1193
232,67,62,1,1193
233,67,79,1,1193
234,67,47,1,1193
235,67,45,1,1193
236,67,85,1,1193
237,67,31,1,1193
238,74,49,1,1193
239,74,98,1,1193
240,74,13,1,1193
241,74,22,1,1193
242,74,34,1,1193
243,74,6,2,1193
244,74,45,1,1193
245,74,19,1,1193
246,74,52,1,1193
247,74,60,1,1193
248,74,43,1,1193
249,90,57,1,1193
250,90,88,1,1193
251,90,47,1,1193
252,90,82,1,1193
253,90,33,1,1193
254,92,57,1,1193
255,92,88,1,1193
256,92,81,1,1193
257,92,68,1,1193
258,92,66,1,1193
259,92,19,1,1193
260,92,13,1,1193
261,54,35,1,1193
262,54,86,1,1193
263,54,32,1,1193
264,54,44,1,1193
265,54,34,1,1193
266,54,50,3,1193
267,54,78,1,1193
268,54,59,2,1193
269,54,63,1,1193
270,54,42,1,1193
271,7,59,1,1193
272,7,33,1,1193
273,52,78,1,1193
274,52,44,1,1193
275,77,77,1,1193
276,77,7,1,1193
277,77,33,1,1193
278,77,25,1,1193
279,77,37,1,1193
280,77,72,1,1193
281,77,62,1,1193
282,77,44,1,1193
283,77,74,1,1193
284,77,4,1,1193
285,77,60,1,1193
286,77,5,1,1193
287,77,41,1,1193
288,77,28,1,1193
289,86,87,1,1193
290,86,35,1,1193
291,86,94,2,1193
292,86,70,1,1193
293,86,67,1,1193
294,85,93,1,1193
295,85,60,1,1193
296,85,4,1,1193
297,85,3,1,1193
298,85,12,1,1193
299,85,35,1,1193
300,85,24,1,1193
301,85,57,1,1193
302,93,95,1,1193
303,93,93,1,1193
304,93,62,1,1193
305,66,55,2,1193
306,66,10,1,1193
307,66,13,1,1193
308,66,72,1,1193
309,66,30,1,1193
310,66,24,1,1193
311,66,33,2,1193
312,66,65,1,1193
313,66,28,1,1193
314,66,34,1,1193
315,66,9,1,1193
316,66,41,1,1193
317,66,16,1,1193
318,66,74,1,1193
319,66,76,2,1193
320,81,43,1,1193
321,81,67,1,1193
322,81,87,1,1193
323,81,71,1,1193
324,81,6,1,1193
325,81,19,1,1193
326,81,47,1,1193
327,4,33,1,1193
328,26,71,1,1193
329,26,78,1,1193
330,26,44,1,1193
331,26,46,1,1193
332,26,62,1,1193
333,26,22,1,1193
334,26,76,1,1193
335,26,29,3,1193
336,34,8,1,1193
337,34,9,1,1193
338,34,37,1,1193
339,34,82,2,1193
340,34,94,1,1193
341,34,23,2,1193
342,34,58,1,1193
343,34,45,1,1193
344,47,86,1,1193
345,47,84,1,1193
346,47,92,1,1193
347,47,73,1,1193
348,47,37,1,1193
349,47,21,1,1193
350,47,41,1,1193
351,47,44,1,1193
352,47,43,1,1193
353,47,35,1,1193
354,47,4,1,1193
355,70,14,1,1193
356,70,43,1,1193
357,70,88,1,1193
358,70,30,1,1193
359,70,19,1,1193
360,70,6,1,1193
361,70,18,1,1193
362,70,86,1,1193
363,70,84,1,1193
364,70,16,1,1193
365,70,38,1,1193
366,70,68,1,1193
367,83,28,1,1193
368,83,65,1,1193
369,83,3,1,1193
370,83,69,1,1193
371,83,22,1,1193
372,83,6,1,1193
373,83,45,1,1193
374,76,53,1,1193
375,76,70,1,1193
376,76,79,1,1193
377,76,28,1,1193
378,76,19,1,1193
379,76,55,1,1193
380,76,34,1,1193
381,76,37,1,1193
382,76,29,1,1193
383,76,95,1,1193
384,76,16,1,1193
385,35,78,1,1193
386,35,14,1,1193
387,35,17,1,1193
388,35,58,1,1193
389,35,72,1,1193
390,35,47,1,1193
391,35,51,1,1193
392,35,85,1,1193
393,35,34,1,1193
394,35,21,1,1193
395,35,70,1,1193
396,35,55,1,1193
397,46,47,2,1193
398,46,18,1,1193
399,46,81,1,1193
400,46,97,1,1193
401,46,52,1,1193
402,46,33,1,1193
403,45,91,1,1193
404,45,56,1,1193
405,45,51,1,1193
406,45,58,1,1193
407,45,19,1,1193
408,45,33,1,1193
409,45,8,1,1193
410,45,47,1,1193
411,45,40,1,1193
412,45,52,2,1193
413,62,95,1,1193
414,62,37,1,1193
415,62,28,1,1193
416,62,7,1,1193
417,62,83,1,1193
418,62,73,2,1193
419,62,24,1,1193
420,62,5,1,1193
421,62,66,1,1193
422,62,82,1,1193
423,62,75,1,1193
424,62,67,1,1193
425,71,97,1,1193
426,71,17,1,1193
427,71,81,1,1193
428,71,32,1,1193
429,71,4,1,1193
430,71,75,1,1193
431,71,19,1,1193
432,71,42,2,1193
433,71,22,1,1193
434,71,50,1,1193
435,71,45,1,1193
436,71,44,1,1193
437,96,87,1,1193
438,96,12,1,1193
439,96,4,1,1193
440,12,89,1,1193
441,12,81,1,1193
442,94,74,1,1193
443,94,51,2,1193
444,94,96,1,1193
445,94,84,1,1193
446,94,4,1,1193
447,73,39,2,1193
448,73,28,1,1193
449,73,66,1,1193
450,73,50,1,1193
451,73,26,1,1193
452,73,76,2,1193
453,73,29,1,1193
454,73,67,1,1193
455,73,32,1,1193
456,73,45,1,1193
457,73,61,1,1193
458,73,63,1,1193
459,38,88,1,1193
460,38,66,1,1193
461,38,17,2,1193
462,38,21,1,1193
463,38,60,1,1193
464,38,72,1,1193
465,38,30,2,1193
466,38,73,1,1193
467,20,92,1,1193
468,20,97,1,1193
469,20,70,1,1193
470,31,69,1,1193
471,31,45,2,1193
472,31,24,1,1193
473,31,15,1,1193
474,31,10,1,1193
475,31,35,1,1193
476,31,53,2,1193
477,68,75,1,1193
478,68,89,1,1193
479,68,66,1,1193
480,68,82,1,1193
481,68,10,1,1193
482,68,27,1,1193
483,68,14,1,1193
484,68,34,1,1193
485,68,32,2,1193
486,68,79,1,1193
487,68,67,1,1193
488,68,78,1,1193
489,68,49,1,1193
490,68,12,1,1193
491,68,38,1,1193
492,68,3,1,1193
493,68,40,1,1193
494,78,13,1,1193
495,78,31,1,1193
496,78,18,1,1193
497,78,28,1,1193
498,78,65,1,1193
499,78,9,1,1193
500,78,37,1,1193
501,78,88,1,1193
502,64,69,1,1193
503,64,6,1,1193
504,64,4,1,1193
505,64,24,1,1193
506,64,37,1,1193
507,64,16,1,1193
508,64,30,2,1193
509,64,44,1,1193
510,64,14,1,1193
511,64,46,1,1193
512,64,9,1,1193
513,64,72,1,1193
514,64,12,1,1193
515,64,41,1,1193
516,64,83,1,1193
517,64,35,1,1193
518,64,55,1,1193
519,64,45,1,1193
520,64,73,1,1193
521,49,50,3,1193
522,49,23,1,1193
523,49,73,1,1193
524,16,17,1,1193
525,23,31,1,1193
526,23,58,1,1193
527,23,92,1,1193
528,23,78,1,1193
529,23,82,1,1193
530,82,25,1,1193
531,82,33,1,1193
532,82,32,1,1193
533,82,35,1,1193
534,82,92,1,1193
535,82,2,1,1193
536,82,73,1,1193
537,82,18,1,1193
538,79,75,1,1193
539,79,85,1,1193
540,79,37,1,1193
541,79,9,1,1193
542,79,14,1,1193
543,79,78,1,1193
544,79,55,1,1193
545,79,64,1,1193
546,11,17,1,1193
547,11,14,1,1193
548,75,45,1,1193
549,75,80,1,1193
550,75,20,1,1193
551,75,42,1,1193
552,75,39,1,1193
553,75,14,1,1193
554,75,32,1,1193
555,75,48,1,1193
556,75,58,1,1193
557,75,73,1,1193
558,75,36,1,1193
559,95,12,1,1193
560,95,60,1,1193
561,95,69,1,1193
562,95,32,1,1193
563,95,6,1,1193
564,91,73,1,1193
565,91,5,1,1193
566,91,52,1,1193
567,91,23,1,1193
568,91,18,1,1193
569,80,74,1,1193
570,80,23,2,1193
571,80,15,1,1193
572,80,10,1,1193
573,80,9,1,1193
574,80,52,1,1193
575,80,91,1,1193
576,80,81,1,1193
577,6,94,1,1193
578,65,75,1,1193
579,65,53,1,1193
580,65,85,1,1193
581,65,8,1,1193
582,65,33,1,1193
583,65,98,1,1193
584,65,34,1,1193
585,65,41,1,1193
586,65,58,1,1193
587,18,52,1,1193
588,39,25,1,1193
589,39,71,1,1193
590,39,38,1,1193
591,39,15,1,1193
592,39,44,1,1193
593,39,81,1,1193
594,39,21,1,1193
595,39,33,1,1193
596,39,3,1,1193
597,44,30,1,1193
598,44,60,1,1193
599,44,74,1,1193
600,44,2,1,1193
601,44,15,1,1193
602,44,68,1,1193
603,44,53,1,1193
604,51,15,2,1193
605,51,94,1,1193
606,51,91,1,1193
607,51,17,1,1193
608,30,40,1,1193
609,30,70,1,1193
610,30,46,2,1193
611,30,69,1,1193
612,30,81,1,1193
613,30,14,1,1193
614,99,99,1,1193
615,42,83,1,1193
616,42,14,1,1193
617,42,15,1,1193
618,97,1,1,1193
619,97,19,1,1193
620,97,30,1,1193
621,88,34,2,1193
622,88,5,1,1193
623,88,91,1,1193
624,88,92,1,1193
625,88,32,1,1193
626,88,61,1,1193
627,88,16,1,1193
628,88,14,1,1193
629,88,62,1,1193
630,22,53,1,1193
631,22,19,1,1193
632,22,14,1,1193
633,22,41,1,1193
634,22,50,1,1193
635,22,8,1,1193
636,50,64,1,1193
637,50,73,1,1193
638,48,31,1,1193
639,48,48,1,1193
640,48,39,1,1193
641,48,65,1,1193
642,48,8,1,1193
643,48,16,1,1193
644,33,27,2,1193
645,33,29,1,1193
646,33,31,1,1193
647,33,24,1,1193
648,33,93,1,1193
649,33,40,1,1193
650,33,73,1,1193
651,33,39,1,1193
652,40,14,1,1193
653,40,92,1,1193
654,87,93,1,1193
655,87,22,1,1193
656,89,64,1,1193
657,89,15,2,1193
658,25,4,1,1193
659,5,60,1,1193
