nokta_no,x,y,count,sezon_dakikasi
1,39,35,2,2212
2,39,34,2,2212
3,39,74,1,2212
4,39,24,3,2212
5,39,69,1,2212
6,39,43,2,2212
7,39,66,1,2212
8,39,5,1,2212
9,39,16,1,2212
10,39,17,1,2212
11,39,51,1,2212
12,39,10,2,2212
13,39,6,1,2212
14,39,59,1,2212
15,39,12,1,2212
16,39,28,1,2212
17,39,73,1,2212
18,39,27,1,2212
19,39,46,1,2212
20,39,62,1,2212
21,39,80,1,2212
22,39,60,1,2212
23,39,61,1,2212
24,39,13,1,2212
25,39,19,1,2212
26,39,26,1,2212
27,39,49,1,2212
28,39,55,1,2212
29,39,67,1,2212
30,55,5,3,2212
31,55,30,1,2212
32,55,70,1,2212
33,55,90,1,2212
34,55,41,1,2212
35,55,31,1,2212
36,55,25,1,2212
37,55,22,2,2212
38,55,16,1,2212
39,55,4,1,2212
40,55,46,1,2212
41,55,11,1,2212
42,55,68,1,2212
43,55,44,2,2212
44,55,14,1,2212
45,55,17,2,2212
46,55,51,2,2212
47,55,52,1,2212
48,55,29,1,2212
49,55,73,1,2212
50,55,53,1,2212
51,55,45,2,2212
52,55,33,2,2212
53,55,27,1,2212
54,55,36,2,2212
55,55,15,1,2212
56,52,21,1,2212
57,52,25,1,2212
58,52,13,1,2212
59,52,71,1,2212
60,52,93,2,2212
61,52,41,2,2212
62,52,59,1,2212
63,52,23,1,2212
64,52,60,1,2212
65,52,90,1,2212
66,52,19,1,2212
67,52,57,2,2212
68,52,32,1,2212
69,52,47,1,2212
70,52,26,1,2212
71,52,72,1,2212
72,52,15,1,2212
73,70,38,1,2212
74,70,9,1,2212
75,70,25,1,2212
76,70,45,1,2212
77,70,33,1,2212
78,70,19,1,2212
79,70,18,1,2212
80,70,55,1,2212
81,70,24,1,2212
82,70,76,1,2212
83,70,26,1,2212
84,70,63,1,2212
85,70,32,2,2212
86,70,22,1,2212
87,45,15,2,2212
88,45,48,1,2212
89,45,29,1,2212
90,45,60,1,2212
91,45,73,1,2212
92,45,55,1,2212
93,45,17,1,2212
94,45,38,1,2212
95,45,44,1,2212
96,45,25,1,2212
97,45,19,2,2212
98,45,56,1,2212
99,45,53,1,2212
100,45,13,1,2212
101,45,20,2,2212
102,45,23,1,2212
103,45,51,2,2212
104,45,54,1,2212
105,45,74,1,2212
106,45,45,1,2212
107,45,50,1,2212
108,45,43,1,2212
109,45,41,1,2212
110,45,58,1,2212
111,45,34,2,2212
112,45,42,1,2212
113,76,20,1,2212
114,76,16,2,2212
115,76,9,1,2212
116,76,19,1,2212
117,76,26,2,2212
118,76,2,1,2212
119,76,48,1,2212
120,76,64,1,2212
121,76,18,1,2212
122,76,27,1,2212
123,76,17,1,2212
124,95,27,1,2212
125,95,22,2,2212
126,95,24,1,2212
127,95,17,1,2212
128,95,39,1,2212
129,60,18,1,2212
130,60,17,1,2212
131,60,66,1,2212
132,60,93,1,2212
133,60,40,1,2212
134,60,86,1,2212
135,60,25,2,2212
136,60,21,1,2212
137,60,80,1,2212
138,60,87,1,2212
139,60,27,1,2212
140,60,7,1,2212
141,60,42,1,2212
142,60,39,1,2212
143,60,54,1,2212
144,60,9,1,2212
145,60,73,1,2212
146,60,43,1,2212
147,60,29,2,2212
148,33,79,1,2212
149,33,24,2,2212
150,33,16,1,2212
151,33,67,1,2212
152,33,88,1,2212
153,33,20,3,2212
154,33,59,1,2212
155,33,19,2,2212
156,33,28,2,2212
157,33,4,1,2212
158,33,32,1,2212
159,33,65,2,2212
160,33,44,2,2212
161,33,43,1,2212
162,33,30,2,2212
163,33,23,4,2212
164,33,8,1,2212
165,33,68,2,2212
166,33,34,1,2212
167,33,81,1,2212
168,33,57,1,2212
169,33,45,1,2212
170,33,39,1,2212
171,33,47,1,2212
172,33,37,1,2212
173,33,56,2,2212
174,33,27,1,2212
175,33,33,1,2212
176,33,62,1,2212
177,54,88,1,2212
178,54,41,1,2212
179,54,57,1,2212
180,54,71,2,2212
181,54,46,1,2212
182,54,51,1,2212
183,54,28,1,2212
184,54,38,2,2212
185,54,44,1,2212
186,54,45,1,2212
187,54,25,1,2212
188,54,3,2,2212
189,54,15,1,2212
190,54,70,1,2212
191,54,42,1,2212
192,42,24,1,2212
193,42,19,1,2212
194,42,82,1,2212
195,42,32,1,2212
196,42,26,1,2212
197,42,66,1,2212
198,42,36,1,2212
199,42,67,1,2212
200,42,65,1,2212
201,42,96,1,2212
202,42,52,1,2212
203,42,76,3,2212
204,42,6,1,2212
205,42,5,1,2212
206,42,35,2,2212
207,42,77,1,2212
208,42,69,1,2212
209,42,34,1,2212
210,42,62,1,2212
211,42,50,1,2212
212,42,8,1,2212
213,41,29,1,2212
214,41,71,2,2212
215,41,30,1,2212
216,41,13,1,2212
217,41,24,2,2212
218,41,92,1,2212
219,41,25,1,2212
220,41,63,1,2212
221,41,15,1,2212
222,41,75,1,2212
223,41,19,1,2212
224,41,17,1,2212
225,41,5,1,2212
226,41,23,1,2212
227,41,21,1,2212
228,41,80,1,2212
229,41,77,1,2212
230,41,56,1,2212
231,41,26,1,2212
232,41,14,1,2212
233,41,49,1,2212
234,41,50,1,2212
235,41,36,1,2212
236,41,11,1,2212
237,41,44,1,2212
238,47,16,2,2212
239,47,29,1,2212
240,47,38,1,2212
241,47,63,1,2212
242,47,35,1,2212
243,47,33,1,2212
244,47,55,2,2212
245,47,54,1,2212
246,47,30,2,2212
247,47,46,2,2212
248,47,11,1,2212
249,47,4,1,2212
250,47,26,2,2212
251,47,57,2,2212
252,47,65,1,2212
253,47,61,1,2212
254,47,25,1,2212
255,47,36,1,2212
256,47,45,2,2212
257,47,23,1,2212
258,47,50,1,2212
259,47,34,1,2212
260,47,6,1,2212
261,44,10,2,2212
262,44,44,1,2212
263,44,21,2,2212
264,44,53,2,2212
265,44,28,1,2212
266,44,36,2,2212
267,44,64,2,2212
268,44,63,1,2212
269,44,66,1,2212
270,44,29,1,2212
271,44,88,1,2212
272,44,4,1,2212
273,44,38,2,2212
274,44,50,2,2212
275,44,31,1,2212
276,44,13,2,2212
277,44,54,2,2212
278,44,16,1,2212
279,44,46,1,2212
280,44,48,3,2212
281,44,73,1,2212
282,44,37,1,2212
283,44,12,1,2212
284,44,9,1,2212
285,44,65,1,2212
286,44,56,1,2212
287,62,15,1,2212
288,62,11,1,2212
289,62,27,1,2212
290,62,10,1,2212
291,62,30,1,2212
292,62,6,1,2212
293,62,18,2,2212
294,62,17,2,2212
295,62,62,1,2212
296,62,16,1,2212
297,62,31,1,2212
298,62,51,1,2212
299,62,34,1,2212
300,62,41,1,2212
301,62,68,1,2212
302,62,52,1,2212
303,62,53,1,2212
304,59,11,1,2212
305,59,53,1,2212
306,59,51,1,2212
307,59,14,1,2212
308,59,10,2,2212
309,59,1,1,2212
310,59,74,1,2212
311,59,31,1,2212
312,59,15,3,2212
313,59,63,1,2212
314,59,40,1,2212
315,59,33,1,2212
316,59,3,1,2212
317,57,12,2,2212
318,57,63,1,2212
319,57,7,1,2212
320,57,20,1,2212
321,57,59,1,2212
322,57,58,1,2212
323,57,28,3,2212
324,57,73,1,2212
325,57,68,1,2212
326,57,6,1,2212
327,57,30,1,2212
328,57,26,1,2212
329,57,5,2,2212
330,57,19,2,2212
331,57,33,1,2212
332,57,69,1,2212
333,57,66,1,2212
334,57,46,1,2212
335,57,10,1,2212
336,57,65,3,2212
337,57,71,1,2212
338,57,82,1,2212
339,25,17,2,2212
340,25,45,1,2212
341,25,52,1,2212
342,25,57,2,2212
343,25,43,1,2212
344,25,33,1,2212
345,25,59,1,2212
346,25,60,1,2212
347,25,39,1,2212
348,25,22,1,2212
349,25,11,2,2212
350,25,61,2,2212
351,25,25,1,2212
352,25,10,2,2212
353,25,46,1,2212
354,25,34,1,2212
355,25,70,1,2212
356,25,68,1,2212
357,25,32,1,2212
358,25,12,1,2212
359,38,31,3,2212
360,38,65,1,2212
361,38,9,1,2212
362,38,27,1,2212
363,38,12,1,2212
364,38,20,1,2212
365,38,61,1,2212
366,38,79,1,2212
367,38,33,1,2212
368,38,5,1,2212
369,38,18,1,2212
370,38,58,1,2212
371,38,64,2,2212
372,38,13,2,2212
373,38,63,1,2212
374,38,8,1,2212
375,38,29,1,2212
376,38,21,1,2212
377,38,37,1,2212
378,38,34,1,2212
379,21,23,1,2212
380,21,35,1,2212
381,21,37,1,2212
382,21,44,2,2212
383,21,71,1,2212
384,21,39,1,2212
385,21,50,1,2212
386,21,53,1,2212
387,21,16,1,2212
388,21,54,1,2212
389,21,31,1,2212
390,21,79,1,2212
391,21,70,1,2212
392,21,46,1,2212
393,21,25,1,2212
394,21,14,1,2212
395,30,63,1,2212
396,30,35,1,2212
397,30,59,1,2212
398,30,32,1,2212
399,30,68,1,2212
400,30,36,1,2212
401,30,20,1,2212
402,30,62,1,2212
403,30,71,4,2212
404,30,33,1,2212
405,30,53,1,2212
406,30,49,1,2212
407,30,44,1,2212
408,30,31,2,2212
409,30,60,1,2212
410,30,82,1,2212
411,30,4,1,2212
412,30,0,1,2212
413,30,7,1,2212
