nokta_no,x,y,count,sezon_dakikasi
1,45,48,1,1178
2,45,47,1,1178
3,45,82,1,1178
4,45,57,1,1178
5,45,4,1,1178
6,45,52,1,1178
7,45,2,1,1178
8,45,84,2,1178
9,45,83,1,1178
10,45,53,1,1178
11,45,29,1,1178
12,44,15,1,1178
13,44,11,1,1178
14,44,91,2,1178
15,44,50,1,1178
16,44,7,1,1178
17,44,44,1,1178
18,44,90,1,1178
19,44,60,2,1178
20,44,31,1,1178
21,44,17,1,1178
22,54,74,1,1178
23,54,52,1,1178
24,54,7,2,1178
25,54,18,1,1178
26,54,44,1,1178
27,54,94,1,1178
28,54,87,1,1178
29,24,77,1,1178
30,24,5,1,1178
31,24,54,1,1178
32,24,76,1,1178
33,27,52,1,1178
34,27,43,1,1178
35,27,34,1,1178
36,27,7,1,1178
37,27,86,2,1178
38,27,80,2,1178
39,27,78,1,1178
40,27,79,1,1178
41,47,68,1,1178
42,47,44,2,1178
43,47,55,1,1178
44,47,72,1,1178
45,55,81,1,1178
46,55,33,1,1178
47,55,75,1,1178
48,55,65,1,1178
49,55,44,1,1178
50,55,18,1,1178
51,55,20,1,1178
52,55,7,1,1178
53,55,46,1,1178
54,55,52,1,1178
55,89,7,1,1178
56,89,39,1,1178
57,89,63,1,1178
58,89,70,1,1178
59,89,45,1,1178
60,89,69,1,1178
61,89,4,1,1178
62,89,5,1,1178
63,89,35,3,1178
64,89,87,1,1178
65,89,92,1,1178
66,89,36,1,1178
67,89,31,1,1178
68,89,90,1,1178
69,89,16,1,1178
70,89,72,1,1178
71,77,17,1,1178
72,77,16,1,1178
73,77,54,1,1178
74,77,5,1,1178
75,77,34,1,1178
76,77,62,1,1178
77,77,0,1,1178
78,77,19,1,1178
79,77,18,1,1178
80,77,68,1,1178
81,77,96,1,1178
82,80,9,1,1178
83,80,21,1,1178
84,80,92,2,1178
85,80,51,1,1178
86,80,77,1,1178
87,80,31,1,1178
88,80,26,1,1178
89,80,4,1,1178
90,80,24,1,1178
91,80,83,1,1178
92,80,91,1,1178
93,80,36,1,1178
94,88,91,1,1178
95,88,26,1,1178
96,88,32,1,1178
97,88,88,1,1178
98,88,35,2,1178
99,88,14,1,1178
100,88,94,1,1178
101,88,44,1,1178
102,88,95,1,1178
103,88,36,1,1178
104,88,10,2,1178
105,88,13,1,1178
106,87,91,2,1178
107,87,96,1,1178
108,87,4,1,1178
109,87,15,1,1178
110,87,38,1,1178
111,87,86,1,1178
112,87,100,1,1178
113,87,56,1,1178
114,87,41,1,1178
115,87,5,1,1178
116,87,21,1,1178
117,87,75,1,1178
118,87,58,1,1178
119,87,65,1,1178
120,46,53,1,1178
121,46,80,1,1178
122,46,49,1,1178
123,46,76,1,1178
124,46,54,1,1178
125,46,52,1,1178
126,46,30,1,1178
127,46,71,1,1178
128,46,15,1,1178
129,46,74,1,1178
130,46,7,1,1178
131,46,77,1,1178
132,48,9,2,1178
133,48,5,1,1178
134,48,32,1,1178
135,48,80,1,1178
136,48,87,1,1178
137,48,7,1,1178
138,48,81,1,1178
139,48,92,1,1178
140,48,21,1,1178
141,48,3,1,1178
142,42,34,2,1178
143,42,4,1,1178
144,42,5,1,1178
145,42,19,1,1178
146,42,6,1,1178
147,42,12,1,1178
148,42,80,1,1178
149,42,24,1,1178
150,42,68,1,1178
151,42,21,1,1178
152,42,15,1,1178
153,42,44,1,1178
154,42,81,1,1178
155,86,84,1,1178
156,86,42,1,1178
157,86,4,2,1178
158,86,51,1,1178
159,86,86,1,1178
160,86,16,1,1178
161,86,0,1,1178
162,86,18,1,1178
163,86,70,1,1178
164,86,94,1,1178
165,86,58,1,1178
166,86,9,1,1178
167,50,49,1,1178
168,50,24,1,1178
169,50,50,2,1178
170,39,25,1,1178
171,39,47,1,1178
172,39,90,1,1178
173,39,76,1,1178
174,39,51,1,1178
175,39,46,1,1178
176,39,7,1,1178
177,39,21,1,1178
178,39,64,1,1178
179,39,78,1,1178
180,29,40,1,1178
181,29,91,1,1178
182,29,89,1,1178
183,29,66,1,1178
184,29,76,1,1178
185,29,7,1,1178
186,29,80,1,1178
187,85,23,1,1178
188,85,97,3,1178
189,85,26,1,1178
190,85,32,1,1178
191,85,2,1,1178
192,85,67,1,1178
193,85,96,1,1178
194,85,44,1,1178
195,85,7,1,1178
196,85,31,1,1178
197,85,28,1,1178
198,85,84,1,1178
199,85,70,1,1178
200,85,45,1,1178
201,85,52,1,1178
202,85,25,1,1178
203,85,79,1,1178
204,36,82,1,1178
205,36,20,1,1178
206,36,63,1,1178
207,36,32,1,1178
208,36,93,1,1178
209,73,17,1,1178
210,73,59,1,1178
211,73,76,1,1178
212,73,74,1,1178
213,73,35,1,1178
214,73,55,1,1178
215,73,83,1,1178
216,73,31,1,1178
217,73,23,1,1178
218,73,22,1,1178
219,73,5,1,1178
220,73,77,1,1178
221,73,24,1,1178
222,81,12,1,1178
223,81,63,1,1178
224,81,20,1,1178
225,81,56,1,1178
226,81,96,1,1178
227,81,71,1,1178
228,81,52,1,1178
229,81,44,1,1178
230,81,6,1,1178
231,81,90,1,1178
232,100,67,1,1178
233,13,44,1,1178
234,13,66,1,1178
235,95,8,1,1178
236,95,19,1,1178
237,95,56,1,1178
238,95,74,1,1178
239,95,92,1,1178
240,95,97,1,1178
241,95,32,1,1178
242,95,17,1,1178
243,95,5,1,1178
244,67,47,1,1178
245,67,74,1,1178
246,67,9,1,1178
247,67,64,1,1178
248,67,62,1,1178
249,67,28,1,1178
250,67,89,2,1178
251,67,2,1,1178
252,67,18,1,1178
253,67,96,1,1178
254,67,6,1,1178
255,90,12,3,1178
256,90,8,1,1178
257,90,35,1,1178
258,90,7,1,1178
259,90,46,1,1178
260,90,47,1,1178
261,90,71,1,1178
262,90,51,1,1178
263,90,43,1,1178
264,90,88,1,1178
265,90,62,1,1178
266,90,13,1,1178
267,41,11,1,1178
268,41,15,1,1178
269,41,32,1,1178
270,41,83,1,1178
271,41,86,1,1178
272,41,22,1,1178
273,41,37,1,1178
274,41,5,1,1178
275,41,12,1,1178
276,41,24,1,1178
277,41,34,1,1178
278,41,17,1,1178
279,41,52,2,1178
280,43,70,3,1178
281,43,12,2,1178
282,43,18,1,1178
283,43,83,1,1178
284,43,75,1,1178
285,43,48,1,1178
286,28,92,1,1178
287,28,86,1,1178
288,28,16,1,1178
289,28,7,1,1178
290,28,79,1,1178
291,28,10,1,1178
292,28,95,1,1178
293,28,77,1,1178
294,37,80,1,1178
295,37,98,1,1178
296,37,24,1,1178
297,37,54,2,1178
298,37,12,1,1178
299,37,1,1,1178
300,37,86,1,1178
301,37,75,1,1178
302,35,19,2,1178
303,35,65,1,1178
304,35,22,1,1178
305,35,53,1,1178
306,35,9,1,1178
307,35,41,1,1178
308,35,49,1,1178
309,35,44,1,1178
310,35,4,1,1178
311,35,76,1,1178
312,35,82,1,1178
313,35,89,1,1178
314,35,21,1,1178
315,61,95,1,1178
316,61,13,1,1178
317,61,91,1,1178
318,61,4,1,1178
319,61,43,1,1178
320,61,3,1,1178
321,61,69,1,1178
322,61,94,1,1178
323,61,2,1,1178
324,61,66,1,1178
325,96,55,2,1178
326,96,54,1,1178
327,96,89,2,1178
328,96,85,1,1178
329,96,25,1,1178
330,76,16,1,1178
331,76,0,1,1178
332,76,94,1,1178
333,76,9,1,1178
334,76,78,1,1178
335,76,73,1,1178
336,76,66,1,1178
337,76,13,1,1178
338,76,54,1,1178
339,84,11,1,1178
340,84,90,1,1178
341,84,91,1,1178
342,84,84,1,1178
343,84,48,2,1178
344,84,39,1,1178
345,84,32,1,1178
346,59,41,1,1178
347,59,25,1,1178
348,59,37,1,1178
349,59,24,1,1178
350,59,67,2,1178
351,71,15,1,1178
352,71,45,1,1178
353,71,16,1,1178
354,71,67,1,1178
355,71,69,1,1178
356,71,84,1,1178
357,71,2,1,1178
358,71,13,1,1178
