nokta_no,x,y,count,sezon_dakikasi
1,26,17,1,1570
2,26,83,1,1570
3,26,82,1,1570
4,26,96,3,1570
5,26,78,1,1570
6,26,80,1,1570
7,26,95,2,1570
8,26,100,1,1570
9,26,61,2,1570
10,26,84,1,1570
11,26,90,2,1570
12,26,86,1,1570
13,26,66,1,1570
14,26,92,1,1570
15,37,27,1,1570
16,37,10,1,1570
17,37,82,3,1570
18,37,79,1,1570
19,37,96,3,1570
20,37,89,1,1570
21,37,85,2,1570
22,37,92,2,1570
23,37,77,1,1570
24,37,84,1,1570
25,37,71,1,1570
26,37,86,4,1570
27,37,100,3,1570
28,37,93,2,1570
29,37,75,1,1570
30,43,15,1,1570
31,43,76,1,1570
32,43,56,1,1570
33,43,93,2,1570
34,43,100,4,1570
35,43,95,2,1570
36,43,91,1,1570
37,43,19,1,1570
38,43,67,1,1570
39,43,94,1,1570
40,43,80,1,1570
41,43,79,1,1570
42,43,60,1,1570
43,43,88,2,1570
44,43,89,1,1570
45,43,86,1,1570
46,43,75,1,1570
47,43,92,1,1570
48,42,27,1,1570
49,42,72,1,1570
50,42,94,3,1570
51,42,96,1,1570
52,42,93,3,1570
53,42,92,2,1570
54,42,87,2,1570
55,42,90,1,1570
56,42,95,1,1570
57,42,79,1,1570
58,42,56,1,1570
59,42,81,1,1570
60,42,88,4,1570
61,42,100,2,1570
62,42,91,2,1570
63,42,89,2,1570
64,42,64,1,1570
65,2,43,1,1570
66,2,12,1,1570
67,2,73,1,1570
68,2,76,1,1570
69,2,51,1,1570
70,2,66,1,1570
71,2,39,1,1570
72,2,94,1,1570
73,0,40,1,1570
74,0,29,2,1570
75,0,34,1,1570
76,0,53,1,1570
77,0,60,1,1570
78,12,51,1,1570
79,12,76,1,1570
80,12,100,1,1570
81,12,86,1,1570
82,12,88,1,1570
83,12,45,1,1570
84,12,58,2,1570
85,12,95,1,1570
86,12,63,1,1570
87,12,64,1,1570
88,12,61,1,1570
89,12,90,1,1570
90,12,92,2,1570
91,12,97,2,1570
92,12,54,1,1570
93,21,3,1,1570
94,21,95,3,1570
95,21,100,2,1570
96,21,79,1,1570
97,21,96,2,1570
98,21,89,1,1570
99,21,90,1,1570
100,21,78,1,1570
101,21,86,1,1570
102,21,76,2,1570
103,21,94,2,1570
104,21,85,1,1570
105,21,80,1,1570
106,38,3,1,1570
107,38,1,1,1570
108,38,90,2,1570
109,38,95,2,1570
110,38,58,2,1570
111,38,97,1,1570
112,38,96,1,1570
113,38,74,1,1570
114,38,93,2,1570
115,38,85,2,1570
116,38,88,3,1570
117,38,94,2,1570
118,38,100,2,1570
119,38,89,3,1570
120,38,59,2,1570
121,38,56,1,1570
122,38,91,1,1570
123,38,62,1,1570
124,38,79,1,1570
125,25,3,1,1570
126,25,80,1,1570
127,25,87,1,1570
128,25,92,2,1570
129,25,97,1,1570
130,25,84,1,1570
131,25,95,6,1570
132,25,100,1,1570
133,25,93,1,1570
134,25,96,1,1570
135,25,69,1,1570
136,25,59,1,1570
137,25,83,1,1570
138,56,2,1,1570
139,56,88,3,1570
140,56,95,1,1570
141,56,100,5,1570
142,56,94,1,1570
143,56,62,1,1570
144,56,90,1,1570
145,56,93,2,1570
146,56,73,1,1570
147,56,79,1,1570
148,56,97,1,1570
149,56,89,3,1570
150,56,86,3,1570
151,56,85,1,1570
152,56,92,1,1570
153,56,65,1,1570
154,56,51,1,1570
155,56,96,1,1570
156,56,83,1,1570
157,61,7,1,1570
158,61,10,1,1570
159,61,94,2,1570
160,61,97,3,1570
161,61,63,1,1570
162,61,92,1,1570
163,61,41,1,1570
164,61,56,1,1570
165,61,95,1,1570
166,61,90,2,1570
167,61,85,2,1570
168,61,100,1,1570
169,61,84,1,1570
170,61,86,1,1570
171,61,88,1,1570
172,4,28,1,1570
173,4,54,1,1570
174,4,53,1,1570
175,4,83,1,1570
176,4,60,1,1570
177,4,68,1,1570
178,4,85,1,1570
179,4,41,1,1570
180,4,48,1,1570
181,4,89,1,1570
182,4,61,1,1570
183,10,33,1,1570
