nokta_no,x,y,count,sezon_dakikasi
1,30,15,1,1063
2,30,40,1,1063
3,30,53,1,1063
4,30,54,1,1063
5,30,23,1,1063
6,30,73,1,1063
7,90,51,1,1063
8,90,40,1,1063
9,90,74,1,1063
10,90,54,1,1063
11,90,6,1,1063
12,88,49,1,1063
13,88,51,1,1063
14,88,4,1,1063
15,88,60,1,1063
16,88,50,1,1063
17,88,84,1,1063
18,88,12,1,1063
19,88,57,1,1063
20,67,27,1,1063
21,67,93,2,1063
22,67,4,1,1063
23,67,33,1,1063
24,67,5,1,1063
25,67,89,1,1063
26,67,78,1,1063
27,67,68,1,1063
28,67,10,1,1063
29,67,44,1,1063
30,67,37,1,1063
31,67,64,1,1063
32,67,49,1,1063
33,80,98,1,1063
34,80,61,2,1063
35,80,96,1,1063
36,12,39,1,1063
37,72,30,1,1063
38,72,94,1,1063
39,72,57,1,1063
40,72,25,1,1063
41,72,27,1,1063
42,72,55,1,1063
43,72,67,1,1063
44,72,26,1,1063
45,72,75,1,1063
46,72,77,1,1063
47,72,79,1,1063
48,72,80,1,1063
49,26,37,2,1063
50,26,42,1,1063
51,26,41,2,1063
52,26,81,1,1063
53,26,95,1,1063
54,26,58,1,1063
55,26,87,1,1063
56,26,51,1,1063
57,23,21,1,1063
58,23,25,1,1063
59,23,76,1,1063
60,65,96,2,1063
61,65,26,2,1063
62,65,40,1,1063
63,65,39,1,1063
64,65,93,1,1063
65,65,16,1,1063
66,65,42,1,1063
67,65,27,1,1063
68,65,31,1,1063
69,57,97,1,1063
70,57,96,1,1063
71,57,62,1,1063
72,57,84,1,1063
73,57,64,1,1063
74,57,4,1,1063
75,59,35,1,1063
76,59,59,1,1063
77,59,61,2,1063
78,59,94,1,1063
79,59,4,2,1063
80,59,67,1,1063
81,59,83,1,1063
82,59,2,1,1063
83,59,33,1,1063
84,59,10,1,1063
85,59,25,1,1063
86,59,5,1,1063
87,52,21,2,1063
88,52,10,1,1063
89,52,56,1,1063
90,52,13,1,1063
91,52,17,1,1063
92,52,24,1,1063
93,52,30,1,1063
94,52,91,1,1063
95,21,76,1,1063
96,21,51,2,1063
97,21,93,1,1063
98,76,64,1,1063
99,76,70,1,1063
100,76,85,1,1063
101,76,95,1,1063
102,76,81,1,1063
103,76,31,1,1063
104,76,12,1,1063
105,76,8,2,1063
106,76,55,1,1063
107,76,45,1,1063
108,76,25,1,1063
109,97,87,3,1063
110,97,81,1,1063
111,97,84,1,1063
112,97,72,1,1063
113,97,62,1,1063
114,69,87,2,1063
115,69,92,1,1063
116,69,59,1,1063
117,69,16,1,1063
118,69,77,1,1063
119,69,96,2,1063
120,69,25,1,1063
121,69,13,1,1063
122,69,69,1,1063
123,69,90,1,1063
124,69,75,1,1063
125,69,29,1,1063
126,69,76,1,1063
127,69,44,1,1063
128,86,82,1,1063
129,86,59,1,1063
130,86,81,1,1063
131,86,51,1,1063
132,86,79,1,1063
133,86,57,1,1063
134,86,41,1,1063
135,86,83,1,1063
136,86,21,1,1063
137,46,42,1,1063
138,46,30,1,1063
139,46,12,1,1063
140,46,18,1,1063
141,46,59,1,1063
142,46,11,1,1063
143,47,44,1,1063
144,47,21,1,1063
145,47,92,1,1063
146,47,91,1,1063
147,47,78,1,1063
148,47,17,1,1063
149,47,19,1,1063
150,47,45,1,1063
151,81,50,2,1063
152,81,8,1,1063
153,81,46,1,1063
154,85,68,1,1063
155,85,28,1,1063
156,85,65,1,1063
157,85,87,1,1063
158,85,46,1,1063
159,85,71,1,1063
160,85,39,1,1063
161,85,64,1,1063
162,85,70,1,1063
163,85,31,1,1063
164,85,67,1,1063
165,85,66,1,1063
166,75,45,1,1063
167,75,90,1,1063
168,75,93,1,1063
169,75,59,1,1063
170,75,81,1,1063
171,75,48,1,1063
172,75,51,1,1063
173,75,58,1,1063
174,75,94,1,1063
175,74,53,1,1063
176,74,86,1,1063
177,74,81,1,1063
178,74,80,1,1063
179,74,3,1,1063
180,74,91,1,1063
181,74,87,1,1063
182,77,62,1,1063
183,77,40,1,1063
184,77,92,1,1063
185,77,63,1,1063
186,77,71,1,1063
187,77,6,3,1063
188,77,60,1,1063
189,77,94,1,1063
190,77,14,1,1063
191,64,82,1,1063
192,64,83,1,1063
193,64,62,1,1063
194,64,42,2,1063
195,64,88,1,1063
196,64,0,1,1063
197,64,73,1,1063
198,64,23,1,1063
199,64,30,1,1063
200,64,38,1,1063
201,64,78,1,1063
202,64,36,1,1063
203,64,53,1,1063
204,64,5,1,1063
205,99,65,1,1063
206,99,47,1,1063
207,99,46,1,1063
208,92,34,1,1063
209,92,94,1,1063
210,92,12,1,1063
