nokta_no,x,y,count,sezon_dakikasi
1,50,49,3,1546
2,50,31,1,1546
3,50,54,1,1546
4,68,87,1,1546
5,68,67,1,1546
6,68,93,1,1546
7,68,68,3,1546
8,68,69,1,1546
9,68,78,1,1546
10,68,48,2,1546
11,68,40,1,1546
12,68,39,1,1546
13,68,24,1,1546
14,68,29,1,1546
15,68,63,1,1546
16,68,59,1,1546
17,68,95,1,1546
18,68,85,1,1546
19,68,30,1,1546
20,68,22,1,1546
21,68,20,1,1546
22,68,23,1,1546
23,68,66,2,1546
24,68,28,1,1546
25,68,62,1,1546
26,68,88,1,1546
27,40,43,1,1546
28,40,70,1,1546
29,40,38,1,1546
30,40,11,1,1546
31,40,17,2,1546
32,40,66,2,1546
33,40,46,1,1546
34,40,89,1,1546
35,40,88,1,1546
36,24,5,1,1546
37,24,20,1,1546
38,24,78,1,1546
39,24,3,1,1546
40,24,37,1,1546
41,24,73,1,1546
42,24,52,1,1546
43,87,88,1,1546
44,87,47,1,1546
45,87,45,1,1546
46,87,9,1,1546
47,87,18,1,1546
48,87,90,2,1546
49,87,87,1,1546
50,69,28,1,1546
51,69,52,1,1546
52,69,59,1,1546
53,69,68,1,1546
54,69,83,1,1546
55,69,88,1,1546
56,69,27,1,1546
57,69,95,1,1546
58,69,31,1,1546
59,69,37,2,1546
60,69,0,1,1546
61,69,9,1,1546
62,69,26,1,1546
63,69,86,1,1546
64,69,44,1,1546
65,69,10,1,1546
66,69,64,1,1546
67,69,82,1,1546
68,69,81,1,1546
69,69,76,1,1546
70,69,61,1,1546
71,69,24,1,1546
72,69,62,2,1546
73,69,56,1,1546
74,69,3,1,1546
75,69,69,1,1546
76,69,57,1,1546
77,38,9,1,1546
78,38,19,1,1546
79,38,60,2,1546
80,38,28,1,1546
81,38,81,1,1546
82,38,12,2,1546
83,38,16,1,1546
84,38,14,1,1546
85,38,35,1,1546
86,38,71,1,1546
87,38,39,1,1546
88,38,7,1,1546
89,38,8,1,1546
90,38,31,1,1546
91,38,75,1,1546
92,38,27,1,1546
93,38,89,2,1546
94,90,49,2,1546
95,90,86,1,1546
96,90,73,1,1546
97,90,94,1,1546
98,90,59,1,1546
99,90,33,1,1546
100,90,40,1,1546
101,90,11,1,1546
102,90,9,1,1546
103,90,96,1,1546
104,90,65,1,1546
105,90,50,1,1546
106,46,86,1,1546
107,46,40,2,1546
108,46,33,2,1546
109,46,84,1,1546
110,46,57,1,1546
111,46,92,1,1546
112,46,35,1,1546
113,46,53,1,1546
114,46,59,1,1546
115,46,41,1,1546
116,46,69,1,1546
117,41,12,1,1546
118,41,29,1,1546
119,41,51,1,1546
120,41,63,1,1546
121,41,36,1,1546
122,41,89,1,1546
123,41,83,1,1546
124,41,64,1,1546
125,41,66,1,1546
126,41,85,1,1546
127,21,64,2,1546
128,21,22,1,1546
129,21,56,1,1546
130,21,33,1,1546
131,21,87,1,1546
132,21,69,2,1546
133,52,42,1,1546
134,52,89,1,1546
135,52,28,1,1546
136,52,57,2,1546
137,52,41,1,1546
138,52,35,1,1546
139,52,30,1,1546
140,52,32,1,1546
141,52,34,1,1546
142,52,45,1,1546
143,52,56,2,1546
144,52,55,1,1546
145,29,30,1,1546
146,29,92,1,1546
147,29,3,1,1546
148,29,7,1,1546
149,29,46,1,1546
150,29,68,1,1546
151,29,31,1,1546
152,77,66,1,1546
153,77,20,1,1546
154,77,57,1,1546
155,77,17,1,1546
156,77,10,1,1546
157,77,12,1,1546
158,77,55,1,1546
159,77,80,1,1546
160,77,69,1,1546
161,55,42,1,1546
162,55,65,1,1546
163,55,52,1,1546
164,55,60,1,1546
165,55,54,1,1546
166,55,75,1,1546
167,55,22,1,1546
168,55,39,1,1546
169,55,47,1,1546
170,55,53,1,1546
171,55,58,1,1546
172,55,57,2,1546
173,55,63,1,1546
174,89,97,1,1546
175,89,84,1,1546
176,89,25,1,1546
177,89,93,1,1546
178,89,52,1,1546
179,89,6,1,1546
180,89,39,1,1546
181,89,47,1,1546
182,89,86,1,1546
183,89,64,1,1546
184,89,38,1,1546
185,89,31,1,1546
186,89,33,1,1546
187,89,73,1,1546
188,89,90,1,1546
189,89,88,1,1546
190,89,94,1,1546
191,89,61,1,1546
192,72,74,1,1546
193,72,86,1,1546
194,72,88,1,1546
195,72,89,1,1546
196,72,53,1,1546
197,72,73,1,1546
198,72,72,1,1546
199,72,35,1,1546
200,72,78,2,1546
201,72,95,1,1546
202,72,77,1,1546
203,27,41,1,1546
204,27,49,1,1546
205,27,66,1,1546
206,27,13,1,1546
207,27,85,1,1546
208,27,70,1,1546
209,27,50,1,1546
210,27,43,1,1546
211,5,30,1,1546
212,65,11,1,1546
213,65,59,1,1546
214,65,83,2,1546
215,65,77,1,1546
216,65,72,1,1546
217,65,63,1,1546
218,65,94,1,1546
219,65,86,1,1546
220,65,66,1,1546
221,65,12,1,1546
222,65,22,1,1546
223,65,3,1,1546
224,65,75,1,1546
225,65,28,1,1546
226,65,64,1,1546
227,65,37,1,1546
228,65,81,1,1546
229,65,57,1,1546
230,65,88,1,1546
231,65,42,1,1546
232,65,27,1,1546
233,65,80,1,1546
234,65,93,2,1546
235,65,62,1,1546
236,65,92,1,1546
237,62,25,1,1546
238,62,62,1,1546
239,62,16,1,1546
240,62,70,1,1546
241,62,85,2,1546
242,62,35,1,1546
243,62,42,1,1546
244,62,50,1,1546
245,62,29,2,1546
246,62,18,1,1546
247,62,33,1,1546
248,62,49,1,1546
249,62,74,1,1546
250,62,28,1,1546
251,62,76,1,1546
252,62,86,2,1546
253,62,81,1,1546
254,62,9,1,1546
255,58,27,1,1546
256,58,77,4,1546
257,58,66,1,1546
258,58,85,1,1546
259,58,23,1,1546
260,58,28,1,1546
261,58,86,1,1546
262,58,90,1,1546
263,58,87,1,1546
264,58,73,1,1546
265,58,81,1,1546
266,58,62,2,1546
267,58,91,1,1546
268,58,79,1,1546
269,63,64,2,1546
270,63,40,2,1546
271,63,85,1,1546
272,63,33,3,1546
273,63,87,1,1546
274,63,76,1,1546
275,63,53,1,1546
276,63,65,2,1546
277,63,69,1,1546
278,63,77,1,1546
279,63,67,2,1546
280,63,31,2,1546
281,63,92,1,1546
282,63,29,1,1546
283,63,11,1,1546
284,63,57,1,1546
285,63,73,1,1546
286,63,90,1,1546
287,63,47,1,1546
288,63,60,1,1546
289,63,68,1,1546
290,63,58,1,1546
291,32,31,1,1546
292,32,7,1,1546
293,32,28,1,1546
294,32,65,2,1546
295,32,94,2,1546
296,32,96,1,1546
297,32,79,1,1546
298,32,14,1,1546
299,32,10,1,1546
300,32,82,1,1546
301,32,30,1,1546
302,32,95,1,1546
303,32,90,1,1546
304,32,70,1,1546
305,32,57,1,1546
306,23,34,1,1546
307,23,71,2,1546
308,23,72,1,1546
309,23,70,2,1546
310,26,33,1,1546
311,26,77,1,1546
312,26,89,1,1546
313,26,50,1,1546
314,26,82,1,1546
315,26,83,1,1546
316,26,43,1,1546
317,26,52,1,1546
318,26,76,1,1546
319,26,84,1,1546
320,82,6,1,1546
321,82,94,1,1546
322,82,77,1,1546
323,82,80,1,1546
324,82,85,1,1546
325,75,14,1,1546
326,75,9,1,1546
327,75,76,1,1546
328,75,13,1,1546
329,75,81,1,1546
330,75,85,1,1546
331,75,32,1,1546
332,75,56,1,1546
333,75,48,1,1546
334,75,68,2,1546
335,75,28,1,1546
336,75,90,1,1546
337,75,18,1,1546
338,75,40,1,1546
339,39,31,1,1546
340,39,89,1,1546
341,39,91,1,1546
342,39,19,1,1546
343,39,73,1,1546
344,39,40,1,1546
345,39,42,1,1546
346,39,58,1,1546
347,33,3,1,1546
348,33,93,1,1546
349,33,45,1,1546
350,33,72,1,1546
351,33,36,1,1546
352,33,10,1,1546
353,33,14,1,1546
354,33,59,1,1546
355,33,53,1,1546
356,33,31,1,1546
357,60,4,1,1546
358,60,94,1,1546
359,60,84,1,1546
360,60,86,1,1546
361,60,85,2,1546
362,60,66,2,1546
363,60,83,1,1546
364,60,73,2,1546
365,60,6,1,1546
366,60,32,1,1546
367,60,68,2,1546
368,60,54,1,1546
369,60,90,1,1546
370,60,72,1,1546
371,60,92,1,1546
372,60,28,1,1546
373,60,77,1,1546
374,60,79,1,1546
375,60,89,1,1546
376,60,91,1,1546
377,60,63,1,1546
378,56,6,1,1546
379,56,50,1,1546
380,56,35,1,1546
381,56,56,1,1546
382,56,52,2,1546
383,56,72,1,1546
384,56,15,1,1546
385,56,61,1,1546
386,56,48,1,1546
387,56,71,1,1546
388,56,7,1,1546
389,56,77,1,1546
390,56,93,1,1546
391,42,95,1,1546
392,42,9,1,1546
393,42,63,1,1546
394,42,75,1,1546
395,42,8,1,1546
396,42,38,1,1546
397,45,59,2,1546
398,45,37,1,1546
399,45,44,1,1546
400,45,57,1,1546
401,45,16,1,1546
402,45,27,1,1546
403,45,45,1,1546
404,45,52,1,1546
405,45,21,1,1546
406,45,62,1,1546
407,45,56,1,1546
408,45,91,1,1546
409,45,32,2,1546
410,45,33,1,1546
411,45,66,1,1546
412,45,93,1,1546
413,71,76,2,1546
414,71,53,1,1546
415,71,65,1,1546
416,71,61,1,1546
417,71,54,1,1546
418,71,70,1,1546
419,71,82,1,1546
420,71,37,1,1546
421,71,35,1,1546
422,71,50,2,1546
423,71,28,1,1546
424,71,88,2,1546
425,71,55,1,1546
426,71,85,1,1546
427,71,60,1,1546
428,71,36,1,1546
429,71,25,1,1546
430,71,78,1,1546
431,71,92,1,1546
432,71,79,2,1546
433,71,56,1,1546
434,71,75,2,1546
435,71,27,1,1546
436,71,95,1,1546
437,71,68,1,1546
438,71,33,1,1546
439,71,80,1,1546
440,71,86,1,1546
441,71,91,1,1546
442,88,93,1,1546
443,88,7,1,1546
444,88,48,1,1546
445,88,36,1,1546
446,88,18,1,1546
447,88,53,1,1546
448,81,52,1,1546
449,81,25,1,1546
450,81,10,1,1546
451,81,73,1,1546
452,81,78,1,1546
453,81,49,1,1546
454,81,84,1,1546
455,81,81,1,1546
456,81,53,1,1546
457,48,49,1,1546
458,48,37,1,1546
459,48,50,1,1546
460,48,48,1,1546
461,48,76,2,1546
462,48,43,1,1546
463,100,86,1,1546
464,92,94,1,1546
465,92,90,1,1546
466,92,98,1,1546
467,74,65,1,1546
468,74,33,1,1546
469,74,53,1,1546
470,74,63,1,1546
471,74,91,2,1546
472,74,19,1,1546
473,74,70,1,1546
474,74,6,1,1546
475,74,72,1,1546
476,74,5,1,1546
477,74,82,1,1546
478,74,31,1,1546
479,74,48,1,1546
480,74,93,1,1546
481,37,63,1,1546
482,37,87,1,1546
483,37,80,1,1546
484,37,60,2,1546
485,37,81,1,1546
486,37,33,1,1546
487,37,46,1,1546
488,37,40,2,1546
489,37,54,1,1546
490,37,36,1,1546
491,37,52,2,1546
492,37,53,1,1546
493,37,86,1,1546
494,37,92,1,1546
495,61,73,1,1546
496,61,76,1,1546
497,61,71,3,1546
498,61,70,1,1546
499,61,32,1,1546
500,61,81,1,1546
501,61,14,1,1546
502,61,16,1,1546
503,61,85,1,1546
504,61,56,1,1546
505,61,74,1,1546
506,61,31,1,1546
507,61,80,1,1546
508,61,72,1,1546
509,61,69,1,1546
510,61,50,1,1546
511,61,88,2,1546
512,61,62,1,1546
513,61,64,1,1546
514,61,60,1,1546
515,61,30,1,1546
516,57,65,2,1546
517,57,91,1,1546
518,57,8,1,1546
519,57,15,1,1546
520,57,28,1,1546
521,57,60,1,1546
522,57,96,1,1546
523,57,61,2,1546
524,57,62,1,1546
525,57,45,1,1546
526,57,30,1,1546
527,57,75,1,1546
528,59,60,2,1546
529,59,66,1,1546
530,59,31,1,1546
531,59,93,1,1546
532,59,79,1,1546
533,59,15,1,1546
534,59,26,1,1546
535,59,65,1,1546
536,59,58,1,1546
537,59,42,2,1546
538,59,23,1,1546
539,59,63,1,1546
540,59,86,1,1546
541,25,81,1,1546
542,25,58,1,1546
543,25,72,1,1546
544,25,94,2,1546
545,86,50,1,1546
546,86,93,1,1546
547,86,39,1,1546
548,86,30,1,1546
549,86,6,1,1546
550,86,81,1,1546
551,86,82,1,1546
552,86,56,1,1546
553,84,51,1,1546
554,84,94,2,1546
555,84,25,1,1546
556,84,47,1,1546
557,35,18,1,1546
558,35,39,1,1546
559,35,79,1,1546
560,35,85,1,1546
561,35,50,1,1546
562,35,44,1,1546
563,35,60,1,1546
564,35,86,1,1546
565,35,90,1,1546
566,35,5,1,1546
567,35,84,1,1546
568,35,54,1,1546
569,67,61,1,1546
570,67,92,2,1546
571,67,85,1,1546
572,67,15,1,1546
573,67,38,1,1546
574,67,28,1,1546
575,67,79,2,1546
576,67,52,3,1546
577,67,31,1,1546
578,67,9,1,1546
579,67,74,1,1546
580,67,68,1,1546
581,67,72,1,1546
582,67,66,1,1546
583,67,86,1,1546
584,67,80,1,1546
585,67,93,1,1546
586,67,34,1,1546
587,67,50,1,1546
588,67,94,1,1546
589,64,84,1,1546
590,64,64,1,1546
591,64,86,1,1546
592,64,89,2,1546
593,64,83,1,1546
594,64,41,1,1546
595,64,16,1,1546
596,64,40,1,1546
597,64,75,1,1546
598,64,70,1,1546
599,64,72,1,1546
600,64,34,1,1546
601,64,60,1,1546
602,64,95,1,1546
603,64,19,1,1546
604,64,71,1,1546
605,64,73,1,1546
606,64,88,1,1546
607,64,74,2,1546
608,64,35,1,1546
609,64,52,1,1546
610,64,54,1,1546
611,64,31,1,1546
612,64,81,1,1546
613,80,81,1,1546
614,80,93,1,1546
615,80,29,1,1546
616,80,57,1,1546
617,80,4,1,1546
618,80,49,1,1546
619,80,50,1,1546
620,80,95,1,1546
621,47,52,1,1546
622,47,84,1,1546
623,47,45,2,1546
624,47,75,1,1546
625,47,48,1,1546
626,47,61,1,1546
