nokta_no,x,y,count,sezon_dakikasi
1,12,89,1,2638
2,12,83,2,2638
3,12,84,2,2638
4,12,100,1,2638
5,12,85,2,2638
6,12,87,1,2638
7,12,92,1,2638
8,12,74,1,2638
9,12,58,1,2638
10,12,93,1,2638
11,12,91,2,2638
12,12,77,1,2638
13,12,53,1,2638
14,43,92,4,2638
15,43,88,2,2638
16,43,93,3,2638
17,43,100,4,2638
18,43,95,1,2638
19,43,86,1,2638
20,43,94,1,2638
21,43,78,1,2638
22,43,63,1,2638
23,43,75,2,2638
24,43,91,1,2638
25,43,90,2,2638
26,43,96,1,2638
27,47,58,1,2638
28,47,94,2,2638
29,47,83,2,2638
30,47,81,1,2638
31,47,55,1,2638
32,47,49,1,2638
33,47,88,1,2638
34,47,79,1,2638
35,47,80,1,2638
36,47,100,1,2638
37,47,70,1,2638
38,47,63,1,2638
39,47,74,1,2638
40,47,98,1,2638
41,47,21,1,2638
42,47,60,1,2638
43,27,85,1,2638
44,27,82,3,2638
45,27,84,1,2638
46,27,93,3,2638
47,27,86,3,2638
48,27,65,1,2638
49,27,74,1,2638
50,27,100,2,2638
51,27,91,1,2638
52,27,66,1,2638
53,27,48,1,2638
54,56,74,1,2638
55,56,100,9,2638
56,56,67,1,2638
57,56,56,1,2638
58,56,70,3,2638
59,56,93,3,2638
60,56,85,1,2638
61,56,73,1,2638
62,56,89,1,2638
63,56,87,2,2638
64,56,98,1,2638
65,56,95,2,2638
66,56,88,2,2638
67,56,94,1,2638
68,56,60,1,2638
69,56,66,1,2638
70,56,96,2,2638
71,56,91,1,2638
72,56,92,1,2638
73,56,24,1,2638
74,10,81,2,2638
75,10,88,1,2638
76,10,93,2,2638
77,10,79,1,2638
78,10,72,1,2638
79,10,71,1,2638
80,10,95,1,2638
81,10,92,1,2638
82,10,86,1,2638
83,10,96,1,2638
84,10,65,1,2638
85,10,94,1,2638
86,10,100,1,2638
87,10,58,1,2638
88,10,59,1,2638
89,7,87,1,2638
90,7,48,1,2638
91,7,88,1,2638
92,7,81,1,2638
93,7,85,1,2638
94,7,70,1,2638
95,7,90,1,2638
96,7,75,1,2638
97,7,52,1,2638
98,7,58,1,2638
99,7,77,1,2638
100,7,36,1,2638
101,7,76,1,2638
102,7,63,1,2638
103,7,100,1,2638
104,7,54,1,2638
105,55,93,3,2638
106,55,92,3,2638
107,55,100,3,2638
108,55,53,1,2638
109,55,94,3,2638
