nokta_no,x,y,count,sezon_dakikasi
1,39,64,2,1720
2,39,67,2,1720
3,39,31,1,1720
4,39,69,1,1720
5,39,36,1,1720
6,39,68,1,1720
7,39,34,1,1720
8,39,8,1,1720
9,39,79,1,1720
10,39,37,1,1720
11,39,22,1,1720
12,39,88,1,1720
13,39,60,1,1720
14,39,59,1,1720
15,39,63,2,1720
16,39,17,1,1720
17,39,32,1,1720
18,39,35,1,1720
19,39,5,2,1720
20,39,83,2,1720
21,39,89,1,1720
22,39,14,1,1720
23,39,65,2,1720
24,39,92,1,1720
25,39,55,1,1720
26,39,51,1,1720
27,74,26,1,1720
28,74,90,1,1720
29,74,4,1,1720
30,74,34,1,1720
31,74,41,1,1720
32,74,83,1,1720
33,74,76,1,1720
34,74,8,1,1720
35,74,96,1,1720
36,74,48,1,1720
37,74,18,1,1720
38,74,74,1,1720
39,74,6,1,1720
40,74,61,1,1720
41,74,42,1,1720
42,60,28,2,1720
43,60,91,2,1720
44,60,77,1,1720
45,60,74,1,1720
46,60,37,1,1720
47,60,62,1,1720
48,60,43,1,1720
49,60,71,2,1720
50,60,12,1,1720
51,60,70,1,1720
52,60,93,2,1720
53,60,60,1,1720
54,60,75,1,1720
55,60,88,1,1720
56,60,65,1,1720
57,60,66,1,1720
58,60,40,1,1720
59,60,26,1,1720
60,60,58,1,1720
61,60,25,1,1720
62,60,44,1,1720
63,60,2,1,1720
64,60,59,1,1720
65,61,76,1,1720
66,61,39,1,1720
67,61,69,1,1720
68,61,81,1,1720
69,61,18,1,1720
70,61,60,2,1720
71,61,38,1,1720
72,61,94,1,1720
73,61,86,1,1720
74,61,63,2,1720
75,61,75,1,1720
76,61,83,1,1720
77,61,30,1,1720
78,61,26,1,1720
79,61,67,1,1720
80,61,79,1,1720
81,61,32,1,1720
82,61,31,1,1720
83,61,70,1,1720
84,61,71,1,1720
85,61,19,1,1720
86,61,91,1,1720
87,61,35,1,1720
88,61,64,1,1720
89,53,26,1,1720
90,53,32,2,1720
91,53,21,1,1720
92,53,52,1,1720
93,53,42,1,1720
94,53,62,1,1720
95,53,63,1,1720
96,53,65,1,1720
97,53,54,1,1720
98,53,69,1,1720
99,53,20,2,1720
100,53,35,1,1720
101,53,73,1,1720
102,53,83,1,1720
103,53,85,1,1720
104,53,58,4,1720
105,53,5,1,1720
106,53,66,1,1720
